$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$26972694$狐妖小红娘剧场版：月红篇$胡二$2018-04-23 22:22:49$65$主线CP果然是最崇高虐人
18$26972694$狐妖小红娘剧场版：月红篇$西瓜草莓火龙果$2018-02-24 11:42:41$5$很喜欢这部动漫，虽然在个别配音方面有些僵硬，好多方面都需改进，但是这确实是一部让我哭得一塌糊涂的动漫，然后又破涕为笑。
19$26972694$狐妖小红娘剧场版：月红篇$阿阿阿阿时$2018-02-16 20:55:09$3$其实我还是觉得。。。千颜篇最好看，最主要的还是杰大那个撩人的声音，不行了，我耳朵怀孕了。
20$26972694$狐妖小红娘剧场版：月红篇$大象离群索居$2018-12-13 10:25:25$1$啊？？？？？？
21$26972694$狐妖小红娘剧场版：月红篇$染尘$2017-07-18 09:21:42$2$系列最爱
22$26972694$狐妖小红娘剧场版：月红篇$宋懿$2022-12-16 20:15:14$0$85分。
23$26972694$狐妖小红娘剧场版：月红篇$达尼苟头$2018-02-20 12:15:25$3$国漫煽情的功力倒是日益激进了啊。
24$26972694$狐妖小红娘剧场版：月红篇$黑娃$2018-08-02 00:07:32$3$哎呀呀，老娘的少女心啊
25$26972694$狐妖小红娘剧场版：月红篇$榎木津禮九郎✧︎$2018-03-04 11:26:01$22$有的片段太强行，不过手穿胸膛还是挺印象深刻的。还是前世比较有趣，今生太小打小闹。转世续缘这个东西，仅靠的是前世的爱不会像是一种绑架吗…
26$26972694$狐妖小红娘剧场版：月红篇$金色面包机$2019-01-01 22:23:49$1$我就是 厕所小郎君
27$26972694$狐妖小红娘剧场版：月红篇$你没事就好$2018-07-25 22:43:24$3$我就看着狐妖粉的不要脸程度能突破到什么什么地步。
28$26972694$狐妖小红娘剧场版：月红篇$泽野红枝$2018-07-31 23:31:15$2$说实在的吧，不喜欢
29$26972694$狐妖小红娘剧场版：月红篇$梦里的林襄$2018-02-14 05:02:07$1$男主前世设定，刚被灭了门，爹妈被仇人杀了结果没事人一样在泡狐狸，后期再见仇人一切风轻云淡，我整你们一下，ok大家恩怨一笔勾销？？？完全不盘逻辑，不讲道理，怎么惨我就怎么编，人设智商疯狂下限，黑化洗白理由一个比一个奇葩，这神作了？？？好歹隔壁一人之下目前看来要好一点
30$26972694$狐妖小红娘剧场版：月红篇$多喝热水$2021-09-13 16:19:35$1$srds 我还是更喜欢白苏
31$26972694$狐妖小红娘剧场版：月红篇$江湖夜雨十年灯$2022-05-18 01:51:32$0$月红篇yyds，be美学的极致
32$26972694$狐妖小红娘剧场版：月红篇$阿五$2020-03-25 03:30:34$0$4.5
33$26972694$狐妖小红娘剧场版：月红篇$心雨依依$2022-08-14 16:26:32$0$好爱月红呜呜呜呜
34$26972694$狐妖小红娘剧场版：月红篇$黃宗澤$2019-02-20 14:28:24$0$一般般
35$26972694$狐妖小红娘剧场版：月红篇$尼特王$2018-10-09 12:31:38$4$主线果然还是最宏大最震撼啊。那个美丽的愿望。
36$26972694$狐妖小红娘剧场版：月红篇$一颗苹果$2018-09-26 14:51:04$0$小时候的东方月初简直高萌正太⁄(⁄ ⁄•⁄ω⁄•⁄ ⁄)⁄ 前世你是我的妖仙姐姐，这世我是你的道士哥哥，甜甜甜
37$26972694$狐妖小红娘剧场版：月红篇$远方的风景$2021-11-27 02:36:49$0$因为相爱放弃了厮守终生去实现和平理想，是大爱啊。
38$26972694$狐妖小红娘剧场版：月红篇$皆可$2021-04-05 10:03:16$0$能把动漫拍成武侠的感觉，万水千山，我陪你看，应该是狐妖系列最好的一篇。
39$26972694$狐妖小红娘剧场版：月红篇$不如躺尸$2020-02-29 19:41:45$1$"印象最深的是主题曲，听歌都能串起剧情，真心觉得这个动漫非常棒。
东方月初 涂山红红"
40$26972694$狐妖小红娘剧场版：月红篇$坐好我要起飞啦$2020-08-01 15:37:32$0$三星半。TV合集，补标。
41$26972694$狐妖小红娘剧场版：月红篇$陈寄春.$2022-11-19 23:32:10$0$6坐实了，雅雅姐是红红的毒唯粉哈哈哈，东方白发老人实在忍不住，《论娘家人的刻意报复》，不过…东方一开始就把心交给红红了吧，真的是用情至深，可红红真的把他看作是心仪之人吗？“或许他并不适合姐姐，但他偏偏出现在，姐姐心灵最脆弱的时刻”，脑海里始终是蓉蓉这句，所以…我更喜欢苏苏
42$26972694$狐妖小红娘剧场版：月红篇$阳洋羊$2019-07-23 12:02:29$0$记号。
43$26972694$狐妖小红娘剧场版：月红篇$金先生 .$2023-01-08 16:35:32$1$谁能不为月红动容 这真是我心中的意难平 我心中的月初和红红她们只是她们 独立的个体和独立的故事 他们的结局已然如此 希望苏苏和她的道士哥哥能有一个好结果吧 另外杰大配音真是yyds
44$26972694$狐妖小红娘剧场版：月红篇$Alex屮$2017-12-01 16:10:21$0$比起犬夜叉稍微差一些
45$26972694$狐妖小红娘剧场版：月红篇$尚墨1111$2022-02-12 21:05:44$0$"不得了不得了，这里面出现的人物全变成了其他故事里的主线。
土狗故事用的士兵为公主守的99个夜晚，她在第100夜去找他了，妙！真诚战胜猜忌。
月红故事，倾心胜过了爱情的时机。东方月初一脚踏出涂山去实现红红的愿望真跪服！爱情得多无私才能到这一步。"
46$26972694$狐妖小红娘剧场版：月红篇$大地神爹$2020-04-15 23:16:43$1$我的最爱！一个心怀天下，一个为了爱人而爱这天下，实现她的心愿！！！太绝了！！！！
47$26972694$狐妖小红娘剧场版：月红篇$吃饭了$2017-10-22 10:45:17$2$28-48 讲前世的故事，虽然中国人喜欢投胎转世的故事，仍然觉得月红的台词设定尴尬，还有女二口号式台词，有种硬凹的45度忧伤，没有那种水到渠成的情感流畅，女主万能型设定也很无趣
48$26972694$狐妖小红娘剧场版：月红篇$Beebee$2017-11-30 09:54:05$1$国漫崛起
49$26972694$狐妖小红娘剧场版：月红篇$灰色堡垒$2017-07-11 16:35:06$3$两星半，又中二又狗血。一开始还挺不错的，后面走《魔法少女小圆》路线了以后就不喜欢了。里面的歌还行，但是词写得一般，这也是国产游戏、动漫音乐的通病。
50$26972694$狐妖小红娘剧场版：月红篇$是巴卫啊$2017-12-08 10:19:34$1$还可以，就是我觉得如果人物设计得更有美感一点就好了
51$26972694$狐妖小红娘剧场版：月红篇$林奚$2017-12-27 12:48:46$0$啊啊啊啊啊啊啊因为月红我永远不出坑！！！！东方月初怎么可以这么苏这么撩人！！
52$26972694$狐妖小红娘剧场版：月红篇$不喝水的鲫鱼$2020-10-17 00:53:13$1$"@@@（2017-01-20）狐妖小红娘：月红总集篇（1-4）
（TV版28-48集。）"
53$26972694$狐妖小红娘剧场版：月红篇$小L│梵高的向日葵。$2021-12-18 00:43:56$0$你这个把一生都搭在我身上的人……为了我，离开涂山……为了我，扬名立万……为了我，全力阻止人妖间的厮杀……就为了当年心中，容不下你的我…… 
54$26972694$狐妖小红娘剧场版：月红篇$杨骁艾$2021-01-03 15:34:43$0$除了牛逼还能说什么
55$26972694$狐妖小红娘剧场版：月红篇$且听风吟$2018-04-22 19:25:50$0$可惜情投意合终不能相守
56$26972694$狐妖小红娘剧场版：月红篇$[已注销]$2018-06-10 01:06:09$2$“赌并不是好事，但若身陷绝境没有退路，也只能冒死一赌。上一步的赌注让我赢回了性命，而下一步则是赌的一辈子。”喜欢东方月初，喜欢他的赌上一生，也偏要勉强。话说这个大节奏是绝代双骄哇。
57$26972694$狐妖小红娘剧场版：月红篇$莫愁$2017-05-14 17:48:26$0$最喜欢的一对cp
58$26972694$狐妖小红娘剧场版：月红篇$Hua$2022-06-22 23:00:04$0$"从这篇完结开始，苏苏工具人女主的身份越来越明显，大片的设定上她根本插不上嘴，能出上手的还只是为数不多作为红红出现。
为了想当更好的红娘才逃婚的她这么会想到，被白月初哄骗回来的一年后不仅被夺去了身为红娘才能接的任务，还变成一个真正辅助男主工作的工具人。相对于大开技能和超多台词的白月初，苏苏变成了嘴里只会说“道士哥哥你怎么了？”“道士哥哥你没事吧？”“道士哥哥你真厉害！”“道士哥哥苏苏不怕”的背景板。
连自己所有的苦楚和被当成替代品的无奈也都是在《沐天城篇》里通过男主视角讲出来的，这些台词从别人嘴里一说出来便变成了他人的成长经验值，还是两倍的。（不知道这段话能不能被理解）
本来以为“狐妖小红娘”是部女主成长史，看了才知道原来她只是剧名里“狐妖”的那部分，真正的“红娘”是男主啊。就离谱！"
59$26972694$狐妖小红娘剧场版：月红篇$月色莫名$2018-06-24 01:09:32$0$转世续缘，不一定有分，可惜么，还是更值得等待呢
60$26972694$狐妖小红娘剧场版：月红篇$Wintermojo$2022-04-18 22:07:13$0$太难了，老一辈的爱情太难了
61$26972694$狐妖小红娘剧场版：月红篇$@凡先生$2018-12-16 15:51:18$0$"一只妖为一个小道士付出了一生，
一个小道士为一只妖付出了百世。
前世我叫你一声妖仙姐姐，
现在你唤我一句道士哥哥。"
62$26972694$狐妖小红娘剧场版：月红篇$Fairy🍒$2017-10-06 16:39:12$0$严格来说不能叫剧场版 只是个总集 剪辑得不怎么好 可是好喜欢月红这一篇 白月初认真起来太帅了
63$26972694$狐妖小红娘剧场版：月红篇$陈恪风$2022-07-09 16:46:08$0$知道了主角团过去，白苏比月红好磕哎。
64$26972694$狐妖小红娘剧场版：月红篇$無鴉$2020-05-08 00:53:52$0$555意难平，月红永恒
65$26972694$狐妖小红娘剧场版：月红篇$飞来$2022-02-25 02:59:41$0$一袭紫衣，前世的妖仙姐姐，今生的蠢货妹妹，缘，妙不可言。
66$26972694$狐妖小红娘剧场版：月红篇$公子扶酥$2021-06-02 22:41:21$0$期待下一季
67$26972694$狐妖小红娘剧场版：月红篇$随遇而安$2018-10-17 01:39:54$1$最好看的一段
68$26972694$狐妖小红娘剧场版：月红篇$没啥好看的$2022-11-19 09:13:44$0$到底分流了几个标签啊
69$26972694$狐妖小红娘剧场版：月红篇$清风分故旧$2020-12-18 16:58:14$0$东方功过三七开
70$26972694$狐妖小红娘剧场版：月红篇$四十四次日落$2022-11-20 23:56:55$0$"我觉得是狐妖最好看的一个单元故事，也是故事的起源
人和妖，真的不能和谐相处吗
“而我不知不觉把我自己遗忘，只想为你完成那个梦想”
这句我本来以为讲的是东方月初，其实，它也讲的是涂山红红，她的心里为了当年的愧疚，为了完成小道士的梦想，无法接受其他人
若当来世很好听"
71$26972694$狐妖小红娘剧场版：月红篇$nciel$2017-06-25 12:09:03$1$最喜欢月红篇qwq
72$26972694$狐妖小红娘剧场版：月红篇$随意$2020-09-26 00:50:14$0$真的大爱这个！我真的认认真真追了两次的！小妖真的太好看了
73$26972694$狐妖小红娘剧场版：月红篇$誘$2017-05-28 14:19:28$2$依然。。。。有些片段尬到不行。。。。
74$26972694$狐妖小红娘剧场版：月红篇$硬核小粉红🇨🇳$2022-09-23 20:01:43$0$好低龄化，9.4分滤镜有几层？听说要拍剧，慕名看了最新的剧场版，很怀疑🐶腾是不是被骗的程度，帧数低得可怜，除了背景，其他画得很不走心，可以称之为简陋，连10年的日本动画都不如。除了配音，其他都好一般，人物很样板化，故事流水账，最后是拖进度条看完的
75$26972694$狐妖小红娘剧场版：月红篇$阿紫$2019-06-09 15:20:19$1$不太喜欢主线CP
76$26972694$狐妖小红娘剧场版：月红篇$和曲$2020-08-17 02:56:06$0$主线cp果然最虐 虽然更喜欢雅雅的技能 也不是很喜欢姐弟恋（咦 和妖不管咋样都是吧……）可这徐徐展开的故事 实在是tql
77$26972694$狐妖小红娘剧场版：月红篇$夏清暖$2018-07-14 13:11:02$0$虽然我挺反感把主角cp搞那么复杂，独立灵魂、独立意识却有着很多牵绊，前世今生设定为一个人不好吗？但是感觉作者架得住，能圆得了剧情。只是这样一来，怕又是一部有生之年系列了。
78$26972694$狐妖小红娘剧场版：月红篇$食野之苹$2019-01-29 19:33:35$0$最佳利器虚空之类被苏苏当玩具玩，因为那本来就是东方月初送给你的礼物，呜呜呜
79$26972694$狐妖小红娘剧场版：月红篇$柏木$2019-12-27 15:44:08$0$御妖国的子母符，自由而战？价值观的疑惑。
80$26972694$狐妖小红娘剧场版：月红篇$Léo n$2018-02-03 16:32:47$0$不错，近年国产终于有好的东西可以看了
81$26972694$狐妖小红娘剧场版：月红篇$艺术重生$2023-04-21 21:37:48$1$《打了五百年的臭蟑螂，不知不觉就从童养夫到童养媳》意外发现海报上月初其实比红红矮了几厘米，当然如果加上两根呆毛就有了。前世的那些事，我们就和看电影一样看完散场，真正的虚空又尝到了几分？
82$26972694$狐妖小红娘剧场版：月红篇$Isabellaxxi_$2023-01-08 10:53:32$0$比上两篇好很多
83$26972694$狐妖小红娘剧场版：月红篇$迷路了$2020-05-06 21:41:30$1$上辈子我是你的童养夫    这辈子你是我的童养媳
84$26972694$狐妖小红娘剧场版：月红篇$三月对我笑$2017-06-17 12:35:51$1$剧情依旧十分中二，作画依旧略崩坏。虽然我还是中二病发作会不停地往下看，但北山妖帝那段却想跳过，剧情设置得是有多不走心呐，那几集配的ed和大体的剧情脉络很棒，但是细节处理得真的差，逻辑值降到负，扣一星
85$26972694$狐妖小红娘剧场版：月红篇$沉睡的书$2021-05-05 15:35:51$0$血虐
86$26972694$狐妖小红娘剧场版：月红篇$乐城侯$2020-05-25 07:40:54$0$月红
87$26972694$狐妖小红娘剧场版：月红篇$卿酒酒$2019-06-19 03:50:58$2$月红篇奠定了狐妖系列不是小情小爱的格局。
88$26972694$狐妖小红娘剧场版：月红篇$兔子窝$2018-09-07 23:10:40$0$好吧，反正你们很厉害的人都是愿意在一起的，留下颜值舔屏……
89$26972694$狐妖小红娘剧场版：月红篇$猫$2022-07-24 13:56:35$0$我的妈呀，真不该吃饭的时候看。最好看的一幕竟然是在我低头吃面的时候出现了。看完了，才发现有总集气死了
90$26972694$狐妖小红娘剧场版：月红篇$一蓑烟雨任平生$2018-05-15 09:41:30$2$觉得东方月初和涂山红红的爱情真的让人感动至深，月初为了人妖之间的和平，不惜拼上自己的性命。
91$26972694$狐妖小红娘剧场版：月红篇$巷宛$2017-06-12 21:29:27$0$狐妖里最喜欢的cp
92$26972694$狐妖小红娘剧场版：月红篇$沉默的大多数$2020-06-07 15:47:32$0$太悲了！！
93$26972694$狐妖小红娘剧场版：月红篇$微行水彩$2020-04-12 22:53:20$0$第二遍打卡
94$26972694$狐妖小红娘剧场版：月红篇$荒糖丶$2019-03-29 05:39:25$0$为爱远走，那一集真的心都看碎了。
95$26972694$狐妖小红娘剧场版：月红篇$逾白$2022-06-09 09:14:56$0$"初见之时，恍如隔世
二货道士和狐妖姐姐😭"
96$26972694$狐妖小红娘剧场版：月红篇$隔壁六楼李阿姨$2019-11-23 12:20:13$0$东方月初好像蟑螂……
97$26972694$狐妖小红娘剧场版：月红篇$烟火佳人$2018-02-14 23:57:47$0$最近迷的番 哈哈哈 好看😍
98$26972694$狐妖小红娘剧场版：月红篇$Pius$2018-08-18 01:58:11$0$看得哭倒长城，句句教你爱人。
99$26972694$狐妖小红娘剧场版：月红篇$豆瓣吃瓜号$2018-12-09 19:01:22$1$直接在腾讯看的目前目前所更的全集-89集。觉得好过瘾！！每一个小故事都喜欢，，涂山红红和东方月初、王权富贵和小蜘蛛、好喜欢王权富贵的设定。。。土狗和女将军，还有女捕快和采花大盗。。。都很感动。。。最后的南国公主片段我个人不太喜欢，虽然平丘月初是一个独立的灵魂，但总觉得它背叛了红红
100$26972694$狐妖小红娘剧场版：月红篇$猫$2022-07-24 13:56:35$0$我的妈呀，真不该吃饭的时候看。最好看的一幕竟然是在我低头吃面的时候出现了。看完了，才发现有总集气死了
101$26972694$狐妖小红娘剧场版：月红篇$罗黛若$2020-08-13 23:49:02$0$长到不耐烦的地步
102$26972694$狐妖小红娘剧场版：月红篇$一蓑烟雨任平生$2018-05-15 09:41:30$2$觉得东方月初和涂山红红的爱情真的让人感动至深，月初为了人妖之间的和平，不惜拼上自己的性命。
103$26972694$狐妖小红娘剧场版：月红篇$沉默的大多数$2020-06-07 15:47:32$0$太悲了！！
104$26972694$狐妖小红娘剧场版：月红篇$微行水彩$2020-04-12 22:53:20$0$第二遍打卡
105$26972694$狐妖小红娘剧场版：月红篇$硬核小粉红🇨🇳$2022-09-23 20:01:43$0$好低龄化，9.4分滤镜有几层？听说要拍剧，慕名看了最新的剧场版，很怀疑🐶腾是不是被骗的程度，帧数低得可怜，除了背景，其他画得很不走心，可以称之为简陋，连10年的日本动画都不如。除了配音，其他都好一般，人物很样板化，故事流水账，最后是拖进度条看完的
106$26972694$狐妖小红娘剧场版：月红篇$底层人民彼得潘$2019-02-27 15:32:18$0$到底是主线，月红篇故事才开始走上正轨。“我的身后，你伸来的手，铃声依旧。”这种细节还是很打动人的。
107$26972694$狐妖小红娘剧场版：月红篇$荒糖丶$2019-03-29 05:39:25$0$为爱远走，那一集真的心都看碎了。
108$26972694$狐妖小红娘剧场版：月红篇$逾白$2022-06-09 09:14:56$0$"初见之时，恍如隔世
二货道士和狐妖姐姐😭"
109$26972694$狐妖小红娘剧场版：月红篇$隔壁六楼李阿姨$2019-11-23 12:20:13$0$东方月初好像蟑螂……
110$26972694$狐妖小红娘剧场版：月红篇$溢江东水$2022-07-13 17:09:32$0$某些场面还不错，可这部要讲这么多CP嘛，一言不合就闪回，节奏略拖啊
111$26972694$狐妖小红娘剧场版：月红篇$Pius$2018-08-18 01:58:11$0$看得哭倒长城，句句教你爱人。
112$26972694$狐妖小红娘剧场版：月红篇$判官$2017-04-29 21:40:28$0$没感觉。。。
113$26972694$狐妖小红娘剧场版：月红篇$Neroat$2021-01-24 12:01:31$1$28-48话。小时候的雅雅和容容都好可爱啊！东方月初和王权富贵原来是表兄弟啊。涂山美美好帅哦可惜是神经病。虽然有点老套但被东方月初对红红的爱恋感动到了哈哈哈。
114$26972694$狐妖小红娘剧场版：月红篇$豆瓣吃瓜号$2018-12-09 19:01:22$1$直接在腾讯看的目前目前所更的全集-89集。觉得好过瘾！！每一个小故事都喜欢，，涂山红红和东方月初、王权富贵和小蜘蛛、好喜欢王权富贵的设定。。。土狗和女将军，还有女捕快和采花大盗。。。都很感动。。。最后的南国公主片段我个人不太喜欢，虽然平丘月初是一个独立的灵魂，但总觉得它背叛了红红
115$26972694$狐妖小红娘剧场版：月红篇$ll安歌ll$2019-06-06 01:44:27$1$我的红红啊，我的东方月初啊啊啊啊啊！红红和东方月初能不能赶快回来？
116$26972694$狐妖小红娘剧场版：月红篇$虚胖$2022-12-20 01:14:05$0$"很好看不希望被内娱翻拍毁了"
117$26972694$狐妖小红娘剧场版：月红篇$NaNa$2021-11-24 14:15:25$0$很喜欢，但是听说要拍电视剧了，伤心
118$26972694$狐妖小红娘剧场版：月红篇$猫成一团$2017-07-09 19:18:37$0$歌好听
119$26972694$狐妖小红娘剧场版：月红篇$冰雪枫儿$2017-12-12 00:56:50$1$还是更喜欢苏苏啊！
120$26972694$狐妖小红娘剧场版：月红篇$九音离$2018-11-24 10:32:28$1$前世你是我的妖仙姐姐，今生我是你的道士哥哥。你们该圆满了吧😭😭😭我的苏苏红红雅雅蓉蓉😭😭😭
121$26972694$狐妖小红娘剧场版：月红篇$紫气东来$2019-07-30 15:08:48$0$虐
122$26972694$狐妖小红娘剧场版：月红篇$小虎牙$2018-07-15 21:08:42$0$东方月初太他妈帅了
123$26972694$狐妖小红娘剧场版：月红篇$落寞$2022-06-09 12:15:30$0$好不容易熬到月红，以为可以好好看看东方月初和涂山红红异性恋的前因后果😂结果月初40%的戏份是七八岁的正太，40%是七八十岁的糟老头，10%还是白月初的，东方小弟的青春可真短暂😓
124$26972694$狐妖小红娘剧场版：月红篇$醒了吗$2019-01-05 15:00:53$0$挺好看
125$26972694$狐妖小红娘剧场版：月红篇$狼狈相骑士$2018-06-12 11:03:26$0$日漫、周星驰语气和台词的混合体，及格
126$26972694$狐妖小红娘剧场版：月红篇$我有一个梦境$2020-07-03 20:59:04$0$高举月红大旗🥳这一世的白苏我也站😉
127$26972694$狐妖小红娘剧场版：月红篇$慕籍$2020-05-04 23:56:44$0$最喜欢还是月红篇吧
128$26972694$狐妖小红娘剧场版：月红篇$白v蘼$2020-02-17 19:51:52$0$"最爱月红篇
天生情种东方月初"
129$26972694$狐妖小红娘剧场版：月红篇$Irises$2019-09-20 09:11:35$0$喜欢
130$26972694$狐妖小红娘剧场版：月红篇$balala$2021-08-14 15:49:11$0$我还是最爱月红
131$26972694$狐妖小红娘剧场版：月红篇$叶子落了的时候$2018-01-30 03:22:17$1$站月红 站月红 站月红！！！
132$26972694$狐妖小红娘剧场版：月红篇$-THE END-$2020-03-12 20:03:11$0$看不够啊
133$26972694$狐妖小红娘剧场版：月红篇$猫❤❤$2022-01-26 22:29:37$0$红红和苏苏都爱~~
134$26972694$狐妖小红娘剧场版：月红篇$柒染$2018-04-29 19:26:49$1$前世的二货道士和妖仙姐姐，今生的小蠢货与道士哥哥。无论哪一世，他都愿意为了她的梦想而努力。
135$26972694$狐妖小红娘剧场版：月红篇$睡觉比赛第一$2017-12-29 00:07:27$0$爱
136$26972694$狐妖小红娘剧场版：月红篇$唧唧复唧唧$2021-08-19 22:11:03$0$东方月初和涂山红红，我更喜欢白月初和苏苏
137$26972694$狐妖小红娘剧场版：月红篇$笑一笑朋友$2019-07-05 21:53:57$0$明明说的是中文，我却没感觉他们在讲中国话。
138$26972694$狐妖小红娘剧场版：月红篇$地黄$2019-07-28 16:33:52$0$童养夫笑死人，看到最后也不明白月初到底为什么要去外面闯荡，为什么说是为了红红
139$26972694$狐妖小红娘剧场版：月红篇$筠心$2020-10-22 17:02:07$0$狐妖小红娘里面算是最优秀的一部了。就是没结局看的不舒服，国漫的通病，永远有下集。
140$26972694$狐妖小红娘剧场版：月红篇$夏天吃西瓜$2017-04-02 21:39:17$1$杰大的东方月初很苏很苏啊，涂山红红不用嘴说话的原因很泪目
141$26972694$狐妖小红娘剧场版：月红篇$旺仔牛奶$2022-03-26 20:17:47$1$月红篇好虐啊😭😭但是也好好磕，他们俩真的好配
142$26972694$狐妖小红娘剧场版：月红篇$你在说什么?$2018-01-18 17:50:35$0$被涂山红红的外貌、性格吊足了胃口
143$26972694$狐妖小红娘剧场版：月红篇$哈哈哈哈哈$2021-11-14 14:12:11$1$看到竹业篇（还没看完）暂时让我感觉好磕的只有月红，苏苏太小了白苏更像兄妹，别的也都很那个。说到底只有月红两个人从来没有因为爱情偏执伤害别人，永远把大义放在首要的位置 成全别人
144$26972694$狐妖小红娘剧场版：月红篇$红色领带$2017-12-30 19:28:24$0$久远成传说，见东悬初月孤星寥落，未曾能看破，眼中化作火。如果这个世界上没有东方月初了，那么也就不再需要涂山红红了。
145$26972694$狐妖小红娘剧场版：月红篇$Faris$2020-11-09 20:42:45$0$两个人的感情线其实没有讲清楚
146$26972694$狐妖小红娘剧场版：月红篇$阿不思琅$2021-06-22 01:05:48$0$"2.5
果然是菱纱的配音
以及这部主线太胡闹了，大家打一通，无事发生，故事结束
不过从这部开始作画肉眼可见地正常起来了"
147$26972694$狐妖小红娘剧场版：月红篇$徐长安$2020-06-16 17:04:25$0$爱她就是让她做自己，天啦要不要这么正/(ㄒoㄒ)/~~
148$26972694$狐妖小红娘剧场版：月红篇$努力考试园丁酱$2018-06-27 12:16:15$0$人物设定用觉得和犬夜叉有些说不上来的像，不过剧情还是挺精彩
149$26972694$狐妖小红娘剧场版：月红篇$HanaLai$2019-07-05 23:07:00$0$红红月初前世缘
150$26972694$狐妖小红娘剧场版：月红篇$ᝰꫛꪮꪮꫜ$2022-06-23 02:14:52$0$东方月初和涂山红红，从相遇，互助，成长，这种片段我看过不少了，但是我一般都是站家人那种感情
151$26972694$狐妖小红娘剧场版：月红篇$momo$2022-07-14 08:25:11$0$我其实觉得有一种神雕侠侣之感。并且我觉得有点绑架性质的续缘很难磕下去orz
152$26972694$狐妖小红娘剧场版：月红篇$我的小鱼干嘞$2022-01-28 14:23:33$0$交付性命，彼此不弃。红红和东方月初的故事很感人，但我总觉得，白月初虽然是东方月初的转世，但确是不同的人。同样的，涂山苏苏也不是涂山红红......希望苏苏和道士哥哥有个好结果吧，哪怕看到现在我也没觉得他俩之间有爱情存在...
153$26972694$狐妖小红娘剧场版：月红篇$pacino$2021-02-12 09:03:01$0$不自觉地幻想成东方月初了
154$26972694$狐妖小红娘剧场版：月红篇$小兜$2022-05-28 22:21:28$0$妖仙姐姐和二货道士，好甜。
155$26972694$狐妖小红娘剧场版：月红篇$Tues.$2019-11-27 19:58:57$0$补标
