$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$34964209$“黄河之水天上来”国宝音乐会$眯眯眼的敏敏$2020-02-08 00:22:40$7$很爱两首国乐，特别喜欢开场的象王行。黄河的主题挑的很好，表演和文物也相辅相成。P.S. 这个词条是我加的哟，嘻嘻！
1$34964209$“黄河之水天上来”国宝音乐会$Nova_W$2020-02-10 15:30:08$14$「昏君的快乐是你们无法想象」
17$34964209$“黄河之水天上来”国宝音乐会$clover$2020-10-29 00:03:41$0$母亲河黄河，国土辽阔，历史悠久，看完好些地方都特别想去啊！
18$34964209$“黄河之水天上来”国宝音乐会$走安娜$2020-02-08 11:51:39$0$老师们合奏的是仙乐吧！
19$34964209$“黄河之水天上来”国宝音乐会$melanie_je$2021-04-04 15:11:19$0$本来拍在第三季之前，但是看完第三季回来，看到更多新老朋友，特别感慨。七种民乐单独演奏真的太炫技太过瘾了，宗次郎出场也真的超级惊喜。最后48个文博单位逐个出场咏颂每个取水段古今历史，宣读誓词的时候，看哭了。千年不绝的母亲河，视角和主题都太棒了。无比期待国家宝藏新节目。
20$34964209$“黄河之水天上来”国宝音乐会$许一一$2020-07-10 20:53:45$0$这个当时电视上看的时候没有词条，疫情已现规模，“国泰民安、海晏河清”是最合适不过的主题，音乐是对宗次郎的陶笛取印象最深刻，文案是对山东省那段“天不生仲尼，万古如长夜”最为触动，“在乱世中心怀悲悯，在绝望中寻求真理”，伴着历史的地理寻脉，让我们“只来处、明去处，一眼千年”
21$34964209$“黄河之水天上来”国宝音乐会$Neroat$2022-01-06 20:51:59$1$超好看，节目质量高又感人又激动人心，黄河好伟大，国家好伟大，勤劳大度的中国人民好伟大。
22$34964209$“黄河之水天上来”国宝音乐会$阳光的微笑$2022-01-25 15:08:49$0$演唱黄河的舞台效果很棒，最后采集黄河48个河段的河水很有意义。
23$34964209$“黄河之水天上来”国宝音乐会$Rio不姓ma$2020-02-08 13:06:35$0$好听又好看
24$34964209$“黄河之水天上来”国宝音乐会$输入昵称$2020-03-05 21:26:26$0$央视的舞美做的真漂亮，再加上黄河这个立意的串联，满分
25$34964209$“黄河之水天上来”国宝音乐会$苏烨也$2020-02-08 13:38:20$0$策划满分，文案满分，表演满分，浓浓的情怀！为啥扣一分？因为我对甘肃的安排不满意。
26$34964209$“黄河之水天上来”国宝音乐会$Y.Y.$2020-02-06 18:53:29$0$好听又好看。
27$34964209$“黄河之水天上来”国宝音乐会$Jessie支言碎语$2020-02-09 00:10:31$0$《国家宝藏》本身就是宝藏节目，又是“国家队教做人系列”，创意无敌，嘉宾王炸，编排精妙，文案秒杀，既款款深情，又气韵洒脱，整个春节终于等来了真正有底蕴，有传承，有创新，有欢愉的节目！“我们有多年轻？”“上下五千年！！！”
28$34964209$“黄河之水天上来”国宝音乐会$侃山说$2022-02-02 00:20:03$0$噢噢我看过，相当于用黄河之水串联起几个流经省份的国宝，而且取水这一个创意很有心，能看到水质变化和大家为了保护黄河生态做出的努力和贡献。真挺不错的。
29$34964209$“黄河之水天上来”国宝音乐会$L$2021-11-25 06:53:05$0$存图了
30$34964209$“黄河之水天上来”国宝音乐会$北辰$2022-03-26 21:44:05$0$沿着黄河流经的城市，讲述“母亲河”上古老的文化，传统悠扬的民乐和深厚的文化结合，让国宝大放异彩。
31$34964209$“黄河之水天上来”国宝音乐会$薄荷北冰洋$2020-02-17 17:59:57$1$最感动的是那句“既然我们上不了天，我们就把日月星辰踩在脚下”
32$34964209$“黄河之水天上来”国宝音乐会$烧麦狮子$2020-02-08 22:18:03$0$观看时间：2020/1/29
33$34964209$“黄河之水天上来”国宝音乐会$巧克力$2022-03-21 12:20:48$0$真的很舒服，目前看到了驼俑，最喜欢的是第一个锅庄和宗次郎的陶笛
34$34964209$“黄河之水天上来”国宝音乐会$熊喵喵兮予怀$2021-03-20 09:56:06$0$这样呀，补录。
35$34964209$“黄河之水天上来”国宝音乐会$missingnava$2020-02-16 22:55:08$1$善战者无赫赫之名
36$34964209$“黄河之水天上来”国宝音乐会$SALvati$2020-11-18 12:42:07$0$才看，央民实力啊！金玥那段即兴很赞，棍哥终于不再光头了，赵聪老师圆润不少2333 一直catch不到果敢，之前和周杰伦合的青花瓷就很一般，这次和马头琴一起平得连情感都没了，diss下
37$34964209$“黄河之水天上来”国宝音乐会$雪藏蜗牛壳$2020-02-09 22:07:09$0$最后一幕黄河水样太燃了
38$34964209$“黄河之水天上来”国宝音乐会$谷玄$2020-02-26 21:55:47$0$满分炸裂，舞美，文案，演绎，情怀，呼应，无不精彩绝伦。
39$34964209$“黄河之水天上来”国宝音乐会$沧海一桑$2022-05-19 21:10:36$0$感受传统文化的洗礼
40$34964209$“黄河之水天上来”国宝音乐会$只因云中雷$2023-01-04 01:02:19$0$已阅
41$34964209$“黄河之水天上来”国宝音乐会$TAOGE$2020-02-23 23:39:22$0$最后黄河水那一幕泪崩了
42$34964209$“黄河之水天上来”国宝音乐会$耿耿星河$2020-04-06 23:38:59$0$视听盛宴
43$34964209$“黄河之水天上来”国宝音乐会$曲艺家和平女士$2020-04-28 16:49:19$0$看了好几遍啊啊啊啊啊好喜欢一直哭哭哭
44$34964209$“黄河之水天上来”国宝音乐会$梁卷$2021-02-04 14:55:54$0$太美了！彩彩彩！
45$34964209$“黄河之水天上来”国宝音乐会$Charis$2022-01-23 16:46:07$0$国家宝藏黄河主题。
46$34964209$“黄河之水天上来”国宝音乐会$飘飘咚$2021-06-15 10:48:10$1$是音乐节目（确信）
47$34964209$“黄河之水天上来”国宝音乐会$Nerdy Chic$2022-12-15 18:49:00$0$太喜欢大气的国乐了！
48$34964209$“黄河之水天上来”国宝音乐会$嬴无翳$2021-02-24 18:55:16$0$无与伦比，非凡绝伦，歌、舞、乐器，都无敌了，泱泱中华，滚滚黄河，大气磅礴，奔流不止
49$34964209$“黄河之水天上来”国宝音乐会$小可$2021-01-26 15:11:45$0$众所周知，国家宝藏是一档大型音乐原创节目，所以就真的搞了音乐会，还全是大佬，国家宝藏，你真的好牛！
50$34964209$“黄河之水天上来”国宝音乐会$未闻能斫风$2022-02-23 14:10:10$0$最喜欢《丝路载乐》
51$34964209$“黄河之水天上来”国宝音乐会$瓦。$2020-07-06 23:15:55$0$艺术与地域文化，由文物娓娓道来！只想仰天一声：君不见黄河之水天上来！！！
52$34964209$“黄河之水天上来”国宝音乐会$欧阳名$2020-02-07 17:24:59$0$每首歌每支舞都超级爱，但最后的黄河水取样才是真的前方核能。荆楚人民现在就等一个“滚滚长江东逝水”音乐会了！
53$34964209$“黄河之水天上来”国宝音乐会$Διόνυσος$2021-12-14 14:47:13$0$虽然理智上对所谓“家国叙事”非常抗拒，但情感上还是屡屡热泪盈眶。《相和歌》，看过很多遍，才知道孙颖被下放劳动21年，期间通读二十四史，研究15年还原汉唐舞，和学生说“不要小家碧玉，你们是宇宙的女儿”；莫华伦唱了《孔子》舞剧里的幽兰操，总感觉胡阳下一秒就要翻跟头蹦出来；结尾48个博物馆馆长黄河取水也很有感染力。或许人类共同的命运和宝藏总是这样动人，无需为这种心潮澎湃而羞耻。
54$34964209$“黄河之水天上来”国宝音乐会$莫有心$2020-09-21 22:46:15$0$这是我看过最好哭的歌舞节目。
55$34964209$“黄河之水天上来”国宝音乐会$秋山澪$2021-06-14 17:23:25$0$一定要去壶口看一看
56$34964209$“黄河之水天上来”国宝音乐会$姆瓦姆瓦$2020-02-24 22:56:45$0$日常膜拜关大洲老师系列～
57$34964209$“黄河之水天上来”国宝音乐会$皮奥霍$2020-02-11 17:31:47$0$君不见黄河之水天上来，奔流到海不复回。
58$34964209$“黄河之水天上来”国宝音乐会$辰知然$2021-06-12 17:58:54$0$民乐是中华文化和民族特性的一种表征，清雅含蓄，朴素粗粝，大气厚重。
59$34964209$“黄河之水天上来”国宝音乐会$轨迹$2022-04-08 16:02:29$0$很棒，有几段反复看了好几遍
60$34964209$“黄河之水天上来”国宝音乐会$青舟$2021-02-18 01:36:58$0$能带着菏泽玩，我给满分
61$34964209$“黄河之水天上来”国宝音乐会$Allons-y$2020-02-07 15:20:17$1$这是一场文物与音乐结合的国宝音乐会
62$34964209$“黄河之水天上来”国宝音乐会$wendy$2020-12-27 14:41:24$0$绝好！这个时代需要这样的文化节目！
63$34964209$“黄河之水天上来”国宝音乐会$文件传输助手$2021-12-10 23:44:47$0$文案好，原创音乐配乐超级棒！开篇《象王行》霸气绝伦中场《敕勒川》豪迈不羁《祖和歌》最后那些舞蹈演员盈盈一拜如天女下凡，惊艳时光。
64$34964209$“黄河之水天上来”国宝音乐会$克罗诺皮皮奥$2020-02-14 18:24:55$0$从此君王不早朝
65$34964209$“黄河之水天上来”国宝音乐会$雾怎么塌了$2021-10-30 17:33:24$0$九曲黄河万里沙，浪淘风簸自天涯。
66$34964209$“黄河之水天上来”国宝音乐会$苍岭雁寒$2020-04-01 22:53:08$0$国家宝藏，期期都是经典！
67$34964209$“黄河之水天上来”国宝音乐会$山暮路隐林深$2021-10-09 15:49:41$0$哭死了
68$34964209$“黄河之水天上来”国宝音乐会$Zoe$2022-01-28 19:23:10$0$一百昏一百昏！
69$34964209$“黄河之水天上来”国宝音乐会$荒原$2020-02-18 12:14:59$0$如听仙乐耳暂明
70$34964209$“黄河之水天上来”国宝音乐会$若叶大神$2020-02-16 14:04:13$0$山西鼓！！！最有生命力的表演！
71$34964209$“黄河之水天上来”国宝音乐会$楠$2021-08-01 00:08:41$0$母亲河
72$34964209$“黄河之水天上来”国宝音乐会$哪吒挠我脚心心$2021-01-15 23:01:23$0$真是美妙绝伦逍遥无极生于这片土地至幸
73$34964209$“黄河之水天上来”国宝音乐会$双木$2021-06-17 15:21:00$0$黄河之水天上来。太震撼了。黄河之魂，汇纳百川，流转千变，九曲无回。
74$34964209$“黄河之水天上来”国宝音乐会$- ̗̀ ꪔ̤̥ꪔ̤̮ꪔ̤̫ $2020-05-16 15:00:26$0$又见我最爱的金玥，激动！欣赏着黄河流域从古至今的音乐、舞蹈，上下五千年，太多的不易，也酝酿出太多的伟大，感动呀！！
75$34964209$“黄河之水天上来”国宝音乐会$郭郭$2020-04-21 13:49:07$0$做片子的时候放着听的，弘扬传统文化，可以看看学习学习
76$34964209$“黄河之水天上来”国宝音乐会$懂得方知谦卑$2021-12-19 20:02:57$0$青海 - 四川 - 甘肃 - 宁夏 - 内蒙古 - 陕西 - 山西 - 河南  - 山东
77$34964209$“黄河之水天上来”国宝音乐会$蓝色爱琴海$2020-11-25 21:17:14$0$整场音乐会看得我心潮澎湃，伟大的母亲河是那么波澜壮阔又那么温柔清澈。黄河沿线九大国宝，每一场演出都充分地散发了中华文化的强大魅力，邀请宗次郎先生足见我大中华包容的广阔胸襟，当黄河和故乡的原风景响起，心灵感觉都受到了洗涤。我最爱的演出是盘鼓舞《相和歌》，女孩子们都太漂亮了，跳得既轻柔又有气质，既整齐又灵动，我好似看到了赵飞燕一样，大汉王朝气势磅礴，不愧是我华夏文明神州大地，当女孩子们对着张国立老师那轻轻地一行礼，美得我顿失言语，我不禁大骂现在古装剧里女演员的行礼，实在太东施效颦了。我第二喜欢的是孔子唱歌念诗那个节目，真的气势真的长知识，我不禁感慨中国真的好富有，我们年轻的上下五千年每一个阶段都精彩纷呈！
78$34964209$“黄河之水天上来”国宝音乐会$樱花🌸$2021-06-26 21:25:52$0$真排面！！！多多益善！黄河取水感人！已认证国家宝藏是一个音乐节目🤩
79$34964209$“黄河之水天上来”国宝音乐会$唐婉辞$2020-03-16 02:00:42$0$因为葱省继续消费圣人扣一星。
80$34964209$“黄河之水天上来”国宝音乐会$Vingo$2022-03-26 11:14:00$0$黄河宁，天下平。
81$34964209$“黄河之水天上来”国宝音乐会$贝小康$2020-11-14 21:05:40$0$这次的文物比起前面的档次差了好多，舞台虽然新时代下可以明显看出科技的进步，但是审美一直没提高。最后的各河段水样，前面几个还是觉得实在的，后面大量的水样过滤了多少次观众难道心里没数吗？自己拍的取样场地水都这么浊，拿到台上就变矿泉水了，后面河段黄水屈指可数，没几个实在的。观众当然知道黄河已经今非昔比了，但也不至于最黄的河段水比长江、珠江还清澈
82$34964209$“黄河之水天上来”国宝音乐会$（*^_^*）$2021-05-18 05:17:27$0$良心之作！
83$34964209$“黄河之水天上来”国宝音乐会$莫奈的眼镜$2020-02-15 18:36:45$0$"太优秀了！！！语言无以言表！！！坐等明年第三季！！！希望2021年把""滚滚长江东逝水""安排上！！！"
84$34964209$“黄河之水天上来”国宝音乐会$lalala三只小猪$2022-01-15 15:42:29$0$老家上镜
85$34964209$“黄河之水天上来”国宝音乐会$傀儡谣$2021-01-01 09:59:04$0$美晕过去醒来又哭晕
86$34964209$“黄河之水天上来”国宝音乐会$南乡子$2022-05-18 20:29:23$0$每个节目都泪目
87$34964209$“黄河之水天上来”国宝音乐会$花花$2020-02-18 19:23:24$0$这么少人？不合理呀！！！既然我们上不了天，我们就把日月星辰踩在脚下，飞舞而歌，爱了爱了～
88$34964209$“黄河之水天上来”国宝音乐会$宿云微$2020-10-01 19:26:16$0$真的很震撼，好喜欢国家宝藏这个系列的节目，每次看都令人惊艳，节目中的文案真的很优美，也很能体现出中华文化的深厚底蕴，博大精深。还记得17年那会，刚看完第一季就去了陕博，去真切的感受了大唐遗宝的魅力。文物是我们与古人最直接的接触，不应该只将其陈放在那无人注视的角落，而应让它时刻展现在我们的生活中，期待第三季。
89$34964209$“黄河之水天上来”国宝音乐会$哈尔移不动城堡$2020-02-10 16:17:50$0$国家宝藏是过年期间我唯一能静下心来欣赏的音乐和舞蹈表演。
90$34964209$“黄河之水天上来”国宝音乐会$说起来有些下流$2020-02-13 22:06:16$0$这期实在太波澜壮阔了
91$34964209$“黄河之水天上来”国宝音乐会$特搜战队茉莉花$2023-02-05 14:58:42$0$震撼
92$34964209$“黄河之水天上来”国宝音乐会$cobblestone$2021-02-28 17:50:29$0$特别棒的策划角度，虽然选出来的宝藏比正片档次略低，但都记载着我们千年不断的文化，值得更多人看到
93$34964209$“黄河之水天上来”国宝音乐会$秦时暮$2020-06-13 14:37:14$0$主旋律的好看，满分作文。
94$34964209$“黄河之水天上来”国宝音乐会$StephenCurry$2020-02-14 15:20:22$0$黄河之美 音乐气象
95$34964209$“黄河之水天上来”国宝音乐会$双木鱼$2020-02-17 18:17:39$0$一场无与伦比的视听盛宴，而且很长（我分了三段才看完）印象最为深刻的是：开场曲《象王行》（继《水龙吟》《九州同》之后，我最爱的曲子，最后的合奏真的有盛世重现、万国来朝的气势）青海省的《河之源》（环佩叮当的声音好像贝壳的敲击声）四川省的《相和歌》（盘鼓舞实在是一种融合了力量与优美的舞蹈，节奏感极强）陕西省的《丝路载乐》（国家队的实力不容置疑）山西省的《黄河船夫》（山西的大鼓的确敲出了黄河的气势，真的是“大地的心跳”）
96$34964209$“黄河之水天上来”国宝音乐会$Eternity.月$2020-02-11 16:15:12$0$我爱了！！
97$34964209$“黄河之水天上来”国宝音乐会$我为什么总在饿$2021-01-12 19:58:06$0$打卡
98$34964209$“黄河之水天上来”国宝音乐会$不见森林$2020-11-30 20:32:58$0$艺术
99$34964209$“黄河之水天上来”国宝音乐会$喜欢$2021-02-27 21:45:57$0$国家宝藏，认识了中国的文化
100$34964209$“黄河之水天上来”国宝音乐会$StephenCurry$2020-02-14 15:20:22$0$黄河之美 音乐气象
101$34964209$“黄河之水天上来”国宝音乐会$双木鱼$2020-02-17 18:17:39$0$一场无与伦比的视听盛宴，而且很长（我分了三段才看完）印象最为深刻的是：开场曲《象王行》（继《水龙吟》《九州同》之后，我最爱的曲子，最后的合奏真的有盛世重现、万国来朝的气势）青海省的《河之源》（环佩叮当的声音好像贝壳的敲击声）四川省的《相和歌》（盘鼓舞实在是一种融合了力量与优美的舞蹈，节奏感极强）陕西省的《丝路载乐》（国家队的实力不容置疑）山西省的《黄河船夫》（山西的大鼓的确敲出了黄河的气势，真的是“大地的心跳”）
102$34964209$“黄河之水天上来”国宝音乐会$我为什么总在饿$2021-01-12 19:58:06$0$打卡
103$34964209$“黄河之水天上来”国宝音乐会$NO.1SG$2021-04-04 16:14:59$0$守护黄河，守护中华
104$34964209$“黄河之水天上来”国宝音乐会$天舒$2021-07-27 19:43:21$0$大开眼界，大为感动。大力宏扬中华文明。
105$34964209$“黄河之水天上来”国宝音乐会$圆呼隆$2021-01-25 22:36:39$0$文明的力量，历史的沉淀，歌舞的魅力，文字的共鸣。越看越觉得自己无知，能做出这样节目的人该有多优秀啊！
106$34964209$“黄河之水天上来”国宝音乐会$ni$2020-02-19 01:19:32$0$名副其实的大型音乐探索节目 年初五无意中听到电视在播节目里的敕勒歌 立刻搜搜搜 发现了国家宝藏这个国家宝藏😝至今刷完了所有 2020第三季 我很期待！！2020.2.18下午+晚上
107$34964209$“黄河之水天上来”国宝音乐会$小兔兔哥哥$2020-02-07 23:50:58$0$每次看《国家宝藏》，都是深深感受到中华文明的厚重。五千年不断的文明，唯我中华儿女。昨天，今天，明天，中国无论如何变化，我们的根永远在这里，中华文明会在包容、开放、融合中永远延绵不断。黄河宁，天下平！
108$34964209$“黄河之水天上来”国宝音乐会$幸运的小李子$2020-06-16 04:01:21$0$良心综艺，全程泪目。希望以后有越来越多的这样的节目。^
109$34964209$“黄河之水天上来”国宝音乐会$冢虎$2020-07-10 16:31:12$0$最有感觉的是宗次郎、陕西和山西三场，尤其是宗次郎，给人的感觉就是真正的虔诚，怀着深深的爱。槽点有两个，一个是鸡汤太多，总是趁机输出价值观和灌鸡汤。还有一个就是取每一段的黄河水凑成黄河，难道没人发现除了极个别外，其他取的都是水电站和水利工程的水吗？选精和集萃后的结果有多少代表性？可想而知。
110$34964209$“黄河之水天上来”国宝音乐会$MOREMORE小俗$2020-02-12 00:18:49$0$超级爱。就是文物太多，记不太住，音乐舞蹈节目非常好看。最后那几十家文博单位带着黄河水出来真是要泪目了。
111$34964209$“黄河之水天上来”国宝音乐会$Maxiris$2020-02-08 08:01:18$0$太快了，对几个宝物都没有留下印象。最后取黄河水那里令人感动。什么时候来个长江流域城市合集？
112$34964209$“黄河之水天上来”国宝音乐会$韩荻$2020-11-28 18:09:39$0$悦耳悦目悦心
113$34964209$“黄河之水天上来”国宝音乐会$紫笋$2020-02-13 20:44:49$0$看了两遍，超赞
114$34964209$“黄河之水天上来”国宝音乐会$过路人$2021-02-12 14:03:04$0$重温好评。
115$34964209$“黄河之水天上来”国宝音乐会$北京烤鸭生$2020-02-08 20:57:58$0$太美好了！
116$34964209$“黄河之水天上来”国宝音乐会$向小园$2021-07-16 17:22:35$0$京歌也好聽(ง •̀_•́)ง
117$34964209$“黄河之水天上来”国宝音乐会$momo$2020-06-10 20:24:55$0$满分的文案，满分的舞美，满分的编导，满分的演员，看下来全程满满的感动。期待2020年的第三季，也期待“滚滚长江东逝水”的长江国宝音乐会
118$34964209$“黄河之水天上来”国宝音乐会$啊呜$2021-01-15 21:16:28$0$我的眼泪不值钱！！！！国宝从没想让我笑着出去！！！！
119$34964209$“黄河之水天上来”国宝音乐会$随机跳水$2021-01-10 16:49:26$0$邀请每个人都去看 不看后悔一百年
120$34964209$“黄河之水天上来”国宝音乐会$狗佛陀$2021-02-11 10:47:57$0$补档了 期待今年的
121$34964209$“黄河之水天上来”国宝音乐会$阿鲸Hval$2020-04-04 18:46:35$0$每次看国家宝藏系列都会为五千年的华夏文明激动不已，黄河之水天上来，期待第三季！
122$34964209$“黄河之水天上来”国宝音乐会$你是我梦里$2020-02-24 18:20:10$0$虽然是为了完成作业才看的，但看到最后发现确实很好看。
123$34964209$“黄河之水天上来”国宝音乐会$洛枫$2021-02-25 17:22:36$0$黄河之水天上来，奔流到海不复回。黄河清，天下宁！
124$34964209$“黄河之水天上来”国宝音乐会$饮粲$2020-09-13 16:18:08$0$我更喜欢这个啊！
125$34964209$“黄河之水天上来”国宝音乐会$Cornucopia$2020-12-17 12:46:19$0$看到最后黄河水的流传 汗毛都竖起来了 
126$34964209$“黄河之水天上来”国宝音乐会$晴天落下雨滴$2021-12-26 16:57:13$0$我们正年轻，上下五千年
127$34964209$“黄河之水天上来”国宝音乐会$一宅三生$2020-06-14 20:28:14$0$中国民族传统艺术之美展现的淋漓尽致，酣畅也
128$34964209$“黄河之水天上来”国宝音乐会$smartStar$2020-02-18 23:43:25$0$很有意义，第一次真正了解了黄河，从她得源头到入海，流经的省市，孕育的文化，诞生的历史，音乐或恢宏大气或朴实无华，很精彩。
129$34964209$“黄河之水天上来”国宝音乐会$Love✨社恐本孔$2020-03-22 17:51:53$0$黄河之水天上来，奔流到海不复回。如果我们上不了天，我们就把日月星辰踩在脚下。凡大乐者，必有鼓之震颤。万里黄河那是大地脉搏，是大地的心跳，是大地的声音……
130$34964209$“黄河之水天上来”国宝音乐会$飞鸟与鱼$2020-02-18 09:02:25$0$天籁之音!
131$34964209$“黄河之水天上来”国宝音乐会$木棉$2022-04-19 22:39:46$0$音乐 舞蹈和国宝盛宴。
132$34964209$“黄河之水天上来”国宝音乐会$Hao Hao$2022-05-03 08:42:32$0$还希望是纯享版来着……这也不能算音乐会吧
133$34964209$“黄河之水天上来”国宝音乐会$斑马斑马shj$2020-02-20 20:56:30$0$"       我时常感叹与国家宝藏带给我的震撼与感动。这次以黄河为线的音乐会依旧如此，突破传统的以年代为线索的纵向介绍，这次改为以地理为线索的横向介绍。        印象中的唯一一次与黄河的邂逅不过是坐着绿皮火车往北走的惊鸿一瞥，黄河对于我而言的意义更多的来自课本，中华文明由此诞生，中华民族在这片土地上生长。我想对于国家宝藏感动的点也大多来自于这里，我们是在中华大地上成长的中国人，无论祖国何处的文化，何处的历史，对于我们而言都是相同的根。         另外这个音乐会以国宝为载体，展现了许多传统艺术，从开头到结尾鸡皮疙瘩都没有下去过，除了震撼不知道用什么词来描述。"
134$34964209$“黄河之水天上来”国宝音乐会$半生笛$2021-09-06 21:07:38$0$央妈一出手就知有没有！！！
135$34964209$“黄河之水天上来”国宝音乐会$忘川$2020-02-16 18:00:29$0$在文化的传承与传播上，央视永远是爸爸！
136$34964209$“黄河之水天上来”国宝音乐会$表里俱澄澈$2020-06-19 21:30:17$0$太棒啦 每次都心潮澎湃～喜欢敕勒歌，心应胡弦曲子～
137$34964209$“黄河之水天上来”国宝音乐会$Xuanxuanyiniao$2020-12-16 21:33:07$0$补标，春节看。
138$34964209$“黄河之水天上来”国宝音乐会$顾兔云初蔽$2020-08-05 23:22:32$0$相当惊喜了，很热闹很有意义！
139$34964209$“黄河之水天上来”国宝音乐会$momo$2020-08-22 13:49:51$0$“黄河之水天上来，奔流到海不复回”作为甘肃人，黄河真的是印刻进血液的母亲河，自然也就最期待来自甘肃的文物。说实话，身为甘肃人，炳灵寺我还没去过，但在电视上看到就已经很震撼了。「这尊无量寿佛，守护了黄河水最后的清澈」，陶笛独奏《大黄河》闭上眼仿佛真的感受到扑面而来的黄河气息，温柔，包容又不失力量。听完就想立马出门去家门口的黄河铁桥上看看哈哈哈。不过最令人感动的还是每一管来自各个流域的黄河水，青海源头清澈甘甜，途经青藏高原，来到黄土高原，黄河水也变成了熟悉的颜色，最后入海又回归本色，相比于几十年前，黄河水真的变清好多啊！黄河宁，天下平国泰民安，海晏河清最后想说“干了这碗黄河水，来生还在种花家”ps.竟然还看到了哈拉桔哈哈哈，脸上有点肉更好看啊，get到了像郭麒麟哈哈哈
140$34964209$“黄河之水天上来”国宝音乐会$空空如也$2022-10-20 01:00:21$0$听着想哭T﹏T
141$34964209$“黄河之水天上来”国宝音乐会$九下满垒$2020-12-25 14:25:38$0$泱泱中华山河壮美
142$34964209$“黄河之水天上来”国宝音乐会$無遠弗屆$2020-09-03 17:39:48$0$众所周知，国家宝藏是一档音乐节目，哈哈。看完节目只能说，央视爸爸牛!中华文化牛!
143$34964209$“黄河之水天上来”国宝音乐会$可乐没气$2020-02-08 15:21:40$0$太好听了
144$34964209$“黄河之水天上来”国宝音乐会$Joshua$2020-02-15 20:36:10$0$宗次郎都请来了，好棒~
145$34964209$“黄河之水天上来”国宝音乐会$弥之$2021-06-13 12:28:37$0$还需要解释吗？不需要解释了。
