$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$3037329$遥望南方的童年$窗边的小豆豆$2019-08-13 21:05:29$1210$这个片子，我想打一万分。推荐所有人去看。如果以后等我退休后 中国还是有这样的地方 我会考虑去；如果是成为坐拥财富者，我一定要去建学校。实际上大学时代支教过两次，当时环境不比片中好 甚至当时一个地方连电和水都不同。这也就是十多年前的事情 历历在目，有一个当时只有四岁的小朋友一直和我保持联络到现在。这片子让我回忆起很多那时候的时光，特别感动，片中这老师太值得倾佩。虽然我拿我们这些博士的学术成果对社会的贡献来比较他的教书育人对社会的贡献是不妥帖甚至是无法比较的，但是我的确深感我自己对社会的贡献还远不及他的九牛一毛，尽管他连普通话都说不标准，但这却更显示出来了这位老师的高尚之处。感谢大象放映室让我了解到这部片子。
1$3037329$遥望南方的童年$局外人psy$2018-12-23 22:55:36$349$真实到可怕，这就是我的童年，这就是农村教育现状。
18$3037329$遥望南方的童年$疏影$2016-10-12 09:52:49$16$减一颗星，给浓浓的主旋律味道。易老师的形象太高大上了！
19$3037329$遥望南方的童年$豆瓣逗你妹$2019-02-16 13:07:56$12$"悲凉。走出农耕时代，家长不再被束缚在土地上，孩子也不再被视为储备劳动力，甚至被视为身外之物。

教育是一个极其漫长的过程，如果获得教育收益的机会被金钱、关系垄断，居于底层的阶层让孩子接受教育的意愿就更低。"
20$3037329$遥望南方的童年$方枪枪$2020-06-21 16:42:39$5$看完只能说，如果说之前还是教育改变命运的话，那现在只能说通过读书向上晋升的通道已经越来越窄了。
21$3037329$遥望南方的童年$辛佑齊$2009-02-16 02:10:14$59$惊艳！
22$3037329$遥望南方的童年$Singin'in rain$2019-08-18 00:28:36$66$近来看过的最朴实纯粹的作品，非职业演员在导演优异的调度下，奉献出了鲜活的表演，感人至深。看完全片，才能明白“遥望南方的童年”这几个字的分量有多重，推荐给所有人。
23$3037329$遥望南方的童年$sylvia萌$2018-12-02 21:44:20$54$哪里是写实，简直就是真实！有生涩粗粝感，但真实同样感人。
24$3037329$遥望南方的童年$bird$2020-02-18 21:16:52$23$导演未来的仕途不忍直视啊。
25$3037329$遥望南方的童年$禾希食反$2018-12-14 22:47:20$14$可以看到有的地方还是做了妥协
26$3037329$遥望南方的童年$莱尼圆$2019-10-06 00:59:33$11$导演易寒的处女作，拍摄仅用了19天，全都是非职业演员出镜。被评价为“朴素天下莫能与之争美”，以留守儿童为题材，主要反映了当时的农村教育和生活状况。时至今日，留守儿童依然是一个复杂的社会性问题，根源是社会资源分配的严重失衡，而孩子在父母缺失及教育落后的环境中成长，最后人生之路也变得异常艰难，从而形成恶性循环。
27$3037329$遥望南方的童年$包子$2022-08-20 02:07:32$9$有种纪录片式的真实粗粝感。留守儿童和他们的家庭各有各的无奈和不幸，不过我更在意的是女性更多地承担了隐形的劳作。易老师风风火火办幼儿园和收留留守儿童的背后，是他的妻子承担了日常的教学和做饭、打扫、照顾等工作，这些事无限重复、繁杂、辛劳，电影不会着重拍摄，但这才是支撑起易老师的善良的重要因素。被易老师感动的同时，别忘了妻子巨大的、无形的、没有酬劳的付出。同样的，秀秀的伯父一口答应让秀秀留下，伯母却反复重申她不会管，因为她很清楚，男人在育儿上的“慷慨”和“善良”是以牺牲女人为代价的，如果秀秀留在家里，必然是她承担更多甚至全部的养育工作。
28$3037329$遥望南方的童年$闵思嘉$2020-10-08 17:31:52$1$虽然糙，虽然配乐过满过硬，但也真是动人，结尾结在深圳就好了，后面太拖，一些为了掩盖非职业演员的大全景处理，反而成为了这个故事的系统。那些故事，对于我们而言，也只能是远望的景观。
29$3037329$遥望南方的童年$cnniuge$2022-05-17 20:25:44$2$留守儿童，十几年后很大概率成了（二加一）和青年，这两年又大概率被闲在家。童年被拍成电影被人可怜。让孩子们跟着打工的父母就近上学不行吗？不行，因为你是农民。
30$3037329$遥望南方的童年$这名儿我已注册$2019-08-31 11:28:25$38$"我想你的时候，会坐在樟树下等你，
因为你告诉我，你几天就回来了。
我问你，南方是哪里？
你告诉我，山的那头就是深圳。
而，你回不来，我过不去。"
31$3037329$遥望南方的童年$今言$2019-01-03 06:21:33$15$"帝都关闭了打工子弟学校，这些""低端""学生回到老家一样成为留守儿童。"
32$3037329$遥望南方的童年$漏斗$2020-05-15 18:34:32$20$"真实，原生态。这么真实自然的电影，国内基本没有了。
评分这么高，不知道为什么没有上豆瓣TOP250，是因为评分人数不够3万还是？另外一部背对背，脸对脸评分9.4，评分人数6.7万，同样也没有上豆瓣TOP250。奇怪。
豆瓣250现在深度和广度都不够，应该把这两部电影列入TOP250。把250里面大多8.5—8.7分的电影删掉，还有大把评分人数1万以上，评分9.0以上，没有进入TOP250的电影。
多加一些顶尖的好片，按评分选250，而不是按热度流量知名度选出TOP250，我感觉更客观一些。
"
33$3037329$遥望南方的童年$💝Dorothy🫧$2019-03-29 22:50:10$13$我实在不明白这些人都是怎么想的，生出来不养不陪伴，为什么要生他们出来？！！越封闭的环境就越多这种小孩成长在没有温暖和爱的家庭还经常受到伤害，为什么不能教育一下
34$3037329$遥望南方的童年$立冬$2019-09-13 14:51:03$18$因为真实所以温暖，中国的乡村教育和留守儿童问题严峻到不忍心看这样的影片，当我们一遍遍谈中国梦时候，可曾想过几百万个偏远村落的孩子，生而不养，养而不育，育而不教，剧中有些父母所为让人气愤但又何尝不是迫于生计，生活从来都不是轻松的事情，尤其对他们。易老师用一种近似伟大的平凡坚守者这个看似很小实则伟大的梦想，帮助了一个小孩，就帮助了整个世界，中国的基层教育事业还有太多这样默默付出的人，只希望，我们谈中国梦，谈世界第二大经济体时候，记得所有微小的个体。
35$3037329$遥望南方的童年$易思棠$2021-10-10 21:21:55$1$三星半，有某些经历的我还是被煽到了，有纪实感的剧情片。
36$3037329$遥望南方的童年$みつい ひさし$2019-01-27 22:54:33$7$民生问题啊 第一批留守儿童都已经长大成人了
37$3037329$遥望南方的童年$花开有声$2019-09-06 09:41:58$3$一部西部乡村电影，朴实无华大爱无疆，整个社会的人都在急匆匆的往前走，谁来管这些无辜的孩子呀！
38$3037329$遥望南方的童年$Andy$2010-03-27 03:17:49$2$和菜头推
39$3037329$遥望南方的童年$小楼。$2019-08-28 14:08:37$5$很简单的一个留守村庄办幼儿园的故事。拍的很粗糙，但很感动。在我们的意识之外，又在想象之中。高尚是高尚者的墓志铭。
40$3037329$遥望南方的童年$安$2019-09-03 10:18:55$24$我们到底什么时候忘记了这种会呼吸的有生命感的电影，因为好莱坞，国产电影如今也成了如尸体一般冷冰冰却精致无比的机械物。我们在形式主义的道路上越走越深，却忘了当初那份拍电影的初心和悸动，电影就这样成为了单纯的消费品。
41$3037329$遥望南方的童年$Immortal$2021-01-02 14:18:14$10$2021第一部。一顿吃四碗米饭的留守儿童，不知道吃战斧牛排能吃几块呢。
42$3037329$遥望南方的童年$光影一路同行$2018-11-04 19:04:40$13$易老师夫妇真是善良啊，那么真那么让人动容，整片乡风也是，淳朴得很真。原生态佳作，片名似是而非，但留守儿童的困境却并未让我丧气，因为这块土地上还有善良倔强的根。
43$3037329$遥望南方的童年$好大的棉花糖$2018-11-25 12:56:55$7$"一个当代陶行知，一部创业辛酸史。
矛盾冲突的埋伏和衔接出色，场面调度、台词对白、节奏剪辑都不错，业余演员的表演也过得去，泼辣媳妇们完美呈现嘴狠心热。
四个画面：瘦根拉板车、老易骑飞车、车站别秀秀、山顶望南方。"
44$3037329$遥望南方的童年$temur$2019-10-07 19:21:33$4$农村留守儿童老人普遍生活的都很糟糕---------导演良心制作·辛苦！
45$3037329$遥望南方的童年$lee$2011-08-13 22:35:19$12$宜春话，家乡话，印象深
46$3037329$遥望南方的童年$大🉑️$2022-12-26 17:55:05$4$1.07年我也才9岁，应该是在易老师的小学课堂里呆若木鸡。后来村小被撤，很多老师本来也没资格证，一些老师都回家种田了。感谢我妈，在6年级的时候送我去县里读书。感谢知识，感谢自己没放弃自己。2.至于前两天做梦还梦到那个水泥房学校呢～～说来也奇怪，都是些长大后的事情，可是都发生在那个村小里。3.只能说里面的一个个小人物都太真实了，真实滴让我想起我们村的某人某事～～早孕的女孩子，离婚的夫妻。4.而深圳，显然已经成了某种符号。以前是广州和东莞。我姐姐就是厂妹。5.看评论说我们这个社会坚韧，我们这个民族伟大。不是的，是我们这个民族太多苦难了。
47$3037329$遥望南方的童年$小樽$2019-08-31 21:56:06$3$希望更多人看到这部。
48$3037329$遥望南方的童年$锐涵君$2019-09-02 23:42:37$8$我就是宜春人，全程不用看字幕…看得我心情复杂，哀其不幸，怒其不争！我觉得我很幸运，从小到大父母都在我身边。
49$3037329$遥望南方的童年$槑槑$2019-08-13 19:37:34$9$看到办一个幼儿园需要“幼师资格证和校车”条件，导致易老师的幼儿园办不下去，扎心了。面对这些孩子政府有解决办法吗？没有。
50$3037329$遥望南方的童年$MHK$2019-06-02 09:11:01$3$一代一代的留守儿童……
51$3037329$遥望南方的童年$妍春$2019-08-27 23:18:23$6$纪录片风格的剧情片，中国农村一线模样的实录，演技生僵尴尬却很投入（相比《村戏》），可谓原汁原味，比之更偏艺术风格的《一个都不能少》《孩子王》《那山那人那狗》《我的九月》《伴你高飞》有更近的贴切感，却也失去了如《四个春天》一般的记录实感。成片的评分很高，大概是勾起了许多人对农村的回忆与记忆，但冲击力却并不负9+的盛名。
52$3037329$遥望南方的童年$白天星$2022-06-26 12:21:27$0$光明的尾巴！@#￥%……&amp;*（）
53$3037329$遥望南方的童年$陌上长歌$2019-09-29 16:40:03$7$最令我惊艳的是最后字幕出现，竟然都是非专业的当地人员出演，可以说非常的接地气了，这种电影我认为如果重新公映，一定会取得很好的成绩，对人物的塑造也很棒，虽然师母经常抱怨，但关键时刻总是能够做出最理智的选择，无关乎金钱，只因为最心底的善，剧情虽然平平淡淡，但却是道出了偏远农村留守儿童最真实的教育现状。
54$3037329$遥望南方的童年$最后一代$2009-02-25 00:12:19$3$以李小棚为原型的么？
55$3037329$遥望南方的童年$黑骨精$2020-10-08 16:23:44$0$不快乐的童年，茫然的少年与青年，努力振作的中年和无所为无所依的老年，汇集在孤零零的乡野村庄，充满乡愁，又饱含悲悯。
56$3037329$遥望南方的童年$levitating$2008-04-24 16:09:28$3$学阿巴斯
57$3037329$遥望南方的童年$影君子$2022-04-14 16:06:27$1$太像老家了...
58$3037329$遥望南方的童年$德州没有巴黎$2019-11-26 00:13:36$3$低成本，非职业演员，真人真事改编而成，沉重而现实的问题：农民工和留守儿童，绕不开的乡愁。调度和运镜也异常简单，导演选择用固定机位而摒弃手持肩扛作为影片的主摄影风格就是想要明明白白的告诉观众：我拍的是故事片，不是纪录片。在动人的故事面前，瑕疵完全不值一提。我坚信最伟大的电影可以让观众完全忽视它技术层面的缺陷，这也是低成本依然可以出杰作的原因，四星半。
59$3037329$遥望南方的童年$琐积$2022-09-04 07:01:50$5$"像纪录片一般自然真实的电影。非职业当地演员更具有真实情感，更令人身临其境，引起共鸣。

以小学易老师宣传幼儿园，安排人力校车，妻子做饭教课后因倒贴且无公交和幼师证而停办为主线，揭露了很多偏远农村的问题：
幼儿园实际上为留守儿童和父母忙碌的孩子一个托儿所。
当地人迫于生活无奈都想着打工赚钱，而对教育不重视。常年为家在外打工却换来与丈夫与女儿产生隔阂。
出外打工闹了大肚子嫁到农村，嫌这里穷，撇下孩子逃了。

几个泪点：
为家辛苦赚钱却换来了，丈夫绝情出轨，女儿不喊妈妈。
因为骂陀陀使他走丢，李响决定不打工当歌星了，而是读书考幼师证。
幼儿园停办后，易老师看到陀陀婆婆瞎了不忍留她照顾，把被邻居女儿嫌弃的秀秀接回家，妻子抱着婴儿同意照顾让他去找孩子的妈。
站到山上指着南方说那是深圳。"
60$3037329$遥望南方的童年$怪物|blues$2019-08-13 09:34:11$4$时代的良心
61$3037329$遥望南方的童年$一生所爱$2019-09-17 08:31:54$3$这么好的片子，竟然才看见！
62$3037329$遥望南方的童年$P猪大侠$2022-09-02 17:55:58$2$"“说实话，我对这片土地没有丝毫留恋。”农民，中国自古最庞大的群体却是一种被逼无奈的存在。

——摘自豆瓣《乡村里的中国》热门短评"
63$3037329$遥望南方的童年$找不到灯塔$2019-07-07 13:49:32$5$太真实了，仿佛看到自己的童年。
64$3037329$遥望南方的童年$青石$2023-01-26 22:22:38$0$兔年大年初五。留守儿童的真是写照，父母都在深圳打工，儿童留在了乡村，遥望南方的童年。易老师大慈大悲，长命百岁。感动的点有三，易老师拼命找坨坨，在大树底下找到了，因为坨坨爸妈在那里和他道别，并骗他说过几天就回来。李响主动向易老师承认错误去报考师范，立志当幼师。易老师送完孩子后回去路上去接了秀秀一起回家。
65$3037329$遥望南方的童年$巴喆$2021-11-28 12:06:39$1$欠缺点电影质感，囿于制作成本，但处女作能做成这样，完成度还是很高的。这取景太地道了，固定镜头很扎实，浓郁的田野乡土味道，配乐的指向性煽情太过明显实为一大败笔。回望当年还是大拆大建的胡温时代，那些关于农村留守儿童的影像纪录，都是时代政策在推动着，以及当年的超级女声是真的火！处女作如此非常了不起！7.5
66$3037329$遥望南方的童年$Eigagann🇨🇳$2022-01-21 21:34:35$1$好心酸又可爱的电影，9.4的评分令人欣慰。真想买一大堆好吃的给小陀陀吃。
67$3037329$遥望南方的童年$顽童猫$2020-02-10 23:25:20$1$真实故事。可敬！可叹可悲的贫困农村。
68$3037329$遥望南方的童年$芃芃$2019-08-18 16:28:41$4$哭了，家长那边的方言太真实了
69$3037329$遥望南方的童年$初音大西王$2021-10-11 01:53:26$3$8.5分，赞同一些友邻的看法，这种电影确实不需要太注重什么技法，简简单单的就是好电影，不过豆瓣打到9.4分还是太夸张了，这都和《茶馆》《脸对脸，背靠背》《高山下的花环》一个档次了，但本片明显与上述这些电影还有差距。虽然这部电影令许多豆友感同身受，但打分还是稍微克制一下的好。
70$3037329$遥望南方的童年$深情的艾老师$2019-11-04 19:54:18$2$底层无声的呐喊 为什么还要生孩子？
71$3037329$遥望南方的童年$Xingxing ZHANG$2020-05-22 23:59:47$1$不错
72$3037329$遥望南方的童年$薰素$2019-01-08 16:12:03$6$很真实，很心酸却谁也不能怪，因为这就是历史碾过的痕迹。在山上看南方的时候作为结束更好。
73$3037329$遥望南方的童年$一实$2020-03-24 00:09:13$1$特殊时代的悲剧！也涉及儿童心理，坨坨被冤枉的那段，以及结尾遥望南方的表情，相对幼小的坨坨对时间无概念，才能展现出期盼的笑容，年长些的秀秀就完全没有了那种乐观，只剩下些许落寞的沉默……
74$3037329$遥望南方的童年$木石子$2022-12-04 19:17:04$0$这个世上只有一样东西可以超越地域、风俗、语言，那就是贫穷。
75$3037329$遥望南方的童年$判官$2019-09-01 11:23:19$4$导演在偷窥我的童年
76$3037329$遥望南方的童年$yo$2022-10-09 00:15:33$0$不错，中国需要这种反映社会现实、描写底层人民生活困境的电影。希望多一些这样描写留守儿童弱势群体的电影，温情而又感人。
77$3037329$遥望南方的童年$春山$2022-04-16 10:12:07$1$易老师是十分好心肠的人，妻子是真的嘴硬心软，在易老师面前抱怨赔钱，做不下去幼儿园，转头就去小朋友跟前摸摸孩子，关怀备至。不知道我会不会成为这样的好人，有这样坚强的心。
78$3037329$遥望南方的童年$凤尾狐$2021-01-10 23:22:37$0$看哭了。我如果做一个乡村老师，大概率会和易老师一样。
79$3037329$遥望南方的童年$funny_vee$2020-02-14 00:40:00$1$是父母出去打工也缴不起小孩学费？还是原本就打算放养到可以打工的年纪？除了男主一家其他人都不觉得有幼儿教育的需求，为什么？也没交代。
80$3037329$遥望南方的童年$龙舌头🌈$2022-06-11 15:43:31$0$客观4.3，感情分4.6星。兼具艺术价值和现实意义、根据真实生活故事改编的、主旋律但发自心内真诚不说教的故事，一位小学老师在村里开办一所家庭幼儿园的大大小小风波和各家各户困难故事。办学不易，带孩子不易，要教好一个孩子、一个大人，更不容易。
81$3037329$遥望南方的童年$杨零度$2021-06-21 21:07:23$0$粗粝，淳朴，感人至深，气壮山河。
82$3037329$遥望南方的童年$葱葱$2022-08-09 22:59:02$1$好久没落泪了，希望这些孩子一切都好
83$3037329$遥望南方的童年$到处是重复名字$2022-10-15 01:25:03$1$b站一个up主解说的很好，西西影馆
84$3037329$遥望南方的童年$魏春亮$2020-01-11 16:37:22$8$"不是说电影拍得有多好，相反，它有很多缺点。可是，在如今突飞猛进的城市化进程下，电影的镜头给了穿越、高楼大厦和小鲜肉，几乎看不到有人用这么质朴的镜头对准农村和留守儿童了。

但这个电影终究是一场梦，不真实的地方倒不在于最后在政府的帮助下重开幼儿园，现实更为残酷的地方是，易老师身边的人都存在（留守儿童、看不起读书的家长、出门打工的父母），唯独没有易老师。"
85$3037329$遥望南方的童年$芽儿$2021-12-12 21:44:21$2$剧情很流畅，人物性格分明，没有表演，都是生活，眼泪在眼窝打转了好久。无私奉献的易老师，嘴上说亏本心里疼惜小孩子的师母，单纯迷茫的李响，无奈的父母，也有不负责任的父母，留守的儿童。砣砣不见那里，师母、李响着急，易老师更着急，做老师的责任真不小，不容易。秀秀的爸爸欠债，妈妈无奈去深圳打工多年，还了债建起来好房子，回来女儿不认她，而老公却早跟别人厮混，离婚了钱拿不回来，女儿也失去了。爸爸拿了秀秀的抚养权，却又把秀秀放在易老师那，去深圳打工，渣男啊。
86$3037329$遥望南方的童年$阿狸呀$2023-01-05 18:54:59$1$南方，就是爸爸妈妈在的地方，过年了，他们就会回来的，坨坨笑了。粗砺真实，我也有曾经遥望南方的小时候。最喜欢李响，不论是参加超女当歌星还是后来的转变，她始终拥有理想并奋力去追逐。
87$3037329$遥望南方的童年$神哥$2020-02-08 20:38:56$2$易老师您那不是幼儿园，是托儿所！！！农村人啊，惯的都是臭毛病！！
88$3037329$遥望南方的童年$xixi嘻嘻$2021-09-22 09:21:19$1$8.31	因为《不期而遇的夏天》要上映了，所以刚好看到说导演之前还有这么一部片子，导演是江西人诶，这个又是宜春的乡村里的。留守儿童的故事，我知道又不知道，毕竟离那样的环境我已经算是很近了，却也不是我的世界，到最后能成长起来都不容易吧，要经历多少意外和人生的转折点，才能挣脱出那里。
89$3037329$遥望南方的童年$非人类shang$2018-08-30 10:36:24$1$质朴、真实、感人，这样的电影可以说非常的原生态了，但所反映的农村儿童的教育问题确实非常值得重视。
90$3037329$遥望南方的童年$不拘此生方寸$2021-03-12 13:33:06$6$"李响其实是个好孩子，易老师人太好了感觉总是替别人考虑，而马老师嘴上刻薄却对孩子们很好。
希望秀秀有一天能喊一声“妈妈”，希望砣砣有一天能等到想等的人。
如果是我的话最后肯定不会接收那个婴儿吧，但是他们只让那个爸爸早点回来。"
91$3037329$遥望南方的童年$勒以悠$2019-06-01 17:00:56$1$每一幕都真实到戳心。留守儿童，农村教育，离婚，跑婚。导演有心了，虽然我未曾经历过一模一样的幼儿园，但是农村生活，却一模一样。
92$3037329$遥望南方的童年$每天都有坏消息$2020-10-21 01:44:55$2$师母不是刀子嘴却是豆腐心，人能干，在背后支持着易老师，羡慕这样的爱情。这些留守儿童，好可怜，他们没做错什么，却一生下来就是这样的命运。那个大嫂话糙理不糙，“有本事生，没本事养”。小孩子都好可爱啊，也好可怜啊。易老师和师母功德无量，功德无量！希望李响能好好读书，做自己想做的事。希望好人一生平安，好人多福报。
93$3037329$遥望南方的童年$今生、唯爱$2022-11-02 02:35:28$2$泪目！虽然拍摄的很粗糙，却掩盖不住质朴与真实！生活啊，好苦
94$3037329$遥望南方的童年$李湘$2021-05-09 00:06:08$0$这个老师真好。留守儿童好可怜。
95$3037329$遥望南方的童年$叩歌$2021-05-08 13:23:13$2$1、居然是一部江西人拍的剧情片，影像确实粗糙，但正是这种质朴贯穿始终，才让人物的处境更加真实；2、由教育的切入口去刺破农村生育的问题，管生不管养，导致了遍地的留守儿童，从宏观上看这是一个时代问题。
96$3037329$遥望南方的童年$四月天$2022-12-09 22:19:49$0$生娃容易养娃难。
97$3037329$遥望南方的童年$梦里诗书$2022-09-27 16:35:12$0$《遥望南方的童年》是一部完全选用非职业演员出境的作品，但它所呈现的一切却是如此的真实。电影对农村教育的聚焦，将留守儿童这一沉重而现实的社会问题摆在了观众面前，粗粝的镜头下，电影诚然有着不少缺点，但从无私奉献的老师，到淳朴稚气的孩子，他们真挚的情感，在今天看来仍旧感人至深。
98$3037329$遥望南方的童年$∑×pe℃t.$2019-09-01 18:34:22$1$故事真实，演员也真实，看得心酸
99$3037329$遥望南方的童年$hensher$2020-03-09 22:43:39$2$这片子应该让在上位者都看看。。。
100$3037329$遥望南方的童年$Haru24601$2022-06-20 18:53:14$0$真实而动人，配乐很灵，非职业演员简直演出了生活本色。导演说，现实其实要残酷得多，好在电影的结局戛然而止了。
101$3037329$遥望南方的童年$十三慕$2019-09-09 19:56:11$1$tm的看得我眼泪都快掉下来了，太tm熟悉了。这家长里短，这穷苦农村，真实存在我的成长之路上。留守儿童比任何人都期盼过年。
102$3037329$遥望南方的童年$xixi嘻嘻$2021-09-22 09:21:19$1$8.31	因为《不期而遇的夏天》要上映了，所以刚好看到说导演之前还有这么一部片子，导演是江西人诶，这个又是宜春的乡村里的。留守儿童的故事，我知道又不知道，毕竟离那样的环境我已经算是很近了，却也不是我的世界，到最后能成长起来都不容易吧，要经历多少意外和人生的转折点，才能挣脱出那里。
103$3037329$遥望南方的童年$不拘此生方寸$2021-03-12 13:33:06$6$"李响其实是个好孩子，易老师人太好了感觉总是替别人考虑，而马老师嘴上刻薄却对孩子们很好。
希望秀秀有一天能喊一声“妈妈”，希望砣砣有一天能等到想等的人。
如果是我的话最后肯定不会接收那个婴儿吧，但是他们只让那个爸爸早点回来。"
104$3037329$遥望南方的童年$于成$2022-04-18 00:46:00$0$有些人太善良了所以活得太辛苦，有些人为啥管生不管养。
