$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$26383524$锁麟囊(京剧)$小浣熊二$2015-05-20 21:38:42$71$"这才是人生难预料，不想团圆在今朝。
18$26383524$锁麟囊(京剧)$momo$2017-05-04 00:55:40$7$满腹骄矜顿雪消，人情冷暖凭空造。我秋美爆
19$26383524$锁麟囊(京剧)$呵呵好吗$2021-11-17 20:57:09$2$这演员排序咋排的，《锁麟囊》薛湘灵是绝对的主角啊，前面三个咋都是丑角和老生，后面迟老板红衣一出，跟李海青的赵守贞红蓝呼应，太美了啊！！
20$26383524$锁麟囊(京剧)$小乙$2019-10-07 20:14:14$6$“只说道铁富贵一生铸定，又谁知人生数顷刻分明……他教我，收余恨、免娇嗔、且自新、改性情，休恋逝水，苦海回身，早悟兰因。”这出戏的好好在明明是俗套，却演得是人生难预料，老掉牙中让人唏嘘。还是不太喜欢京剧，和地方戏比太格格正正了些，梅香逗乐的地方也笑不出来。可能前两天看了太多美人儿，觉得迟版的美哪里欠了点。
21$26383524$锁麟囊(京剧)$YU魚玙$2018-05-05 12:35:48$1$"人间冷暖凭天造 谁能移动它半分毫
"
22$26383524$锁麟囊(京剧)$_心戚/7$2022-12-21 17:31:35$1$人生第一部完整看完的京剧———太动人的故事 太动听的唱腔 （因为听蒋勋说红楼提到的 被安利来）
23$26383524$锁麟囊(京剧)$赵东东$2020-02-04 01:50:49$1$"本来是想看书的，没搜到资源，就看了这，故事看懂了，挺不错，京剧看着也挺好玩的。
我是因为下面这些台词才想看的。
我只道铁富贵一生注定，又谁知人生数顷刻分明。
想当年我也曾撒娇使性，到今朝哪怕我不忆前尘。
这也是老天爷一番教训，
他教我收余恨、免娇嗔、且自新、改性情，休恋逝水、苦海回身、早悟兰因。"
24$26383524$锁麟囊(京剧)$ateat_$2021-12-04 17:05:14$0$给我哭的
25$26383524$锁麟囊(京剧)$南国之风$2022-09-11 01:48:12$0$才知道以前锁麟囊这出剧目也曾经是被批判过的，现在看来不至于，我觉得起码主线是种善因得善果的，毕竟风水轮流转，人生时起时落，谁也无法预测以后会发生什么，人物带有一定封建时代的观念也没太大问题。不过我感觉有几处衔接是有点怪的，让人物形象有所割裂，一处是薛湘灵在家的过分任性和赠囊时圣母般的大方相比，一处是赵守贞的爹推辞了几回就自然地接下了，太像过年接红包时半推半就的你了，还有一处是薛赵相认之前，薛湘灵已经在阁楼看到了，按理她应该马上反应过来卢夫人是谁，后面却非要赵守贞一步一步问出来，也是有种假装谦让的感觉。
26$26383524$锁麟囊(京剧)$樱友藏$2018-05-16 22:40:21$1$看的纪念程祖诞辰110周年的版本。剧本唱词真滴好，非常适合萌新入坑比如我。
27$26383524$锁麟囊(京剧)$烟花易冷$2018-05-05 12:47:29$0$受不了她的歪嘴
28$26383524$锁麟囊(京剧)$杀马特$2021-11-26 21:44:10$2$"“他教我收余恨、免娇嗔、且自新、改性情、休恋逝水、苦海回身、早悟兰因。”
虽然是京剧，但有点想到小时候奶奶拉我去村口戏台看越剧的日子了。想到奶奶帮我抢戏台上戏子抛出的糖果；想到奶奶与我越过杂草丛生的废旧铁轨，去寺庙吃素斋；想到与她走在浣江边，近处是停泊的一叶扁舟，远处是悠扬的曲声。。。这戏曲唱着唱着，把我童年也唱走了。
"
29$26383524$锁麟囊(京剧)$三树$2022-04-26 22:35:55$1$"资料馆2号厅.一进屋老年人有不少，旁边的大爷中途睡着了，但在薛湘灵在花园陪孩子玩的时候醒了，然后手作拉弦状，津津有味。中途有一段孩子想要绿马，我实在是忍不住笑出声，因为和现在的健康宝“绿码”谐音，大爷还侧头看我，心思这有什么好笑的。
看完完整的锁麟囊故事觉得故事编得简单有力，一开始对大小姐的骄矜描得好，而后面的重逢，一而再再而三延宕，穿上旧衣裳的设定太棒了，回首繁华如梦渺，残生一线付惊涛。"
30$26383524$锁麟囊(京剧)$YiQiao$2023-01-09 16:07:40$1$昨天半夜突然起烧 睡不着 迟小秋的薛湘灵举手投足间娇蛮善良娇小姐样子好可爱 听起来又像清甜的泉水 视听退烧了（。//不过就是 一直以来的问题 会唱戏的人不会电影 会电影的人不懂戏 戏曲电影总是看着很别扭
31$26383524$锁麟囊(京剧)$咋咋咋$2023-02-03 21:22:40$0$“回首繁华如梦渺，残生一线付惊涛。柳暗花明休啼笑，善果心花可自豪。种福得福如此报，愧我当初赠木桃。”
32$26383524$锁麟囊(京剧)$momo$2023-03-18 03:16:05$0$湘灵、守贞都美绝了，纯纯的女性戏样本，心善的娇小姐种福得福，发迹的贫女感念旧恩。晶莹剔透、眼波流转，迟小秋美得我差点一口气喘不上来。剧作也相当漂亮，第一折一出，整个人物就立住了。梅香、碧玉两个丫鬟是很好的调剂。春秋亭、三让椅两折节奏好极了。落魄的湘灵让人心碎，“休恋逝水，苦海回身”，朱楼一折，唱词实在伤感。大团圆结局真是太好了。
33$26383524$锁麟囊(京剧)$Spieluhr$2023-01-26 22:34:00$1$古代的女性帮助女性的故事，看个戏还能嗑到美女贴贴～程派的嗓音太适合塑造这种任性富家大小姐，甚至听出了御姐范～可惜还是看不惯那种男尊女卑的时代背景，女主被女二收留后穿得好看，丈夫见到的反应竟然质疑是不是被收二房了... 嘿！我真想暴扣你的狗头
34$26383524$锁麟囊(京剧)$安之炼金师$2020-05-25 14:02:39$0$漂亮！好听！
35$26383524$锁麟囊(京剧)$奶魚$2021-12-22 12:06:54$0$可爱。
36$26383524$锁麟囊(京剧)$momo$2023-04-11 10:21:19$0$补档，他教我收余恨、免娇嗔、且自新、改性情、休恋逝水、苦海回身、早悟兰因。
37$26383524$锁麟囊(京剧)$海寶貝$2023-01-23 22:09:55$1$看的舞台版，同班人马，真好看，真好看，真好看….. 词穷的我只有这3⃣️字经念了
38$26383524$锁麟囊(京剧)$蜉蝣渡海$2020-10-10 08:41:25$1$锁麟囊本来的寓意是祝福出嫁的姑娘，早得贵子麟儿，因为这个故事锁麟囊成了济贫报恩的象征。“他教我，收余恨，免娇嗔，且自新，改性情，休恋逝水，苦海回身，早悟兰因。”还是没有爱上京剧，唱腔太拖了，弹幕有人刷：真想给她个快板让她快点唱。早闻其名，昨晚今晨和妈妈一起观看，和妈妈一起看电影的时光都是好时光。
39$26383524$锁麟囊(京剧)$安宁$2017-08-19 03:39:01$9$"一霎时把七情俱已昧尽，渗透了酸辛处泪湿衣襟。我只道铁富贵一生铸定，又谁知人生数顷刻分明。想当年我也曾撒娇使性，到今朝那怕我不信前尘。这也是老天爷一番教训，他教我收余恨、免娇嗔、且自新、改性情、休恋逝水、苦海回生、早悟兰因。
——《锁麟囊》"
40$26383524$锁麟囊(京剧)$杨清嘉$2021-11-13 15:32:08$0$我想看梅香和碧玉搭台说相声！！！
41$26383524$锁麟囊(京剧)$你的甜心父亲$2019-06-08 11:44:16$0$借地打卡了。看了张火丁和迟小秋两版的《锁麟囊》，两个派别故事稍有不同，但是都非常精彩。超爱灯神哀婉的唱腔，徐孟珂演的梅香也很棒。
42$26383524$锁麟囊(京剧)$香径何寂寂$2021-11-21 17:39:51$0$词句典雅，唱腔优美，故事情节流畅，主角配角都表现好，真是名剧名角，成就经典。
43$26383524$锁麟囊(京剧)$叶隐$2022-08-04 08:48:36$0$这种新戏就是不如老戏耐听，丰荣。没什么精彩的段落，拖拖拉拉的。
44$26383524$锁麟囊(京剧)$曼仔$2019-08-10 01:03:29$1$锁麟囊这戏真是好，看过听过多少遍了，今天翻出电影版看，还是看得津津有味，词、调、情节，都好，翁偶虹是真会写，太扎实了。公允地说，迟小秋不是我的菜，但是十年前的她还是很规矩的，而且唱腔、身段、神态，都功底厚实，做的也到位，后来的就不提了。李海青阿姨是真美！！！果然不是我一个人觉得她像李胜素哈哈哈。徐孟珂真可爱！我也很服气我自己，正经追的京剧演员都是文武丑，一个徐孟珂一个石晓亮。。
45$26383524$锁麟囊(京剧)$虎牙$2020-02-10 00:03:54$0$锁麟囊  2020.1.26 薛小姐  丫鬟梅香，老管家薛良，程派    贫家女赵守贞   春秋亭外风雨暴。  先富带动后富。   无常。
46$26383524$锁麟囊(京剧)$两京倦客$2019-09-15 20:06:34$0$听薛良一语来相告，满腹骄矜顿雪消。这才是人生难预料，不想团圆在今朝。
47$26383524$锁麟囊(京剧)$大宝没在学习$2021-04-29 10:59:09$1$富贵转眼，姻缘宿命。“回首繁华如梦渺，残生一线付惊涛”
48$26383524$锁麟囊(京剧)$叫我觉主(/ω\)$2020-04-16 06:57:39$2$迟漂亮真的太厉害了……人美声美，不知该咋夸……
49$26383524$锁麟囊(京剧)$空幻之星$2020-02-27 00:12:10$0$跟舞台版比少了一些小片断，其中婚前赵家父女的一段似乎挺重要的不该删，那一段对塑造赵女的性格形象很重要。
50$26383524$锁麟囊(京剧)$静影沉璧$2019-03-10 13:40:46$7$有点被震撼。最打动我的片段是薛湘灵答应去卢府为奴后，对胡婆说了三次“要来看我”，说到第二次的时候我就哭出来了，最后一次的时候基本眼泪狂流不止，太难过了。父母皆死（以为的，其实没有），丈夫婢女儿子均下落不明，这种情况下还要去别人的府里当下人，飘零若浮萍，只得一个仆人可以和旧时取得一丝联系。遭此大难仍然清醒，但最让人容易心头软的就是克制中不由得透露出的软弱啊。
51$26383524$锁麟囊(京剧)$雨夜之月$2021-08-07 22:50:45$1$回首繁华如梦渺，残生一线付惊涛。
52$26383524$锁麟囊(京剧)$半颗半方糖$2020-05-08 16:17:14$3$好喜欢徐孟珂的梅香！！！翁偶虹先生的词真好啊，“此时却又明白了，世上何尝尽富豪，也有饥寒悲怀抱，也有失意痛苦嚎啕。”“听薛良一语来相告，满腹骄矜顿雪消。人情冷暖凭空造，谁能移动它半分毫。我嫌不足她正少，她为饥寒我为娇，分我一只珊瑚宝，安她半世凤凰巢。”“这才是人生难预料，不想团圆在今朝，回首繁华如梦渺，残生一线付惊涛。”坐标，登州。
53$26383524$锁麟囊(京剧)$Hot Pink$2021-06-06 01:08:49$0$麻雀虽小五脏俱全最后一段也太好听了
54$26383524$锁麟囊(京剧)$心子$2020-12-17 12:42:48$0$"人情冷暖凭天造，谁能移动它半分毫。
"
55$26383524$锁麟囊(京剧)$LINYINCAT$2018-09-07 22:19:07$3$“一霎时把七情具以味尽，参透了酸辛处泪湿衣襟。我只道铁富贵一生铸定，又谁知人生数顷刻分明。想当年我也曾撒娇使性，到今朝哪怕我不信前尘。这也是老天爷一番教训，他叫我收余恨、免娇嗔、且自新、改性情、休恋逝水、苦海回身、早悟兰因。”
56$26383524$锁麟囊(京剧)$橘子橙子和猫$2022-01-04 21:22:48$0$“我只道铁富贵一生注定，又谁知人生数顷刻分明……这也是老天爷一番教训，他教我收余恨、免娇嗔、且自新、改性情，休恋逝水、苦海回身、早悟兰因。”
57$26383524$锁麟囊(京剧)$Los$2021-12-03 22:01:52$0$程派/b站国家大剧院迟团版 有个梅香跳戏的互动还挺喜欢的 感觉为了传播做了很多努力…
58$26383524$锁麟囊(京剧)$两分半$2022-06-13 14:49:16$0$看得很爽。上一轮疫情前在电影资料馆看的。
59$26383524$锁麟囊(京剧)$野原新子$2022-04-26 21:35:40$0$"#0426电影资料馆#
挺好的，而且是说得出来的那种好。第一是故事情节虽然有些俗套，但人物刻画不失细腻。薛小姐出阁前百般挑剔锁麟囊，但经老夫人稍稍提点，薛小姐就意识到自己折腾老仆，难免娇纵；胡婆作为唯一没被退货的家仆，足以见得对薛小姐品味拿捏得准。而后薛小姐落难，经她帮衬到了赵守贞家里也是水到渠成。第二是由女性情谊串连起中国人朴素的世界观和文化价值取向自然合理。锁麟囊既是老夫人作为母亲对出阁女儿的深情，又是薛小姐和赵守贞之间同为女人的惺惺相惜，同时还暗暗关联封建时代女性社会和个人价值的圆满（生儿子）。一个小物件几乎把整个中国社会伦理、价值取向、文化情感、生命智慧尽数体现出来，越想越服气！
PS: 唯一不习惯的就是特写和中景的反复切，看得人贼难受╯﹏╰"
60$26383524$锁麟囊(京剧)$Smelly Cat$2022-02-05 13:16:21$0$20200202长安大戏院
61$26383524$锁麟囊(京剧)$是小李i$2021-07-28 23:21:36$0$你要问我《锁麟囊》好在哪，我当然说不上来，但它对我是有启蒙教育式的意义。我大概算不上戏迷，可从小是从戏曲里了解了传统文化，更沉醉于她的一板一眼，流光溢彩珠光宝气，我爱她的“旧”和“老”。
62$26383524$锁麟囊(京剧)$木羽木杉$2019-08-26 11:29:53$0$2014年5月纪念程砚秋先生诞辰110周年版；补标
63$26383524$锁麟囊(京剧)$MorpheusW$2021-10-07 20:47:15$0$迟老板也是当代一绝了
64$26383524$锁麟囊(京剧)$伪电气白兰$2020-08-06 19:05:03$0$程派艺术
65$26383524$锁麟囊(京剧)$爬影距离$2020-02-01 14:54:01$0$也就是看的好玩有点意思，故事按现在的节奏就是又拖沓又简单俗套
66$26383524$锁麟囊(京剧)$小时$2021-03-02 19:16:06$0$迟妈还是嘴歪。哈哈哈哈
67$26383524$锁麟囊(京剧)$清泉$2022-11-07 15:26:51$0$他教我 收余恨 免娇嗔 且自新 改性情 休恋逝水 苦海回身 早悟兰因
68$26383524$锁麟囊(京剧)$华衣$2021-05-25 12:48:09$1$迟小秋的唱腔，一抿一笑绝了
69$26383524$锁麟囊(京剧)$芜城$2020-12-29 14:41:22$0$词妙曲好，程派唱腔演法更是绝。
70$26383524$锁麟囊(京剧)$雲隱$2018-12-28 09:55:41$0$第一次看全本京剧，大团圆的结局还是有些俗套，总体下半场不如上半场。
71$26383524$锁麟囊(京剧)$松本杏奈$2021-12-16 21:44:02$0$薛湘灵和赵守贞真的太太太配了吧😭两位旦角最后一段像两只翩飞的蝴蝶🦋迟团真的是娇媚好喜欢。这个剧本也很喜欢，三次告别胡婆说“你要来看我呀”的时候鼻子一酸，真真是人生难预料。
72$26383524$锁麟囊(京剧)$失眠的梦境$2022-07-13 00:56:39$4$他教我收余恨、免娇嗔、且自新、改性情、休恋逝水、苦海回生、早悟兰因。 
73$26383524$锁麟囊(京剧)$川貝$2022-01-20 17:32:19$0$"“回首繁华如梦渺，残生一线付惊涛。”
最近偶然在B站又刷到迟团唱春秋亭流水选段，总觉得年纪大了明显声音更哑些了，回想起十年前在学校搞活动时看的这版数字电影《锁麟囊》，这才是迟小秋的声音巅峰，好奇又去听了张火丁的版本，恁也太快了吧，赶上国粹rap了，可也算各有各的好。
各家票友捧各家的角，都说是程派正宗，但有评论说得好，别说这些个三代演员了，就那些得真传的二代弟子也和程砚秋大师在身段和唱腔细节上各自有所不同。毕竟学得再像再好，到头了也无非就是“某某第二”，这话点明了戏剧道统与创新发展的困局，还是得继承中有创新，与时代当下对话叙事，传统文化才能活去未来。"
74$26383524$锁麟囊(京剧)$小意$2021-06-05 16:29:40$0$锁麟囊是我最喜欢的京剧戏目之一了吧。很喜欢迟小秋
75$26383524$锁麟囊(京剧)$Y欣丹$2019-06-28 11:40:16$0$喜欢春秋亭段，也喜欢大团圆段
76$26383524$锁麟囊(京剧)$大地之灯$2021-05-11 13:34:11$0$可～～～
77$26383524$锁麟囊(京剧)$syi_ga$2022-05-31 14:38:28$0$最难忘镜中与轿口的几次反打，迟小秋的神情真耐看，灵
78$26383524$锁麟囊(京剧)$寒山$2022-05-08 13:11:57$0$"程派嗓音，幽夜泉流，百般愁肠，一点孤鸿破晚空，三声音转水留容。
"
79$26383524$锁麟囊(京剧)$椿三十郎$2021-02-13 19:45:25$0$种福得福如此报🙏
80$26383524$锁麟囊(京剧)$Neo$2022-04-26 20:49:05$0$资料馆0426年轻的迟小秋
81$26383524$锁麟囊(京剧)$虎壳$2019-02-07 23:55:13$0$真他妈国粹。同时可以想出一个锁麟囊现代版荒诞派。
82$26383524$锁麟囊(京剧)$闻夕felicity$2019-09-07 18:26:25$0$叶广芩 安利的
83$26383524$锁麟囊(京剧)$挚爱青儿$2019-07-02 18:29:50$0$吹爆赵守贞！太美了
84$26383524$锁麟囊(京剧)$kamiya$2021-08-09 16:57:12$0$挺好的，确实是中间两轿相遇那一段的词&amp;曲都叫人忍不住很喜欢，左男的阶级革命理想真的很激动人心☺️而且这词，哎，用我们熟悉的“古”诞生出漂亮的“新”，耳听得悲声惨心中如捣，同遇人为什么这样嚎啕？莫不是夫郎丑难谐女貌？莫不是强婚配鸦占鸾巢？怜贫济困是正道，哪有个袖手旁观在壁上瞧？人情冷暖凭天造，谁能（何不）移动它半分毫。我嫌不足她正少，她为饥寒我为娇。分我一枝珊瑚宝，安她半世凤凰巢。  这都是神话凭空造，自把珠玉夸富豪。麟儿哪有神送到？积德才生玉树苗。小小囊儿何足道，救她饥渴胜琼瑶。🥰
85$26383524$锁麟囊(京剧)$葛人的杠铃$2022-12-02 17:33:15$0$绝绝
86$26383524$锁麟囊(京剧)$玫瑰色的春天$2021-07-23 23:51:20$0$"我只道铁富贵一生注定，
又谁知人生数顷刻分明。
想当年我也曾撒娇使性，
到今朝哪怕我不忆前尘。
这也是老天爷一番教训，
他教我收余恨、免娇嗔、且自新、改性情，休恋逝水、苦海回身、早悟兰因。
"
87$26383524$锁麟囊(京剧)$toutou$2020-01-16 00:49:07$0$程派经典
88$26383524$锁麟囊(京剧)$夏语冰$2020-09-07 23:50:00$1$20200907于长安大戏院！第一次在园子里看戏，激动到无以复加！第一次见到活的迟妈，第一次和全场观众为演员们的精彩表演鼓掌叫好！记不得是第几次听锁麟囊了，果真是生书熟戏，每一次听的感觉不一样！这一次尤甚！我体会着迟妈每唱一句，全场一起鼓掌叫好！我用我的血液品味着这演了八十年的戏，只愿来生能有机会再听程派！
89$26383524$锁麟囊(京剧)$落画不是花$2021-11-06 20:23:58$0$好多小细节，如劝三次方入座之类的。
90$26383524$锁麟囊(京剧)$柯柯Kuroba$2021-08-27 02:42:33$0$分我一枝珊瑚宝，安她半世凤凰巢。
91$26383524$锁麟囊(京剧)$三千年后回故乡$2017-01-20 01:28:21$2$喜欢春秋亭、三让椅两折，这才是人生难预料，回首繁华如梦渺。迟小秋扮相清秀婉约，眼角眉梢俱是情意。
92$26383524$锁麟囊(京剧)$老阿姨的小迷妹$2021-02-20 20:56:14$0$天知道我怎么迷恋上戏曲的
93$26383524$锁麟囊(京剧)$exit2000$2022-01-15 02:02:13$0$锁麟囊里，比起听薛良与收余恨，我最喜欢的一直是开头的唤梅香与三段转来，“那花样儿要鸳鸯戏水的，一个要飞的，一个要游的，不要忒大，也不要忒小。” 出嫁前的女孩心思，种种都在这几句里了，百般娇情，翁偶虹怎么可以写得这么好。
94$26383524$锁麟囊(京剧)$MAS$2021-05-26 11:30:34$0$糟糕。 @资料馆
95$26383524$锁麟囊(京剧)$honhon2$2020-09-19 11:00:54$0$迟小秋绝美
96$26383524$锁麟囊(京剧)$Bat King$2021-05-15 16:32:58$0$最初听梅尚荀程时最不感冒程派，曲折婉转的唱腔，现在越听越有味道
97$26383524$锁麟囊(京剧)$花园分径的小岔$2021-09-18 21:43:53$0$观后两月卒或有所感。
98$26383524$锁麟囊(京剧)$single summer$2022-12-09 21:07:47$0$"愿意施恩，懂得报答。
记得前几年第一次听音频，只为一句“我正不足她正少”就当作强抢民女的戏码，其他唱词的意思也都曲解。后来了解始末后，真是对这出戏喜欢得不得了。迟团也成了女神。"
99$26383524$锁麟囊(京剧)$粉蒸菠萝咕咾肉$2019-03-12 23:14:31$0$“我正富足她正少，她为饥寒我为娇。分我一枝珊瑚宝 安她半世凤凰巢。”野蛮娇纵的湘灵竟如此单纯善良，却也心疼她“想当年我也曾撒娇使性，到今朝那怕我不信前尘。这也是老天爷一番教训，他教我收余恨、免娇嗔、且自新、改性情、休恋逝水、苦海回生、早悟兰因。”善意恩施终有果。
100$26383524$锁麟囊(京剧)$花园分径的小岔$2021-09-18 21:43:53$0$观后两月卒或有所感。
101$26383524$锁麟囊(京剧)$凌霄碎$2023-02-15 15:44:45$0$越听越新爱不释手的程派，好一个人情冷暖凭空造，谁能移动它半分毫。回首繁华如梦渺，残生一线付惊涛。
102$26383524$锁麟囊(京剧)$墨绪$2018-04-16 13:31:15$0$居然没标过，台师大戏曲课记忆。
103$26383524$锁麟囊(京剧)$涂小旷$2019-04-10 20:59:48$0$成功看了人生第一部京剧电影，之前被春秋亭那个片段惊艳到(emmmmm，那时候还没完全喜欢上张云雷，但是这个越听越有味道，爱了爱了)后面也陆陆续续听了一些京剧片段，终于在平常的周末看了这部京剧电影，谁说传统的东西没人爱？
104$26383524$锁麟囊(京剧)$无问西东$2023-01-03 20:36:11$0$"真好，如今的情感厚度也恰到好处，如果早两三年看，其中的人情冷暖、万般滋味恐怕不能有现在的理解，一霎时把七情俱已昧尽，参透了酸辛处泪湿衣襟。
“这才是人生难预料，不想团圆在今朝。自古繁华如梦渺，残生一线付惊涛。柳暗花明休啼笑，善果心花可自豪。种福得福有此报，愧我当初赠木桃。”
“他教我，收余恨、免娇嗔、且自新、改性情，休恋逝水，苦海回身，早悟兰因。”"
105$26383524$锁麟囊(京剧)$Hayaki$2019-04-04 13:30:00$0$终于看完了迟小秋版的《锁麟囊》全本。“休恋逝水，苦海回身，早悟兰因”
106$26383524$锁麟囊(京剧)$NeZha$2020-01-27 21:34:15$0$太好看了嗷！戏曲的词居然能这么美！唱腔也好听，扮相也绝！
107$26383524$锁麟囊(京剧)$和我重名的很多$2021-05-17 08:52:17$0$休恋逝水 苦海回身 早悟兰因
108$26383524$锁麟囊(京剧)$htf$2020-04-02 15:21:12$0$👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻
109$26383524$锁麟囊(京剧)$momo$2021-02-19 12:01:53$0$每天都要听一段锁麟囊才能睡着
110$26383524$锁麟囊(京剧)$未来未来$2021-09-18 22:37:31$0$大学还真看过
111$26383524$锁麟囊(京剧)$Shayock柚子$2019-11-19 13:05:21$1$因为同光十三绝入坑了程派，天天就听这《锁麟囊》，头一次耐着性子看完了全本，实实在在的好听好看。角儿的功夫是真到家，希望有一天能有机会看一出迟团的演出
112$26383524$锁麟囊(京剧)$叶不归$2019-11-28 09:56:27$0$很久前第一部看完的戏，呆了
113$26383524$锁麟囊(京剧)$臧淼$2020-10-12 19:36:58$0$未看过
114$26383524$锁麟囊(京剧)$道在瓦砾$2019-05-29 11:15:10$0$戏好听，不过阶级思想过浓，属于封建残留。
115$26383524$锁麟囊(京剧)$猫脾气$2021-10-29 13:01:38$0$一霎时把七情俱已昧尽，参透了酸辛处泪湿衣襟。 我只道铁富贵一生铸定，又谁知人生数顷刻分明。想当年我也曾撒娇使性，到今朝哪怕我不信前尘。这也是老天爷一番教训，他叫我收余恨、免娇嗔、且自新、改性情、休恋逝水、苦海回身、早悟兰因。
116$26383524$锁麟囊(京剧)$梁卷$2020-03-16 13:06:37$1$“一霎时把七情俱已味尽，参透了酸辛处泪湿衣襟。我只道铁富贵一生注定，又谁知人生数顷刻分明。想当年我也曾撒娇使性，到今朝哪怕我不信前尘。这也是老天爷一番教训，他教我收余恨、免娇嗔、且自新、改性情，休恋逝水、苦海回身、早悟兰因。”唱词怎么这么好啊。李海青唱得太美啦，迟小秋的嗓音我反而不那么喜欢，但身段和情态真的很柔婉动人。
117$26383524$锁麟囊(京剧)$&lt;&gt;&lt;$2021-10-03 06:30:11$0$因为 “一霎时” 一段找了全剧看，有几段确实好听，故事倒不是觉得特别有趣，下次找找秦腔版
118$26383524$锁麟囊(京剧)$叁壹肆$2021-06-04 22:57:18$0$丑角真的都好可爱…！
119$26383524$锁麟囊(京剧)$Joshua$2022-02-17 15:24:24$0$第一部从头到尾看完的戏！从此记住了孟轲！
