$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$26289144$滚蛋吧！肿瘤君$付玲$2015-08-08 21:43:39$4735$作为一个癌症患者，我没什么好说的。
26$26289144$滚蛋吧！肿瘤君$有心打扰$2015-08-08 23:54:09$66$1.影片很好的把每个段落都刻画得细腻温暖，父亲母亲闺蜜还有男主角…当我此刻把这些人物名词打出来时，影片的情节又浮现脑海把我感动了一番；2.我们的脑海也存在着一次又一次“改变画幅”的美好时刻，那是我们的幻想，也是我们对生活存有的美好憧憬；3.悲伤的故事用开心、幽默的方式来讲，也能很感动。
27$26289144$滚蛋吧！肿瘤君$tianyi$2015-08-14 20:16:32$86$有的电影就是你不好意思跟人说你看过。
28$26289144$滚蛋吧！肿瘤君$陀螺凡达可$2015-08-17 12:44:27$53$有几段特别好，Closer用得很好，白百合最后一段也演得不错。不过节奏还是太像电视电影了，感觉可以插播几个广告。展现想做还未做的事那一段照搬多兰《妈咪》母亲想象段落，连配乐都没咋改。
29$26289144$滚蛋吧！肿瘤君$心生$2015-07-29 19:10:22$62$白百何负责搞笑与感动，吴彦祖负责帅，闺蜜们负责打酱油……很多漫画式桥段、奇异笑点。白百何表现很好，那段独白戏准确自然，“非严肃煽情”效果不错。之前不了解熊顿，想去多看看她和肿瘤君的故事了。积极乐观改变不了客观现实，但能使生命变得自由潇洒。
30$26289144$滚蛋吧！肿瘤君$人间乐园$2015-08-03 11:16:39$104$有些人为了生存而努力，有些人为了活着而努力。
31$26289144$滚蛋吧！肿瘤君$遇见彩虹🌈$2017-12-06 02:48:19$52$真实人物故事改编。熊顿很坚强，乐观，但命运跟她开了个大玩笑。看到几个朋友都剃了光头跟她一起逛街，哭得稀里哗啦。天堂没有伤痛，她也永远三十岁。
32$26289144$滚蛋吧！肿瘤君$哦依稀$2015-08-10 09:53:21$58$很好看，这个暑假要被白百合承包了
33$26289144$滚蛋吧！肿瘤君$亵渎电影$2015-08-19 23:40:30$47$电视电影的掌控能力，也是赖白百合的表演，实在是欣赏不来她所谓的本色演技。★★★
34$26289144$滚蛋吧！肿瘤君$多看电影爱电影$2017-02-10 10:15:58$36$我2012年2月在天涯认识的熊顿，那时熊顿作为滚蛋吧，肿瘤君的楼主，爆笑了多少天涯人！她的漫画幽默风趣，性格开朗大方，文风逗比搞笑，以至于大家都不觉得她的癌症原来会致命！直到2012年11月，熊顿突然去世，天涯人才恍然大悟原来带给大家那么多欢笑的熊顿病的居然那么重！
35$26289144$滚蛋吧！肿瘤君$ccino$2015-08-09 12:37:20$45$不能因为害怕失去就不去拥有。。看个电影没哭死我。。
36$26289144$滚蛋吧！肿瘤君$蓝下老婆$2017-02-10 17:41:14$31$看完电影总体给我的感觉是温情的，结果的悲伤的，但主人公留给观众的映像快乐大于悲伤，要知道一个癌症病患者不仅自己乐观，还把这种情绪传达给身边的人，敢问这世上有几人能做到。这部电影让我深刻的原因可能有点奇葩，我是跟老公一起看的，到最后我老公哭得稀里哗啦的，我真的是哭笑不得。
37$26289144$滚蛋吧！肿瘤君$一封未读邮件$2018-02-02 18:53:28$29$真实的故事改编的很励志很感人，熊顿勇敢，坚强，阳光开朗可惜老天和她开个玩笑，这个故事告诉我们人生要勇往直前，开心快乐，相信明天，明天就是希望
38$26289144$滚蛋吧！肿瘤君$davekozg$2015-08-14 15:13:06$48$前15分钟几乎要认定是个烂片了，结果还是被拉了回来。白百何演技真心赞，小妞电影的外壳下面其实是说一个茁壮活着积极生活的态度。在烂片众多的国产电影里显得倒是鹤立鸡群 #诚求国产电影不要烂俗段子不要大逆光不要奇怪滤镜不要动不动慢镜不要雪地撒欢#
39$26289144$滚蛋吧！肿瘤君$朝阳区陆依萍$2015-08-15 00:26:14$84$头一次在影院哭得像个傻逼....
40$26289144$滚蛋吧！肿瘤君$如是$2018-02-24 15:10:52$37$不卖惨的温情之作，有笑有泪，最后送她离开。为啥写评论也想哭呢。
41$26289144$滚蛋吧！肿瘤君$keke$2015-08-13 09:12:21$35$小妞电影的极致
42$26289144$滚蛋吧！肿瘤君$prayer$2015-08-13 17:06:44$35$自己一个人二刷，然后躲在影院角落继续哭成狗~~嘻嘻
43$26289144$滚蛋吧！肿瘤君$东篱$2018-02-24 21:11:20$26$看完电影的我特意去搜了熊的微博，很难过，天堂没有病痛，熊那么乐观，一定会是一个快乐的天使👼
44$26289144$滚蛋吧！肿瘤君$小虫子$2015-08-16 18:56:31$182$现在我也懵了。还有人说实话么。要不就是水军刷分，要不就是朋友圈客套捧场。1、作为一部电影，它基本没有内容。“女孩熊顿乐观面对癌症”。但什么是乐观？是被甩第二天就对帅哥犯花痴？是知道自己不久于人世还成天乐呵呵？非也。真正的乐观是战胜消极。就像坚强是战胜怯弱，勇敢是战胜恐惧一样，这些
45$26289144$滚蛋吧！肿瘤君$甜椒Oli$2017-02-11 11:52:08$22$有些东西要坚强的面对 我可能真的活不到这么洒脱 转念一想你悲伤郁结又能怎么养 坚强的活 潇洒的走
46$26289144$滚蛋吧！肿瘤君$一觉年华秋梦醉$2015-08-13 15:54:48$28$虽然我被感动到了，眼泪在最后是没止住的。但就电影本身，故事有点乱、不够紧凑，前面的铺垫太长，后面的正文有点短。给出的星星，一个是给熊顿、一个给白百何。
47$26289144$滚蛋吧！肿瘤君$艾晨$2015-08-15 15:13:55$113$一星给熊顿，一星给艾米。本是憨逗的人，白百何演成了二货，也是有点厉害。还巅峰，我呸！
48$26289144$滚蛋吧！肿瘤君$不良生$2015-08-12 16:41:14$32$1，片型在小妞式喜剧片和文艺催泪韩片之间摇摆不定，中间还夹杂一场小时代式的打雪仗戏份。2，对癌症患者及家属、身边人的刻画还是浅尝辄止举重若轻了些。3，多一星给最后的十分钟，一扫前面女主角各种幻想的冗长无趣，也没有拍出哭天喊地，将各人的反应处理得悲恸却节制。恍惚觉得那就是永远的熊顿。
49$26289144$滚蛋吧！肿瘤君$旧书君$2015-08-08 22:34:24$60$今年真是良心国产年，看来这个国保月没有白费。熊顿的脑洞neta满天飞、泪点和笑点轮番轰炸，造就了一电影院的蛇精病。注意，马伯庸饰演马伯庸。硬广插入保平安。祥瑞御免。
50$26289144$滚蛋吧！肿瘤君$齊克斯尼力佐飛$2015-08-16 13:31:10$49$我要给白百何送上最诚挚的肯定，1300个赞！
51$26289144$滚蛋吧！肿瘤君$被盗梦的盗梦者$2015-08-13 13:13:36$143$为什么无理由的讨厌白百合呢。熊顿的故事我知道，意外的网上看过PDF版的漫画，画的很有意思，女生很坚强，可以最后还是走了。有时间我应该还是会去电影院看一下的吧
52$26289144$滚蛋吧！肿瘤君$闲人$2015-08-08 23:11:15$22$三星半。剧本没有严格按照情节剧的要求去写，基本靠的是一些动人的点，所以后半段明显乏力。普通观众确实对这种戏没什么抵抗力。
53$26289144$滚蛋吧！肿瘤君$薇羅尼卡$2015-08-16 21:05:32$22$又是一部哭成傻逼的电影。而且还是一部我想二刷的电影，不晓得为啥。悲伤的故事笑着讲，却反而比哭着说更有催泪弹的效果。 白百合真心演得好，对她之前程式化的印象有所改观，最后那段VCR真的炒鸡飙泪。最后，希望我爱的你们都幸福安康。
54$26289144$滚蛋吧！肿瘤君$青柠🍋$2018-02-07 20:57:56$17$当时和男朋友去电影院看的时候看哭了，熊顿的坚强乐观开朗仿佛在眼前，百白合很适合演这种大大咧咧的小妞，吴彦组演的医生秒鸡帅，实实在在不老男神
55$26289144$滚蛋吧！肿瘤君$陆壹$2015-08-13 22:18:53$31$“冲动 后悔一阵子 太怂 后悔一辈子”.老戏骨演戏太招人哭
56$26289144$滚蛋吧！肿瘤君$已注销$2016-09-28 15:34:31$20$真的见识到了白百合演技，无愧影后啊
57$26289144$滚蛋吧！肿瘤君$无人应答$2015-08-02 18:05:05$25$偷瞄旁边一汉子，从偷偷摸眼泪到光明正大擦眼泪再到干脆不擦了已默默内牛满面哭成狗。剧本改编成功，白百合演技爆发。愿活着的每个人都能像熊顿一样笑对人僧！
58$26289144$滚蛋吧！肿瘤君$大島$2016-01-17 21:45:45$40$还是爹妈演的好 站在那不说话就有戏
59$26289144$滚蛋吧！肿瘤君$燕爷$2015-08-15 15:41:54$8$看熊顿的微博都比看这电影令人感动。
60$26289144$滚蛋吧！肿瘤君$壳子$2017-01-12 18:51:29$20$现在已经快记不得具体的情节了 一直觉得白百合演技不稳定 在这部电影里还不错 不管什么片子亲情部分总是能轻易让我感动 这部更不例外 但在这里更感动的依稀是好朋友都把头发剃光了陪着她 一点也不怕丑 这样的友情该有多珍贵❤
61$26289144$滚蛋吧！肿瘤君$后天的雨$2016-11-07 23:40:34$21$因为很早就关注原型了，也一路见证了熊顿出书然后去世后面电影筹拍到最终上映，电影里虽然因为各种原因加了也许不尽如人意的戏份，但还好没有太失望，白百何的表演也是走心的。会一直记得开朗曾带给大家欢乐和勇气的熊顿姑娘
62$26289144$滚蛋吧！肿瘤君$幕天席地$2017-03-06 18:18:36$11$肿瘤君的真实事迹比电影感人，奈何吴彦祖颜值在这里，很容易打动人心
63$26289144$滚蛋吧！肿瘤君$Henrique Asano$2015-08-14 20:25:56$34$白百何很灵啊，已然路人转粉
64$26289144$滚蛋吧！肿瘤君$amelin$2016-11-07 00:31:04$18$“有时候活在自己的想象里，是一件挺美好的事，你可以什么都不用在乎，没有恐惧，没有忧愁，甚至没有死亡。”  还是看到了熊顿的乐观  部分台词也挺引人深思的  假如你的生命忽然被定了个终点  你会用什么样的态度面对余生的日子  面对死亡 你会肆意放纵 还是静静地坐下来画漫画？
65$26289144$滚蛋吧！肿瘤君$M-Gun$2015-08-13 23:59:34$110$虽然缺点这么多，但聪明的结尾（借熊顿葬礼上的自拍视频来直接向观众进行价值观输出）和熊顿原作所体现的乐观态度却拯救了这部碎片化拼凑感严重并且制作有些粗糙的电影，勉强能让我们在走出电影院的同时得到感动。
66$26289144$滚蛋吧！肿瘤君$做一件事很难吗$2018-06-14 09:22:04$11$其实不敢看的 因为怕戳中自己的心 其实死亡不可怕 真正可怕的是绝望 垂死的挣扎
67$26289144$滚蛋吧！肿瘤君$豆丁洋$2015-11-18 13:31:59$12$看了个开头忍不了了……现在的片都那么低智吗……非得把个好好的女孩演成这样才有人看吗……
68$26289144$滚蛋吧！肿瘤君$岛上的夏奈$2015-08-15 02:13:39$16$每个演员都演得很好，看完会觉得熊顿生前应该也是很有趣的人，可惜生活不尽遂人愿。我很喜欢影片的节奏，几乎没有太多刻意煽情，我以前真的一直都不觉得吴彦祖很帅，但是这部戏里他美得跟一泊湖水一样，连白百合也从丑小鸭变成了白天鹅。
69$26289144$滚蛋吧！肿瘤君$豆瓣酱$2017-01-12 18:42:28$14$熊顿的坚强和乐观既让人感动又心疼。一部不错的电影，笑过更哭过。
70$26289144$滚蛋吧！肿瘤君$明安$2015-08-24 01:08:46$33$故事好，但不是一部好电影。
71$26289144$滚蛋吧！肿瘤君$shininglove$2015-08-17 17:30:58$10$除了被人津津乐道的类型戏仿，它在价值观、情感质地和流行性包装层面亦具备相当的可信度，这种可信度建立在素材之鲜活，原型之生动，是「熊顿」精神的复盘，映衬一代人的生存焦虑，隐隐指向「活」与「死」的信仰探讨，仅此一点便超于市面常见的虚浮和戾气，扎实地落在精神份量。
72$26289144$滚蛋吧！肿瘤君$隔岸观船$2017-01-12 23:34:38$14$人终有一死 最重要的是活着的时候要怎样活着 说得太过于轻巧 没有经历过生死的人永远无法感受 当生命为你敲响丧钟 上帝向你挥手示意 你当如何 是否能做到像熊顿那样 即使面对死亡 也要笑着活下去
73$26289144$滚蛋吧！肿瘤君$启明星的指引$2018-04-28 00:17:16$11$这女主命运也太惨了吧，只看电影名字还以为肿瘤真的滚蛋了。
74$26289144$滚蛋吧！肿瘤君$诸葛若见$2015-08-15 20:35:11$14$如果还有明天，怎么装扮你的脸。如果没有明天，怎么去说再见。肿瘤君还是赢了，带走了那个元气满满古灵精怪的少女。可熊顿也没输，永远的活在你我的记忆里。电影比预期中的要好看一些，少女版《抗癌的我》，逗比版《达拉斯买家俱乐部》。
75$26289144$滚蛋吧！肿瘤君$一夕安昑$2016-11-05 00:00:58$14$记得有这么一句话:“其实肿瘤也只是想活下来”。生存的本能让我们如此拼命。是青春，让拼命不只是疲于奔命。
76$26289144$滚蛋吧！肿瘤君$斑斑点点$2017-03-04 18:34:19$17$熊顿的故事很励志，积极引领人生价值观。白百合演技很赞。
77$26289144$滚蛋吧！肿瘤君$国产凌凌期$2015-08-13 18:31:35$10$①电影前半段女主角的各种脑洞给我一种浓浓的国产三流喜剧的即视感，不过到了后半段这一切都无所谓了。②八月上中旬国产奇葩下乡大流中的治愈良药。③以前没怎么看过白百何的电影，《滚肿》之后我相信你们都爱上她了。④国民男神吴彦祖，除了普通话不能看哪都能看。
78$26289144$滚蛋吧！肿瘤君$欣欣向荣$2018-06-14 07:48:21$13$还好，原来的白百何好瘦，现在有点胖了
79$26289144$滚蛋吧！肿瘤君$宠$2018-06-10 17:28:15$7$"抛开女主
这部片子我还是挺喜欢的
之前也有看过关于熊顿的一些新闻
这部片子到最后真的要哭死了
心中满满的感动
是真的很喜欢这种坚强乐观的姑娘啊❤"
80$26289144$滚蛋吧！肿瘤君$浅笑ソ安然$2016-12-02 22:33:34$12$一部让我看的泪流的好电影，熊顿的乐观和正能量挺感动人了！愿现实中的她在天堂安好！现实中更需要这种乐观正能量精神。
81$26289144$滚蛋吧！肿瘤君$花落  思量错$2017-03-29 23:47:08$9$人不能害怕失去就不去拥有
82$26289144$滚蛋吧！肿瘤君$吉米糕$2015-10-19 02:59:59$9$白百何迄今为止的最好演出
83$26289144$滚蛋吧！肿瘤君$恶魔的步调$2015-08-08 22:26:09$8$祥瑞御免！
84$26289144$滚蛋吧！肿瘤君$默$2018-03-21 15:31:22$8$看完真挺感动的，去搜了原型，姑娘真是乐观向上，很佩服。
85$26289144$滚蛋吧！肿瘤君$一條魚佔滿了河$2015-07-15 22:48:23$29$即便生命停止，也不要停止去愛與被愛。笑著哭，哭著笑，笑著笑著就哭了，哭著哭著又笑了，今年來難得的華語喜悲劇佳作，不僅不矯情，而且還充滿想象力。即便電影的特效和音效都還沒有完全完成，但是卻已經感染力十足，白百何去年《整容日記》失利，今年再度交出好作品。
86$26289144$滚蛋吧！肿瘤君$朝暮雪$2015-08-16 22:22:45$26$不能因为害怕失去，就不去拥有。
87$26289144$滚蛋吧！肿瘤君$晨小兮$2017-03-25 17:46:04$8$演的真好，，看哭
88$26289144$滚蛋吧！肿瘤君$拐了$2015-08-15 16:58:13$75$就，还是段子电影啊。
89$26289144$滚蛋吧！肿瘤君$柒柒♀$2018-06-14 08:12:46$7$很感动的一部电影，乐观向上的女主让人很心疼，结局的真的让人很揪心,哭惨了
90$26289144$滚蛋吧！肿瘤君$妖灵妖$2015-08-13 14:10:27$15$轻轻地弘扬了一把基督教
91$26289144$滚蛋吧！肿瘤君$阿德$2015-08-15 13:23:29$8$故事虽单薄，但题材没法不被打动，永远保持爱与被爱。
92$26289144$滚蛋吧！肿瘤君$啊么吸溜$2015-08-13 18:13:39$8$在生日这天靠在老公怀里看一部期待已久的电影的首映。简直。
93$26289144$滚蛋吧！肿瘤君$豆友90847332$2016-01-22 19:16:26$15$看之前 朋友和我说泪点很足（因为我个人泪点不高）剧情也很感人 抱着这种期待 我去看了 剧情也没有说很好看那种 但就是给人一种莫名的感动 引人重新思考人生 对生活的态度 
94$26289144$滚蛋吧！肿瘤君$薄荷$2017-03-05 10:29:55$11$人生短短数十载谁也不知道自己的生命何时终结，且行且珍惜
95$26289144$滚蛋吧！肿瘤君$雨果$2017-02-23 12:34:51$9$挺好看的
96$26289144$滚蛋吧！肿瘤君$突然粉碎$2015-08-16 22:47:57$12$看电影的过程不是在笑在哭就是在花痴吴彦祖，泪点全中，从老郑找行尸走肉光碟我就开始哭，一直哭到片尾曲，最后眼泪流干了就只能干抽，熊顿说的太对，健康和朋友总是在失去的时候才知道它的重要，羡慕熊顿，她从来不孤独，电影开场我和同事妹纸都受到了惊吓，你不是我们，你不会明白它有多可怕
97$26289144$滚蛋吧！肿瘤君$鹿鸣$2015-12-01 13:22:21$6$熊顿去的时候，突然白百合欢快的歌声响起，是最令人动容的时刻。如此积极开朗热爱生活的人，却离开了，我们怎能不好好活呢？
98$26289144$滚蛋吧！肿瘤君$梦想团$2015-08-19 18:51:26$9$那些在影评里瞎比比的人，都是没有人生的。
99$26289144$滚蛋吧！肿瘤君$谋杀游戏机$2015-08-14 00:44:12$4$难得很好的国产悲喜剧。公众号推送：http://mp.weixin.qq.com/s?__biz=MzAwOTEyODM5MA==&amp;mid=208541883&amp;idx=1&amp;sn=c6e9d5b1dae7408cd67aad81a6254f52#rd
100$26289144$滚蛋吧！肿瘤君$默$2018-03-21 15:31:22$8$看完真挺感动的，去搜了原型，姑娘真是乐观向上，很佩服。
101$26289144$滚蛋吧！肿瘤君$一條魚佔滿了河$2015-07-15 22:48:23$29$即便生命停止，也不要停止去愛與被愛。笑著哭，哭著笑，笑著笑著就哭了，哭著哭著又笑了，今年來難得的華語喜悲劇佳作，不僅不矯情，而且還充滿想象力。即便電影的特效和音效都還沒有完全完成，但是卻已經感染力十足，白百何去年《整容日記》失利，今年再度交出好作品。
102$26289144$滚蛋吧！肿瘤君$夕梨$2018-06-14 10:49:28$7$有点感人还不错
103$26289144$滚蛋吧！肿瘤君$晨小兮$2017-03-25 17:46:04$8$演的真好，，看哭
104$26289144$滚蛋吧！肿瘤君$柒柒♀$2018-06-14 08:12:46$7$很感动的一部电影，乐观向上的女主让人很心疼，结局的真的让人很揪心,哭惨了
105$26289144$滚蛋吧！肿瘤君$啊么吸溜$2015-08-13 18:13:39$8$在生日这天靠在老公怀里看一部期待已久的电影的首映。简直。
106$26289144$滚蛋吧！肿瘤君$雨果$2017-02-23 12:34:51$9$挺好看的
107$26289144$滚蛋吧！肿瘤君$猫司令$2015-10-13 09:08:50$8$谁给你的自信冲奥
108$26289144$滚蛋吧！肿瘤君$突然粉碎$2015-08-16 22:47:57$12$看电影的过程不是在笑在哭就是在花痴吴彦祖，泪点全中，从老郑找行尸走肉光碟我就开始哭，一直哭到片尾曲，最后眼泪流干了就只能干抽，熊顿说的太对，健康和朋友总是在失去的时候才知道它的重要，羡慕熊顿，她从来不孤独，电影开场我和同事妹纸都受到了惊吓，你不是我们，你不会明白它有多可怕
109$26289144$滚蛋吧！肿瘤君$鹿鸣$2015-12-01 13:22:21$6$熊顿去的时候，突然白百合欢快的歌声响起，是最令人动容的时刻。如此积极开朗热爱生活的人，却离开了，我们怎能不好好活呢？
110$26289144$滚蛋吧！肿瘤君$暴富的女孩是我$2017-03-30 07:13:02$5$小星星都给吴彦祖 (●'◡'●)ﾉ♥
111$26289144$滚蛋吧！肿瘤君$砒霜拌飯$2015-08-23 19:14:10$4$这次刷新电影迟到记录，晚了45min，本来半路都不想去了但是阿祖在召唤我没办法。阿祖的造型好几个没看到，还得下载看。电影煽情太用力，引起我的极度不适。不过都是看在阿祖的份上，看在阿祖的份上......
112$26289144$滚蛋吧！肿瘤君$mumudancing$2015-08-26 00:26:11$5$看完回想了下，觉得白百何的用力过猛把人物给毁了
113$26289144$滚蛋吧！肿瘤君$谋杀游戏机$2015-08-14 00:44:12$4$难得很好的国产悲喜剧。公众号推送：http://mp.weixin.qq.com/s?__biz=MzAwOTEyODM5MA==&amp;mid=208541883&amp;idx=1&amp;sn=c6e9d5b1dae7408cd67aad81a6254f52#rd
114$26289144$滚蛋吧！肿瘤君$呆瓜$2018-06-14 09:52:41$5$还不错的，女主演技是有的，只是她的花边，难免让我戴个有色眼镜了，男主很帅，一贯的港台风😊
115$26289144$滚蛋吧！肿瘤君$燕爷$2015-08-15 15:41:54$8$看熊顿的微博都比看这电影令人感动。
116$26289144$滚蛋吧！肿瘤君$豆丁洋$2015-11-18 13:31:59$12$看了个开头忍不了了……现在的片都那么低智吗……非得把个好好的女孩演成这样才有人看吗……
117$26289144$滚蛋吧！肿瘤君$eR$2015-08-26 00:01:46$8$粗糙的漫画感蛮强。my祖哥帅得我都不会说人话了！喜欢的情节是最后梁医生并没有出席她的葬礼。
118$26289144$滚蛋吧！肿瘤君$科林$2016-02-10 19:37:26$3$几首配乐用得很棒！
119$26289144$滚蛋吧！肿瘤君$花泽累$2015-08-17 05:20:16$7$前半部分除了尴尬什么都没有，但是白百合文章这些戏的确是同龄段最好的，连张子萱都胜过国产电影其他女二一大截。相比之下吴彦祖简直是棒读天王
120$26289144$滚蛋吧！肿瘤君$卡卡卡卡卡卡卡$2017-04-10 11:02:07$7$温情电影，从此对白百何路转粉
