$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$26654146$解忧杂货店$风扇$2017-12-29 22:30:04$553$"为什么豆瓣才5点几分，很好看啊
23$26654146$解忧杂货店$生命•怒放$2017-12-29 00:50:12$2718$本土化做得不错，成龙是个亮点。最主要是故事好。是好好讲故事的电影，有笑有泪，尤其前两个故事特别打我的点。所有从爱和善意出发的事，最终不一定会有一个好的结局，这种遗憾真的让人很触动。看完之后我还用了些时间消化这些不圆满。可以给四星吧，看到仿佛有点温情就跳脚喷鸡汤的真是受不了，给满了
24$26654146$解忧杂货店$二 天$2017-12-24 16:49:21$238$有些台词尴尬到想提前退场 还有陈都灵长大了变成郝蕾这种设定太 bug 了吧 
25$26654146$解忧杂货店$Tone调的悲伤$2018-01-10 21:49:30$128$哎，真的不能归咎于演员了，是整个剧情太烂了，没意思。
26$26654146$解忧杂货店$丁小云$2017-12-29 19:59:45$141$说这片儿是王俊凯领衔主演，有点不厚道。
27$26654146$解忧杂货店$LT09$2017-12-26 01:38:53$603$从小说到电影，最喜欢的都是第二个故事，除了亲情的深重，更在于时隔数十年这一家人分别在不同情形下两次将真相悄悄埋藏时所呈现的爱与善。走出电影院男票有些怅然若失，大概人人都会想要一个自己的解忧杂货店，那不妨等29公映我再带他来店里看看
28$26654146$解忧杂货店$西楼尘$2017-12-24 17:38:01$1114$这解忧杂货店是一座凶宅吧，敢往这写信的才叫勇敢。秦朗写信被告知坚持梦想，然后他被烧死了；张默写信被告知要相信家人，然后家破人亡；晴美写信被告知别轻信他人，然后被绑架了。主创眼里的93年只有崔健和杰克逊，17年只有网红和雾霾，如此刻意的符号、灾难的演技、突兀的硬广，如梦想女声一般尴尬。
29$26654146$解忧杂货店$已注销$2017-12-24 19:17:05$561$还原原著美好人性的内核，做了接地气的改编。看电影的时候，会想起看书时的心情，满意。
30$26654146$解忧杂货店$汽车大师$2017-12-24 17:11:38$1569$一无是处也就罢了，能不能别这么恶心？三段故事都有一个彰显主创品味的小场景：七八岁女孩用酒吧女唱腔演绎心血写就的民谣；秦昊逛胡同心不在焉按镜头；成功人士郝蕾小洋房阳台上高潮般仰望
31$26654146$解忧杂货店$老叟$2017-12-29 14:47:43$438$给四星吧，我是原著粉，知道这本书的结构是有点跨时代。电影的时间不够把全书的内容表达完整。看完这本书到现在时间也很长了，很多细节已经记不清但却记得这是本温暖的书。电影也是部温暖的电影。目前为止东野圭吾作品里最喜欢的两部。一部是最温暖的《解忧杂货店》一部是最绝望的《白夜行》。
32$26654146$解忧杂货店$余小岛$2017-12-25 09:24:02$699$又臭又长，109分钟硬是看出了三个小时的煎熬。三个小故事，第三个故事字幕一出来的瞬间，内心是绝望的：妈的，还没结束！
33$26654146$解忧杂货店$t0psh1t$2017-12-21 21:15:42$971$看到郝蕾学会计炒股买房走上人生巅峰我就笑的不行了 小董还是不厚道啊 咋不叫人家多捯饬俩比特币捏
34$26654146$解忧杂货店$豆瓣路人己$2017-12-27 00:22:46$156$什么时候电影拍得鸡汤就成了政治错误呢？鸡汤并没啥不好的，总有人喝。电影的置景太可怕了，
35$26654146$解忧杂货店$xinweiaxin$2017-12-24 18:02:40$406$电影也算是规整的还原了   没什么毛病但也没有惊喜  最感动的还是最后那封回信  还是小说更好更温暖人心   想再看一遍小说了～张维维唱的《重生》挺好听
36$26654146$解忧杂货店$Morning$2017-12-23 14:50:25$487$遵循了国内文学改编影视原则：尽信书不如无书，再一次对东野进行了毁灭性的篡改。三个动力缺乏的主角最后被勉强的扣在故事内，却没有寻找到内因而实现变化，假若是因为幼稚或者盲目以及对事件的认识不清而绑架汪汪，前文中就应该解决这个问题。这三个人物就如同自我感动的键盘侠一样，做错事还感动自己
37$26654146$解忧杂货店$是诺曼底号啊$2018-02-08 13:00:09$75$看了日版的 想看一下国版的  导演不会拍系列  几个主角镜头表现力也很差 同期在看和平饭店 对比和平饭店主角的表演功力  解忧杂货店的其中两个主角看的太尴尬了 第一个音乐人的故事还没看完 就尴尬的看不下去了  希望年轻人下来好好磨炼演技
38$26654146$解忧杂货店$搬砖侠$2017-12-24 22:36:30$416$实在难以想象这是曾经拍出《树先生》的韩杰作品，整部电影一无是处，东野圭吾看了想打人。从开篇第一幕，整个电影的感觉就开始崩塌，几个故事就是在强行拼凑，毫无叙事逻辑，令人发指的是，本片所用的演员居然没有一个表演状态符合角色设定的，无论是演技派还是老戏骨，全部都是灾难，李鸿其算是被毁了
39$26654146$解忧杂货店$SELVEN$2017-12-24 18:03:31$886$30/100 就像黄磊的“深夜食堂”，这种业主“不务正业”的日本社区文化在中国的代入感已经很差了，再嫁接现在电影界弥漫的“回忆90年代”和“空洞的坚持梦想”题材（小学作文水平的故事和逻辑），产生了一个糟糕的结果。“解忧杂货店”看完更忧愁了。
40$26654146$解忧杂货店$悟饭婆婆$2017-12-29 21:29:02$69$仅从演技单方面而言，至少子健同学还知道自己在“演戏”，而小凯和小迪两位小朋友完全对如何演绎人物角色找不着北的感觉，全程表情冷漠，其他的也不想再多说什么……
41$26654146$解忧杂货店$惘然$2017-12-21 16:56:40$434$不好意思，这波鸡汤我表示拒绝。#日本是个和我们除肤色外千差万别的民族，他们的故事本土化，就像非要让梵高画水墨山水画，非说贝多芬创作了《梁祝》……满屏尴尬。#
42$26654146$解忧杂货店$今天也没有猫$2018-02-08 19:26:46$100$看过原著感觉改编的不太好...不过董子健不错，第一次看王俊凯演戏，还算及格吧，毕竟还小未来可期，迪丽热巴的造型实在是emm不太适合她吧...
43$26654146$解忧杂货店$静待花开$2017-12-29 12:23:12$129$成龙戏份并不多，王俊凯表现比我想象得要好很多。热巴的假小子怪怪的
44$26654146$解忧杂货店$矫情的猫$2017-12-25 19:29:39$399$第一个故事就是《重生》，所以电影没多久就哭了。《解忧》已经读过两遍，借助光影的魔术又一次回顾，如同给“解忧”寄去了空白信纸，你会在电影最后收到回信。
45$26654146$解忧杂货店$柯里昂$2017-12-29 18:11:04$270$像看了几个公益广告...整部片就像一张破碎的拼图，编导在原著基础上努着力想拼凑起来，结果从第一块开始就是错的。从成龙说出“今后25年，这个房子都不要拆除”开始，大家就能直观的明白这部片放在当下语境中有多么可笑和不切实际了。几个演员表演时多余的小动作太多，也不知道导演和后期是干嘛吃的。
46$26654146$解忧杂货店$挽梦忆笙歌$2017-12-30 06:36:20$87$为什么要翻拍，为什么要毁我东野的书，打两星完全是为了名字，我爱的书
47$26654146$解忧杂货店$洛杉矶裴珠泫$2017-12-29 09:55:38$884$不想多说，本就是群戏，为何非要针对其中演员做跳梁小丑？不是谁的粉，电影很温暖，美好 希望能让更多人看到
48$26654146$解忧杂货店$HGW XX7$2017-12-28 23:15:02$163$及格吧。没看过原著也就没什么期许，没想象中那么糟糕，慢火炖鸡汤，没惊喜没波澜的，流量明星些许生硬，但角色好像也没什么可发挥的。其实小演员戏份挺吃重的，但是有点一般。最亮眼的是路人角色说的“摇滚不死”“早晚得死”
49$26654146$解忧杂货店$尽欢$2018-01-04 11:28:03$65$三个暖心小故事，在这寒冬温暖你心。
50$26654146$解忧杂货店$冷酷的小马$2017-12-21 15:04:07$371$太无聊了，温吞白开水。镜头美感为零，故事连贯性太差！董子健和迪丽热巴的演技还能看，外形塑造用心了。
51$26654146$解忧杂货店$夏语冰$2017-12-24 21:51:38$266$一个优点一个缺点，优点是烂演技的流量戏份不多，缺点是最终走上人生巅峰的鸡汤式故事尬到即使这么多演技派加持也无法挽救
52$26654146$解忧杂货店$嘟嘟熊之父$2017-12-24 16:17:10$195$忍吐看完，都是什么矫揉造作的烂梗。廉价情怀，拼贴鸡汤，所有人物都病得不轻。导演应该是筷子兄弟的铁粉，感觉借鉴了不少。
53$26654146$解忧杂货店$豆辛瓜辛$2018-02-19 15:40:05$67$每个人都是靠自己的努力，才走向了更好的人生。鸡汤还可以，但全篇不温不火的调调，有点无聊。
54$26654146$解忧杂货店$三更$2018-01-28 19:01:34$56$为小董勉强给个三星吧，唉，(-ι_- )这么好的IP拍成这样，还原度太低了吧，导演的要求是有多低???
55$26654146$解忧杂货店$名井南不南$2017-12-29 00:11:36$257$明明是解忧杂货铺，怎么看完反倒更加忧愁，这样的店铺迟早要倒闭啊。即使是日版电影，其实也只呈现了小说的60%，本土化不是最大问题，电影化是这个Ip最大的问题
56$26654146$解忧杂货店$内陆飞鱼$2018-02-02 16:14:10$11$改得挺傻的，除了李鸿其是个好演员，其他一般般，日本的多数小说，改成中国版，总是落不了地，国情不同，审美不同，生活不方式不同，三观不同，执行不力不同，所以一旦呈现，就是变扭，夹生，矫情。
57$26654146$解忧杂货店$Painkiller$2017-12-28 23:06:42$671$时间的魔法终会解开，只有努力才能获得想要的人生。0期待去看，结果竟然看哭了，明明每个故事都有bug，明明是一碗过期鸡汤，但是神奇的只要关于时间倒流交错的故事戳到泪点，导演没有太大发挥但是鸡贼地把氛围搞得很对，演员的戏份都很平均，基本不存在尴尬演技。李鸿其短发真好看。
58$26654146$解忧杂货店$海里睡人$2017-12-28 22:17:45$277$好演员也需要好剧本，来互相成就啊。抱着最低期待、冲着董子健来看了点映的人，内心感叹。妖猫传里的秦昊和解忧杂货店里的秦昊，连着看更感叹。 
59$26654146$解忧杂货店$风间隼$2017-12-31 17:47:26$11$看得出原著底子不错，改编版增加了不少本土元素，不过还是还原不出中国魔幻现实的底色，孤儿院、开发商、高利贷和走私生意的故事，哪儿能那么小清新呢。陈都灵的舞女角色尤其违和，但是架不住人好看。
60$26654146$解忧杂货店$怂管北北$2017-12-29 23:04:42$47$最后演员表出来时 有一行”王俊凯戏前表演指导”这么个职位也是666了。
61$26654146$解忧杂货店$华丽的春雨$2017-12-29 17:17:29$67$电影想表达一种人性的温情，然而结果是矫揉造作的假大空，演员不想做评价，毕竟年轻，以后能学习落在地上的表现，还有镜头不要转来转去的。
62$26654146$解忧杂货店$喵老师2333$2017-12-21 21:02:00$155$比预期要好一丢丢，被韩寒整成了解忧版《乘风破浪》。整部戏都沉浸在自我感动的情绪里。用宋丹丹的话说是全都是情绪，小演员怎么演。不过我想普罗大众应该会喜欢这种满是情绪的戏。左右两边的妹子都在擦眼泪🤷🏿♂️🌚🙈
63$26654146$解忧杂货店$jxw611$2017-12-24 18:02:27$161$郝蕾那个故事也太扯淡了吧，我感觉让她开淘宝会另类一点。三个故事，虎头蛇尾，矫揉造作也是没谁了。
64$26654146$解忧杂货店$瓦力$2017-12-29 19:10:42$43$这版把日版舍弃的小说第四段也拍了，片长还短20分钟，导演只顾把围绕杂货店的几段小故事简单串联交代完，让几个演技不达标的狂洒鸡汤，结果比日版更平庸浅薄，看完不会有任何感动的，好些部分改编得很无语，比如秦朗救维维，甲壳虫解散变杰克逊娈童...最后郝蕾通过开挂走上人生巅峰简直成喜剧了。4/10
65$26654146$解忧杂货店$七七四十九$2017-12-30 22:06:32$98$我喜！莫名被戳中好几个泪点，尤其是第一个小故事里，秦朗和他爸那段。不过整体剪辑还是有点乱，前两个故事的衔接好突兀，总体来说是个鸡汤电影。最后，小凯台词进步挺明显的。
66$26654146$解忧杂货店$三日月$2018-10-15 23:16:49$50$来给莫名其妙被拉下水的解忧打分，给五颗星吧。
67$26654146$解忧杂货店$我们会永远吗$2018-01-10 01:14:56$66$电影院看到海报有成龙就想去瞧瞧！不过有点儿失望。比日版差好远……
68$26654146$解忧杂货店$少女N$2017-12-24 22:48:50$170$本身原著在东野圭吾的小说里就是三流的（也就扯扯叙事结构了然而也并没有多了不得），电影拍的更无趣更温吞了，算是平平常常完成了小说任务，没有任何惊喜和特色。然后你看一下演员表，王俊凯、迪丽热巴，就知道这是一部什么水平的电影了。
69$26654146$解忧杂货店$草稿纸用完没$2020-08-14 17:19:36$80$本来挺好一小说，咋就被拍成这么烂的电影了呢？王俊凯那尴尬的演技真是令人无语
70$26654146$解忧杂货店$般若儿$2018-01-11 10:19:25$67$作为看过原著的人来说，电影虽然删减更改了许多原著中的情节，但是经典片段也完成的还不错，个人感觉王俊凯在电影里面显得年龄好小，好嫩的感觉😂胖迪的表演倒是没留下什么生刻的印象，就是那一头紫色短发挺帅气。😂还是推荐大家去看一看原著，真的很好看的。😊
71$26654146$解忧杂货店$蓝旗$2017-12-29 07:54:02$74$《解忧杂货店》作为东野圭吾在国内的著名作品，以温暖著称，犹如寒冷冬天喝了一碗鸡汤。看过原作，也看过日本版电影（拍的一般），国内这个版本实在太一般。流量明星只是勾连线索，三个故事没有一个故事表达的充分饱满，连最容易出彩的提前买房这些很有爆点的内容，都是平平道来。
72$26654146$解忧杂货店$荔枝蜜薄荷苏打$2018-02-20 00:31:01$41$一直觉得原著影视化很有难度，虽然电影尽力在还原，但作为一部独立电影，有点不知所云。主演好像只是挂名而已。
73$26654146$解忧杂货店$null$2017-12-24 16:43:19$147$没看过原著，看了提前点映。电影的主题还蛮好的，和我常说的那句话一样：倾诉本身就在治愈，说出来就会有力量。你经历的一切美好，都因为自己值得，其他人，都只是路过。片子颜值爆表，俊凯 分分钟让我变弯，迪丽热巴 又让我变回来。。。 
74$26654146$解忧杂货店$方枪枪$2017-12-31 00:25:29$38$其实原著小说本来就是个很碎片化的悬疑心灵鸡汤，时空交错下的杂货铺只是串起所有故事的那条线，这种小说虽然名气十足，但改编起来并不讨巧，而这部电影更是乱七八糟，反而成了模版化的短篇故事拼凑，剧本创作太差，而且各个人物都很碎，也就第一个故事还好点，越往后越差，这真不怪演员，怪编剧导演。
75$26654146$解忧杂货店$二月鸟语$2017-12-29 17:57:12$105$本土化和地域性的差异在这部片里展示的淋漓尽致～
76$26654146$解忧杂货店$别拍我就行$2018-10-15 20:30:22$69$迪丽热巴拿双杯是因为这部电影吗？因为她打一星的有毛病吧？
77$26654146$解忧杂货店$青 天大老爷$2018-02-16 18:37:23$53$改编有点水土不服，书本看完，一千个人有一千个想法，电影只是导演一个人的想法，所以肯定会有冲突，好在导演心中的解忧杂货铺是积极阳光的
78$26654146$解忧杂货店$巳注销$2017-12-29 21:11:50$82$被国产电影荼毒的东野圭吾以及被东野圭吾荼毒的国产电影。改一部，必然扑街一部，话放这里。
79$26654146$解忧杂货店$阿顺$2017-12-24 21:06:12$102$1、不是所有好小说都能被改编成电影。2、不是所有中国导演都能改编日本作品。3、这部电影重新定义了领衔主演和主演和友情客串。
80$26654146$解忧杂货店$不良生$2018-01-17 18:10:47$10$有郝蕾，有秦昊，都是被娄烨打磨过的好演员，却淌了这部温吞片子的浑水。
81$26654146$解忧杂货店$爱吃早餐的少年$2017-12-30 23:34:32$140$我不知道为什么评分这么低，虽然年轻的演员缺乏一些演技，但不至于影响观影吧。而且剧情也没什么大改动，当看见小说里出现的熟悉的剧情我还是非常激动的。如果一直带着挑剔的眼光看可能享受不到这部电影的乐趣吧。
82$26654146$解忧杂货店$本味何知$2023-02-09 00:11:09$1$不知道为什么评分比日版低那么多，虽然确实不怎么样，但大部分受诟病的点分明是中日两版共有的，且中版各部分的关联照应还稍好些，片子三星，鼓励一星。第一段九十年代落拓北漂，本土化程度很高，还有一众功成名就的好友做衬托，代入感比日版强。第二段求助者两版用了不同素材，都不怎么样，不过两版老爷爷都能镇得住，中版龙叔煽情没那么猛。第三段原以为会和日版一样具体建议投机开挂，没想到拍成了单纯的鼓励学习外加前景展望，立意比日版炒房略高，但细节跳得太多。最后的收线两版皆蛋疼，日版指鹿为马很牵强，中版重建被当成拆毁更牵强，完了还乐呵呵跟没事人似地去求原谅，特么真就是野孩子啊，虽然结局鸡汤灌得半斤八两，日版混混组好歹还装模作样地挣扎了一小会。
83$26654146$解忧杂货店$谢明宏$2017-12-29 12:59:34$140$小学的语文课本励志文都没这么馊～
84$26654146$解忧杂货店$浅墨$2018-10-15 22:21:07$68$很感人，说真的，很喜欢……好喜欢三字弟弟，演技不错，再接再厉~
85$26654146$解忧杂货店$C.1993.L$2017-12-29 12:17:53$252$"三颗星给电影，一颗星给东野先生，虽然给一颗但但这一颗是很重要的。除了部分故事没有显现出来，可能是由于篇幅限制，还原的还算挺好，包括各个细节。成龙老爷爷的红帽子很靓😜。
温情治愈系列的，展现在荧幕上，也不失温情。
片尾曲《重生》每个故事都很好。"
86$26654146$解忧杂货店$冼惜姑凉$2017-12-24 22:07:14$257$看了点映。最后的线全部串在了一起。喜欢这种残酷中带着的温暖与真情。
87$26654146$解忧杂货店$鬈毛毛$2017-12-31 13:34:15$5$我想这部电影可能只是不适合看过原著或日版的朋友。表示不是很懂是哪个窑子出来的剪辑和摄像 还有王俊凯整过容的演技…最后 我可以拿电影票去擦眼屎吗？
88$26654146$解忧杂货店$谋杀游戏机$2018-03-07 23:29:20$33$挺可惜的，典型的翻拍IP+流量主演+众星客串拼凑出来的怪胎，我全程都无法入戏。布景假，角色假，毫无生活气息，在这种情况下唯一有演技的董子健倒显得用力过猛了，还是人物有问题，太苍白。看完没觉得暖心只觉得是流水账，还不如乘风破浪打动人。唯独陈都灵的舞女style让我眼前一亮吧
89$26654146$解忧杂货店$雨山$2017-12-29 09:55:34$126$点映场，旁边俩粉丝买了十几张票也是很拼，可惜电影太平了，文艺装逼范儿，一大碗馊鸡汤，只有陈都灵算个小亮点吧~
90$26654146$解忧杂货店$扣子$2017-12-21 22:25:37$246$比预想的要好一些，董子健的演技是没得说感觉将来发展机会很大，剧本的改编也在接受范围内，中间还有一部分内容把我感动到了，电影整体色调比较喜欢。再一次感谢豆瓣电影给的观影机会
91$26654146$解忧杂货店$说点什么$2018-01-10 04:03:08$66$看的时候满怀期待，看过之后就觉得明明是打算把人物关系连接在一起，但就是觉得缺少了什么，感觉很奇怪。
92$26654146$解忧杂货店$喵喵喵$2018-10-15 22:18:06$46$很喜欢原著，当时看书的时候被感动哭了，原来听说国内要翻拍的时候还是有点担心的，看了之后让我挺惊喜的吧……还是很温情的一部电影。
93$26654146$解忧杂货店$贝塔先生$2017-12-24 17:21:04$120$可能这是大家已经触达天花板的表达了。架不住小说。唯一让人触动的也就剩下那首歌了。
94$26654146$解忧杂货店$青柠🍋$2018-02-09 01:15:43$37$整部电影都不怎么样，个人认为原著是很治愈很温暖的书，但加上中国特色后就很不伦不类，改编的很失败，影片的美学功底也不行，演员演的感觉都差不多，小董强一些。
95$26654146$解忧杂货店$柠檬味的猫$2018-02-08 19:48:08$46$改编不是很成功的感觉，有些失望，故事不完整，情节有些对不上了
96$26654146$解忧杂货店$baochen$2018-03-23 00:46:09$36$"還是日版的好一點
演員還有努力空間"
97$26654146$解忧杂货店$风逝$2017-12-29 17:02:08$71$一锅大杂烩，这明明他妈是成龙主演的电影，非要写上王俊凯、董子健、迪丽热巴的名字，是他们脸太大还是脸太厚，制作方为了骗鲜肉粉的钱这么做，无节操。我是为了韩杰导演看的这部电影，话说这个导演可以放弃了。另外迪丽热巴在这里面的扮相，好几次都觉得这是鹿晗吧。
98$26654146$解忧杂货店$腰腰$2017-12-25 00:49:30$105$看这个片子我唯一情绪有点波动的地方就是那个小波在孤儿院发疯的那段，其他就真的一般般。成龙老爷爷太令人出戏了，看着想打他。还有镜头为什么那么晃，好晕想吐。最后，演员太瘦上镜头真的不好看（显得太假），好吧也许不是因为瘦，是因为做过的鼻子。
99$26654146$解忧杂货店$潇湘烟雨$2018-02-25 12:22:19$37$还不如日版了，虽然那版也不怎么样，我还是认为这本书并不适合拍成电影
100$26654146$解忧杂货店$LYX不忘初心$2018-01-13 15:25:38$36$很喜欢东野圭吾的书，一开始知道要改编的时候，很期待这部电影。看过电影之后，虽然两个小时的电影只呈现了这本书里的几个故事，但是很不错了
101$26654146$解忧杂货店$风逝$2017-12-29 17:02:08$71$一锅大杂烩，这明明他妈是成龙主演的电影，非要写上王俊凯、董子健、迪丽热巴的名字，是他们脸太大还是脸太厚，制作方为了骗鲜肉粉的钱这么做，无节操。我是为了韩杰导演看的这部电影，话说这个导演可以放弃了。另外迪丽热巴在这里面的扮相，好几次都觉得这是鹿晗吧。
102$26654146$解忧杂货店$牛$2018-06-05 19:19:17$10$还是可以的，我喜欢看成龙的剧，就算他在里面只是一个快打酱油的，但是依旧能让人融入进电影，成龙也是个童年了啊
103$26654146$解忧杂货店$冼惜姑凉$2017-12-24 22:07:14$257$看了点映。最后的线全部串在了一起。喜欢这种残酷中带着的温暖与真情。
104$26654146$解忧杂货店$蜉蝣$2017-12-12 22:20:50$30$董子健（竟然）全程领演。
105$26654146$解忧杂货店$梅特龙星人$2017-12-29 10:31:24$137$就像一块被切割得四分五裂的日本豆腐，黄里透着黑，味道还是酸的。
106$26654146$解忧杂货店$浅墨$2018-10-15 22:21:07$68$很感人，说真的，很喜欢……好喜欢三字弟弟，演技不错，再接再厉~
107$26654146$解忧杂货店$小痕呀$2017-12-31 16:22:43$3$喜欢第一个小城音乐人和张维维的故事，电影整体是温暖的，只是整个节奏很奇怪，忽快忽慢，更像是零碎的故事拼凑出来的，不像电影。
108$26654146$解忧杂货店$腰腰$2017-12-25 00:49:30$105$看这个片子我唯一情绪有点波动的地方就是那个小波在孤儿院发疯的那段，其他就真的一般般。成龙老爷爷太令人出戏了，看着想打他。还有镜头为什么那么晃，好晕想吐。最后，演员太瘦上镜头真的不好看（显得太假），好吧也许不是因为瘦，是因为做过的鼻子。
