$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$26260853$速度与激情8$阿呆同学$2017-04-12 00:08:19$1701$妈的杰森斯坦森好帅啊好帅啊好帅啊好帅啊！！ IMAX太酷炫了！
1$26260853$速度与激情8$虾坨坨艺仔$2017-04-12 21:09:29$1281$喜爱大场面的朋友们千万不要错过这部汽车版的釜山行。
28$26260853$速度与激情8$Die Katze$2017-08-08 19:22:20$6$畢竟依靠個人主義立國，拍成這樣毫無違和感。
29$26260853$速度与激情8$搬砖侠$2017-04-14 09:49:51$169$这大概是强行续命的下场，以为靠着接连不断声势浩大的动作场面便能够吸引观众的注意力，但在剧本和情节上却几乎一无是处，编剧不求有功，但求满足观众的所有情结，不管反派杀了多少小伙伴，只要不是自己家人，编剧说洗白就洗白，你还能怎么样，看完感觉非常视觉疲劳，却什么都不记得了，完美诠释爆米花
30$26260853$速度与激情8$high$2017-04-12 16:20:36$180$郑重提醒各位豆友，素鸡8 这三个字不适合念出来。说激不说8，文明你我他。
31$26260853$速度与激情8$武侠小王子$2017-04-14 10:53:03$6632$这种电影和抗日神剧在本质上是没有任何区别的。
32$26260853$速度与激情8$芥末蘸酱$2017-03-20 16:01:43$165$最喜欢僵尸车那一段，最近三集中最有想象力的桥段。
33$26260853$速度与激情8$艾晨$2017-04-16 22:08:53$224$亲儿子才叫family，好兄弟都是rubbish。
34$26260853$速度与激情8$kakakarl$2017-04-12 21:48:23$112$"情怀不够小孩凑。开场十分钟内，路人说，impossible。这就是对全片的评价。"
35$26260853$速度与激情8$Mona Lishark$2017-03-20 15:26:48$142$一星给斯坦森＋强森。
36$26260853$速度与激情8$大奇特(Grinch)$2017-04-14 14:20:54$94$该系列拍到第八集始终遵循那套公式：（电脑特效x真实特技）+（新角色x人物关系)+（动作点缀x类型切换）=解决思路是“要更多汽车”，解决方法是“不怕愚蠢，只让你爽到”。
37$26260853$速度与激情8$托尼·王大拿$2017-04-14 15:53:07$83$贡献了只有这种档次投资的电影里才能看到的简单粗暴但令人咋舌的准奇观性场面，挺唬人的；然后就是累：眼睛累、耳朵累、脑袋累，靠着短时间快速剪辑堆积大量视觉与听觉元素去搅扰思考掩盖贫乏。
38$26260853$速度与激情8$安安$2017-04-14 01:48:37$105$强烈要求下一部采用巨石强森或者郭达作为主角！被郭达咣叽迷倒
39$26260853$速度与激情8$南悠一$2017-04-14 02:13:12$135$这个系列之所以在中国这么火就是因为它传达了一种精神：富强、民主、文明、和谐，自由、平等、公正、法治，爱国、敬业、诚信、友善。（不是玩笑）
40$26260853$速度与激情8$谢谢你们的鱼$2017-04-15 00:49:51$51$比六七都好，但是故事依然看的人很捉急，出色的地方是范迪赛的戏份被道恩和郭达稀释了，塞隆也是够辣，好希望下一部不用再看到范迪赛和罗德里格兹，缺点是高潮戏无一不让人失望，不是紧张感欠奉就是过于冗长，反而是开头的飙车和监狱打斗更好看。
41$26260853$速度与激情8$亵渎电影$2017-04-17 00:22:40$54$烧钱烧的是否有想象力，能否创造前所未见的视觉奇观，决定了这个系列的片子是否够硬。
42$26260853$速度与激情8$蒜 | BOY A✎$2017-04-14 16:14:44$47$简直太拼了，注定又要席卷全球。全世界荷尔蒙最旺盛的三个肌肉光头男，齐聚银幕，从赤道飙到北极圈。哈瓦拉街头追车，联邦监狱集体越狱，柏林大摆锤逆袭，纽约无人驾驶车队，天眼网络密布，冰原偷袭潜水艇，肉搏车速加高科技，令每场戏都肾上腺飙升。明星阵容无与伦比，又是温情大结局，后继有望。
43$26260853$速度与激情8$乌鸦火堂$2017-04-16 12:07:58$33$好汉聚义的模式也该到头了，张口闭口famliy就连我这个大粉丝都有些烦了，还好动作场面很给力，越做越大，大银幕非常爽快还是值回票价。从可持续发展角度，希望未来能变个路子，岩石跟郭达俩人玩得了，没有范老大电影其实更好看，全片最燃的一段其实开场古巴，暴力飙车+大妞很带劲
44$26260853$速度与激情8$徐若风$2017-04-14 17:01:23$60$"2.5 虽然阵仗越架越大，也做足了场面，但没了当年5的高水准和7的情怀，8又迅速重回这个系列的审美疲劳。
迷人的查理兹·塞隆本来能把片子再往上拉一点，可惜最后还是强行被套路、被智障。
真诚希望下集别再浪费时间在玩无脑的帽子戏法或各种洗白，强装高智商只会显得可笑。"
45$26260853$速度与激情8$汽车大师$2017-04-12 17:34:28$91$这个系列的真谛在于只要没干掉自家人都有机会洗心革面做好人
46$26260853$速度与激情8$bird$2017-04-14 15:05:51$53$故事发展到这个地步，为难死编剧，这部更是开启全面扯淡模式，我们要阻止第三次世界大战哦！哈哈，一开始你们是从哪出来的都忘了？扯的脸疼。亚裔女侠保罗去，老黑搭光头，还好有塞隆女神撑场子！
47$26260853$速度与激情8$麻绳$2017-04-21 14:33:21$31$这个系列从第五部开始就一部不如一部，这一部的情节更是跟屎一样。他们现在的制作逻辑是，只要我们用大场面把观众砸晕，他们是不会介意看了一个狗屎一样的故事的。至少在中国，确实是这样的。
48$26260853$速度与激情8$有心打扰$2017-04-14 02:32:46$1800$1.新世纪全球头号装逼范·迪塞尔，感谢李安在去年让他死了一回；2.整部影片都不知道在干什么，情感感受不到温度，智商感觉不在线上，场面越是严肃壮烈，就越是觉得脑残儿戏；3.那么问题来了，大家猜猜这集的大boss塞隆（弗）会在第几集被洗白？
49$26260853$速度与激情8$安德烈大叔$2017-04-15 13:51:16$682$速度与激情系列为什么在中国受到狂热追捧以及景甜的后台究竟是谁，可以共同列入中国院线电影十大未解之谜的前五名。
50$26260853$速度与激情8$芦哲峰$2017-05-11 08:06:34$30$这部片子的受众群体应该就是那些为了“激8”，经常出入于“速8”的人吧。
51$26260853$速度与激情8$\t^h/$2017-04-15 17:34:09$46$谁来专注拍一部Helen Mirren演秃子他妈妈的喜剧
52$26260853$速度与激情8$熊大茸$2017-04-15 15:31:57$34$感觉郭达一定能当个好爸爸(｡･ω･｡)ﾉ♡
53$26260853$速度与激情8$二月鸟语$2017-04-13 02:17:35$851$完全就是照搬007，上一部可以炒保罗，这部炒啥呢？《速8》《变5》这类片子其实就是检测一个国家观影群体电影欣赏水准的行业标杆，因为这些国家的大部分群体对电影的审美一直都停留以视觉特效来衡量电影好不好看这件事上。这也是那些在北美市场早已扑街的系列还能继续输出到这些国家的原因。
54$26260853$速度与激情8$Palefire$2017-04-14 02:49:34$37$下一部只有去太空飙车才能拍下去了吧？
55$26260853$速度与激情8$豆瓣路人己$2017-03-20 18:44:29$47$那段远程操控车，又high又有想象力，也很心疼。
56$26260853$速度与激情8$Rilkelee$2017-04-14 10:43:20$59$全场观众从头到尾不停地欢笑、鼓掌、欢呼，这个时候还考虑什么早就被光明正大喂了狗的剧情、逻辑与合理的人物发展呢？只能说，看了两千多部电影，我还从来没试过如此全心全意地希望反派能大获全胜、主角团全军覆没。。。（啊塞隆！！！！）
57$26260853$速度与激情8$汪金卫$2017-04-14 09:34:56$17$这个系列的套路化+不思进取越来越严重。甚至好几次都猜中了接下来的镜头和情节。赛车绝对不输，反派也能从良，主角必须不死。再加点插科打诨，齐活！票房必须高！杰森斯坦森就像从《机械师》片场串过来的。追车动作戏也就自动驾驶汽车那段有点意思，其他都是轰隆隆的爆炸咣咣咣的撞车，老生常谈。
58$26260853$速度与激情8$千寻亿选$2017-04-18 19:01:00$16$搞不懂为什么那么火，我觉得不如速7
59$26260853$速度与激情8$西楼尘$2017-04-15 16:59:22$18$古有桃园三雄结义，今有监狱义结金兰。旧有赵云长坂坡七进七出救阿斗，现有郭达幽灵机横冲直撞救婴孩。一众豪车装甲车在冰面上齐刷刷驶来，很担心下一秒化身变形金刚。僵尸车如雨纷纷坠下，警示务必小心高空坠物。核弹危机和碟中谍的套路让赛车沦为鸡肋，水下鳄鱼阻止不了人类延续，下部该生二胎了。
60$26260853$速度与激情8$与你走天涯$2017-04-14 11:39:10$42$剧情差评！场面虽大，却已经丧失了原味！还有里面的某些镜头剧情，实在让人提不起兴趣了！
61$26260853$速度与激情8$饕餮暴血$2017-04-14 02:33:22$51$失望，不仅剧情在xjb编，连引以为傲的大场面都拍的一塌糊涂。场面并不是越大越好的，动作设计还在频繁沿用温子仁的旋转镜头以及已经用烂了的慢镜，真的是毫无新意，僵尸车的噱头也是昙花一现。唯一惊喜的是郭达的表现，感谢第三幕里面还有他这样一股清流穿插在狂轰乱炸之中
62$26260853$速度与激情8$康报虹$2017-04-13 23:41:04$45$以前，我们一起骑摩托、开超跑、干坦克、跳飞机；现在，我们赛潜艇；最后，依然是We are 伐木累！/IMAX首映/
63$26260853$速度与激情8$大头绿豆$2017-04-20 18:06:34$11$真的可以看过就忘呢。
64$26260853$速度与激情8$䒳$2017-04-19 20:09:51$10$中间一段快睡着…塞隆，海伦加一星，请快点把他们团灭好嘛！
65$26260853$速度与激情8$渡口无边$2017-04-16 20:18:01$31$为了达到目的不管什么无辜的人都可以随便杀？一个女大反派发射核导弹的动机就是为了让全世界一点color see see？塞隆给dom看了小视频后dom明明有足够多时间解释一切却偏偏伪装叛变？下一部如果汽车不能变形，开车不开到地球之外就别拍9了。2.5
66$26260853$速度与激情8$方枪枪$2017-04-15 13:05:11$17$其实已经类型化，和漫威超级英雄、变形金刚系列都差不多，知道受众的诉求是什么，那就给他们看什么，当个爆米花电影看看热闹得了，喜欢开心就好，其他的应该也不需要多说什么了。
67$26260853$速度与激情8$davekozg$2017-04-15 14:39:47$29$“男友的前任死了，他现在带着和前任的孩子要和我一起过，我该怎么办？在线等，挺急的” #哈瓦那和纽约两场很精彩，核潜艇大战一场画面叙事条理太乱观感不好# 虽说没打算动脑子看这个片子，但前女友这个角色根本立不起来
68$26260853$速度与激情8$喜儿喂鸭正经地$2017-04-27 04:11:33$15$不知道这个片子拍这么多续集的意义在哪里
69$26260853$速度与激情8$临时昵称$2017-04-15 23:13:30$7$伊斯特伍德的儿子将接替保罗沃克，饰演 白人 。
70$26260853$速度与激情8$CyberKnight电子骑士$2017-07-22 00:15:18$4$卖拷贝的片子如果叫“Gun Porn”，这个就是“Car Porn”。整部片子基本就是在一直刺激你的荷尔蒙分泌。僵尸车和结尾冰上车爆两段最刺激，其他部分乏善可陈。
71$26260853$速度与激情8$橡雨果果$2017-04-14 02:51:17$22$直男癌大爆发，仿佛看了一部超级英雄➕丧尸片，高潮节奏掌握得还可以，但整个片子毫无逻辑，女反派那么大的格局资源，玩这么嗨就为了放几颗核弹告诉全世界“我是坏人”，而且偏偏挑个有老婆孩子的对手作为自己的主力军光明正大地作死是不是脑子有坑。
72$26260853$速度与激情8$余小岛$2017-04-14 12:34:30$508$这已经不是飙车电影了吧，都快赶上科幻片了。。。天眼这么牛逼，核潜艇这么牛逼。。当然最牛逼的还是车，连热追踪导弹都出马了，还炸不死一辆车。。。
73$26260853$速度与激情8$殇潮|Enigma$2017-04-15 13:20:15$6$你们系列不考虑下叫mission impossible &amp; die hard吗？这猪脚光环搞得一手遮天到让人翻白眼就得不偿失了吧…没有郭达一家的话真是食之无味
74$26260853$速度与激情8$Eve|Classified$2017-08-23 00:00:15$0$成功预测三个男朋友联手
75$26260853$速度与激情8$Hushnore$2017-04-17 05:08:31$9$一个起初以法外不羁为卖点的系列，拍到现在，每个角色都满嘴的“伐木类”，听得人膀胱炸裂。
76$26260853$速度与激情8$👹天神的审判$2018-02-25 11:13:51$23$和前面系列相比差一些了，但是演员的表现还是可圈可点，里面的极速赛车镜头也非常棒，鼓励一下给五星吧
77$26260853$速度与激情8$白日美人_S$2017-04-27 04:12:55$3$家庭的概念在这个系列中一向成立，然而此部把这个概念过于戏剧化地使用和升级，导致有些营养过剩。被僵尸车群拐弯的镜头惊到下巴掉在了地上。
78$26260853$速度与激情8$刮刮油$2017-04-16 12:45:10$33$虽然一再说的家庭概念已经有点过多了，但还是爽的，三个秃子把我看硬了。塞隆脏辫性感。
79$26260853$速度与激情8$游牧人·芳汀$2017-04-20 22:29:05$5$#电影院# 轰轰轰，呜呜呜，跑跑跑，跳跳跳，炸炸炸，飞飞飞，冲冲冲……唯一心动的时刻是Vin Diesel看着Michelle Rodriguez的英勇飞车表现，骄傲地笑着说“不愧是我的女孩。”搞得我突然好想做大佬的女人嘤嘤嘤嘤
80$26260853$速度与激情8$波波维奇$2018-03-13 11:06:43$16$虽然是爆米花电影但是看着还是酣畅淋漓，特技酷炫、刺激精采，真是肾上腺素飙升。
81$26260853$速度与激情8$柯里昂$2017-04-14 17:22:55$24$三星半，虽然新花样不多，不过僵尸车和潜艇那段还是小燃了一下。斯坦森和巨石强森两位太抢戏，风头快盖过范·迪塞尔了，以及海伦·米伦阿姨只几句台词却频频逗得人哈哈大笑，最后，必须要提一下，再一次跪倒在塞隆女王裙下，贡献了绝大多数看点，成功入选“史上最霸气反派”名单，全程在“天上”演戏！
82$26260853$速度与激情8$心生$2017-04-15 12:15:35$10$前面一个小时冗长絮叨，后面连环High扳回来不少。依然不用担心主角，不用担心任务是否会成功，挺过乏味的文戏，看看直接给的飙车能玩出什么花样，也就够了吧，僵尸车群、冰上大战效果可以。大块头范·迪塞尔举着小萌娃说这一切都是因为你，然后给萌娃起名布莱恩，比较有爱。
83$26260853$速度与激情8$办公室甜心$2017-04-18 00:29:47$2$最后一下真的是直接飙泪
84$26260853$速度与激情8$小河马$2017-04-14 22:07:49$29$速基的套路：装完逼就跑，边跑边装逼，跑完再装逼。
85$26260853$速度与激情8$金敏丧$2017-04-14 23:57:58$189$我以为我会被这群老司机带上车感受速度与激情，谁知道只是去影院体验了下速8酒店的睡眠环境。
86$26260853$速度与激情8$大星$2017-04-17 00:57:28$4$我最后的温柔了！！！！！再有我也不会去看了...LAY了！ 看到LUKE还是满惊喜的
87$26260853$速度与激情8$老罗Lazzaro$2017-04-14 21:39:42$10$PW一走，8这一部已然把速激系列变得套路和夸张化，家庭车战肉搏反派一气堆叠，再无亮点。僵尸车流与高楼车雨这段还可以。
88$26260853$速度与激情8$华盛顿樱桃树$2017-04-12 21:16:08$19$刺激直接稳准狠。有些段落实在是神了，令人印象深刻。但虽然演员们很拼，塞隆美得霸气，但没有了保罗沃克之后，速激应该就结束了。
89$26260853$速度与激情8$贝塔先生$2017-04-15 23:58:56$13$有趣的地方可能也就剩下郭达飞机就baby那段了吧。
90$26260853$速度与激情8$Ocap$2017-04-14 21:34:33$44$细想一下，现在的素鸡系列不就是美版跑男嘛，撕归撕，we are 伐木累
91$26260853$速度与激情8$外出偷狗$2017-04-14 20:05:21$6$不要再强行续了。以后专注拍Shaw家吧。
92$26260853$速度与激情8$蜉蝣$2017-04-23 22:15:50$7$粗鄙庸俗。
93$26260853$速度与激情8$KitajimaJunko$2017-04-15 04:31:49$2$“不愧是我的女人”“向你介绍全宇宙最重要的人”——范迪塞尔说这两句的时候帅我一脸，Dom这个角色本来就是逆天的吧。对于1234567都没看过的人来说，剧情就不评价了。场景不错，有几场戏还是挺燃的，越狱那段的音乐加上远景视角的纵深感简直要炸。【北京朝阳剧场】
94$26260853$速度与激情8$机器猫$2017-12-07 16:04:05$48$一路看下来，第八部对我来说没什么惊喜！但是看的时候还是很激情的！这次比较来说是走亲情路线！
95$26260853$速度与激情8$Laplace Demon$2017-04-16 15:41:21$5$"""Fuck Physics"" is back!!! #Goes back and rewatch Mad Max again  #How come Furiosa doesn't get to drive"
96$26260853$速度与激情8$qw0aszx$2017-04-15 01:40:34$6$这部不仅故事弱智了，动作场面都没有啥有想象力的片段，那还看啥啊 4.5分★★
97$26260853$速度与激情8$恶魔的步调$2017-04-14 21:15:55$16$看了好多惹火的屁股，电影院过节一样，像是穿越到了春节档。
98$26260853$速度与激情8$魏非$2017-04-14 03:17:30$19$下一部建议直接飞出大气层，开宇宙飞船去飙，原本就是一帮飙车的小混混，到第8部感觉比复仇者联盟也不差啥了吧，动作场面的确好看，但是越往后越审美疲劳了，最后核弹出来也不觉得怎样了，建议观看，别带脑子去
99$26260853$速度与激情8$占士鯊$2017-09-01 16:23:47$2$我靠喵森惡意賣萌
100$26260853$速度与激情8$👹天神的审判$2018-02-25 11:13:51$23$和前面系列相比差一些了，但是演员的表现还是可圈可点，里面的极速赛车镜头也非常棒，鼓励一下给五星吧
101$26260853$速度与激情8$花田怎么了$2017-04-15 23:59:44$7$一小时前不想尿尿却坐不住，一小时后想尿尿却舍不得去
102$26260853$速度与激情8$蜉蝣$2017-04-23 22:15:50$7$粗鄙庸俗。
103$26260853$速度与激情8$Laplace Demon$2017-04-16 15:41:21$5$"""Fuck Physics"" is back!!! #Goes back and rewatch Mad Max again  #How come Furiosa doesn't get to drive"
104$26260853$速度与激情8$恶魔的步调$2017-04-14 21:15:55$16$看了好多惹火的屁股，电影院过节一样，像是穿越到了春节档。
105$26260853$速度与激情8$mumudancing$2017-04-19 22:08:13$8$范迪塞尔都五十岁了，我们还活在冷战时代……
106$26260853$速度与激情8$魏非$2017-04-14 03:17:30$19$下一部建议直接飞出大气层，开宇宙飞船去飙，原本就是一帮飙车的小混混，到第8部感觉比复仇者联盟也不差啥了吧，动作场面的确好看，但是越往后越审美疲劳了，最后核弹出来也不觉得怎样了，建议观看，别带脑子去
107$26260853$速度与激情8$占士鯊$2017-09-01 16:23:47$2$我靠喵森惡意賣萌
108$26260853$速度与激情8$bobobolao$2017-04-17 20:20:28$4$大场面特效除了僵尸车一段比较有创意且视觉震撼，其余都尚且合格，作为这一类型片冲这也可值回票价。但剧情方面真的是编剧纯粹为了拍续集而榨脑汁拼凑出来的，逻辑性完全是硬伤。影片中也数次提到布莱恩的名字，无非是想加强与前作的联系。综合评价3星半，多给半星话先放这，后面还有两部要玩烂
109$26260853$速度与激情8$KitajimaJunko$2017-04-15 04:31:49$2$“不愧是我的女人”“向你介绍全宇宙最重要的人”——范迪塞尔说这两句的时候帅我一脸，Dom这个角色本来就是逆天的吧。对于1234567都没看过的人来说，剧情就不评价了。场景不错，有几场戏还是挺燃的，越狱那段的音乐加上远景视角的纵深感简直要炸。【北京朝阳剧场】
110$26260853$速度与激情8$Hachiko$2017-04-14 16:04:07$12$三星半。范·迪赛尔的黑化有点莫名其妙，前一个小时的文戏也感觉编剧努力想把故事编的更圆润和少硬伤，但仍感觉无济于事，还好，三场大戏依旧让人荷尔蒙喷溅，俨然让动作片变成了魔幻超现实主义。另外，最后的潜水艇爆炸围拢护主和儿子取名布莱恩让人泛起泪点。
111$26260853$速度与激情8$qw0aszx$2017-04-15 01:40:34$6$这部不仅故事弱智了，动作场面都没有啥有想象力的片段，那还看啥啊 4.5分★★
112$26260853$速度与激情8$Chaall$2017-04-21 22:54:14$4$宝宝非常萌~
113$26260853$速度与激情8$木偶$2017-07-09 14:22:30$8$这部电影和抗日神剧在本质上是没有任何区别的。
114$26260853$速度与激情8$瑾朵朵$2017-08-06 13:24:18$2$没意思没营养没剧情
115$26260853$速度与激情8$寒狐传媒$2017-06-07 22:30:38$3$汽车人忘记变身，核潜艇恢复晨勃。
116$26260853$速度与激情8$给你我最亲爱的$2017-04-17 09:37:58$3$希望下一部能够平平淡淡地飙个车，秀个恩爱，不要在大场面炸炸炸了，有种强打肾上腺素，没有感觉多刺激反而有些审美疲劳。
117$26260853$速度与激情8$Dita$2017-04-16 16:31:46$4$"看塞隆超强黑科技女Boss！
如果没有她的加盟。这部系列片我真的是再也不想see you again了！奈何选角是心头爱！全程女王范霸气十足，请不要再拍Dom这个伐木累了，去拍Shaw一家好吗！！！"
118$26260853$速度与激情8$Bless_U$2018-03-16 17:13:46$8$视觉冲击，然后经不起推敲，大片就是狂轰乱炸让你没有思考的时间，爆米花电影+1
119$26260853$速度与激情8$Yuyii$2017-04-22 08:05:02$6$建议多姆和他的提姆totally加入复仇者联盟...
120$26260853$速度与激情8$白发生$2017-04-15 23:00:49$5$无脑快餐滋味妙，同事朋友齐称道。不舔不是中国人，认祖归宗全靠票。这个系列发展至今早就跟速度与激情没什么关系了，主打破坏和肉搏。这回书讲到郭达纳投名状，可谓家人杀我家人者必爱之。正邪无绝对的主题深得马克思辩证唯物主义之精髓，期待下次伐木累能再破逻辑与常识底线驾车遨游太空。
121$26260853$速度与激情8$ღ 狐不悔，$2017-04-16 15:09:41$7$已经老到看速八能睡着的年纪了orz整部片子的意义在于越狱的配乐和僵尸车…
122$26260853$速度与激情8$LOL$2017-04-22 01:06:29$2$老肖家外传啥时候给拍了
123$26260853$速度与激情8$蔕$2017-04-28 21:52:17$6$全程闹得挺热闹，就觉得累。大场面有，剧情无，这个系列果真不是我的菜，不再尝试了
124$26260853$速度与激情8$滕子京$2017-04-15 13:40:47$6$你以为是赛车，是枪战，是肌肉怪，是拳对拳，指针冲破仪表盘、荷尔蒙飚破肾上腺，结果却是两个程序员在键盘上巅峰对决。肌肉亮过了，坐下来打打字拼拼脑力，看什么样的反派，才配做旧反派的上级。只有FF能超越FF的传奇，就像只有速8能超越速7。目前为止，全系列最好的一集
