$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$35372742$无名$比目鱼很好$2023-03-05 18:14:08$2$程耳导演真的用心了，从头到尾明明有这么多可以会心一笑的点
45$35372742$无名$渺小.$2023-02-01 01:06:48$16$结尾还画蛇添足进行如此直白的解释。
46$35372742$无名$飞雪丶冰凝$2023-01-22 14:11:59$258$看完之后，我只想问影帝影后很缺钱么？要主线没主线，要演技没演技，要颜值没颜值，看来以后影帝影后也不能相信了
47$35372742$无名$柏林墙$2023-04-16 12:08:32$0$王一博看得我好尴尬
48$35372742$无名$墨鱼饼（emo中$2023-02-26 21:06:43$0$怎么说呢，不如罗曼蒂克消亡史，虽然有的镜头还算喜欢，但故事太太太过于简单了，而且还很俗套，觉得导演退步的程度
49$35372742$无名$米米$2023-01-22 11:40:50$81$不愧是程耳导演，牛大了。值得
50$35372742$无名$7oo11oo$2023-04-11 13:52:51$0$其实不孬 甚至从打斗戏开始对导演故弄玄虚的叙事也没意见了。但看这部电影 很难不对参演的青年演员感到失望 他们实在演绎不了气质深重的角色。
51$35372742$无名$C  C$2023-01-22 11:54:13$358$刚从影院出来，朋友我俩还在感叹，剧情紧张刺激，推荐推荐
52$35372742$无名$evelin$2023-01-22 11:36:20$254$程耳的装腔美学真不行，搭配满大人和面瘫小鲜肉。。属于debuff了
53$35372742$无名$yushiguozhu$2023-01-22 12:07:59$64$初一早上九点多的一场，哈哈哈很早～很喜欢程耳的叙事逻辑和画面，也很喜欢谍战，所以无名是我今年春节首选～总体来说，服化道都很精致，情节也很紧张，前面都是铺陈，有程导最喜欢的叙事结构～梁生还是那么帅，那么深邃，后半段王一博的演技炸裂，渣痞天花板！准备去二刷，因为前面有些部分叙事结构被打乱，需要二刷再去品一品～
54$35372742$无名$小白菜$2023-01-22 12:04:57$410$很久没看谍战片了，本来简单的不能再简单的故事，通过导演的多线叙事让故事凭空复杂化了。为了能让大家看懂，所有故事最后都回环扣回来，也算是难为导演的良苦用心了，能看懂了。梁朝伟的演技真的太经典了。有梁朝伟就不会有偏差。至于大主角王一博，太大挑战，评分一定两极分化。能看出来表演很稚嫩，婴儿肥都没去掉。这也算是他走上电影荧幕的重大宣布吧。希望他除了耍帅还能有更多适合他的表演。
55$35372742$无名$qandA$2023-03-02 22:42:33$3$过年时和我三个朋友一起看的，网上提到的一些电影的细节和伏笔，其实在当时我们基本都没看得出来，但是回头想时就觉得蛮绝的…我是认为如果电影结构能更清晰易懂会更好。除去一些当时没看懂的地方，我们四个人都看得蛮爽的，不论是中间的打斗，心理博弈，还是最后角色的反转，都可圈可点。说实话，在看之前我们都没对王一博的演技抱太多期望，结果蛮出乎意料的，他演得还蛮好的，不过真的是形象太突出了，会有被他的外表夺去注意力的时刻，但好在整体我们都没感觉出戏。开始还以为梁朝伟和周迅是大男女主，冲着这么好的阵容也要去看，看到最后才发现王一博才是大男主哈哈哈哈。想二刷看个明白来着，有事给耽搁了也没二刷成。
56$35372742$无名$马冠群$2023-03-07 20:00:14$3$口碑两极分化？真没看出来哪里要黑
57$35372742$无名$哇哦$2023-01-22 12:13:54$565$本来冲着大哥来的，结果被王一博的猪头劝退！靠！太辣眼睛啦！邪祟退！退！退！
58$35372742$无名$也无晴$2023-01-22 13:11:55$257$“无声处听惊雷，无名者救苍生”。程耳说：“相信观众的审美”，作为观众，也感谢导演和演员如此精致的呈现，这样的作品就该放在大屏幕上。太激动了！具体细节方面想说的太多，放在影评。
59$35372742$无名$ludayuanchishi$2023-01-22 13:14:21$382$难看，大年初一为什么遭这个罪来看这个，浪费时间浪费钱
60$35372742$无名$乐乐$2023-01-22 11:52:47$124$画面可以说是华丽，虽然有些拍的是残垣断壁，但是在大银幕上看到，还是非常震撼。各位演员也完全融入到了那个年代，民国就是这么一个充满颠沛流离，充满悲情的时代。每个情节都有存在的意义，最后揭秘的时候，是会让你大呼“原来如此”的，真是爽到每一个毛孔。
61$35372742$无名$再睡一夏$2023-01-22 11:47:12$272$大年初一大早被我妹死活拉去看了，可能我水平低吧，看的云里雾里，好无聊，梁朝伟也不帅了……演技都麻麻，不值得我40多的票价…纯陪老妹追星
62$35372742$无名$天天丘山$2023-04-17 04:59:37$1$好看！喜欢！电影有很强烈的程耳的个人风格，各种插叙倒叙反转，好像拼魔方一样，镜头也很有艺术感。第一次看罗曼蒂克消亡史的时候我还觉得看不懂，今天看无名的时候我开始喜欢这种风格了。让人看完第一遍总想看第二遍，总怕遗漏一些细节。
63$35372742$无名$aw_$2023-02-14 20:57:46$6$我愿称之为春节档最佳。真的很喜欢这种恍然大悟的感觉。真的很喜欢把剪的七零八碎的时间线拼在一起的方式。好喜欢好喜欢。周迅梁朝伟我说你俩别太配了我靠。真的很喜欢芜湖。虽然感觉跟满江红有通病，但还是比满江红强点。好喜欢我靠。好喜欢。接下来打算把罗曼蒂克消亡史补上。开心开心极了。
64$35372742$无名$微信用户$2023-01-22 11:55:16$123$"这样的电影才是电影！！！每个镜头都特别有它该有的存在！打戏真的是惊心动魄！不得不说全员演员都牛逼😭😭😭我到现在都还没出戏！值得三刷以上！！还有还有地表最强摄影机把人物皮肤的机理和光影完美融合！简直不要太牛！"
65$35372742$无名$小朱和小熊$2023-01-22 11:16:00$90$程耳导演是人不在江湖，但江湖都是他的传说，这次我是想验证一下，是不是传说中的那样，看过之后，只有一个字:服！会二刷
66$35372742$无名$sometimes$2023-01-22 11:53:07$1320$王一博的脸挺出戏的…………
67$35372742$无名$Miss$2023-01-22 11:42:00$183$“我看过他们的故事 ，他们就有了姓名。”        枪战打戏酣畅淋漓、悬疑反转紧张刺激、群像角色饱满鲜活、镜头语言处处诉说。每个演员的表现，演技都很好，太惊喜了，不愧是程耳导演[强]
68$35372742$无名$Serpensortia✨$2023-01-30 01:28:39$6$美术赞有质感 但细节交代不清剧情悬疑薄弱用画面撑会感觉有点装 割裂感强难入戏
69$35372742$无名$大花$2023-02-10 16:54:17$0$时间节点稍注意一下不难猜。看完还是想重温风声！
70$35372742$无名$大居居$2023-03-18 18:31:43$0$还是能够跟着看看，不过台词写得太差了。而且这个主旋律得太猛了点，就是都太不合理了。缺意思了。
71$35372742$无名$突突的雪茄$2023-04-16 22:46:28$0$配乐和镜头真的美啊拍的有点花里胡哨导致整个节奏看下来少了一点谍战的紧张感，梁朝伟太帅了
72$35372742$无名$Surf boy$2023-04-23 10:06:24$0$可以更好
73$35372742$无名$大魚松子$2023-01-22 11:46:14$1461$首映场 构图看得出来用心、bgm乱轰炸、故作高级感、剧情稀碎。另：有些人的脸和演技真的不适合大荧幕。
74$35372742$无名$炸酱面$2023-04-16 15:53:42$0$这个剪辑和顺序真困惑，只感觉意义不大，画面不错，最后就是这哥们的演技真不敢恭维，没表情啊，还是梁朝伟帅
75$35372742$无名$好的行行行嗯嗯$2023-01-22 12:45:17$85$准备二刷
76$35372742$无名$费纸姬$2023-02-16 03:04:13$4$两个人打的还挺好的
77$35372742$无名$兴奋到死的东西$2023-03-28 14:50:49$0$情节太简单，一般
78$35372742$无名$繁星$2023-04-16 22:01:10$1$挺无聊，挺无语的，各种切换，特别混乱，大可不必，简单点不好吗？
79$35372742$无名$兔美$2023-01-22 11:56:20$272$亦正亦邪疯批美人！
80$35372742$无名$Sunsplanter$2023-04-17 19:00:23$0$看第二遍加上一些解读,感觉起码有调理了,但整体而言剧本还是太单薄,只是反复在欣赏画面构图.最后的反转并动人,有一种急促,为了反转而反转的感觉,王虽然并不好,但也并没有那么差,倒是张确实很差
81$35372742$无名$日不落的热气球$2023-01-22 11:43:24$411$因为梁朝伟和周迅去看的……但梁朝伟和周迅也救不了烂片………影片剪的稀碎，连最基本的故事都讲不好，还有王一博………不会演真的不要硬当演员好吗！本来电影就够难看了，王一博一出来就我就忍不住内心那想破口而出的问候！那脸且先不论好看与否就整一个木的！眼神木的脸是木的………这么一张脸是怎么可以演电影的？真是大喊救命。已经不记得多久没看过这么难看的电影被这么可怕的演员一整个整到无语。真的难看！难看到一整个坏心情！
82$35372742$无名$局外人$2023-02-18 15:53:13$2$毫无任何惊喜，错乱时间线的擅长也没有了，今年真的是每部都是红色教育，最差的程耳
83$35372742$无名$栗滋栗子梨汁$2023-04-16 14:57:54$1$好人演得像坏人不才是应该的吗，不然卧底就会被发现了。ps：王一博路人，但这剧里的一博太帅了！
84$35372742$无名$flora$2023-01-22 12:12:56$167$披着程耳外衣的商业烂片！！！
85$35372742$无名$拉格朗月$2023-04-18 22:56:26$0$演员都很不错 打乱时间线稍显刻意 
86$35372742$无名$心扉的信$2023-01-22 12:24:56$101$绝对绝对值回票价！画面在电影院看太爽了，后半段是屏气静神的看完的，生怕错过细节，导演很会拍人物啊！梁生、讯姐、日本军官、叶先生，江疏影出场不多但很美，叶先生好疯批好喜欢！真的都去电影吧，去享受一个好故事！
87$35372742$无名$流浪小狗勾$2023-03-10 14:58:19$0$镜头语言和剪辑有时会给我布达佩斯大饭店的即视感，但剧情太过简单，没有什么悬念，和“悬疑”这个标签实在是不匹配。比如从一开始黄磊投诚就知道梁朝伟是地下党，因为在黄磊还没报陈小姐的名字的时候梁朝伟就已经写下了“陈”字。观影从头到尾都没有被悬念吊胃口或者恍然大悟“原来是这样”的感觉。是拍得不错但是剧情没什么意思的片子。
88$35372742$无名$豆友523❤️$2023-01-22 14:03:53$227$不好看
89$35372742$无名$Mr  Wu$2023-01-29 07:41:43$16$这部片子绝对是被引流耽误的神作。所有演员都贡献了不错的演技，看电影的感觉像在拼拼图，观影体验很有意思，感觉更让人印象深刻，全程被影片走向吸引，跟着剧情走向猜测、疑惑，随后，一切的谜团都在观影中被合理地解开。别被骗了，这部片子有绝对7点5分以上含金量
90$35372742$无名$某某某$2023-01-22 11:16:29$133$一直看不到点映不知道口碑咋样，没想到还是被难看住了，大过年浪费钱，就不该抱有一丝期待，也是，连主演梁朝伟都不宣传不在乎的电影能好看到哪去，剧情稀烂毫无意义，其他人演技我也不评价了，懂得都懂，无语😓中途换场去看别的电影去了
91$35372742$无名$小安家里养的狗$2023-01-22 12:32:10$260$1.电影装逼只装一半也太难受了（但是还是有喜欢的片段）2.你说全片都端着那种“文艺范”的电影，有几处配乐莫名其妙就奔着mcu风格去了3.打乱时间线的效果就是开始看不明白，看明白之后“就这么点事你打乱的意义是？”（只有结尾那个反转打乱时间有点用）4.而且反转也是那种显得前面剧情很弱智的反转5.所谓的“烧脑”就是打乱时间之后反复重复台词6.男二演戏好搞笑 ，甚至不能全怪在演员上（虽然他演技很垃圾）导演只想让他装，但是氛围又完全对不上
92$35372742$无名$旺仔$2023-02-13 10:44:37$7$难看
93$35372742$无名$走路的鱼$2023-04-12 08:26:10$0$叙事线顺序还是导演的风格。
94$35372742$无名$ASAKA$2023-04-21 20:12:46$0$剧情一半是回忆，另一半是打不死的小强。台词太糟糕，女演员基本是柔弱的摆设和花瓶，除了梁朝伟和周迅，大都在念稿，王一博和未婚妻的戏码好似过家家，演技单薄的连做表面功夫都达不到水准，在如此烂俗的剧情下，这出戏成了梁朝伟的个人秀，一个点烟的动作，随之而来的笑容，举手投足，游刃有余，收放自如，光看着他就能瞬间沉浸到影片里去，可一旦镜头切换到王一博立马脱戏，整个人透着股紧绷感，很多角度是停顿式的摆拍耍帅，需要情绪时除了三白眼瞧人没别的表情了。角色内心是个很颠覆的人，前后反差巨大，最后那段弑杀并没有体现出感官的反转过于平庸，然后又加了段王墨镜式的花样偶遇，纯属多余，直接切到楼道话别就够了，醉虾吃得太生猛了！
95$35372742$无名$Salome°$2023-01-22 14:10:53$223$很好看  不知道该怎么说  反正就是好看  王一博有惊艳到我  梁朝伟周迅就更不用说了
96$35372742$无名$JackyWoo$2023-04-12 18:16:49$1$最后的苦肉计有点骗到我了
97$35372742$无名$CC$2023-01-22 13:34:32$310$宣传说是商业片我以为程耳改了，结果还是故作玄虚的风格，不肯好好讲一个故事，以前有演技好的演员撑着，还能吹个人风格片，这部电影高光都放一个毫无演技表达不了情绪的王一博身上，彻底成了烂片。拍电影给观众喂SHI还要从观众口袋掏钱，你们捧自己人拍拍电视剧差不多了，别太过分。
98$35372742$无名$一丨丿丶$2023-04-23 15:33:53$0$一般
99$35372742$无名$渡口无边$2023-01-22 13:40:46$191$大字幕很明显在学墨镜王，摄影美术也是。气质是有的，但都不是程耳的。除此之外，一地鸡毛，十分稀碎。
100$35372742$无名$GONE$2023-01-22 12:04:20$532$在大银幕上有人的脸实在对我冲击太大了🥲
101$35372742$无名$曼玉姐姐$2023-04-16 23:02:45$0$剪辑很奇怪  风格很王家卫  王一博是帅的  但是演技差周迅梁朝伟十万八千里
102$35372742$无名$颠倒的目下$2023-02-24 13:20:58$0$除了镜头，都不太行，其实王一博这个角色也就那样，不需要太难的表演，还是故事太拉跨了
103$35372742$无名$伊维特$2023-02-28 23:24:04$0$集体飙演技的感觉还是不错，文艺地谍战其实挺好的，但太过炫技般的混乱剪辑来制造的悬疑，让人厌烦，前半段一bo像个大傻子，后半段还挺带劲的，没拖大家后腿。打戏过瘾但整得太久，有种曰太久想兴奋又太累了的观感。迅哥太猛了，一个拥抱能把眼皮和腮帮子抖成那样，简直是极品。
104$35372742$无名$安敏赫在逃保镖$2023-01-22 12:25:11$384$为了看婧仪妹妹买的票，电影真的好难看，完全没有那个时代背景的感觉，馒头脸面瘫演技一直故作高深。。。。。
105$35372742$无名$牧无清$2023-04-18 03:42:23$0$主线剧情叙事的不太好，内容分类拆分成几个小故事倒是不错
106$35372742$无名$萌不拉$2023-01-22 12:38:14$328$冲着梁朝伟和周迅去的电影院，而且真的很久没看过梁朝伟的电影了，满怀期待地第一时间去看了。我看完真的很失望……麻烦以后影帝影后选片子的时候不要和面瘫流量合作了，我真的是前一秒入戏下一秒就出戏，很痛苦。我怕被某个人粉丝攻击就不说是哪个人了，大家心知肚明，看完就只剩下一种感觉:“强捧遭雷劈”。
107$35372742$无名$dcyuan$2023-03-18 17:58:03$2$程导的抗战三板斧：上海话、日本人、王传君
108$35372742$无名$JOJO$2023-01-22 12:17:51$454$给一星是因为最低只有一星！我的天！中国电影史烂片排行榜，无名敢排第二，没人敢说自己第一吧？字幕也不做一下？导演是对演员的台词多自信？拜托你的演员嘴巴都张不开好吧！你指望他能说的清楚些什么啊？我是脑子抽风了，大过年的来电影院看鬼子虐杀中国人吗？？看隔壁熊二不好吗！！
109$35372742$无名$pagyanga$2023-01-22 13:59:39$250$程耳蒙太奇的神
110$35372742$无名$白河夜船$2023-02-15 16:00:12$4$一个如此苍白简单的故事非得拍的故弄玄虚，张婧仪和王一博把我演笑了，梁朝伟也不够松弛
111$35372742$无名$不学无术$2023-04-10 13:11:19$0$剪得太碎了 剧情也太简单
112$35372742$无名$北极游牧钉子户$2023-03-19 19:51:28$0$还可以，梁朝伟和周迅的对手戏全片最佳片段。王一博比我想的要好，前期演身手矫健心性混沌的狗崽子，演的竟然还可以。情绪激荡幽微之处，和王传君对峙、最后看到何先生……眼神还是过于呆滞。出来一看为了过审删改过，可惜。
113$35372742$无名$無糖锅包肉$2023-02-24 00:20:58$1$连着看的 果然有种大同小异的感觉
114$35372742$无名$HopkinsLee$2023-01-31 01:06:44$8$1/3的程耳，选角较失败，能发挥的演员都没发挥，视听的选择牺牲了表演。铺满音乐很失水准，综合3.5
115$35372742$无名$伦敦的雾$2023-04-18 15:39:37$0$故事太碎了，春节档不适合。黄磊有点像文章，王一博有点像张哲华，但不如张哲华演的“少爷和我”系列。梁朝伟的头发依然梳的光亮。这种影片有点太学院派了，往往卖相不好，就像一个人如果太有追求，太有原则，在职场通常也很不如意。
116$35372742$无名$亲切的昊子$2023-01-22 12:35:20$1387$依然延续了程耳的艺术美学和逼格腔调，故事犹如一块块叙事拼图，每一块单拿出来都是暗藏玄机细节满满，非常适合二刷，一众演员都维持高水准，连初登大荧幕的王一博也丝毫不拖后提，华语导演真的永远可以期待程耳。
117$35372742$无名$有点儿冷$2023-01-22 13:07:20$67$看完只想说，这拍的是神马玩意儿！我就问你谍战片，主线故事是啥？没有核心故事作为骨架，其他不都在空中楼阁么？突兀地重复镜头，串起故事，简直乱七八糟！理解这电影的卖点为啥梁朝伟和周迅了！因为除了他俩，啥也不是！
118$35372742$无名$我是最棒的$2023-01-22 13:19:53$1107$没想到我哭的原因是因为一只小狗。还是熟悉的程耳式美学，每一帧都是享受。前半段可能略有沉闷和压抑（尤其是看到沦陷区人民和侵略者的对比），也使得后半段的反转更加激昂。能体会到导演在文艺性和商业性之间的衡量，比起罗曼蒂克的晦涩无名直给了许多。但延续了罗曼蒂克，本片的灵魂人物与其说是梁朝伟演的表哥不如说是王一博演的跟班角色。p.s. 两个人的打戏我真是心里为梁生捏了一把汗，六十多岁的人还能拍这么激烈的打戏真的瑞思拜
119$35372742$无名$Selena$2023-04-15 17:58:56$0$剧情实在莫名其妙
120$35372742$无名$YYY$2023-01-22 11:58:16$647$太难看了 啥玩意啊 骗钱的吧 
121$35372742$无名$。$2023-01-31 01:26:01$14$好看的 画面很漂亮。王一博意外地演得不错 打戏也很漂亮。另 现在的电影里最大的剧透就是流量们 开场就知道他们不会是反面人物吧
122$35372742$无名$青沐$2023-01-22 12:54:33$223$被梁朝伟吸引去看，结果莫名其妙的剧情，真的浪费钱，烂片
123$35372742$无名$羊踯躅-易桑$2023-01-22 14:22:22$159$为什么没字幕？
124$35372742$无名$告别圆舞曲$2023-03-15 20:16:20$0$导演系找摄影系拍的片子 程耳应该很爱看韦斯安德森吧
125$35372742$无名$只若初见$2023-01-22 13:50:12$444$故事叙述没逻辑，演技没表情面瘫，镜头也是阴暗没美感。说实话，大过年的还是去看点喜庆的吧。
126$35372742$无名$阿尔卑斯草莓味s$2023-04-16 19:28:35$0$刚开始被电影的质感和梁朝伟的演技所吸引，后来电影叙述手法让人感觉观感并不太好
127$35372742$无名$蔡姑娘_$2023-02-26 23:08:16$1$09 三星半 《无名》其实蛮不适合春节档的，是那种前面需要抽丝剥茧，到最后结局才能恍然大悟的类型，对比起来还是更喜欢罗曼蒂克。
128$35372742$无名$豆友A5tAVqT4VQ$2023-04-21 18:33:59$0$很平淡的片子，剧情很一般，镜头运用的很不错
129$35372742$无名$小月淇$2023-01-22 13:01:37$530$“我们看过你的故事，你们就有了名字”影片让观众看到了当时上海的艰难，每个人都在为自己的信仰付出一起，影片视觉剧情都很独特，演员演技满分，值得一看
130$35372742$无名$🎨 王欢 cindy$2023-04-09 15:40:31$0$慢热到中后段才感受到了这部剧的好👀，刚进入角色，就要结束了。画面好看，人物好看，剧情好看，倒叙让人渐入佳境。
