$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$35131346$隐入尘烟$马掰掰$2022-07-09 15:04:12$22216$曹贵英常有，而马有铁不常有。
11$35131346$隐入尘烟$晚不安$2022-07-05 01:57:46$2463$3.5。可以看到李睿珺的镜头语言愈发纯熟了，但这显然是一部不合时宜的片子——当更残酷的农村生活正在互联网上强烈地搅动观众的神经，电影所勾勒出的相濡以沫的图景就显得过于浪漫化了一点。善良无疑是一种最为稀缺的品质，农夫的生活哲学也使我备受启迪，然而当老四用裤腰带把贵英和自己栓在一起，我无法不联想到铁链——这正是观影过程中时刻存在的矛盾心态的一个缩影，我无法弥合两种现实之间的鸿沟，尽管银幕上这个最小生活共同体给人以温暖和抚慰，但我无法不警惕“田园牧歌”的叙事带有的粉饰意味。故事最后滑向了《活着》，一种彻底的平静的绝望；不幸总是比幸福拥有更强悍的力量，它使得旁观也沾上罪恶。最后一句台词会消散在挖掘机的轰鸣声里，正如放在演职员名单之后的那行字幕一般不值一提。
12$35131346$隐入尘烟$sleepy Mia$2022-07-17 18:02:04$4740$有一万个曹贵英，才会遇到一个马有铁吧？仿佛在看一个童话。另外的九千九百九十九个，也许被拴在家里，过得还不如那头驴。
13$35131346$隐入尘烟$木卫二$2022-02-22 12:22:23$3408$好莱坞说，电影导演有三难拍：小孩、动物和水，套用类似说法，或者放李睿珺身上，在这里最难拍的，是小孩、动物和土地。《隐入尘烟》无关下一代太平盛世，有关被人使的一头牲口驴子，最主要的，是写一个农民在地上拼死累活，一年能种多少麦子，收多少苞谷，刨去成本，不外两三千元。尘烟也非自然的沙尘暴，而是拆房的人为尘土。几粒粮食的手背印记，无异卖命的活体血牛，乡村底层的冷漠疏远…一再告诉我们，这片土地上生活着许多人，尤其是不被看见和真实呈现的隐形人。
14$35131346$隐入尘烟$皮革业$2022-07-15 20:22:09$1626$说不上好，又不好意思苛责的那种。
15$35131346$隐入尘烟$.。Rhythm$2022-07-10 13:23:32$1605$是想给高分，但是还是严格点吧，质感可以，农活也拉满，但其实感觉拍的挺浅的。除了干农活手速真实，其他都慢腾腾的有点做作，男主说话大部分时候轻声细语，干农活时偶尔亮一嗓子才知道那才是真实。我猜真正的农民看的话会在一些细节严重出戏，比如如此温柔，如此实诚，如此不计较得失，而非农民也较难共情，因为内核是模糊的，轻飘飘。尺度和真实性都不够，其实也能理解，这遭瘟的国内电影界
16$35131346$隐入尘烟$陶冯$2022-07-09 13:16:22$2958$一个孤独过的人一旦感受过爱，就再也没办法忍受孤独了。
17$35131346$隐入尘烟$野草$2022-07-12 11:48:58$2332$只怕五年后连这种最低限度的批判也看不了了
18$35131346$隐入尘烟$绿果子$2022-07-10 14:26:32$1874$社会主义版小森林，土地哲学家马老四。被具象化的对农村的吸血，穿插着一些底层对更底层的嫌弃。整部都非常的无害，避开了性、生育、医疗、养老等所有会触及核心问题的矛盾，连死都没有给任何人添麻烦。
19$35131346$隐入尘烟$八芥$2022-07-09 11:45:34$9757$年度最佳。真正打动人的往往不是刻意堆砌的悲情，可能只是雨槽瓶瓶哨声响，夜归路的盏烛光，开水凉了一趟又一趟，麦子烙印在手上。
20$35131346$隐入尘烟$马二$2022-07-12 21:41:46$3559$"这个片子是拍给谁看的？导演所谓的对土地的热爱，是不是出于一种已经跻身精英主义后回过头来的怜悯呢？农民不看文艺片，不看乡土中国悲歌，不看沉重的被咀嚼过的无趣。

看似拒绝了媚俗，实则走向了更加媚俗的一面。所有的叫好者，所有给出高分的议论者，都不是昏黄电灯下的农民，是坐在星巴克里的容易垂泪的知识分子。他们看过后，垂过泪后，就会把所有的一切抛之脑后。中产阶级只为自己的利益发声，农民不属于这种利益。"
21$35131346$隐入尘烟$深柜惯犯$2022-07-11 22:49:36$8114$她连生病都有负罪感，连吃个鸡蛋都觉得不安心。
22$35131346$隐入尘烟$内陆飞鱼$2022-02-25 00:10:21$6557$《隐入尘烟》完成度太高了，远远高于期待值，整个故事像一首农事诗，没有农村生产生活经验的人很难拍出这样细致入微的片子；一年四季耕种、灌溉、收割、脱粒、盖房，西北大地清新自然又富于简单的诗意；非职业演员武仁林和职业演员海清，互相成全力道正好，演出了一种令人亲切、敬佩的神性，他们生活贫苦、身体残缺，但不怨不尤安之若素，对花鸟虫鱼、毛驴、周遭的邻里乡亲充满了恩情，诚实、信义、正直，两个人互相搭伴儿过日子温柔相对，一茶一饭相濡以沫，面对要给富人输血救命这样的事情，也无怨无悔不求回报。他们像凡人一样生活，却具备了神一样的悲悯灵魂，在远去的乡村景观里已荡然无存。
23$35131346$隐入尘烟$红酒与谋杀$2022-02-18 21:10:35$1494$柏林电影节与华语电影人们长期以来有着良好的互信关系，这不仅限于某一位华语片导演与电影节圈层的往来。很多第三世界电影甚至在前期筹备和制作时就开始考虑迎合哪个电影节的选片口味了。这种发展趋势渐渐催生出一种更为强烈的“电影节电影”，更有针对性的摸索出进入某个电影节最舒适的方式。另一方面也满足了一个国际电影节对某个国家的电影所抱有的一种特定想象，长此以往就成了心照不宣。相比曾经第五代的同题创作，本片简直是滑坡式的倒退。要是对比与其同台竞技的Alcarràs差距就更明显了。我觉得什么时候能先摆脱这种“苦情式创作”，什么时候才算真正迈出一条腿。演员对手戏的矛盾点在于武仁林是在戏里生活，海清是在戏里表演，两个人单拎出来都没问题，放在一起就成了问题，海清是有技巧的，她越是卖力的演出，就越会造成表演上的贬值。
24$35131346$隐入尘烟$西楼尘$2022-07-13 21:24:26$1252$说你是瘟神，是闲王，怎知你是我怀里焐热的温水，手背种下的谷花，腰间系上的裤带，体内流淌的血液。我有魔法，能让种子抽出麦穗，泥土垒成砖墙，让你从无巢的马棚搬到自家的热炕。我没有魔法，不能让麦子躲掉镰刀，房屋躲掉吊臂，让你躲掉命数不做埋进泥土的庄稼。你听那雨槽罐罐里，都是尘世的哨音。
25$35131346$隐入尘烟$德令哈$2022-02-14 05:01:54$1409$包办婚姻背景下，女性的命运却不是主题。甚至女性角色的存在是为了烘托和塑造一个和土地亲密依存的温情男人。唯一觉得被触动之处是在一次农活中男人忽然的怒火，和女人站在驴旁边瑟瑟发抖的身体。拆迁，城市化，权力关系下与土地的强行分离，很多可以讲述的点都浅浅地隐入了尘烟。
26$35131346$隐入尘烟$星野$2022-07-16 21:14:32$1188$缺点是，除了面朝黄土背朝天的极辛苦的农民劳作是真实的以外，一切都只是作者诗意的想象。而现实实在是比这还要苦，还要麻木，现实里没有这样“完美”的男人，也没有这样处于最最底层还能被“善待”的女人。正因为现实如此，让我觉得这些投射在他们黝黑粗糙的身体上的想象，相当的残忍。
27$35131346$隐入尘烟$Harvest$2022-08-31 07:43:08$776$"众所周知，China 有8亿人口。 早先，他们亲切地称你为同志。后来，他们热情地叫你老乡。 再后来，你是农民工。你很低调，低调到一年365日只出现在公众视野里一次——春晚的欠薪小品里。 但你还是太碍眼了，毕竟已经全面脱贫，走吧，隐入尘烟。"
28$35131346$隐入尘烟$花吃了Elika$2022-07-21 09:02:18$925$我再也不想看乡土电影了，当农村生活就是我童年的一部分的时候。我每次看乡土电影都只是在欣赏导演高高在上、做作和虚假。
29$35131346$隐入尘烟$鸡仔仔仔$2022-07-14 16:57:11$6613$最可怕的，不是被贫穷限制了想象，而是有一天，我们失去了对贫穷的想象。
30$35131346$隐入尘烟$麻神理工马小驴$2022-07-10 00:02:35$929$我讨厌这样的电影。不是任何困窘的日常生活中都能压榨出诗意来；不是任何奥斯维辛都能压榨出浪漫。如果这依旧是中国农民，那只能证明他们在21世纪，依旧活在石器时代——这种残酷的真相，是没有任何浪漫化的空间的。大小便失禁、土里刨食是与相濡以沫、日常浪漫没有任何连接可能的，强行连接的，都是一种艺术创作的堕落表现。
31$35131346$隐入尘烟$Titiany$2022-08-30 18:21:02$462$就这？也就欺负中国大多数观众没看过真正好看的农村电影了。其一，农村的真实不在这里，在黄土地、心迷宫、乡村里的中国里。其二，农村底层不育女性的真实不在这里，在方洋洋案里。其三，底层农村男性的真实不在这里，在无数个要老婆的扶贫案例和进城以后女性自杀率下降的数据里。最后，这片子拍的还行，剧本极假，男主脱离人性，其他人物纯纯工具人，毫无人物弧光。
32$35131346$隐入尘烟$stomachacheee$2022-07-10 23:00:39$3698$今我何功德，曾不事农桑
33$35131346$隐入尘烟$Amore$2022-07-23 21:56:55$862$"自从抽血开始，我的心就提着，总害怕会出现什么意外，害怕马有铁盖房子的时候从脚手架上跌下来，害怕贵英在水里洗澡的时候被冲走，害怕马有铁被抽血过多而死，但贵英掉水里死掉还是给了我巨大的意外感，我哭到崩溃。这太像我的生活了，总在提心吊胆的不要太快乐，如履薄冰的过每一天，但是发生的意外还总是在我的意料之外。
在这种巨大的不确定性之下，无论你是什么样的性格，什么样的生活态度，其实都会被这种巨大的意外击倒。我很佩服马有铁的心态，麦子有麦子的命数，割掉了就割掉了，我觉得他活的很自在，最开始因为别人的欺负而憋的一肚子气，又因为他的一句话而觉得无所谓了"
34$35131346$隐入尘烟$低级趣味$2022-07-09 01:12:03$1050$你当然很清楚摄像机应该对准些什么，你当然也很清楚苦难和浪漫是不相悖的两种发生，你更清楚平实的日常满是血和泪的控诉，但不能因为土地久经风霜就忽视普遍个体的脉搏和无谓劳作的汗水，不能因为佯装贴近细微的生活就自认为可以触及生命的真挚鲜活，不能因为人心的柔软就钝化了尊严话语的锋利矛头为美化辩解。明知道乘着一叶之舟会历经风浪，却沉溺于大海的波涛汹涌，所谓真实并不意味着就应该早早地选择牺牲投奔自然的怀抱。作为取材于时代关照于现实的作者不能一手握着戏剧现实的批判，还要一手抓住戏谑环境的抽离，期盼着内里的经验与外界的观众发生反应。乡土并不是文化符号式的堆叠，更不是承载陈列在各处桥段轶事里发生的工具，看看锡兰早期的私人影像或是金熊「阿尔卡拉斯」吧，农民的善良朴实并不是无知软弱的沉默，大麦苞米下的自然从未荒凉。
35$35131346$隐入尘烟$LoVelva$2022-08-24 10:10:17$2169$这才是应该组织全体党员观看的电影
36$35131346$隐入尘烟$南悠一$2022-07-10 18:35:21$1062$电影里，近7000斤粮食只能卖三千多块钱，还被刨除水分重量，老四还掉成本钱，一年也就拿到两千块。这不只是电影，而是真实的农村现状。几十年来，这片土地最对不起的就是农民。李睿珺触及到了一部分农村的现实，然而影片中随着老四和贵英隐入尘烟的，被隐藏抹去的，还有深层的（微观的）农村治理肌理和（宏观的）上层设计。欺负他们的，远不止于市场和底层恶意。我是真不想看到，这部电影（不可避免的）归宿到小小失落里去。遗憾！
37$35131346$隐入尘烟$LOOK$2022-07-09 21:47:00$497$2.5   真是够干瘪的，拍日常起居劳作，如果在形式层面没有任何想法，呈现的只能是大型流水账。让明星演与自身银幕形象反差极大的超级素人，稍有不慎，就是奇观秀，本片虽然还不至于，但“海清演得还挺好的”这感觉很难消散。
38$35131346$隐入尘烟$通驴性的我$2022-09-02 23:05:03$1619$观影过程中，我常常感到不安：马有铁站在房梁上的时候我怕他摔下来，马有铁被叫去抽血后他再回去干活的时候我怕他突然倒下，他们下河搓背的时候我怕贵英被大水冲走，就连下河时候闪过的灯光我都害怕，我还怕那头驴哪一天突然就倒下了。
39$35131346$隐入尘烟$卡纳银波$2022-07-14 10:52:14$501$很假。就像是被嵌入固定格式里的模版，剧中群众演员的表演更是呆板，仿佛都能看见导演在旁边 卡 几镜第几次 你你你表情怎么样。看得好难受 仿佛全程有摄影机在旁边架着。那个大衣是真不御寒呀 想表现他们之间逐渐起来的温度也不用这样 多次小鸡仔的镜头就好像这俩人从未孵过小鸡一样奇怪 前半辈子干嘛去了？暖黄的灯光也充满了想当然的睥睨，拜托农村的灯光可不长这样。当这部电影从一开始就失去了真实，只剩下共创们的集体意淫 就真 挺让观众难为情的 至少是我 。为了拍摄而拍摄 为了感动而感动 可我觉得真实的生活并非如此 它看似土而质朴但实则完全没有生活气，油腻到我了，讨厌这种学术院派俯视的感觉。裹上了文艺片外衣的算计片，还不如商业片来得直白呢。尽管才看一小时，但这种令人讨厌的基调 无论后面发生什么 都是假的！
40$35131346$隐入尘烟$灰狼$2022-07-09 23:09:36$470$海清老师不如驴演的好 主要是因为导演不知道怎么拍海清 心虚了 海清老师也跟着心虚了 两边相互揣度 实际的意识方法都对不上 整个问题大概还是出在导演身上 他是站桩型的导演 唯一的收获就是根据时令捕捉一些东西 能动性很低 不大会运镜也不怎么懂叙事 他是个老实人 很实在很真实 但不是艺术家
41$35131346$隐入尘烟$大奇特(Grinch)$2022-02-20 22:47:47$556$拥抱乡土的写实与含蓄朴实的写意达成一体，平实自然地呈现出两个孤独个体之间的相互取暖，以及人与土地为伍的自给自足，双脚牢牢扎根于泥土，被大地无条件所接纳。尘归尘土归土，导演最后用油麦的麦芒来象征时间的轮盘旋转，是结束亦是开始，是极富有诗意的。素人演员和专业演员相互向对方靠拢，找到了表演上的和谐共处。海清作为唯一专业演员，已经不留痕迹地融入素人语境中，表里如一。
42$35131346$隐入尘烟$北冥有魚$2022-02-18 04:43:25$689$"对于稍微了解农村真实情况的观众来说，这个故事很难说是令人信服的。导演精明地回避了当下农村中各种深刻的问题，这样脱离现实描绘出来的“诗意”似乎更适合发表在地方文学刊物上。主角甚至都不做爱，因为导演知道，性和生育种种麻烦的要素会将他臆想的完美乡村破坏殆尽。
海清的表演表面上似乎做了极大的牺牲，其实她从没有真正融入她的角色。她的表演有九成都依靠服装和化妆打造的盔甲，而她本人就躲在后面看不到。正片前的致语段落，她打扮得过分精致来跟观众见面，应该是受了大委屈吧？
最后一个奖也没得，算是意料中的结果。以后这些龙标片还是留在国内放吧。"
43$35131346$隐入尘烟$战将波舰金$2022-02-13 00:27:27$315$李睿珺巧妙地规避了诸多结构性问题的探讨，执着地描绘匮乏中的浪漫，对于淳朴人性的坚信；但也许最后贵英的离世弥补了这个本来在“鸡长大变成鹅，羊长大变成牛，跟着好人能过上好日子”轨道上缓缓滑行的故事，提出了“什么才是家”的问题——一条扶贫和农村现代化浪潮中被隐没的心灵线索——一种深藏的隐疾。
44$35131346$隐入尘烟$墟里走$2022-07-18 00:55:35$407$把农村生活当奇观不能忍。男女主一定是老实勤恳忠信，其他人一定是愚昧势利狡诈，刨除农活日常，两个主角的思维和习性哪有一点乡土模样，这顶多就是文青眼里乡村爱情故事。觉得这片子真实的，要么就是一天农村没呆过，要么就是农村长大忘了自己根。捧着一颗没种好的麦苗心疼死，暖光黄灯下看婴儿一样看孵蛋，淋着大雨给土砖盖塑料袋，，，导演仿佛要摁着你头说，看到没，这就是农民对土地的爱。不好意思，哪个农民要是按这个路数过日子，还是赶紧申请低保
45$35131346$隐入尘烟$好贵一颗肾$2022-07-09 18:42:14$2231$不记得哪里看过的话，说中国的农民是很好的，农民像土地一样沉默，像土地一样深厚，而马有铁就像土里长出来的菩萨。
46$35131346$隐入尘烟$黄桃果捞好好吔$2022-09-01 11:53:18$424$假不假，悬不悬浮啊，男主就是真善美代言人呗，集所有美好品质于一身，农村老光棍找媳妇基本就是图性跟传宗接代怎么不敢聊啊，多少曹贵英都被打的找不到北了，建议导演去变性嫁给农村老光棍体会一下女人在农村的性别优势
47$35131346$隐入尘烟$phoebe$2022-08-29 16:40:25$255$好做作的田园牧歌意淫
48$35131346$隐入尘烟$饿霸地煮$2022-07-08 15:32:33$288$海清让我出戏。这个农村林黛玉的人设特别违和，她更像电影里一个代表城市现代性的视角，实在不够农村（也许我不认识真正的农村）。要表演一个农村残疾妇女，或许要表演出一些麻木的感觉，不能给人心里事多的印象，脾气语言都要直接一点，如果会婉转会尝试表达心意与自然的联系，会伤春悲秋，要统合这些事物的关联需要一定的教育水平。海清的肢体动作都很城市女性，很小女人，站坐都更像是出于保护隐私的考虑的下意识，身段体态显然是城里精心打理的没有走样的，不土气也挺漂亮。我比较欣赏蒋勤勤在一个勺子里的表演，感觉更真实。
49$35131346$隐入尘烟$妈勒比海盗$2022-09-04 23:35:56$1171$牛逼的爱情片不需要又亲又啃的镜头，只需一个草编的驴，一个印在手臂上的花，一杯热水，一个鸡蛋……牛逼的人性片不需要大奸大恶。只需舀水时放生几只蝌蚪和抓个蛤蟆给自己止痒，一码归一码的清清楚楚和收粮时免去四元钱美其名曰好算账……牛逼的社会片不需要歌功颂德或者抨击现实。只需一个燕子窝和一辆大铲车……
50$35131346$隐入尘烟$冰红深蓝$2022-02-23 23:35:00$943$【曹杨影城1厅点映场】去情节化又完成度极高的乡土题材电影，毫无俯瞰姿态，散溢着大自然的诗意，在当下华语影坛弥足珍贵。静缓凝滞的镜语及土地环境有阿巴斯、贝拉塔尔与塔可夫斯基（拆房段落令人想及[牺牲]）的气息，吃蛋躺下的场景契如达内兄弟[罗塞塔]变奏。寒来暑往，春种秋收，驴燕鸡猪，生死轮替。素朴、良善、坚韧、强壮能干又逆来顺受的农民，血管里仍流淌着人类与大地源初的亲密联结，如今却已然成了被不断利用的“稀有国宝”，在劳作中渐趋隐灭。相濡以沫的夫妻，每每以稚拙而直接的方式表露温情。两主角的性格塑造中倒都有浪漫主义一面，现实主义议题当然只能潜没于背景之中。海清与一众非职业演员的呈现真切可感，裴曼·雅茨达尼安的配乐恰到好处。一起自制透出星丛灯光的孵化箱，贴一个囍字，在河沟里沐浴，在手上印一朵花。（8.8/10）
51$35131346$隐入尘烟$Nisonma$2022-09-04 00:03:12$975$很多人问是什么年代。不就是现在这个年代吗
52$35131346$隐入尘烟$小步舞者$2022-09-18 18:58:19$813$"穷苦农民，欠别人的鸡蛋、芋头照样如数奉还

开宝马的资本家抽光穷人的血，面露讥讽还一毛不拔

村干部为了五千块差价忽悠农民搬到楼房，推倒别人辛辛苦苦新盖的土房


你要问为何底层人活的像驴马，这部片子大概能给出些许答案

但是偏偏有些人，张口闭口就是“人民”，一副大义凛然的模样；而今有人拍出这部影片展现真正的底层人民，他们又说破坏国家形象。

他们沉浸在大国崛起的梦幻中，并不关心这块土地上底层人的死活

他们就是彻头彻尾的民粹主义，道貌岸然，与真正关心劳苦大众的左翼政治没有半毛钱关心

麻烦你们不要再装出一副正义人士样子了，怪恶心的"
53$35131346$隐入尘烟$熊阿姨$2022-05-22 23:17:29$689$补标：全程都在想，为什么男主角演农民，去砌砖、割麦子、喂驴、掰苞谷都那么真实？和女主角海清的隔膜、羞涩、心疼也自然。映后才知道这是导演的姨夫，普通话都不怎么会说。已经很久很久没在大荧幕上看到农村生活了，两个被忽视的弱者相依为命，土地上四季轮回的质感让人沉静。故事和现实多少隔了一层，像个贫穷版的乌托邦，导演这个故事终究没忍心“狠”下去。（2.21看的，散场被闭幕式交通管控搞得几小时回不了家）
54$35131346$隐入尘烟$嘟嘟熊之父$2022-02-20 21:19:23$315$摄影机对准乡村、农舍、麦垛、黄土，却如同在摄影棚里完成汇演。看不到转场的逻辑，像糊墙腻子一样一层又一层地涂抹，临近结尾做一个目的性极强的按头哭谢幕。
55$35131346$隐入尘烟$柒柒$2022-07-11 09:22:34$626$曹贵英常有，而马有铁不常有。
56$35131346$隐入尘烟$Q影誌$2022-02-15 05:47:31$330$#Berlinale72主竞赛 这本应该是一部很淳朴的电影吧？之所以说“吧”，因为看完后很不确定这点。从一个人撑全场的男主和打酱油的村民表演来看，从貌似讲究其实并不讲究的摄影来看，从符合国际标准可是并不符合本片风格的配乐来看，从被称作毁容献身但怎么都无法融入的海清选角来看，从话不多说但字字矫揉造作的台词来看，等等，都让我怀疑本片的淳朴性和真诚性。很多情节生硬设置让我搞不清这到底是生活化还是舞台化mise en scene. 一部好的电影应该有让我们想要更多去了解我们不曾了解的人事物的欲望，而不是下一个空洞的结论，引发我们更多思考，而不是进一步加强固有印象。可能很多人觉得我感动了就是好电影，这叫观后感，而很多人有时候看电影，要的就是这个观后感。同样情况也发生在比如叙利亚黎巴嫩阿富汗电影中。
57$35131346$隐入尘烟$桃桃林林$2022-07-08 08:24:10$369$应该是看过的李睿珺电影里，最喜欢的一部。一年四季，无声的生活，盖房、种地、默默活着，带出很多曾经的记忆。影片以类似纪录片的风格，再现了一个我们本该熟悉，却又被疏远的边缘农村角落。
58$35131346$隐入尘烟$梅大姑$2022-07-12 09:22:49$1159$借了10只鸡蛋，孵出10只小鸡，纸箱戳了好多洞洞，斑驳照亮陋室。鸡生下第一枚鸡蛋，女主吃下了初生蛋，男主临走前郑重还了乡邻鸡蛋⋯春天赊来一袋麦种，下种、锄禾、抽穗、收割、磨成新面，男主临走前还清赊账。其间男主讲一些类似于诗的台词，有点违和，可是如果听过甘青宁的“花儿与少年”，那些热烈生动的表达打败了百分之九十九的诗人，凭什么就会傲慢地认为一个农民不会那么讲话？余秀华也是农妇啊。至于盖房子的过程，简直有人类学的意义了。我最被打动的还有四次上坟烧纸，禀告父母兄长，“我是有铁”（话说有铜真挺操蛋）。至于狠人拉去抽血，人家还觉得你是个好糊弄的SB，这不也是我们许多人的共命吗？富有的，给他更多，没有的，把他仅有的也拿走，这操蛋的世界一直就是这样运行。只有土地安忍不动，接纳一切生长一切。哭了好多哭了好久
59$35131346$隐入尘烟$哦哈哈哈哈哈$2022-09-03 00:16:43$220$7.3分 先吐槽一个大雷点，像曹贵英一样患有疾病的农村女性在包办婚姻下她们的婚姻生活到底是个什么状态，导演编剧心里没点数吗？她们的苦痛就这么轻而易举地被隐去了。女主的命运是真实可信的吗？这够现实主义吗？｜抛开农村女性的命运和婚姻生活议题不谈，影片对其他议题的探讨也都是浅尝辄止。｜整体来说，影片过得去，没吹的那么好，尤其是现实主义题材的作品却有着那么不现实的人物关系塑造，打根儿上就有问题。｜海清还是太漂亮了，与真实的农村妇女还是有明显差别，还是在“演”。｜【说句与影片本身无关的】：可能在导演潜意识里自己是那个老实、本分、善良、爱妻的马有铁，但他实际上只是一个调笑女制片人裸奔的货色……他有什么资格谈论女性困境啊？农村女性所经历的困境不正是被像他这样的创作者隐去了吗？！！
60$35131346$隐入尘烟$Har$2022-07-24 11:17:12$430$在我沉醉于自我感动之余发现了个问题，中国的拍工人农民的文艺片的受众是知识分子和中产阶级，工人农民不看这种东西。工人农民的形象在银幕上接受我们的凝视，然而我们对工人农民以及他们的生活只有脑中的幻想，于是，有某种羞耻让我不安。
61$35131346$隐入尘烟$系舟$2022-08-31 18:50:03$362$一星给驴，只有驴的处境是真实的。
62$35131346$隐入尘烟$抗日奇侠楚子航$2022-09-04 00:05:58$248$对导演的拍摄视角感到恶心，对立意感到严重不适，作为一个农村人感到被冒犯了，不合逻辑的剧情，为了苦难而苦难，这是拍给不了解农村的城市中产看的吧，臆想出来的诗意和生命哲学看得我怒火中烧，那种居高临下的怜悯，那种可恨的愚蠢的被导演赋予“纯朴农村人”的道德感让我很反感，逆来顺受的驴有什么值得歌颂的？苦难不应该被称赞，更苦难的残疾女性也不该处于失语状态而如此单薄，非常失望的一部影片，名不符实！
63$35131346$隐入尘烟$ercury$2022-09-01 02:12:14$859$可悲的是，即使这部片子评分达到九分以上，票房超过那些爱国题材的垃圾，它也不会被那些所谓的为人民发声的官媒传播。
64$35131346$隐入尘烟$眠去$2022-07-09 15:15:28$885$中国当下的电影，离大地离泥土都太遥远了，遥远到仅仅是注视着这些真实得有些残忍的镜头，我时常感觉窒息。地里的麦子注定是要被镰刀收割的，只是收割的时候，它们痛不痛呢？你甚至无法为它们流一滴泪，因为眼泪过于虚伪了。从冬到春到夏到秋，它们静默的一生，或许只有李睿珺在乎，也幸好，还有人在乎。
65$35131346$隐入尘烟$serney$2022-07-18 20:28:43$657$新时代里我们总是看新的、有趣的、未来的，但是过去的影子一直都在，那些埋在血液里的痛苦，是麦子一般摇曳的宿命。
66$35131346$隐入尘烟$鹿鸣$2022-07-17 18:04:17$904$拍得像油画，讲述得像诗歌。看到他不要城里20万的楼房有点诧异，如果是我，即使不住也可以卖掉拿钱给妻子治病。后来想到他把受赠的大衣折算成粮食的斤两，连借的10个鸡蛋也要清楚还掉，才知道他太干净了，干净到被人精遍地的社会甩在一边。
67$35131346$隐入尘烟$Peter Cat$2022-07-10 19:04:59$201$导演层面真的啥也没有。艺术是去求索真实，真诚是廉价的，平庸的底线。
