$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$11589036$功夫熊猫3$翻滚吧！蛋堡$2016-01-23 17:00:54$1303$让跳舞娘的去玩双截棍，不怕被淋淋吸吗
22$11589036$功夫熊猫3$小奇喵$2016-01-24 15:21:34$31$动画市场上的黑白团子大侠萌系掌门人三度来袭，萌力加倍、逗比无罪。这一次探讨的励志课题是“做真实的自己”，小朋友们准备好了吗^_^身为皮克斯信徒本也没抱着同样的期待值去点映，总体超过预期，三星半。最喜欢的是片中无处不在的中国元素。
23$11589036$功夫熊猫3$风间隼$2016-01-23 20:32:38$57$娱乐佳品，表面上是探索东方神秘的“气”世界，背后还是“做自己”的美国个人主义。借了僵尸电影的设定。关键时刻亲友团莫名其妙地悟到气的奥秘，真是大跃进啊。最后高歌Kungfu hustle，人人有功练的场面颇动人。
24$11589036$功夫熊猫3$半弦月$2016-01-31 21:13:26$9$探索迷茫时背景色调黄绿，亲情泛滥时背景色调红蓝。连曾经亮点的美术片花都一般般，梦工厂把全年的逗逼细胞都用在这里了
25$11589036$功夫熊猫3$世界尽头$2018-03-12 23:00:11$44$终于暴露了谁是阿宝的亲爹，阿宝一直叫一只鸭子爹，真的意外萌呢。最后参透大招就漫天飞花，我能理解为梦工厂对中国功夫解释无能了吗？
26$11589036$功夫熊猫3$方枪枪$2016-01-23 16:28:13$33$还是熟悉的配方，还是原来的味道。
27$11589036$功夫熊猫3$戚阿九$2016-01-30 17:04:35$47$张国立和成龙作为阿宝的两个老爸来配音……是因为儿子长得太像了嘛？
28$11589036$功夫熊猫3$左儿$2016-01-31 22:00:29$132$国产味比例约80%,大写的难看
29$11589036$功夫熊猫3$biang$2018-03-12 19:35:30$20$虽然故事有点牵强，但是真心好看；视觉设计依旧华丽，影片里的中国元素切入得很唯美；每个人物的塑造都很有特色，每个细胞都在渗透着喜感；
30$11589036$功夫熊猫3$月下独酌$2016-02-03 10:52:32$45$特效没得说，老外能把中国元素玩得这么转也是大写的牛。水墨片头、皮影戏、亭台楼阁、廊桥水榭、汉服，各种中国风糅合得很是和谐，还有中文口型。从细节中可以看出对中国文化的尊重和中国市场的重视。
31$11589036$功夫熊猫3$波波维奇$2018-03-13 06:25:31$45$深度不及前两部，情节稍显简单，反派也弱了，但是做为合家欢电影看着挺开心。
32$11589036$功夫熊猫3$小晗要当锦鲤$2018-03-12 19:33:50$33$剧情一般，但影片则更具中国风，在动画电影中，中国元素被玩的如此精致，画面、特效几乎都无可挑剔，但相比前面两部，则整体感觉没有惊喜，也没有失望，唯一的感慨可能就是，如此一部包涵了这么多中国元素的影视作品，却不是中国拍出来的。 
33$11589036$功夫熊猫3$握不住的灵魂$2016-01-20 17:06:14$24$竟然剧终了！大爷的！
34$11589036$功夫熊猫3$黎声如雨$2016-01-29 00:02:01$291$画面真是美呆，特效没得说~口型很好，多次以为是看的自己的国产电影~
35$11589036$功夫熊猫3$雪里花蕾$2018-03-14 12:43:35$14$大宝在成为真正功夫熊猫的同时又要保护村民练好新的功夫。这段过程是多么艰辛啊，为阿宝点赞，很喜欢这部电影
36$11589036$功夫熊猫3$皮革业$2016-01-31 23:50:19$22$片头出现了中影标，基本就代表了一部电影的行货水平。
37$11589036$功夫熊猫3$潇湘烟雨$2017-12-17 20:57:53$21$一向不反对动画片国语配音，但看完了这部片子的国语版我想说，以后这种事能不能找专业的动画配音演员，这简直太糟糕了，影响观感
38$11589036$功夫熊猫3$同志亦凡人中文站$2016-02-29 04:06:34$17$续集拍到三，功夫变玄幻了。气是接地气的气，跟中国的阴阳八卦可没关系。最后出来的龙熊猫一脸的招财进宝相啊...
39$11589036$功夫熊猫3$鸟倦知还$2016-01-29 20:41:35$14$中国元素融入得很好，娱乐与故事相得益彰，寒假的档期，老少皆宜，小屁孩看得非常开心。
40$11589036$功夫熊猫3$多看电影爱电影$2017-01-13 15:49:15$11$领孩子去看的，熊猫的爸爸那种父爱如山，挺打动孩子的。另外，在熊猫村无忧无虑的不用上学，每天吃了睡的生活让孩子羡慕极了！
41$11589036$功夫熊猫3$二月鸟语$2016-01-23 22:21:20$9$7.5/首映礼，连看两遍，一遍英文版一遍中文版，卡司都很强，两版居然都有成龙配音，而且口音都对上了。但个人觉得中文版加上字幕会更好。卖萌和喜剧性比前作更丰富，而又不刻意。被熊猫军团萌出血了。视效和3D均在水准之上。剧作在西方标准的个人英雄主义肥皂剧里融合了更多东方元素，比前两部好看。
42$11589036$功夫熊猫3$苏幼$2017-03-03 06:48:04$10$超喜欢熊猫阿宝
43$11589036$功夫熊猫3$弋痕夕$2016-01-29 18:16:21$15$画面好美，一部国外片把中国风做的这么用心，出色，赞！
44$11589036$功夫熊猫3$shield$2017-02-11 09:42:14$13$龟仙人说的话太有哲理了，乍一听不明所以，到了结局才恍然大悟。
45$11589036$功夫熊猫3$启明星的指引$2018-03-17 10:53:37$12$希望我国也能造出这么画面精美制作优良的动漫
46$11589036$功夫熊猫3$爱情海$2017-03-10 19:20:51$10$蠢萌阿宝，有亲情、有爱、有温情、有励志、有笑果，我喜欢。
47$11589036$功夫熊猫3$寂寞冷落清秋$2016-01-23 22:07:02$17$杨幂配音的美美好逗。
48$11589036$功夫熊猫3$elwing$2016-01-29 22:06:46$14$看的中文配音版本，睡着了。。睡之前阿宝还不会气功还怕牛魔王，睡醒所有熊猫都会气功了，还开出一朵小花。好吧。阿宝还是那个阿宝，还是很可爱的，配音找人也很有意思。
49$11589036$功夫熊猫3$品客$2016-01-29 23:37:23$12$东方哲学包装的切入点，西方哲学的终极问题作为内核是相当聪明的故事主题选择，配上几个set up/pay off的点让功夫熊猫3变成道理中国影人都懂但依旧写不出来的标杆。而功夫熊猫系列对于中西合璧的东方梦工厂来说无疑是大考，水墨画的风格在好莱坞的严谨体系之下让这份答卷交得相当漂亮。
50$11589036$功夫熊猫3$Euron Greyjoy$2016-01-31 22:20:39$120$大失所望平庸之至，作为粉丝心已碎透，梦工厂如今真是作死这样的项目都能拍烂，剧情套路照搬前两部，电影超过半数的时间全在熊猫村不间断卖萌，可怕的是萌点还是照搬前作。两点是zimmer给大反派作的BGM和依旧帅气的焊娇虎朱莉
51$11589036$功夫熊猫3$请叫我腹黑$2016-01-25 16:35:26$7$总体三星半，中国风占了主导，山水画、毛笔字，加上“与时俱进字幕组”编写的“本宝宝”翻译，确实是非常适合春节档观看的合家欢影片。梦工厂的一大优点在于善于创造每个人物的独特性格，作为一部欢乐的动画片，影片在竭尽所能让每一处场景充满喜感，就连唯一的反派也是个有着250精神的蠢货。
52$11589036$功夫熊猫3$哪吒男$2016-04-04 22:04:24$6$中国政坛现形记！他和师傅打架，不听爸爸的话，用新思想反哺前辈，这些使他笼络人心。而他的绝杀却是父辈们伸手给予的。他成为英雄，与元勋神交，元勋没有赞叹他的勇气和革新，而是说“你我第一次见面，我就知道你行。”《功夫熊猫3》这样诠释中国模式——拼出身靠关系才能成为金色英雄。
53$11589036$功夫熊猫3$不动声色地$2016-01-30 17:23:33$8$最逗的是这句：All you have to lose is our respect.
54$11589036$功夫熊猫3$天渊$2016-01-30 19:45:08$11$一般化，只有画面不错
55$11589036$功夫熊猫3$有心打扰$2016-01-23 18:38:00$4$每个人物的塑造都很有特色，每个细胞都在渗透着喜感，国产动画片应该好好学学；熊猫萌，剧情乐，假期合家欢，你值得拥有。
56$11589036$功夫熊猫3$朝暮雪$2016-02-04 15:00:50$9$画面绝佳。
57$11589036$功夫熊猫3$丁小云$2016-01-30 16:59:04$6$做自己就能学会气功？很多时候，做自己可能比学会气功还要更难一些。在带孩子看之前，特意先看了一遍。发现还挺适合孩子看的，会带孩子再看一遍。
58$11589036$功夫熊猫3$爱情有天意$2016-01-29 00:06:26$12$虽然对于我这种老人来说卖萌可耻，但是阿宝就是抓我的心啊，还特别感动，喜欢！
59$11589036$功夫熊猫3$梦里诗书$2016-01-25 10:38:21$8$东方元素与好莱坞幽默，在《功夫熊猫3》中仍旧有着绝佳契合，美艳精致的古典画风，行云流水间是对中国文化的深谙，而无处不在的诙谐，更赋予了其以合家欢幽默，诚然电影在剧情上稍显鸡肋，但并不妨碍熊猫阿宝“神龙大师”的蠢萌觉醒。
60$11589036$功夫熊猫3$云吞老丸子$2016-01-30 21:09:02$6$看到最后出现“剧终”时还是有些泪目。应该是系列的完结篇了，几场动作戏视效好棒，尤其喜欢最后和金龙合为一体时，熊猫村简直就是卖萌的存在，比起故事本身，这部期待已久的第三部似乎意义更大。
61$11589036$功夫熊猫3$付玲$2016-01-30 22:07:55$3$气功熊猫。
62$11589036$功夫熊猫3$媛木子$2017-03-10 17:24:56$6$外国人满满的中国风的作品，动画都是用的汉语口型，中文配音也挺不错的，画面和特效都挺好的，剧情稍微差一点。
63$11589036$功夫熊猫3$一棵海椒$2016-02-03 13:38:47$5$对中国的美学意念和哲学思考做了很深的研究，再用轻松简单的故事和手法表现出来，深入浅出和举重若轻不是容易达成的境界，三部保持了水平的稳定和发展更难得。三部曲完成了阿宝自我价值的追溯、认同和实现，阐释了无为、借力和顺势的老庄之道。鸡蛋里挑骨头，槽点就是反派气场太弱，对决一边倒不带劲。
64$11589036$功夫熊猫3$CyberKnight电子骑士$2016-02-15 17:22:21$4$比第二部好。重新找回了第一部的主题：寻找自我，成就自我。画面非常精致唯美，笑料自然有趣。整个片子完成度非常高！除了结尾的决斗略显简单，其他没有大问题。国产动画片还需要更努力才能真正与之匹敌。
65$11589036$功夫熊猫3$遇见彩虹🌈$2017-11-07 13:03:42$30$收官之作，画面还是那么漂亮，小熊猫好可爱。
66$11589036$功夫熊猫3$元宝宝$2017-02-14 13:32:54$7$说实话该系列拍到第三部已经有些狗尾续貂之嫌，剧情略显平庸，动画设计亮点不多，唯一让我感兴趣的是，我一直在故事中猜测都用了谁的配音。
67$11589036$功夫熊猫3$what'swilliam$2016-01-31 20:51:05$5$3.8星，配音阵容异常强大，周杰伦一开口全场笑喷。这片子竟然有泪点！养父说“阿宝找到你，不是我的损失，而是他的福气”。笑点浮夸但很好笑，那只一紧张就下蛋的鹅。剧情逻辑也就nobody cares了，又是“找寻自己”和“大爱打败大坏蛋”的套路~至于4D的效果嘛，偶尔尝个鲜吧~
68$11589036$功夫熊猫3$岛上的夏奈$2016-05-29 21:26:07$4$觉得完全比不上皮克斯的出品呀！
69$11589036$功夫熊猫3$Amberose$2016-04-18 18:05:25$7$漫画式分镜感觉超棒，风景很美，滚滚村萌炸，但是剧情还是有点牵强，有些台词写得不错：“这手杖我不能收。”“收下吧我有个更大的。”
70$11589036$功夫熊猫3$嘟嘟熊之父$2016-01-29 15:46:57$4$国语配音真好！可是不太能接受熊猫头小身子胖的设置，像熊本那样全身一般胖不好吗？
71$11589036$功夫熊猫3$鹿菏$2016-01-29 21:01:24$8$成堆成堆萌萌的团子，完全无法抵挡啊！！！！
72$11589036$功夫熊猫3$像面条般地活着$2016-01-23 18:02:51$3$下辈子投胎做个熊猫
73$11589036$功夫熊猫3$[己注销]$2016-03-06 21:51:26$2$（７／１０）没有第二部来得惊喜，反派也不像沈王爷那么精彩（不过这样一来也避免了反派风头盖过主角的危险）。盖世五侠不像第二部那么突出了，只有娇虎还能勉强占个女主位置，这一部的重点还是放在了两位父亲上。总的来说不功不过的一作。
74$11589036$功夫熊猫3$路西法尔$2016-02-01 11:35:09$5$我对这个系列大概是真爱，因为能从一群动物身上感受到某种已经逝去的武侠感，像第一部正邪双子、第二部人力对抗机械，都是武侠中的正统母题。不过这部的设定和主题已经偏离了武侠，甚至谈不上有何主题：成为自我的梗已经被用滥了，煽情桥段用力过猛，偏低幼，整体水平与TV版相近。
75$11589036$功夫熊猫3$X$2017-05-18 22:34:46$2$好萌，这是好莱坞把中国元素玩的最好的电影之一
76$11589036$功夫熊猫3$vyajana$2016-01-29 20:09:16$6$“I'm your father.” “May the force be with you.”
77$11589036$功夫熊猫3$Carf$2016-03-05 22:45:42$3$加上气功就是玄幻了
78$11589036$功夫熊猫3$逸宸$2016-01-31 19:37:33$2$笑点不错，也是老少咸宜的片子，画面更甚从前，细腻之处让人惊叹，无论是对气的展现还是太极八卦的阐述，虽说中心依旧回归到了美国式圆满的个人英雄主义，但也并无不妥之处。只是这故事太生硬，段落性太严重，凭空冒出个爹，就为了牵线搭桥的发展故事，囫囵吞枣就罢了，实在摸不着头脑。
79$11589036$功夫熊猫3$汐澄$2016-07-22 18:08:44$5$嘿嘿，当然配音是亮点啦，没想到小幂的声音那么入戏，不错不错，台词请继续给力下去!
80$11589036$功夫熊猫3$U 兔$2016-02-02 11:12:44$3$看了个4d的，很适合。故事低幼但其他优点太过突出：材质、贴图、打光、渲染实在太棒，超出了对一般动画的认知。动作戏依然精彩，有速度有重量感，只是各种功夫的招式越来越趋同。情绪把握太精准，比如阿宝和爸爸们的几次拥抱，每次都不一样，细节做足。更多请关注三册《功夫熊猫 艺术设定集》我翻译哒
81$11589036$功夫熊猫3$微風$2016-01-30 19:51:13$3$3.5星，热闹欢腾
82$11589036$功夫熊猫3$美女菜kun$2016-12-31 14:06:06$2$画面美呆，动作流畅。熊猫简直萌爆全场！
83$11589036$功夫熊猫3$moneyqxq$2018-03-13 17:30:31$23$画面很好，阿宝终于成了神龙大侠，太感动了，这个系列的一直不错，很喜欢阿宝呀。
84$11589036$功夫熊猫3$舜舜$2017-03-13 06:17:37$5$这部的配音全是大咖，觉得挺好听的，还原度挺高的，这部阿宝终于找到了爸爸，意识到了自己是只熊猫，而且是只功夫熊猫，熊猫不爬楼梯，走路用滚！
85$11589036$功夫熊猫3$谢谢你们的鱼$2016-01-23 18:25:57$2$和第二部一样，讲了一些比较深入的玄学，满满的文化敬畏感，搭配适当的笑料和出色的视觉场面，寻根到寻找自我，八卦聚焦天地之气，很高兴水准保持得这么好！
86$11589036$功夫熊猫3$柴斯卡$2016-02-11 23:48:05$5$故事里面太多说不清的地方了 设定乱七八糟的我强迫症都要犯了 母题还是身份困惑 寻找自我 两个父亲处有些好的细节 亮点是这个电影打群架 讲团结 讲的是怎么把『好吃懒做』的角色 因材施教 培养出战斗力 这个见识还是比较高明的 反派与先祖相爱相杀 满满都是苦涩
87$11589036$功夫熊猫3$西楼尘$2016-01-23 23:56:30$5$披着熊猫皮的超级英雄，披着中国皮的美国精神。天煞靠翡翠洗脑各路大师为己所用、阿宝受到感染一念成佛都是老套路。幸好画面配乐足够精致，水墨印象回顾兄弟阋墙的往事、分屏漫画快进漫漫征途。纤毫可见的毛发、滴滴晶莹的水珠、匹配中字的口型，都看得出技术的领先。诚意十足，但气功的理解显得鬼扯。
88$11589036$功夫熊猫3$Hachiko$2016-01-23 17:25:05$1$有了第一和第二部的创作基础，熊猫毛发更显质地，山水青城山美伦美现，古筝和琵琶等传统乐器的引入十分符合这个故事的意境。少了第二部对小朋友来说略显深奥的“禅宗”意味，引入“气”功的里的“气”让阿宝做武器，对孩子来说，这样明显更显生“气”，更有灵“气”，也更接地“气”。
89$11589036$功夫熊猫3$波希米亚$2016-01-30 23:56:41$1$字幕君赢了，影片制作很用心，有耍宝，有感动。
90$11589036$功夫熊猫3$ming$2016-01-31 23:07:32$1$的确比第二部要好看，国语配音很顺畅，光用的真好！
91$11589036$功夫熊猫3$如小果$2016-01-30 18:26:34$3$剧情没什么进步的，但我就是忍不住想再看十遍！
92$11589036$功夫熊猫3$IF$2018-03-15 08:06:35$11$还是那个呆萌阿宝，还是那个勇敢的神龙大侠，为了自己的目标不懈努力，不断追求，这或许就是功夫熊猫想告诉我们的东西。
93$11589036$功夫熊猫3$刮刮油$2016-01-31 12:37:22$6$一如既往的好品质，中文嘴形好评。
94$11589036$功夫熊猫3$P·S^Black$2016-01-30 19:31:25$10$一般。。。
95$11589036$功夫熊猫3$火娃$2016-03-27 20:58:42$5$7/10。梦工厂可谓极尽全力制作精良讲究，故事上三部曲互有相关，比如前作里教授的铁指扣在本作成为将反派打回灵界的绝招，中国元素也渗入了影片精髓，乌龟大师得道化仙的宗教意境、山水画般的熊猫村、发射吊床背后的图案乃至角色造型设计。生与养哪个爹亲的情感力度单薄，阿宝和悍娇虎的关系发展缺失。
96$11589036$功夫熊猫3$a little mark$2016-02-05 06:15:06$1$看得我homesick. 桃花漫天好山好水好熊猫。还记得第一部上映的那一年，第二部上映和表哥去看的，到现在居然八年。也许真的要和Po说再见了，天下没有不散的宴席。（以及：道到底是宗教还是一种life style啊，或者说一种哲学？
97$11589036$功夫熊猫3$xx@百年孤独$2016-01-30 09:40:30$1$在吃的方面还有潜力可挖掘
98$11589036$功夫熊猫3$mee$2016-02-06 03:08:06$1$这就是我心中的五星好片，情节简单，有趣，没有一镜多余，让你明白一个道理，落泪，最后圆满的大结局。嗯。
99$11589036$功夫熊猫3$朵云$2016-01-31 21:35:00$1$故事一般，胜在卖萌，吃包子确实让我联想了哈哈@西单首都电影院
100$11589036$功夫熊猫3$ming$2016-01-31 23:07:32$1$的确比第二部要好看，国语配音很顺畅，光用的真好！
101$11589036$功夫熊猫3$苍老师井空$2016-01-31 12:04:25$2$“闲着没事去看个电影”是最重大的错误
102$11589036$功夫熊猫3$了不起的花轮君$2016-02-11 20:14:52$2$你说他没良心吧，他看功夫熊猫哭了两次。一次讲起妈妈的故事，一起所有人一起帮阿宝打BOSS。我说我太冷漠了，没找到哭点。除非所有人抛弃阿宝，觉得阿宝是坏的，但是阿宝还是以德报怨救了大家，这样我可能会比较感动。
103$11589036$功夫熊猫3$半弦月$2016-01-31 21:13:26$9$探索迷茫时背景色调黄绿，亲情泛滥时背景色调红蓝。连曾经亮点的美术片花都一般般，梦工厂把全年的逗逼细胞都用在这里了
104$11589036$功夫熊猫3$IF$2018-03-15 08:06:35$11$还是那个呆萌阿宝，还是那个勇敢的神龙大侠，为了自己的目标不懈努力，不断追求，这或许就是功夫熊猫想告诉我们的东西。
105$11589036$功夫熊猫3$豆瓣路人己$2016-01-23 17:11:35$1$有笑点啊，但是不喜欢它的原因和不喜欢梦工厂原因一样，碰到一个还不错的IP就过度开发，敢问和前部的“太极”啥区别。
106$11589036$功夫熊猫3$zephyrus$2016-01-31 22:58:14$1$各种剧情杀QTR和存档继承装备技能点，把这个系列做成动作游戏应该会很不错......怀念第一部的革命家太郎和第二部邪魅的沈王爷，这部的反派既中二又不能打...败笔。虽然低龄向了，但缩水的东西有点太多，更失望的是阿宝和蛟虎的bg线也暂停了...美术越来越棒可故事也编好点儿啊，这么棒的世界观...
107$11589036$功夫熊猫3$xx@百年孤独$2016-01-30 09:40:30$1$在吃的方面还有潜力可挖掘
108$11589036$功夫熊猫3$朵云$2016-01-31 21:35:00$1$故事一般，胜在卖萌，吃包子确实让我联想了哈哈@西单首都电影院
109$11589036$功夫熊猫3$a little mark$2016-02-05 06:15:06$1$看得我homesick. 桃花漫天好山好水好熊猫。还记得第一部上映的那一年，第二部上映和表哥去看的，到现在居然八年。也许真的要和Po说再见了，天下没有不散的宴席。（以及：道到底是宗教还是一种life style啊，或者说一种哲学？
110$11589036$功夫熊猫3$IDKAboutYou$2017-01-24 15:38:40$2$额。。。。。一直都不太喜欢功夫熊猫系列
111$11589036$功夫熊猫3$雅典娜$2016-01-31 19:11:50$3$画面、音乐和技术层面均属佳作。有两个致敬LOTR的镜头，略惊讶，直到片尾看到执行制片里有陀螺… 大意了，没想到IMAX居然也有中文特供，看了配音，没有字幕倒能更好地欣赏画面。最神奇是配音版对话口型也都是中文，完全是专门制作的！【但还想要英文版，熊猫爹是老白啊
112$11589036$功夫熊猫3$千寻亿选$2019-01-05 15:10:29$0$中国元素挺多的，还有气功，盖世五侠除了老虎基本酱油，熊猫村人物有点多，反派没性格，搞到最后气功就是KA-ME-HA-ME---HA龟派气功，七龙珠太影响美国人了
113$11589036$功夫熊猫3$KingofChimney$2016-01-31 11:07:40$3$首先，别人中学西体做得比你牛逼，你得服；其次，中国传统文化从山海经到西游记本来也没有什么固定的体系，能用这样的方式展示给世界，当然是件好事；最后，天下能把二维的水墨风和三维动画结合的这么好的，真心只此一家了。
114$11589036$功夫熊猫3$爱的镇魂歌$2016-04-10 01:05:53$1$熊猫村儿好似潘达利亚，天煞是则一粒蛋+奎爷，QTE果然华丽无比。
115$11589036$功夫熊猫3$Ecthelion$2016-07-24 05:59:13$4$于是熊猫同学的本名叫……李莲花？…………
116$11589036$功夫熊猫3$DEPARTURES$2016-01-23 20:34:02$1$这部够得上半部国产了，片尾制作大半国人，画面视觉非常华丽，卷轴水墨风美哭，画风适合红红火火春节，剧情简单了一点，但阿宝可爱可爱可爱，滚滚可爱可爱可爱，3D首选！配乐还是怀念JP啊
117$11589036$功夫熊猫3$drunkenstain$2016-02-01 21:22:16$1$《功夫熊猫》系列把Loser电影做到了极品：既能好看又能励志 这部片子的艺术指导真是亮瞎我的双眼：气韵生动 骨法用笔 视听语言简直就是谢赫水墨画六法 电影院的我差点被圆滚滚的黑白糯米丸子们萌晕倒 为此爆米花掉了一地 对不起 保洁阿姨！！！
118$11589036$功夫熊猫3$mee$2016-02-06 03:08:06$1$这就是我心中的五星好片，情节简单，有趣，没有一镜多余，让你明白一个道理，落泪，最后圆满的大结局。嗯。
119$11589036$功夫熊猫3$20thCenturyFox$2016-02-02 18:49:48$2$水平在三星半徘徊。想给三星是因为这是梦工厂的流水线产品，特效美 笑点足，可是看完印象不深。但作为合家欢电影已经值回票价。想给四星是因为这是运用国际资本和美国团队讲好中国故事的优秀范本。生活中也随处可见该片的衍生产品。值得鼓励。黎瑞刚是极优秀的幕后推手和资本运作高手
120$11589036$功夫熊猫3$Moonlight Bae$2017-08-17 13:14:58$1$我觉得很好看啊。而且也蛮有笑点。中国风挺浓。不要说骗骗美国人了，给中国人看都很不错啊。好喜欢po爸爸的配音，好asian father的感觉哈哈哈
121$11589036$功夫熊猫3$臭兰人$2016-01-23 20:01:41$2$看的中文版，成龙的配音还是略显违和。总体还是挺好看的，煽情恰到好处，搞笑颇有笑点，最后神龙出现很燃。
122$11589036$功夫熊猫3$每天都有坏消息$2020-01-17 11:54:01$1$3.5/5  master变成 shifu ，又是kongfu 又是chei（气），还有八卦☯️阴阳，结尾一片中国年的喜庆味道，中国元素不可谓不多，但是故事太老套了，除了卖萌，竟然真的毫无亮点。
123$11589036$功夫熊猫3$雪$2016-03-12 21:57:32$2$除了做你自己，没任何营养
