$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$30128916$夺冠$段尽欢$2020-09-25 21:33:46$3224$彭昱畅长大之后果真变成了黄渤😂
11$30128916$夺冠$乌鸦火堂$2020-09-25 19:35:36$287$如今时代不同了，年轻人可能体会不到那个什么都没有、所有一切都要靠大家拼搏的时代氛围。这正是电影要传递的主题，只有我们了解那个年代需要前辈们拿命去拼的那种精神，才能更深体会如今这个什么都有的年代拼搏又是为了什么。话虽然老套，但永远不过时，蒙太奇手法的赛场氛围点燃热血，35年之间新老中国女排的花样年华，拼成了两代人的“集体回忆”，去呈现一个时代的荣光
12$30128916$夺冠$xkc1117$2020-09-25 19:35:15$1170$总体过于冗长，个人戏份太多了，叫《郎平传》更合适，中国女排在我看来应该是几代人一个大集体，而不是某个很突出的个人，比赛戏挺燃的，算是亮点
13$30128916$夺冠$手稔花琴$2020-09-26 08:35:06$905$确实有点抱不平，04年雅典奥运女排陷入低谷多年重回世界之巅，振奋人心的0:2惊天大逆转，本应是浓墨重彩的一笔，却一笔带过了。甚至连冯坤，赵蕊蕊，周苏红这些提都没提，冯坤可是继孙晋芳之后最棒的二传兼队长了，他们也是女排精神重要的一部分啊！何况那届还是陈忠和执教的。难怪从《中国女排》改名《夺冠》了，我明白这部电影主要想要突出郎平，我同样也非常非常喜欢郎指导，但这不是《郎平传》啊…
14$30128916$夺冠$第五个希望$2020-09-26 22:11:53$270$什么时候能有一部记录国足的电影，哪怕叫《出线》，我也会热泪盈眶吧。
15$30128916$夺冠$翻滚吧！蛋堡$2020-09-23 23:32:13$174$能感觉是各方角力下最安全的结果，陈可辛小心翼翼完成了任务，维基百科般复刻关键节点，直到郎平带领美国夺冠后人物的情感和矛盾才终于得以落地。“不以输赢为标准，也不必成为其他人”，大概是第一次在国产体育题材电影里看到这样的价值观吧！
16$30128916$夺冠$嘟嘟熊之父$2020-09-24 22:10:46$868$和脑海中所想象的完全吻合分毫不差，换言之，是一部被民众想象与民族期望绊住的电影。“无路可退”本是电影的题眼，前半程暗指挣脱物质匮乏，后半程靠近抛弃精神压抑，但无法明说无法深谈。眼神和身体足够强悍，更倾向于瞬时的捕捉而非常态的构建，相较之下语言则显得苍白，无论是赛前鼓舞、赛事解说还是赛后感慨，都不如沉默更加有力。
17$30128916$夺冠$Mr. Infamous$2020-09-23 23:24:26$143$陈可辛对情绪的抓取，依然很好，哪怕是在这种文章里。早已不对比赛成绩热衷，那些赛事仍能唤起竞技的热血，热的也不是那些大而不当的概念，还是为了大写之下小写的人。“中国女排”是被需要的，八十年代因为国弱，现在则是过来人的记忆承托，新一代的自我定位，以及永不过时的女性互助力量。除此以外，有郎平与陈忠和的情谊，更有声誉几度沉浮后逆战的漂亮。再早几年，故事就不是故事。但部分对口型、不道名、删减与割裂，故事也只能是故事。三星半。（映前看到《风林火山》预告，激动。片尾又见余静萍，几阵涟漪。映后听说中巴大战动用11个机位，其中沉浸式的镜头，就是她扛着机器在场内穿梭而得。）
18$30128916$夺冠$朝暮雪$2020-09-25 23:51:18$635$"原名叫《中国女排》，后来改名叫《夺冠》，看完电影发现的确不该叫《中国女排》，应该叫《郎平传》。
导演并不具备拍摄整个中国女排的能力，人物太多了，每个人都拍了，但每个人都没拍好，还不如选两三个人，主要讲她们的故事，讲透彻。
老队员全都没有名字，全部叫的编号，我还不如直接去看比赛录像或者纪录片，至少还知道谁是谁。
中国女排为什么曾经夺得五连冠，后来又跌入低谷，再后来又重回巅峰？
电影从头到尾都没把这个问题讲清楚。
电影多次提到“女排精神”，但自始至终都没说清楚什么是女排精神。
前半部分讲女排刻苦训练，这都还很正常，到后半部分就跑偏了，往成功学、毒鸡汤发展了，什么“可以输球，但不能输人”“你不需要成为我，你应该成为你自己”……
她们拿奥运会冠军不是因为勤奋，而是因为教练每天讲讲大道理，说几句人生哲理？"
19$30128916$夺冠$zhang 2nd$2020-09-23 22:54:50$213$情绪很满，满到溢出来。展现出太多苦，太多残酷，太多哭，缺了克制，用力过度。三节中，08年奥运会最难拍，也最短，一笔带过。黄渤这条线非常可惜。彭昱畅这次发挥了不得，和吴刚对戏一点也不怯，未来可期。整体瑕不掩瑜，选角太合适了，尤其是巩俐，特别稳
20$30128916$夺冠$double$2020-09-23 22:56:57$2738$还是疯狂地输出、廉价地煽情，只是停留在空喊口号上，只会借助体育本身的剧本张力来带动情绪。有些场景太失真，最后是不知道如何结尾了吗？
21$30128916$夺冠$JoeE$2020-09-23 12:15:11$1417$一部把结局写在片名的电影。看之前大家都已经知道最终我们夺冠了，但是陈可辛想让我们看到的，是30多年来女排姑娘们背后的心酸和来之不易。拍第一次夺冠时我真的眼泪都到眼眶里了。导演找来郎平的女儿白浪来演年轻时的郎平，后半段几乎就是现实中的奥运阵容，全员演技超水平发挥，巩俐更是让你觉得她就是郎平本人。全片刚柔并济，展现出了中国女排的气魄。真心期待在今年东京奥运会上再夺冠军！
22$30128916$夺冠$Cherish you$2020-09-25 11:59:39$246$巩俐演技退步太严重
23$30128916$夺冠$亵渎电影$2020-09-26 00:48:07$356$它不像传统意义上的体育电影，它是一种精准的民族情绪消费，导演把精力都算计到了情节的煽动性和爱国情绪上。电影用二元对立简单粗暴的手段，把训练和比赛都处理成可以煽情和燃起热血的情绪宣泄，片中的女排比赛被简单粗暴的处理，真不如直接看一场女排比赛时更有戏剧化。因为故事的时间跨度大，故事前后的戏剧张力也割裂了，后半段直接变成《郎平传》，让她一个人对抗三十年不变的体制，营造出体制在进步的错觉。最终的女排精神成了迪士尼童话里最常见的美式主旋律——做自己，女排精神这件事前后拧巴了，却还是不得不转向新时代的女排精神这个主题上。其实电影讲的是时代进步了，我们这个时代已经不需要女排精神了，姑娘们做自己开心就好。供消费情绪的作品一般都没什么价值，因为这其中没有智慧，更多的是算计。
24$30128916$夺冠$梳打小饼$2020-09-25 21:33:42$614$人物没立起来。太悬浮了。个人不咋喜欢
25$30128916$夺冠$senna$2020-09-22 10:00:26$1071$ 迄今为止中国最好的体育电影，能不能被超越，就看《李娜》的了。开场40分钟了，以为不过是一碗鸡汤，但到后期渐入佳境，露出锋芒。知道片子为什么要改名了，不如叫《郎平传》。复刻的三场比赛选择的很妙，有输有赢，又不完全是决赛，三战封神又见人。
26$30128916$夺冠$明月何时照我还$2020-09-25 23:01:26$379$为了谁打球，到最后也没说清楚。拍得像cctv5的专题片，节奏却没专题片做得好。电影本身不及格的，动人的是真正打球的人。
27$30128916$夺冠$懒躺乱翻书$2020-09-25 22:01:50$127$因为不够强大，才会那么在乎一场比赛的输赢，那我们现在够强大了么？四十年前，不顾身体损耗堆强度训练，背负全国的期待去打一场比赛；四十年后，教练会问“你热爱排球么”，这才是发展带来的意义，不是么。出生的时候，已经错过了女排黄金一代，小时候印象深刻的是日剧《排球女将》，中学才读到那篇陈招娣练球到尿血的课文。2000出头拿了很多冠军的那代女排，只知道教练陈忠和。里约这届女排，看电影的时候才发现，每一个我都知道，作为鲜活的个体知道。
28$30128916$夺冠$同志亦凡人中文站$2020-09-26 16:08:44$238$我不明白。是中国女排几十年的风云人物不够多吗？是郎平本人的故事还不够传奇吗？为什么非要把陈忠和塑造成郎平一生的羁绊(拒绝CP，想想只能用这个词了)，一而再再而三的加戏！女排姑娘们都好棒，电影里有我所经历过的时代的记忆，但也仅此而已。停留在表层刺激的女排精神。
29$30128916$夺冠$treeg$2020-09-26 08:39:24$233$像是大纲，没有血肉。台词让人尴尬太口号鸡汤了。后期改了好多词，都对不上口型。巩俐好啊。
30$30128916$夺冠$凹凸$2020-09-24 21:16:37$172$（春节前点映版）题材本身拍摄难度巨大，也的确适合陈可辛这样勤恳规矩的“好学生”来拍，不出差错也看不到丝毫惊喜。对影片的失望和删改关系不大，除了陈可辛的问题，巩俐用全程扑克脸演绎的这个郎平，真的很难让人认可。
31$30128916$夺冠$邓安庆$2020-09-25 22:10:30$137$总体来说一般，有很多束缚（1）更想看《郎平传》，这么杰出的一个人物，她身上的复杂性更吸引我，比如她为何离开中国，在美国怎么生活，又为何回到中国，希望能够有细致的展现；（2）希望能看到“技能竞技”层面的展示，现在能看到的眼花缭乱的场面，外行观众看得一团雾水，其中精彩处展现不出来；（3）郎平在片中说不要有夺冠的重负，轻松上阵，但片名是夺冠，后期剪辑呈现的也是每一次夺冠的记录，这之间是断裂的。
32$30128916$夺冠$杨德青   ོ$2020-09-24 12:06:47$1038$"最好的中国体育电影，很燃，止不住的抹泪。
巩俐真的演活了“铁榔头”郎平，霸气又柔情、赤城又坦然；而黄渤也极尽真挚地将陈忠和一角拿捏得恰到好处；吴刚饰演的来自神界的魔鬼教练对中国女排燃爆的训练简直比爆裂鼓手还要爆裂。当然，女排群像无疑是不折不扣的主角，在数场历史性比赛中，她们是绝对焦点。她们选择投身女排，既不是为了爸妈，也不是要成为别人，而是为了真正对得起自己。
球场上，女排队员抛头颅洒热血，每一声呼喊都是强心剂；在球场外，教练稳稳坐镇，在场边没有硝烟的殊死心理战中朝对方教练疯狂输出。一记绝杀，整个世界安静了，我们赢了！"
33$30128916$夺冠$胤祥$2020-10-01 22:49:05$40$7分可以有。剧作其实挺厉害的。陈忠和这一出倒是让影片歪打正着坐实了新旧时代-绝对的个人与绝对的集体的对比主题，老女排里只有郎平有姓名，对应的视听上只有郎平有POV视点（其实小陈教练还有至少一处）；其余老女排全部只剩代号，正如袁伟民陈忠和连名字都不能提。所以症候性在于，即便是13年回来的郎平仍要从老女排那里回收某些话语（也“再利用”了后半段补锅匠一样的黄渤），用以化解绝对的先进理念下绝对的个人叙述。另外怎么能把“团结起来振兴中华”剪掉呢？？？陈可辛调教素人真是厉害，朱婷她们值得一个特别表扬。
34$30128916$夺冠$Henry Wang$2020-09-25 22:01:18$175$很一般，流水账
35$30128916$夺冠$叶晗瞑$2020-09-25 16:01:26$1742$我不该对主旋律电影抱有期望
36$30128916$夺冠$maryhen$2020-09-25 10:18:30$311$巩俐连声音都学得特别像郎平
37$30128916$夺冠$luoyinluoxuan$2020-09-24 14:02:53$559$体育电影热血青春！几场比赛看得非常燃！紧张刺激感动万分，当然主线还是郎平，运动员和教练身份作为影片的分水岭。这更改后的片名感觉和影片里呈现的朗平欲言又止的表达思想相违和，and全片都没有提到黄渤角色的名字，老牌女排也只有郎平有姓名，新女排倒是个个本色出演名字特别整齐！
38$30128916$夺冠$biu.$2020-09-25 21:09:13$1525$都2020了，我居然还在电影院看PPT？
39$30128916$夺冠$樓小贱$2020-09-25 21:42:02$154$真的还行，值得票价，导演角度不盲从。能让你更加了解女排，了解郎平。
40$30128916$夺冠$麦姆威$2020-09-25 21:34:01$129$就是在电影院看了两场比赛，还是拍得不够深入！
41$30128916$夺冠$徐徐森森$2020-09-24 12:10:59$262$"紧急救援没哭，这个泪目了好几次……
嗐，没啥特别的 
就是觉得这群姑娘太美了。
【感谢盗梦】"
42$30128916$夺冠$滋养丰富风味绝$2020-09-25 10:23:09$335$女排精神之所以在这个时代被弘扬被铭记，并不因为女排总是胜利，而在于它从失落中走来，并且也不害怕面对失败。电影是经过加工的，但是精神是原汁原味的。温馨提示可以带一带纸巾，这样就可以不用像我这样强行憋着。
43$30128916$夺冠$黄青蕉$2020-09-28 20:34:44$82$半部好戏，后半段大概完全偏离了导演原本想要拍的东西了吧，剪得稀碎口型也是后配的，我觉得可能原本这并不是一部扬我国威式的燃片，反而试图探讨一些更复杂的关于个人选择和觉醒之类的东西，但是吧在中国，特别是体育这个范畴，个人是永远不能高过集体的
44$30128916$夺冠$微扬-石逸$2020-09-25 21:10:10$247$越来越讨厌强行煽情的片段。婷队值两颗星。
45$30128916$夺冠$四道风风$2020-09-26 20:01:34$115$节奏完全不对，前面一个故事，后面一个故事。如果单独讲好一个觉得都会好很多。另外后面既然都用了真人，还不如就叫郎平本尊来演，拍一个纪录片可能效果还好一点。另外真可以改名叫郎平传
46$30128916$夺冠$鱼罐头$2020-10-09 19:05:55$0$44/100 前面好棒哦 后面有点脱节和偏重点 巩皇演郎平太合适喽
47$30128916$夺冠$Peter Cat$2020-09-24 00:22:14$112$前半段是集体主义式的口号电影，意识形态巨大撕裂后，迎来了后半段个人主义式的鸡汤电影。国内编剧缺乏写职场电影能力，始终无法将一种职业中的技术性内容转换为有含金量剧作动力/阻碍，专业术语（教练暂停）被简化为煽情语言，调度完全服务于廉价音画催情轰炸。郎平/陈忠和 这条主线在黄渤油腻演绎面前，几近失效。唯独中国女排素人加盟多少为陈可辛这场时代煽情秀注入了些许诚意。
48$30128916$夺冠$frozenmoon$2020-09-26 14:31:25$201$直接讲，非常糟糕，完全出乎意料的差。根本看不到编剧的存在和作用。既不是个体英雄的传记片，也不是大群像，没有一个角色是饱满的，所有人都是纸片人，都是符号，没有血肉和真实情感。情绪一直顶到最高，但缺乏根底和原由。像那些挠痒痒的喜剧一样，这就是一部一直努力喊着要人流泪的陈旧煽情片。如今像这样脸谱化呈现人物的电影其实已经很少见了。更不要提到处充斥着的莫名其妙粗暴又粗糙的闪回。陈可辛失控了。
49$30128916$夺冠$shirocorvus$2020-09-25 20:36:04$94$感觉没什么人物挖掘 剧情很平很水 估计还不如纪录片  浪费了题材 
50$30128916$夺冠$欢乐分裂$2020-09-25 21:10:47$46$"体育片作为常见类型，嵌入某种意识形态后，如戴着镣铐跳舞般充满被指挥感的痕迹，全片最让我感动的一句“责任由我们这代人来背”---事实上，无形包袱仍沉重盘桓，从本片成品到戏外波折无一不是。

中规中矩的三段式，在影像基调和文本调配上虽力度不一，但基本契合诉求，从「时代精神」到「游戏」，曾经辉煌的神话在不同环境之下的走向，也折射了社会属性和大众心理的演变；撷取三次关键赛事作为横剖面，对比赛事吃紧时三位教练的话术即可明白其典型性。

然而三段式明显存在着断裂与平板，煽情口号不能造就球队的成功，反复强调意志与爱国力几乎跑偏夺冠真正的源发力（到底谁来背锅？）第三段好看的原因很大一部分缘于战术策略调整等技术行活，如果加强「职业」功能多好啊。

彭昱畅也太可爱了！"
51$30128916$夺冠$jojo$2020-09-25 19:38:53$443$期望越高失望就越大 以为是个人传记的题材 热血番来着 谁知又是个满满鸡汤强行煽情的主旋律电影 真让人不敢相信这是陈可辛拍的 两星给巩俐 
52$30128916$夺冠$张小北$2020-09-28 12:10:39$53$春节前看过首映，疫情之后，我不知道是我的记忆发生了错觉，还是真的如此……公映版本和首映版本有很多细节上都不一样了……我能理解但不能接受……为什么老女排不能拥有姓名？
53$30128916$夺冠$tangmm$2020-09-25 10:59:16$197$IMAX点映，太好哭了😭😭😭 女排同龄人终于有机会重温那段历史了！以后可以大型赛事在IMAX场转播，我愿意买票啊！浪浪演妈妈真好，彭彭不要变成渤哥啊！排球还是我最喜欢的大球。终于要上映了，激动！二刷走起
54$30128916$夺冠$成知默$2020-09-28 11:34:49$77$老女排被抹去姓名、仅以编号代替，恰好对应了时代特色，在国家荣誉与集体得失面前，个人的所谓喜好、所谓情感统统不值一提，这也与后期“为自己打球”形成了对照。然而，整体上对人物的塑造多浮于表面，即便是最具故事性的郎平。几场比赛串联起来的，仍旧是不加节制的煽情与对胜利即夺冠的歌颂。
55$30128916$夺冠$晚不安$2020-09-25 22:40:54$34$当电影必须要用集体去塑造个体的时候，一种巨大的内部张力已经出现了。不是《郎平传》，三段戏没法用《史蒂夫·乔布斯》的方式写，而改名风波也说明了，来自权威的力量剥夺了电影的代表权。而“夺冠”并没有去反思和挑战的意味，依然是一种正面的宣扬，但郎平至少在最后开始拷问队员的主观意愿。可惜第一幕垮塌得太厉害，为了输出80年代的女排精神，着力点散乱无章，上来就是接连不断的强输出，但扣的球都到观众的界外。等到08年，国家利益和个人选择之间出现了强烈的戏剧性，可也放弃了进一步挖掘的可能。最严重的缺陷还是对比赛场面的呈现，碎剪的编排丝毫没有带来情绪的递进。另，上字幕卡和时代影像来转场的方法过于偷懒。它那种主动或被动的撕裂，太容易让人想起《八佰》，只是，管虎用《金刚川》换回了它，陈可辛能用《女排》换回《李娜》吗？
56$30128916$夺冠$翡翠$2020-09-25 10:23:17$259$从拍摄开始就无比期待女排，不愧是巩皇，从带美国队获胜时的复杂心情，到中巴大战前夜的心理状态，还有郎平的走路姿态都拿捏得太好了。比赛，葬礼，制度改革等场景感染力都非常强，有几段几乎想起立鼓掌。女排姑娘们也都太美了！另外万万没想到彭昱畅长大居然真的成了黄渤，王菲那英神仙合作片尾曲锦上添花！要二刷！
57$30128916$夺冠$杨迪$2020-09-27 00:59:22$61$一定要到电影院看 在明知道比赛结果的情况下还能如此激动 真的了不起 因为这部电影 估计很多朋友会想要去现场看一场排球比赛
58$30128916$夺冠$Xin$2020-09-25 09:56:30$159$我天，我没什么文采，只会旋转暴哭！巩俐slay，演员演得都很好，情绪也做的很好。缺点还是有的，前面后面有点风格不统一，但是瑕不掩瑜。by the way 彭昱畅是我新老公
59$30128916$夺冠$谢谢你们的鱼$2020-09-25 20:42:41$73$挺可怕的，没有人的电影，就像一个播音腔的主持人在你耳边说了135分钟“中国牛逼”，每一个情节推进的理由都是爱国，我没有看到中国女排，我看到的是中国机器，中国上纲上线，不管你剪辑多灵动，配乐多轻快，整部电影都没有真正的灵魂，除了郎平以外的女排队员甚至都没有名字，21世纪的部分让队员演自己还不如让我直接看真实的比赛。这不是一部电影，这是一个主旋律排球纪录片的演员临摹版。PS：本片的贴片广告也是很恶心，不过在贴片预告里面看到了《风林火山》的预告片，很惊喜。
60$30128916$夺冠$LMusiCal$2020-09-25 23:15:14$145$"两代女排之间的关系和变化是有一点点思考的。
除此之外，我在看个啥？？？这到底是个啥？？？"
61$30128916$夺冠$北琦玉BLUES$2020-09-25 21:41:40$209$作为电影来说属实不行，几乎是全靠比赛本身的紧张感看完了全片。如果不是女排主题我真的要大喊“好难看”。
62$30128916$夺冠$南悠一$2020-09-26 02:21:20$29$2.8。表演空间有限，人物丰富度有限，剧本的深度构建也有限。当然这不是创作的问题，而该问创作者为何选（被选）这个题材。原因只有一个：当代人无法评判当代史，活着的人或许不应该被著书立传。
63$30128916$夺冠$Park越$2020-09-25 13:23:08$74$对女排印象最深的就是08年奥运会那个时候
64$30128916$夺冠$赖鑫桂$2020-09-25 21:33:36$393$看这样的的片子还不如看奥运会纪录片来的感动，一星的片子，加一星给女排精神。
65$30128916$夺冠$MR. Chocolate$2020-09-25 21:41:56$43$陳可辛實力證明自己徹底跟馮小剛同一檔
66$30128916$夺冠$shininglove$2020-10-04 00:24:06$28$公务员电影，在电影院里打开学习强国。
67$30128916$夺冠$哪吒男$2020-09-26 12:20:57$15$“爆米花”才不是卖座电影的图腾，咱们中国观众，爱的就是催泪弹！不哭对不起电影票钱。
68$30128916$夺冠$王不二😉$2020-09-26 10:55:34$140$陈可辛也开始拍mv电影了，还不如直接去看当时里约奥运中国女排淘汰巴西那场精彩。。。
69$30128916$夺冠$nezumi已卸载$2020-09-26 23:06:52$26$这种做报告式的影片最古怪的地方在于、它似乎讲了很多，然而屏幕一暗灯光亮起，你对排球，对郎平，还是一无所知，唯一知道了陈忠和是福建人，彭昱畅黄渤模仿的口音真勉强啊。
70$30128916$夺冠$天马星$2020-09-26 09:39:52$21$从「没有你，没有我，只有我们」到「成为你自己」，陈可辛试图在集体主义家国传奇里开辟出一条个人觉醒成长之路，从陈忠和与老女排的反映来看，他们很聪明一眼就识破了陈可辛的小心思，某种程度来说《夺冠》是反女排的。陈可辛这种另辟蹊径的尝试足够勇敢但明显失败了，角色无弧光全员工具人，演技不出彩剧情靠脑补，主题很混乱情感很空洞，在各方妥协之下，《夺冠》走向了平庸。
71$30128916$夺冠$白日作梦$2020-09-25 23:02:04$77$前半部是80年代的女排艰苦奋斗史，是顽强拼搏，不顾一切，集体为上的女排精神。我一开始以为整部电影都会是这种主旋律基调，去强调中国女排精神，很煽情，但是也很套路。后半部分讲的是改变，中国变得强大，我们不再需要靠一场赛事的胜利去维护国家自尊；人们变得自信，生活变得更丰富，不需要用以前那种伤害身体的死练去赢得国家的荣誉，更多的是为自己而去努力，去享受体育的快乐，感受体育赛事的热情。以小见大，电影里感受到的不仅是女排精神的变化，更加是整个国家在这几十年的变化，面对世界的姿态更加地从容自信，也更符合现在的国情。从整个电影的结构来看，后半部分感觉要讲的东西太多了，反而有些杂乱，没有重点，扣分项。另外电影中的音效处理的很好，就是某些广告镜头令人十分疑惑，一些大特写比如厨具，也很疑惑这个画面到底有啥用！
72$30128916$夺冠$V$2020-09-25 21:08:17$152$电影不咋滴好看。电影一颗星，多一颗给可爱的中国女排姑娘。
73$30128916$夺冠$顿河$2020-09-26 00:27:48$48$有幸读过剧本，即使三削五凿，仍旧是一部非常好的体育电影。在现有的探讨空间里，很坚定的探讨了体育比赛带来的，人与运动、人与组织和人与自我的关系。众志成城的赛场夺冠是果，曲折蜿蜒的内心求索是因，人生就是执果索因。
74$30128916$夺冠$我们$2020-09-25 20:37:38$48$口号很好，很鸡汤
75$30128916$夺冠$37927$2020-09-25 08:39:22$176$"想起来，《夺冠》是在1月疫情开始爆发前夕，在电影院看的最后一部片子。

彼时电影院还没被关停，座位也还没有被隔开。周围人都劝我别去影院了，可当我入座时还是座无空席，每个人都带着口罩的场景还是第一次见。

映后见到了陈可辛导演，他感谢大家还会“冒险”前来。回到家第二天新闻满天飞，钟南山院士确认了病毒会人传人，疫情正式爆发，想想真是后怕。随后电影从贺岁档撤档，电影进入寒冬。

此时再一次看完《夺冠》从影院出来，看着大街小巷人来人往，恍惚错觉这8个月的时间好像一段故事的插叙，幸好故事终究还是回到了原本的主线。

电影很好，女排很好。
也希望一切慢慢回温，回归正轨。"
76$30128916$夺冠$不知何处是他乡$2020-09-26 08:35:19$102$这是我这两年来看过最垃圾最烂的电影，浪费了我的票钱和宝贵的时间。还以为全讲80年代中国女排五连冠的故事，结果就只占前面一小部分，大部分时间都在讲现代的中国女排，无聊的要死，感觉还不如直接去看比赛视频，第一次在电影院玩起了手机。
77$30128916$夺冠$bragi.k$2020-09-25 23:01:29$95$比赛场面和选手们的演技5分，无时不刻的强行灌鸡汤和做作扣3分  评2分
78$30128916$夺冠$大聪$2020-09-25 21:50:23$37$"《夺冠》是一部能很好在影院抒发情绪的作品，简单粗暴的说，就是很好哭。影片用三段时空三代人的女排故事，去展开女排的拼搏精神。
影片前半段突出时代造就人，后半段突出人彰显时代价值。
现实中真实的女排比赛，本身就能带来很强的吸引力和刺激感，再加上情绪魔法师陈可辛镜头语言的把控，煽情音乐何时起何时落，台词的设计，气氛调度的渲染等等，都精准恰好你的泪腺，确实在好几场戏中，我的眼泪根本没蹦住。
陈可辛最大的特色优势在影片中提到娴熟的发挥，掐准国人集体记忆的时代脉搏，同时也能精准捕捉人物的细腻情感。
特别是后半段回归到人和体育精神，人和国家的互动关系上，更让影片增加了更多思考的维度。"
79$30128916$夺冠$故园花茶$2020-09-26 08:48:23$93$可惜可惜，拍的好烂，比白开水还平淡
80$30128916$夺冠$特立独行的猪$2021-01-28 21:58:40$50$“我们中国人为什么那么看重一场排球比赛的输赢？因为我们的内心还不够强大。等有一天我们的内心强大了，我们就不会把赢看成一场比赛唯一的价值。”
81$30128916$夺冠$豆腐丝ei$2020-09-25 22:16:50$33$中国女排！！那些蹲在电视前看直播的日子😭
82$30128916$夺冠$57$2020-09-30 14:15:19$57$单纯去夸或者去贬这部电影都有些侮辱自己看过的电影。经过这么多利益相关方之手，这实在已经不是一部电影了。揪着导演一个人说也没什么意义，他像那种顶着巨大的风险和利益没有条件创造条件也要上的产品经理。《亲爱的》那时我觉得是虚构败给了非虚构，而这一部又完败给更加复杂的中国现实。当然这样的电影也有比单纯作者电影更值得分析的地方，因为它超出了作者的控制也超过了他的自觉，因而更直接地暴露出复杂的场外质地。由此，影片结构中的破碎、平庸和自相矛盾，作为一种自我反证仍然是有意义的：不论夺了什么冠军，强力做出某种单一归因都非常主观，充满欺骗性。
83$30128916$夺冠$momo$2020-09-26 08:48:51$86$"很一般啦
不该对港台导演的主旋律片抱希望
这种集体主义精神真的只有我们自己人懂"
