$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$25921812$驴得水$心生$2016-10-28 00:28:43$16948$过去的如果就让它过去了，未来只会越来越糟！
21$25921812$驴得水$颜小兽$2016-10-13 00:04:14$4054$三颗星全给任素汐，她是中国最优秀的话剧女演员，有魂。她的巴掌都像是打在我的脸上。但是，建议导演改一下职务叫摄像吧，因为您只发挥了这个功能。
22$25921812$驴得水$蜉蝣$2016-10-11 21:27:07$1750$映后主创见面特别惊讶，被拍成这样还需要导演？！完全照搬舞台剧台词，连人物站位都是舞台式，没有任何电影语言，镜头蠢到还有淡入淡出和虚化背景这样的衔接，很明显的分幕，且大大弱化了表演。全片没有同期声，配音简直灾难。（据说上映版本是同期声）。是好的剧本和演员，但还是去看话剧吧。
23$25921812$驴得水$扭腰客$2016-11-01 22:14:43$3088$不是烂片，但看完后，却比烂片还让人不舒服。不仅仅是极端环境下的极端罪恶，也不仅仅是那些已经摆在面子上的“讽刺”，而是所有的男人对一个女人的伤害，所有的愚昧对人性的强奸。我相信，看完后产生心理和生理双重不适的观众，不仅仅是我一个。
24$25921812$驴得水$掉线$2016-10-22 23:45:08$2150$【C-】比夏洛特烦恼还要话剧化。完全没有填充人物之外的任何银幕内世界信息，所有的镜头都聚焦在演员身上，像在看情景喜剧，简陋的视听语言让几个本该令人触动的情节效果大减。《驴得水》用自己充分向那些“故事至上”的电影观众表达了一个真理：好剧本≠好电影
25$25921812$驴得水$木卫二$2016-11-01 00:15:53$2483$后半段太糟糕了。编导像发动起来的传送带，疯狂号召观众扔石头。但最致命的是完全放大了舞台剧改编电影的缺陷，情节推动靠走，人物性格全部靠吼。我绝不是拥护电影形式的圣徒，但也确实看不下“让语言飞”的偷懒与背离。至于讽刺，荒诞和反动之类的解读，难道大家都是当了太久外宾非得要恍然大悟嘛
26$25921812$驴得水$Bella$2022-01-24 17:18:24$308$一部好电影就是荧幕完成上半部分，现实完成下半部分。有人看到人性在贪婪面前退却，有人却只看到荡妇。专组好多男的在认真讨论，你愿不愿意娶张一曼这样的女人？中国男人最搞笑的地方就是，他们认知中对一个女性最高的评价就是—娶她，而真相是别人根本不认识他们是哪根葱。不信你们去评论区翻翻，笑趴了
27$25921812$驴得水$亵渎电影$2016-11-02 01:33:42$1147$如果话剧改编电影可以这样的话，人艺之类的以后岂不是可以赚一笔了，用电影的标准看，这片子一颗星都嫌多，说它成功，只会带坏了未来话剧改编电影的风气，当一场话剧的标准看，这玩意儿倒是可圈可点。
28$25921812$驴得水$肉腾腾$2016-12-23 23:39:52$483$没去影院贡献一张实打实的票房，我真是遗憾又羞愧。
29$25921812$驴得水$柴郡猫$2022-03-15 21:08:28$236$世界的秩序：资本＞权利＞男人＞女人＞驴＞挑战父权的女人
30$25921812$驴得水$二月鸟语$2016-10-11 02:47:09$1086$两星半，无法否认其剧本的完整和工整。但目前电影所展示出的形式，还是只适合舞台剧的呈现，这归结为做久了舞台剧的导演依然不适合拍电影，视听语言的羸弱导致剧本的很多优点难以完整呈现，人物性格不完整，剪辑也很平庸，荒诞里带着一股剧作者的愤青，演员只是剧作者的吐槽工具，只有女性完成的不错
31$25921812$驴得水$珺先生$2016-10-30 15:45:04$390$《驴得水》这样的烂片，我一分都不会给。它连称之为艺术都不配。创作者显然忘记了艺术需要提纯和过滤这一基本常识，转身沾沾自喜地搞了一场人性丑恶实验和展览，还自以为高明。它真的能引起人们什么沉重的反思吗？不，它只是让人恶心罢了。出发点错了，怎么做都是错的。
32$25921812$驴得水$徐若风$2016-10-22 20:19:10$701$走进影院看话剧，空间调度和剪辑很成问题。拿的出手的是剧本中对多重主题的深度挖掘，一出官僚与知识分子现形记，借民国讽今教育和潜规则，讴歌女性自由。然而不是只要立意好，就是好作品。
33$25921812$驴得水$乌鸦火堂$2016-10-11 20:27:54$256$典型的一步错步步错的“U-turn”类型。舞台剧改编，蒙太奇不明显，但随之而来的优点就是很工整，戏剧冲突不断，用一个谎言去圆另外一个谎言，矛盾冲突叠加，前面阴差阳错的笑料不断，后30分钟大爆发，讽刺味道浓厚，很像当年的《阿满》喜剧，最后有些过火，女教师是亮点，个人最喜欢满嘴跑火车的校长
34$25921812$驴得水$肖浑$2016-11-02 00:05:30$73$一曼的凋零，铁男的委顿，两个中国电影里少有的鲜活立体的人物形象。
35$25921812$驴得水$匡轶歌$2016-12-31 23:41:41$60$2016年以一部&lt;驴得水&gt;收梢，甚好。话剧转电影的形式，还有爆裂的内核，人性的黑暗翻转，让我想起拉斯.冯.提尔的《狗镇》。真希望结局时，张一曼也能像妮可一样，捡起枪，站起来大杀四方。
36$25921812$驴得水$LORENZO 洛伦佐$2016-12-22 08:06:19$55$以后再随便看讨论区就剁手，太多污眼睛的言论。形式感很强，鼓励一下国产电影加一星。张一曼，倒是最值得回味的角色。
37$25921812$驴得水$啦啦啦德玛西亚$2021-08-28 06:25:33$60$孙校长想当农村教育家，老裴想找回男人的尊严，周铁南想得到佳佳的爱慕，佳佳想揭露社会的黑暗，铜匠想出人头地，特派员想贪美国人的钱，美国人想花钱做慈善。每个人都有自己的欲望，被欲望驱使着却浑然不知。唯有张一曼，只为活得自由。闹剧结束，每个人似乎都回到起点，唯有一曼离去，唯有她是自由的
38$25921812$驴得水$芦哲峰$2016-11-02 14:34:04$448$讲个笑话，你可别哭。有部话剧，长得不错，以为自己是电影。
39$25921812$驴得水$诸葛若见$2016-10-29 14:19:16$44$前半部污污污，各种飙车段子。后半部分惨惨惨，理想主义的破灭。情节蛮精彩，一波多折，各种反转层出不穷，有点借古讽今的意思。众生皆苦，无人不惨。电影还是收了些，话剧更直接。
40$25921812$驴得水$亚比煞$2017-07-29 18:38:21$334$假设张一曼是个男人，他睡完一个女人，而且知道女人爱上他之后，还对她说：“在我心里，你就是个牲口”，你们还会觉得张一曼纯真可爱吗？她后来的遭遇，确实令人发指，但她当初对待铜匠和裴魁山的感情，能这么赤裸裸的践踏，让我觉得她也没那么无辜了。
41$25921812$驴得水$随时缘意$2022-06-01 12:09:15$176$"一个渴望自由的婊子
一个渴望教育的骗子
一个渴望爱情的小人
一个渴望公正的懦夫
一个渴望美好的孩子
一个渴望改变的傻子
一头渴望活着的驴子
一场渴望倾诉的段子"
42$25921812$驴得水$曾海绵🌈$2016-10-11 10:34:54$146$基于原版话剧本身就很扎实工整的剧本，和强烈的戏剧张力，大电影加入了更多荤段子做包袱和笑点，让这出荒诞讽刺的黑色喜剧更显丰富。舞台剧演员的台词功底让人赞叹，女教师这条故事线被诠释的最完整，片中学做人三个大字道破主旨。个人感觉比夏洛好笑且值得深思，美中不足的是话剧痕迹较重电影感不足。
43$25921812$驴得水$丁小云$2016-11-01 20:42:36$66$比预想的好看一些。明明是喜剧，但看完后感觉有点抑郁。
44$25921812$驴得水$维城乱马$2016-12-18 23:05:54$306$居然从头到尾一个学生都没出现过啊……
45$25921812$驴得水$三和后浪える酱$2016-10-29 23:25:37$212$Incredible China.
46$25921812$驴得水$喻鸣$2016-10-25 23:54:26$407$讲个笑话，你可别哭。确实有笑有泪。镜头感差，全靠剧本死撑，挑几处刺：1冲突太密集，张弛度欠奉，滚雪球滚到后面都飞了。2人物崩坏。人出于自尊和自私显露阴暗面很正常，但裴魁山和铜匠两人由爱转恨太生硬，伤害一个真正喜欢过的人怎么能这么毫不犹豫？3喜剧的忧伤，忧伤并不是来源于绝望。
47$25921812$驴得水$大奇特(Grinch)$2016-10-29 22:46:51$258$借古讽今，话剧底子确实好。但改电影问题就来了，原版人马受戏剧空间和舞台表演太多束缚，再怎么靠电影技巧修饰都是依葫画瓢，导演技巧为零，成了个《开心麻花剧院现场》…不可否认，演员表演熟练，但那是一种话剧表演的熟练，感情不饱满。话剧看演员，电影看导演，道理就在于此。
48$25921812$驴得水$杨迪$2017-03-13 23:00:29$168$喜欢。但是，好像不是喜剧片。🤔
49$25921812$驴得水$Jamin$2016-10-28 02:02:49$217$难得看到这么好看的荒诞喜剧，虽然作为电影还有一些不足，但是已经很不错了。期待中国也能拍出像《被嫌弃的松子的一生》这样的电影。
50$25921812$驴得水$Dr.Ray$2016-10-25 16:29:13$114$无功无过的话剧搬电影，包括一直不太喜欢的结尾闹剧。但其实也足够让我期待这部电影能让更多人关注话剧与剧场了。另希望任素汐与《我要你》快快借着这股东风火了吧！真的等太久了。
51$25921812$驴得水$你才是咖喱$2016-10-28 23:17:30$151$打两颗星的能不能不装逼，你们是没看过小时代没看过从你的世界路过吗，这电影鼓励鼓励十分都能打啊
52$25921812$驴得水$河狸$2016-10-17 22:28:06$241$开心麻花的第二部电影，相比《夏洛特烦恼》的无厘头搞笑，本片走的是黑色幽默的路子，所以显得格调更高，商业之中带有一点文艺的气质。影片前半部让人笑声不断，后半部让人心酸落泪。真的如同广告语所说，这是一个让人流泪的笑话。而采用话剧原班人马，不使用大牌明星这一点也相当值得尊敬。五星推荐！
53$25921812$驴得水$王大根$2016-10-29 19:50:54$208$话剧式表演直接搬到荧幕上真的好可怕，看完感觉像被喷了一脸擦不掉的口水
54$25921812$驴得水$小猪大侠$2016-10-12 00:04:50$960$作为话剧5星，作为电影勉强3星。电影感欠佳是一个方面，最早看话剧剧本的时候，就觉得一曼这个角色写得也太简单粗暴了，使用性太强，一言一行皆在让观众发笑或是落泪，转折跟逻辑都不够通顺。电影则更放大了这种不适感。但女演员确实挺棒的。扣一星给这赤裸裸的圈钱动机和国内这该死的电影工业。
55$25921812$驴得水$老袁$2016-11-07 20:13:33$137$本质上和强行让人乐的段子电影没有区别，这是强行让人反思“劣根性”的人性电影。
56$25921812$驴得水$西楼尘$2016-10-21 23:17:46$120$人生就像这伫立荒野远离尘嚣的门，走进来彬彬有礼，走出去步步生风，门里门外世间百态一览无余。有人忍辱断发万念俱灰疯了，有人牺牲底线保全学校怔了，有人身披貂绒万事利己痴了，有人挨了枪子信仰崩溃傻了。弃如敝屣的除了雨神像，还有道德观。成也剧作败也剧作，电影语法的匮乏使得话剧腔调占上风。
57$25921812$驴得水$易老邪$2016-11-03 15:25:27$118$剧作的基本架构还是挺好的，但处理手法过于粗糙生硬，演员用力过猛，舞台剧痕迹太重，看着闹心。编导野心不断膨胀，各种隐喻、暗讽无的放矢、乱飞一气，只管放不管收，终至癫狂错乱、不知所云……总之，整部影片给人一种更年期妇女内分泌失调的感觉。
58$25921812$驴得水$鳕了了$2016-10-24 21:23:34$257$脏
59$25921812$驴得水$崔小钱$2016-10-29 08:04:46$418$开头好多的黄段子看得就不舒服，趁着有电话要接就直接出了电影院不回头了
60$25921812$驴得水$武侠小王子$2016-10-30 13:57:47$195$反应一个深刻主题就能成为一个深刻电影吗？那么电影与其他艺术形式又有什么分别？
61$25921812$驴得水$达文西的香菜$2022-05-03 18:53:43$85$希望一曼永远是那个把大蒜皮当花瓣扔 转头一笑的样子，希望佳佳在延安找到真正的光。用女人的牺牲换来的利益 这些男人们是享受的如此心安理得
62$25921812$驴得水$孔龙$2016-10-31 16:39:19$122$评分虚高。一曼这个角色前期塑造得挺好，后来变疯了就俗了；铁男经了一枪后性情大变，本也可以理解，可惜转变缺少过程；铜匠作为男主，符号严重不出彩；结尾有强行悲剧的意味。整个电影就是一个小品，人物塑造流于表面，感情弱，引不起共鸣，也没多好笑。带着高期望去看的，所以失落感特别明显。
63$25921812$驴得水$嘟嘟熊之父$2016-10-29 14:57:20$77$人之恶，中国人之恶，中国男人之恶。这都多少年了，很久没看过这么有胆识的国产电影了。年度十佳。
64$25921812$驴得水$姜老刀$2016-10-29 23:56:46$112$三处迷之感动：1.张一曼拒绝魁山的那段表演。2.锁匠离去前的歌声。3.无数彩球从山上落下。
65$25921812$驴得水$醉里挑灯看花$2018-01-19 15:59:14$61$强忍着不适看完，票房证明，它更适合当成中文系或者电影鉴赏课上的教学片，去看人性，去看现实的荒诞，去看黑色幽默的叙述方式。
66$25921812$驴得水$荔枝超人$2016-10-22 21:54:17$98$自知对这种片缺乏鉴赏力，特地请我妈一起去看点映，看完她说不是很好看（集中吐槽一曼老师这个角色写的太过矫情，其他都还好），嗯，我听她的。
67$25921812$驴得水$哪吒男$2016-10-30 20:33:28$61$如果一部优秀的话剧，拍成电影并不能让它增添精彩度，那何必要拍呢？
68$25921812$驴得水$帕拉$2016-11-01 22:53:51$61$体制下劣根性的集中展现，头尾背景设置投机过审。这种电影假象的深度能骗到很多人，而影迷一眼即能识破。[C]
69$25921812$驴得水$老咪$2016-10-28 19:13:28$49$中国近代史的微缩与丑陋的民族夹缝生存哲学的嘲讽——权力分配资源，以恐吓各阶级重塑秩序、混淆黑白、制造遗忘，并“保全大局”为名行“牺牲他人”私欲；软骨头的知识分子抱以扫除腐朽的热忱，又易在权、利夹缝中媚上偷生，蔑视农民。后者天真地同国家机器一齐“翻天”后又难逃食物链底层命运 @2016-10-28 19:13:28
70$25921812$驴得水$小岩井$2016-11-03 23:43:20$78$任素汐演得很讨喜，然而张一曼这个角色本身，真是一言难尽......这个角色身上一旦被人放上女权和自由的标签，整个就变味了。ps：本片最大的笑点来自于身边一位阿姨，一直在迷之笑点地大笑，结尾枪声响起还笑，简直让我出戏。
71$25921812$驴得水$狄飞惊$2016-10-30 12:45:17$74$戏剧冲突做得很足，但情感张力完全没出来，我还是坚持之前认定的，开心麻花这个团队尚不具备拍出好电影的能力，道理很简单，倘若以为解决了剧本问题等同于解决了电影问题，那就没有艺术形式的区分。
72$25921812$驴得水$王17$2016-10-29 15:10:10$167$即使我这个外行也能看出来这个剧本编的太糟糕了吧，完全就是瞎JB编，无脑愤青一样的转折和对白，无视叙事逻辑和人物动机的合理性，而且难得的让你对任何一个人物都觉得讨厌。简直比烂片还可怕，浪费时间！
73$25921812$驴得水$卢十四$2016-10-28 23:41:38$78$很有意思，但毛病也多。估计原版话剧应该比电影水准高很多。
74$25921812$驴得水$MINT$2022-02-20 20:47:00$62$没有遇到考验之前 我们都以为自己是英雄
75$25921812$驴得水$shininglove$2016-11-07 21:01:23$34$今年出现的教科书式反例，题材气质类似前南东欧荒诞情节剧，可诗意，可浪漫，可蒙太奇飞奔神驰，然却以舞台班底囫囵吞枣，不赞成生吞，总得去皮削骨，遗憾于没有二度加工。棉花胡同北剧场大戏实况和西土城4号标放毕作，不是一个概念。
76$25921812$驴得水$△̶$2022-05-12 22:58:14$46$这片居然能过审真是奇迹 可能全多亏了时代背景 这里边的男的真的没一个好东西 真实又刻骨
77$25921812$驴得水$女也不是她$2021-01-31 23:28:31$48$想着看个轻松点的喜剧就睡了,好家伙,好TM的一个黑色幽默
78$25921812$驴得水$勾陈一$2016-10-30 03:03:52$97$都怪这夜色，撩人的疯狂。都怪这吉他，弹得太凄凉。
79$25921812$驴得水$托腮$2016-11-03 11:19:59$59$最大的浅薄，就是故作深刻
80$25921812$驴得水$xīn$2016-10-29 16:59:34$173$万达CBD店2016.10.29.2:45pm 建议看到四五十分钟时离场（即第一次欺骗完成时），后面就是最媚俗的意识形态导致的闹剧了。
81$25921812$驴得水$草威$2016-12-28 13:11:39$24$怎么说呢，批判现实、刻画人性，不需要把自己变身成为一个受迫害妄想狂，也许话剧可以，但电影并不那么适合。是真正用心对待的故事，但处处都有点用力过猛。一曼很好，歌儿很好，“这夜色太紧张，时间太漫长，我的情郎”
82$25921812$驴得水$陈哈$2016-12-15 16:07:36$18$3.8吧。擅自Remix一下，“睿智”的佳佳说出了“如果过去的就这么过去了，以后只会越来越糟”，失望至极去投奔她的大哥，去了延.安。接上周铁男这时说“你太幼稚了”。有些人觉得这片不够巧妙不够藏，以此贬低这片。你们以为你们崇拜的《让子弹飞》是有多巧妙有多藏怎么的，盲目崇拜。
83$25921812$驴得水$苏辛$2016-11-03 11:33:22$55$一曼凭什么会疯？如果她代表的是美和自由，那美和自由凭什么如此脆弱？如果那真是她的信念，就会具备极大的韧性，如荷叶承雨珠，雨珠终将滑落，而叶面不染。后来我明白了，美与自由只是她的追求，远未成为信念。她到此处的目的就是逃避，逃避为想要的自由招来的污名。而逃避者终将垮掉。
84$25921812$驴得水$鹿菏$2016-12-24 23:17:20$36$看完心理不适，后半段表演用力过猛很出戏，喜欢前半段
85$25921812$驴得水$坦克手贝吉塔$2017-03-13 14:44:39$37$莫名其妙，演到一半变得毫无逻辑
86$25921812$驴得水$安东$2016-12-14 23:34:35$17$话剧虽好，可终究不是电影，这样照搬到银幕上，未免太不高级。角色转变突兀，戏剧冲突硬编，演员表演全在拼谁嗓门大……其实有点失望。
87$25921812$驴得水$mOco$2016-12-31 13:31:07$25$一出很棒的话剧，然而却不是一部合格的电影。表演方式、走位全是舞台剧的那套，几乎全片的景别都在中景以上，一曼被剪头时的特写镜头更是蜜汁尴尬，比学生作业还要幼稚的镜头语言暴露无遗。人物推动情节走向，转折便特别生硬。电影毕竟还是有自己语言的艺术，并非话剧。
88$25921812$驴得水$Morning$2016-11-01 20:40:12$55$因为几乎是话剧形式，所以视听不去说了，不过在话剧基础上，它也像下乘的春晚小品。剧作方面，依旧和《夏》有一样毛病，起手想要缝制孔雀裘，但不是孤勇的巧手晴雯，第一幕后，开始针脚大乱，磕磕巴巴干脆弃了底子。还有这不是讽刺，是美国电影里，小朋友晚会，丑小孩彼得，只能扮演一棵大树那么直白。
89$25921812$驴得水$翠西 。o 0 O$2016-10-28 15:52:47$61$“舞台真实”和“大荧幕真实”真的完全不是一回事。。许多精彩部分照搬进电影却成了生硬和尴尬 作者没有放胆进行电影化的变形 可惜了那么好的文本
90$25921812$驴得水$双立人厨房$2022-01-15 18:59:27$51$倒是把男性之劣根性表现的淋漓尽致。
91$25921812$驴得水$CyberKnight电子骑士$2016-10-29 01:46:45$31$不要跟《夏洛》比，两种类型。喜剧性不强，基本算剧情片，但荒诞的黑色味道比较浓。因为源自舞台剧，剧本比较扎实，表演也很不错，特别是演张一曼的（据说没有舞台版好）。但电影的质感很有问题，服装令人出戏，角色背景模糊，民国环境非常可疑，这些都是戏剧改编中出的问题。本来能拍得更为厚实、有劲
92$25921812$驴得水$托尼·王大拿$2016-10-30 01:39:17$49$借古讽今，颇为有种的一次尝试；剧本写的特别硬，却也相当瘸，目的性太强其实很影响合理性和结构性，但依然欣喜于这种电影的存在；整体感观如同看着隔壁脑血栓的吴老二满当院追老母鸡跑丢鞋，可笑更可怜。
93$25921812$驴得水$谋杀游戏机$2016-10-25 22:36:43$22$无论是特定年代封闭场景的设置，还是演员说话接话的方式，乃至于情景剧式的镜头调度，都给人非常强烈的舞台感。前半段是逗乐喜剧，摸准观众笑点依旧是开心麻花的本事，后半段展现了小团体内部价值观的激烈冲突，风格也走向讽刺荒诞。说实话，看完心里五味杂陈，不知如何评价。
94$25921812$驴得水$Indecent time$2016-10-28 18:02:16$15$不像电影，像是电影院的话剧，但是，剧本和主题真好。看完不知道从何说起，假如这部是韩国的片，又会刷爆朋友圈吧……
95$25921812$驴得水$马达$2016-11-07 23:01:40$45$很喜欢张一曼，虽然是悲剧，但活的自由从来都是难能可贵的
96$25921812$驴得水$刀叢中的小詩$2017-05-08 23:53:39$20$一个人的理想算不了什么，它就是一朵花，一根草，一个彩色球，但是一些人甚至一群人的理想很容易成为背叛或戕害理想的同谋。反而，控制一群人比控制一个人要容易得多。悲剧，从驴被人替代身份开始，善良最先被利用，自由最先被戕害，侥幸活下去的最后都成了老油子。
97$25921812$驴得水$熊阿姨$2017-01-01 23:39:43$24$前半段的女教师异常精彩，群戏对话一句多余都没有，句句都出人意料地好看，完全不走套路。后半段泄了。
98$25921812$驴得水$安德烈大叔$2016-11-06 14:59:44$22$故事文本辛辣，电影语言粗暴，大有提升空间
99$25921812$驴得水$黄小邪$2018-12-18 00:39:33$30$可能反感《驴得水》原因之一是片中人物没有基本的尊严和体面，这与社会地位无关。人在作践别人时，也在作践自己。在烂泥中生活，不见得是中国人的常态，也不必用外国人来啧啧称奇：不可思议的中国。女性因性观念开放就要被骂作“臭婊子”“公共厕所”而发疯；铜匠学了文化倒变得阴暗丑陋，真是有趣逻辑。也是奇怪，这么多”民国粉“宣扬”民国范“，为何选中的是钱钟书写的那种浅薄犬儒、贪图享乐、爱慕虚荣、自私自利软骨病患者，而不去看真正知识分子的风骨。谈”知识分子的脾气”也是可笑，愣头青在枪口下磕头如捣蒜，还振振有词说打入敌人内部才能实现自己的理想…感觉说整部电影“沐猴而冠”都抬举了。
100$25921812$驴得水$托尼·王大拿$2016-10-30 01:39:17$49$借古讽今，颇为有种的一次尝试；剧本写的特别硬，却也相当瘸，目的性太强其实很影响合理性和结构性，但依然欣喜于这种电影的存在；整体感观如同看着隔壁脑血栓的吴老二满当院追老母鸡跑丢鞋，可笑更可怜。
101$25921812$驴得水$安德烈大叔$2016-11-06 14:59:44$22$故事文本辛辣，电影语言粗暴，大有提升空间
102$25921812$驴得水$海宁$2016-10-23 01:37:44$152$前半段抖包袱全是为了后半段的严肃沉重做铺垫，最核心的估计就是小女孩片尾的那句“过去的就这么过去了，以后还会更糟糕（大意）”，社会性比夏洛特烦恼要强
103$25921812$驴得水$魏晓波$2016-11-05 22:00:22$22$没那么好，也没那么差，一个有趣的小故事，薛蛮子大战王全安。
104$25921812$驴得水$字母君$2016-10-11 20:57:48$29$"故事是个好故事，但好故事≠好剧本。电影意识稀薄，作为电影质量不如《夏洛特烦恼》。
导演说剧本最初是为电影准备的，但从镜头运用、场面调度、服化道再到表演，甚至剧本本身都是满满的话剧味。所有灾厄压在同一个人身上，开头为表现众人简单美好，每场戏每个人全都笑眯眯的，直接观感就是：“怎么连NG条都剪进正片里来了？”"
105$25921812$驴得水$m89$2016-10-28 10:46:16$38$友情提示：这不是喜剧。最后要不是投奔了延安，估计就过不了审了。“我可以容忍知识分子的脾气，但也是有限度的。”超浓重的话剧腔，无论是演员的表演，台词的节奏，还是推动观众情绪的方式。所以它的好全都是原作的好，跟电影没啥关系。衷心希望开心麻花团队的下部作品能是原创的电影作品。
106$25921812$驴得水$五色全味$2016-10-28 22:23:12$23$老觉得在看话剧，看了半截都入不了戏
107$25921812$驴得水$我是大皮哥$2016-11-01 23:09:32$48$好的观众和好的演员一样，你得进得去更要出得来。拿“让我看得不太舒服”的论调去否定一部影片这样的态度真不可取。也许单纯只看情节、抠细节和梗和解读其中的讽刺、隐喻就已经足够劲道尽兴，但于我个人而言，更有趣的在于你去发现、去感知、去记录这部电影所有的，结构的编排节奏点的转化和能量的爆发
