$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$1291858$鬼子来了$被迫改名$2009-05-02 23:28:55$9526$十部南京也抵不过一部鬼子来了。
36$1291858$鬼子来了$掉线$2013-10-17 18:29:28$143$【A+】虽说是姜文模仿七武士的作品，但我觉得比七武士还好……其实也就开始的时候相似感比较强，越往后这部片子就越姜文。对于中日两方的人性刻画都非常到位。以小见大，想表现得东西非常多但又都完成的很棒，姜文在各方面之间找到了个完美的平衡点，非常棒的电影。
37$1291858$鬼子来了$Yurikhan$2010-12-10 11:54:32$341$皇军来到咱家乡地 共建大东亚共荣圈 皇军来了救苦救难 咱应该大开门户如迎亲人一般～ 八百年前咱是一家 使的一样方块字 咸菜酱汤一个味儿 有道是：打是喜欢骂是爱～“八格牙路”我不见怪 往后哇，“咪西咪西”皇～军～他给～～
38$1291858$鬼子来了$欢乐分裂$2010-08-27 22:25:20$465$只有诞生在这个特殊年代的怪才，才能催生出如此荒谬如此冰冷热血并存牛逼闪闪的画面，姜文升华了。
39$1291858$鬼子来了$桃桃林林$2006-05-09 09:08:08$617$至爱了
40$1291858$鬼子来了$野鹤$2017-07-19 08:04:24$333$现在的人打王者骂猪队友骂的厉害，那鲁迅先生那时被猪队友支配的绝望又有谁能体会？
41$1291858$鬼子来了$马克爱马克$2012-03-31 05:44:32$199$姜文，作为一个导演和演员，取得的任何成就，都与中国电影业的大环境没有一毛的关系。牛逼的人，干牛逼的事。
42$1291858$鬼子来了$岛上的夏奈$2012-10-21 01:59:47$392$终于明白那些看了《鬼子来了》的人为什么会给《让子弹飞》一星了。
43$1291858$鬼子来了$同志亦凡人中文站$2013-05-22 07:39:30$387$剧情处处意外，言语完全苍白。英文名实在太深刻了。
44$1291858$鬼子来了$螺蛳粉兔$2018-02-12 04:15:24$317$又抗日又骂国名党的片我党怎么还是不满意？
45$1291858$鬼子来了$唐喜乐$2007-12-09 15:49:26$615$音乐有崔健 摄影有顾长卫
46$1291858$鬼子来了$梦里诗书$2015-08-17 17:24:19$292$《鬼子来了》并不单在于其多么出色的呈现了日本在中国犯下的累累罪行，而更在于这部电影以荒诞犀利的手法真正给人以醍醐灌顶的警示，对敌人的宽容就是对自已的残忍，对敌人的善良就是对自已的残暴，农夫永远不应该去拯救一只毒蛇。
47$1291858$鬼子来了$热心网友方先生$2017-02-12 19:12:51$145$看完这部电影以后有很多感慨，结尾实在是太惨。只是我看了太多的抗日剧。这种题材我看了以后我产生了深深的疑惑，到底真实的抗日是什么样的。按照我现在的看法这部电影确实有点抹黑咱们的老前辈了，这也说明姜文的冒险精神有多大。从那个一个独特的视角来拍抗日。
48$1291858$鬼子来了$尼古拉斯·钢蛋$2017-06-18 10:03:03$252$曾经记得赵本山谈姜文的鬼子来了，他说姜文一个劲在那跺脚说这电影有多好有多好，你一个人叫好有什么用呢？拍的这玩意儿自个看着难受，观众也不待见，两头你总得占一头吧……要不然你图个什么呢？后来看过之后才知道，即使如本山大叔这等成就，其境界还是低姜文太多太多了！
49$1291858$鬼子来了$爱在午夜降临前$2018-11-27 22:24:12$216$"该片完成于1999年，在国内审片时被指有损中国人形象，面临修改压力。2000年4月，姜文未通过审查却私自将该片送往第53届戛纳国际电影节参赛，引起国家电影局反感，要求3家制作公司从戛纳电影节上撤回该影片，但没想到该片却一举获得戛纳电影节的评委会大奖。2002年4月27日，《鬼子来了》正式在日本公映，而此前日本五大暴力集团曾发传真到发行公司，说本片一旦在日本放映将不保证日方演员安全。
由于《鬼子来了》具有极大的冲击力，很多日本影院在其放映结束后经常出现混乱不堪的场面，观影者的不同情绪异常尖锐地对立着，而一位日本影评人指出：“鉴赏后的混乱正是名作的证明”。"
50$1291858$鬼子来了$Peter Cat$2017-01-21 06:54:52$28$本质里和雷死人《一步之遥》都是同样断裂的闹剧，没有电影教养（不“懂”电影）的劣势和优势都是那么明显，全靠自信那一口气
51$1291858$鬼子来了$犀牛$2008-03-03 00:08:52$428$看前半部分有点喜剧，后半部分却如此震撼人心！看完有些胸闷。
52$1291858$鬼子来了$Bingshu$2007-12-09 22:41:51$343$大哥大嫂新年好  你是我的爷  我是你的儿
53$1291858$鬼子来了$大仙大仙你别吹$2016-09-29 13:02:50$346$唉，这片子日本都能接受，在国内竟然遭禁播？有点讽刺啊。姜文拍这部电影的初衷就是希望国人能清醒的认识到自身的问题，结果电影算是白拍了。
54$1291858$鬼子来了$LORENZO 洛伦佐$2011-01-06 03:38:11$222$个人觉得这部电影不知道比《让子弹飞》好多少倍，近乎自贬的真实，欲言又止的人性剖析，片尾的血色凝重得让人透不过气，所能回忆的只是大脑中长久的留白。国产电影中非常精彩的一部。
55$1291858$鬼子来了$津五渡$2014-01-15 16:20:38$188$既不是我们的立场也不是日本人的立场，我姑且成为“上帝视角”。之所以中国看着不舒服，日本看着也不舒服，不是因为它的中立“上帝视角”，而是他用上帝视角表达的观点，战争的双方“都是傻逼”。中国人就是太善良，以至于有时候逆来顺受，总想相安无事，可要是求不得相安无事，爆发起来的决绝可是连自己都怕。死又怎样，眨三次眼，而已。
56$1291858$鬼子来了$张苑希$2016-11-17 00:48:50$246$中国影史上最牛逼之抗战片。全方面多角度深层次地刻画了中日战争之间的种种，文化、人性、政治、历史、国情；是与非，对与错，很难给出一个明显的界定。其实作为老百姓，能够平安活着就足矣，统治者的意志从来就不是他们所能够左右的，看完真是五味杂陈呐。
57$1291858$鬼子来了$木鱼水心$2012-02-16 13:57:55$251$这是姜文最好片。让人为民族落泪。
58$1291858$鬼子来了$朝暮雪$2013-02-23 22:14:58$229$抗日剧的巅峰。
59$1291858$鬼子来了$梦魂澈舞$2016-12-18 11:50:55$246$鬼子来了，这是一部极端的电影，极端搞笑、极端残忍、极端沉重、极端压抑，我和朋友说“我党什么时候在这部电影里出现，痛打日本兵都能是恰到好处。”但是姜文就是没有这么做，正是他没有这做，才显得无比的真实，才能让我觉得这是一部无比震撼的电影，这才配叫电影。
60$1291858$鬼子来了$饮歌$2011-05-29 08:19:55$73$这片都被禁，真是服了···话说，我看着看着这片，一听到日本军队奏那首类似进行曲的音乐，我就想吐···
61$1291858$鬼子来了$故里$2008-06-15 21:07:54$309$看完结局的那个镜头，长大嘴巴全身动弹不得
62$1291858$鬼子来了$思路乐$2019-03-10 13:15:07$103$【Great】姜文的巅峰之作，也是华语影坛“见不得人”的荣耀之作。这部电影最值得赞扬的部分，就是它没有站队，不是唱着“军民鱼水情”雄伟壮烈的去杀鬼子，也不是带着矫情恶心的日方视角来审视战争，姜文不屑于这么干。他把两方那些政治意识形态上的东西全部剥离，最大程度的展现出实实在在的利益算计下最为本真的人心，懦弱、愤恨、屈服、残暴与仇恨，百感交集。不只是日本人或是中国人，而是所有人心中那个在战争下不断扭曲的“鬼子”。
63$1291858$鬼子来了$宋雯婷$2018-07-12 01:13:25$61$无话可说，确实牛逼。姜文拍出了日军的残忍与无良，但也拍出了鲁迅笔下的中国人，不仅如此，他还拍出了最微茫的生命是如何活，如何乞求着活，为何恨，如何被逼着恨。令人不知该说些什么。
64$1291858$鬼子来了$silmarillion$2022-06-18 14:23:35$94$"这根本就不是抗战片。
展现日军的残忍固然是一方面，但最出彩的是对对中国农民那种“羊性”的批判，将反复无常的人性的短裤扒下。
找了半天才找到能看的资源。中国不缺鲁迅，缺的是鲁迅发展的环境。
为什么电影是黑白的，因为人性没有色彩。
“好故事啊。”
“是啊，回去写个拿人的段子。”"
65$1291858$鬼子来了$英白拉多$2022-03-24 23:02:56$171$只有疯疯癫癫的七爷一直坚定对鬼子的仇恨。
66$1291858$鬼子来了$大海里的针$2019-02-14 21:14:32$137$太讽刺了，不仅是最好的抗日片，也还原了祖辈们那种愚昧的活法。片中很多中国角色都有一种熟悉感，方言、性格、神态、思维......“我行的正,坐得端，XXX来了也要高看我一眼”，这个句型我就听过不止一遍，常见于农村妇女吵架。
67$1291858$鬼子来了$Transcend$2021-06-10 14:09:17$145$国内没公映，却在日本一刀没剪的公映
68$1291858$鬼子来了$王xx$2007-12-16 21:54:45$173$这个片子很好，但是我说不清楚。
69$1291858$鬼子来了$火娃$2019-04-07 17:08:54$109$9/10。开场情欲戏：鬼子的探照灯乱晃，屋内黑灯瞎火，一阵急促的敲门声和刺刀截破纸窗正对着开门的马，几大元素诠释了压抑的生存环境，逼迫马为寻求帮助撒谎游击队要全村人的命。村里开讨论会、隔块布审问和订约画押时频繁的小景别面部运动和大光比，表现村人互相欺瞒的狡猾和轻信敌人的愚昧；花屋回营后特写对准太阳旗和酒冢队长的军靴，表现日本人是太阳旗下的奴性，笑和哭表情都一样是暂时掩饰侵略者的残忍。炕上瘫痪的七爷发疯要掐死俘虏、看着屋外的大联欢上吊，一个疯子叫不醒麻木的村人。捉鸡款待鬼子巡逻兵、骑上日本马的驴到屠杀伴随着不停演奏的军乐，象征日本人文明的虚伪等同动物的野蛮。结尾断腿的国民党军官身后站着嚼口香糖的美国人，像一个傀儡，一头猪的奔走将处刑的严肃性消解，汉奸翻译笑的是所谓和平秩序拿中国人的命抵日本人的罪。
70$1291858$鬼子来了$Alain$2016-10-08 17:14:08$106$反思二战德国的电影已经拍得够多够好，我每每被打动，却总觉隔岸观火置身事外般疏离。二战在中国也同样残酷，我或许听人用令人颤抖的语言讲述过那场浩劫，也在影视作品里看过许多残酷暴行与英勇反抗，但我未曾如看完《鬼子来了》后这般痛苦难受，它太真实了，仿佛置我于此情境中。姜文功力一流。
71$1291858$鬼子来了$SELVEN$2016-09-18 22:53:21$102$95/100 对这片土地上的社会无情的嘲讽，没有一丝的怜悯和妥协，这是个不能和不敢说真话的时代，所以当一个剧本没有任何艺术夸大还原本来面目的时候，已经足够久久震撼我心。
72$1291858$鬼子来了$残烛$2022-11-13 00:43:03$50$日本的军舰中国的驴，七婶的白面八爷的酒。杀了人的手碰不得女人，捂住了耳朵听不见军歌。拿了日本的糖，学了日本的话，想从日本人那里拿回自己的粮食。自个儿杀人不敢动手，看别人杀人凑个热闹。杀人的刽子手五代供奉，复仇的马大三一刀毙命。我们的驴干了他们的马，他们无意中做了我们的儿。海军军歌陆地上演奏，传统乐曲甘心附和。
73$1291858$鬼子来了$姜小白$2016-06-15 12:04:42$67$汉是平民帝国，把春秋的血统贵族革了；唐是包容帝国，把魏晋的门阀豪门革了。中华文明本土不可能产生世界性宗教，因此贵族到平民，豪门到寒门，上品与下品，无本土宗教的农耕文明，儒家对“善”的解释只针对个人对天下，而天下对个人却不明。“恶”来了，个人该如何？外人来欺，如何对待，缺到骨子里了
74$1291858$鬼子来了$杜扬Seatory$2006-10-30 21:25:14$1603$越荒诞越有力
75$1291858$鬼子来了$ChrisKirk$2018-07-15 23:23:35$55$“鬼子”译为devil，便存在中方对日方特定称谓的语义缺失，在此基础上devil所指涉主体也就成了“我”（动作发出者），当这个字从观众口中说出，对象就从荧幕中跳脱出来成为言语者，“我”的形象也就有了现实影射；再往下推延，“我”既是个体（拿枪者）又是群体附属（人质搬运者），更重要的是，“我”只是稻草人靶子，“我”背后还有“我们”——可以高度复制“我”且从多方行为层面完成“责任”推卸工作的集合体，既然无法从存在意义上追溯，那么“我”也就成了“鬼子”（devil）。结尾斩首（仅此一处）或可视为《局外人》式存在主义的东方移植，马大三就是感性的默尔索，不反抗也不被允许反抗（成因），经历劈杀鬼子反倒被鬼子斩首的荒诞（结果）；最后姜文用彩色变换暗示人有欲且有罪（动物有欲却无罪）的死亡解脱，于此加缪说“这不是我们的错”。
76$1291858$鬼子来了$账号休眠勿扰$2022-02-27 14:33:39$60$ 妈呀！这也太牛逼了！刻画的农民群像和我亲眼所见的华北平原农民几乎一模一样！中国人的善良贪小便宜愚蠢，日本人的虚伪阴险，都没有粉饰也没有扭曲，中国人也不可爱，日本人也没那么讨厌，都是黑色战争下可笑的牺牲品。每一场戏都精准有力，而且也不觉得节奏太快，用力过猛，总之就是恰到好处！看完了很多画面还历历在目，且真实地为那些鲜活人物的死感到了难过。词穷了，这真的是我没有看过的电影！ps：我们农民真的就是这样，说话的腔调用词，还有理解问题的方式都完全一样，几乎像在看我大舅二舅在对话在办事，真的太好了！🚬
77$1291858$鬼子来了$居无间$2011-10-30 10:03:00$80$姜文的电影，会有很强劲的叙事链条牵引着你一直专注地看下去，最后的结局又够你喝上一壶，不断回味整个故事，震撼经久不散。被砍下头颅的整个过程对应着之前提到的“含笑九泉”，死不瞑目；得知多四车粮食作为奖励的二脖子让再给一个嘴巴，紧接着鞭声转场，这鞭声抽不醒愚昧和天真。
78$1291858$鬼子来了$逍遥兽$2007-11-13 16:44:49$69$看到最后那个镜头  我就high了
79$1291858$鬼子来了$回忆与否之$2018-03-30 20:14:19$80$这是部伟大的作品，它的完美与深刻值得千古咏叹。无论军阀 战俘 平民，背后那些隐藏于黑暗的无数个“我”都被参与了进来。他们各有所想、各怀鬼胎，都把歪理道理讲得难以辨分。“是福不是祸，是祸躲不过”说得不错，但解决不了问题，唯一敢打鬼的却又是个疯癫者。刀对内可砍汉人，对外能宰鬼子。不宰鬼子就说你要宰“我”，宰了鬼子又要被“我”所宰；面对死亡而苏醒的人性，又再次泯灭于军队，说到底都是逼迫的，或出自欲想，或源于时代。驴骑上马、猪拱上人，仰天长啸、含笑九泉。它是喜剧，也是悲剧。有人说喜剧的极致就是悲剧，可姜文却说，喜悲剧的极致，是已经分不清悲喜了。因而这是一场闹剧，正如被正法的头颅洒下的鲜血，有人看了彻悟，有人看着欢乐，更多的人则企图盖掩它。鬼子来了又降了，我死了，“我”是谁？谁杀死了“我”？我得寻思寻思
80$1291858$鬼子来了$西府海棠$2023-01-09 00:10:39$56$有啥好禁的呢。日本鬼子的残暴、毫无人性、变态疯狂、被军国主义裹挟、死不悔改不认错不都拍出来了吗。华北平原的顺民从来都是不敢造反的，刘一刀、五舅姥爷、四表姐夫甚至八大婶等等这些人的软弱可欺又有什么错呢，他们不就是老派的一肚子旧时作风和经验的中国人吗，面对鬼子屠刀他们有限的认知就是本能：活下去。残废的不良于行的国军更好笑了，时刻需要美国人站后面撑着，对待人民却高贵的一尥蹶子，嘴上说得好听阵势却和鬼子来了没两样，穿上了新军装一开口还是老一套还先内战。马大三，好歹觉醒了，比他不如的多了去了还更有文化呢！推荐《四世同堂》，老舍值得。
81$1291858$鬼子来了$陈楸帆$2007-07-05 10:22:31$96$这片看得越多次，越觉得这片子确实不能公映，国民心态还没成熟到能够这样直接地破坏性地剖析自己内在的国民性。如果公映，恐怕姜文只能一辈子到国外去拍片了。
82$1291858$鬼子来了$Honey Bunny$2020-08-08 17:44:15$58$"这部片子让我重新认识了姜文，无论是作为演员还是作为导演。
前面只能算是小菜，结尾的那20分钟才是精华。这像是那个蛇与农夫的故事，但是这故事里又没有一个好人。
那个送来俘虏的“我”，在三十那夜没有如约来取人，成了悲剧的开始。
这些善良到愚钝的村民，不能说他们下不了手去杀人是有错，可最后竟然放虎归山，连底线都丢掉了还不自知，满村的人都不如一个不能自由行走的老头子。
满口不怕死却在刀下怕的要死的花屋，一直披着伪善嘴脸心狠手辣的酒冢，这样的两个人，最后那个伸张家国大义的荒唐长官，这些人啊，都恶心极了了。
酒冢那个惊讶的回复就像一个巴掌，即便日本已经投降了，愚钝的人却还让他杀人，可悲又可笑。
马大三之前下不去手的刀子，最后都落在了自己身上。
到底怎样善良才对。"
83$1291858$鬼子来了$独慕$2022-05-24 02:04:55$59$“这故事多好呀 回去咱编个拿人的段子” 姜文的才华牛逼炸了 
84$1291858$鬼子来了$，$2022-04-24 11:30:29$55$国军将领一口流利的台湾腔，日本投降了，还能用日本军刀杀中国人，匪夷所思。多么讽刺意味
85$1291858$鬼子来了$静嘉$2022-08-07 23:19:25$35$"印象最深刻的镜头:
结尾花屋小三郎举起刀准备砍向姜文时弹走了脖子上的蚂蚁 看似珍爱生命 但去杀死照顾过自己的善良村民却毫不手软

讽刺至极

日本鬼子草菅人命 杀人不眨眼 中国老百姓对来侵占自己国土的侵略者却仿佛远客来访般欢聚一堂 黑白色调极显艺术风格 村民的善良 鬼子的伪善 对比强烈 结尾那颗人头成为唯一的彩色画面

中国影史上数一数二的抗日片"
86$1291858$鬼子来了$因吹丝挺$2021-12-09 16:31:27$52$"用幽默荒诞的表现方式讲述了一个悲剧。国人骨子里的“善”啊，多数时候，一半是真善，一半是愚善。在同胞被当众行刑时，当个冷漠的看客，当庸医说人血能治病，就拿馒头去蘸人血，在伤害带来冲击之前，没有人会去质疑、敢去反抗。电影最后的画面绝对的点睛之笔，马大三项上人头落地的那一刻世界有了颜色，他领悟了自己生命的价值，那一抹笑容也仿佛在说“老子也做了回自己的英雄，这个王八操的乱世，拜拜吧您嘞！”
电影中的村民群像多数都是稀里糊涂地活了半辈子，至死都不知道活着的意义究竟是什么，事实上，今天的我们，也总会迷茫，自己活着的价值究竟位于何处，但庆幸的是，今时有安稳的环境，包容的社会，充裕的机会让我们去试错去探索。
对于战争片，再红的故事，再神的人，都不如农民群像更引人深省，姜文让我懂了什么叫做“黑色幽默”
"
87$1291858$鬼子来了$城南草木生$2010-12-12 19:15:05$166$除了牛逼还能说什么啊
88$1291858$鬼子来了$Panda的影音$2011-08-31 13:53:32$57$可惜：《鬼子来了》没能在国内上映！还成了禁片了！—— “大哥大嫂过年好！你是我的爷，我是你的儿！” —— 想起曾经喜欢历史的朋友一连看了两遍《鬼子来了》，对这部电影大肆赞扬，称其展现了抗日战争时期的平民百姓可能的真实模样，那是很多国产抗日电影没有描绘的面貌。—— 姜文：鲁迅对自己民族与文化中某些问题进行讽刺与挖苦，这也是充满了爱的。他为什么不挖苦日本去呀？因为他是想让中国这“脖”没了，比日本强了，这是最大的爱国。反过来 个别人为了自己的私欲违心地故作赞扬歌颂状，而不让人们看到问题的实质，那就像我们片子中的翻译官董汉臣一样了。…… -重温于2018年09月17日！
89$1291858$鬼子来了$北溟客$2017-04-13 21:06:44$42$这是个神片，但看看nc到家的影评又有点同情总菊。印象最深的一个情节是村民以为马三杀了日本兵以后，对他礼敬有加但同时也敬而远之。——在这个以“活着”为最高信仰的国度，和“死”沾边总归是不吉，哪怕感你的恩。于是出头抵抗者永远是风光一时，孤独万世，而且现实稍有不如意，锅就扣过来了。
90$1291858$鬼子来了$猫郎君$2022-09-10 19:05:59$45$看完后看着满屏红底白色的字幕，哭了…欲申民权，必先开民智。现在抗战影片大多从国家积贫积弱，人民奋勇抗争着手。姜文敢于从人民自身寻找原因，敢于面对当年人民的愚昧无知。这部影片就应该进入九年义务教育，温良恭俭让的传统美德是精英阶层的少数，愚昧无知才是大多数人的真实情况。其实放到现在何尝不是一个道理，我们没有任何资格替先人原谅任何人任何事。愿山河美好，吾辈自强。
91$1291858$鬼子来了$淋$2015-09-04 10:20:06$44$并非国内无奇才，只是奇才之上往往都有一批庸才在阻挠！裤裆藏手榴弹，弹弓打飞机，手撕鬼子，弓箭对机枪，只有这些自嗨片子把八路军演绎成神话才能出现在荧屏，可笑！总菊这些杂种才是麻木！！
92$1291858$鬼子来了$南池子$2012-09-10 16:10:19$59$据爷爷说，当年隔壁乡100多户人家就两个日本兵驻守和管理，结果俩日本兵到处抢钱、抓鸡、拿米，最后平安离开，全乡人见到他俩跟见了鬼一样躲。俩日本人见谁都打，就不揍小孩。有一个孩子还学会了日本语，跟他们走了。再后来，自己回家了。
93$1291858$鬼子来了$顔白$2021-02-02 01:24:49$37$姜文最好的一部作品，没有之一。《鬼子来了》要是放在今天拍，肯定得被骂成阴阳怪气夹带私货境外势力内涵抹黑居心叵测歪屁股大毒草。 
94$1291858$鬼子来了$吴言$2022-12-10 03:31:31$25$姜文想呈现的是一种荒唐和荒凉感，突如其来的杀戮、地上的人头、末尾苍凉的音乐、唱戏人又换了一个唱段。没有哪个政权是靠谱的，这很像色戒。他同情的是普通老百姓，善良怯懦，在一切权力下如同草芥，是最弱的弱者。
95$1291858$鬼子来了$苏侃侃$2022-04-25 11:41:05$76$剜了中国人自己一斤皮肉，也要给人看看日本鬼子骨子里的腌臜。
96$1291858$鬼子来了$Indecent time$2014-01-01 13:32:54$41$“大哥大嫂过年好！你是我的爷！我是你的儿！”数以万计的抗日作品里唯一一部带着人性自省而不是虚无的民族主义的作品，讽刺的是这种自省也是这部电影成为禁片的理由，前面看的大笑，看到结尾彻底沉默了，淳朴愚善欺软怕硬窝里横，丑陋的中国人。丑陋的人性。最好的中国电影。
97$1291858$鬼子来了$btr$2014-03-30 00:08:41$28$#HKIFF# 162min戛纳版。故事讲得节奏极好，应该是姜文最好的电影了。（而且姜文（也只有）在演农民的时候演得最好！）
