$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$35312437$奇迹·笨小孩$25%$2022-02-01 16:10:01$17927$过程才是现实，结尾只是理想。
14$35312437$奇迹·笨小孩$你这是什么雅$2022-02-01 10:32:32$3319$努力就会创造奇迹。
15$35312437$奇迹·笨小孩$Schutzheilige$2022-02-05 16:44:30$425$电影院看的，还可以，作为贺岁片，但不是所有人都是景浩，比较突出的点在于女性开拖拉机，女工回扇那一嘴巴子
16$35312437$奇迹·笨小孩$陀螺凡达可$2022-02-03 01:26:27$244$二刷完，依然坚持原判。作为商业类型片，导演基本功以及类型、节奏掌控力是显而易见的，就算剧作有限制、任务和短板（主要集中在后半段），导演能力保证了观赏性，对叙事语调的转换、对观众情绪的调动都很有效，几段交叉蒙太奇也看得极为舒适～
17$35312437$奇迹·笨小孩$momo$2022-02-01 11:42:04$2049$没什么比大年初一一早看个好电影更令人感到幸福了 新年充满干劲
18$35312437$奇迹·笨小孩$猫大状$2022-02-05 12:42:23$222$一部看开头就能猜到过程和结尾的电影，但是不妨碍我哭啊。穷加病，那就是屋漏偏逢连夜雨，过程很现实，众生皆苦，有心想帮你的人往往自身都难保，不遇到坏人就该心存感激了。结尾太理想，哪有什么奇迹，都是努力血汗堆积出来的，哪有什么笨小孩，主角明明很聪明，有想法，你以为光努力就有500万，太多人努力一生，真的就只够活下去。
19$35312437$奇迹·笨小孩$Derfla$2022-02-05 12:41:03$1068$创业过程假，尤其是最后片尾以写实的方式展现所有合伙人的故事毫无泪点，因为整片的逻辑前提就是假的。这个妹妹换成女朋友真的一点也不违和，本片所有女性形象都是被保护被压迫的对象，这又是另一层的虚假。
20$35312437$奇迹·笨小孩$pop$2022-02-06 07:21:19$606$真的无聊啊 
21$35312437$奇迹·笨小孩$等等$2022-02-19 19:23:29$168$景·彤之使徒·拆机征服者·被奇迹选中的人·浩
22$35312437$奇迹·笨小孩$墨一抹'栗色$2022-02-01 15:03:39$5752$开三倍速看都嫌慢，感觉剧情是硬凑的，比如需要欢乐就安排个结婚的，需要打斗场景就安排冲突
23$35312437$奇迹·笨小孩$1992$2022-02-01 11:45:18$2759$前面很好哭，转折和结尾到底什么玩意…2.5
24$35312437$奇迹·笨小孩$安$2022-02-02 21:30:58$957$资本不应该成为救病的良药
25$35312437$奇迹·笨小孩$阳光普照$2022-02-01 14:50:55$2637$从过度期待到过度失望～
26$35312437$奇迹·笨小孩$Papipu$2022-02-01 10:20:51$12257$不愧是首部作品我不是药神就能30亿的文保保，奇迹的群像戏拍的太好了，从主演到配角，每一个都很棒！千玺又贡献了稳定又细腻的表演，特别好的电影
27$35312437$奇迹·笨小孩$云雀不可留$2022-02-01 17:09:18$1268$小孩没有医保吗？
28$35312437$奇迹·笨小孩$小鹿乱撞$2022-02-01 10:26:33$986$剧情平平无奇 但是景浩CEO真的有内味了 
29$35312437$奇迹·笨小孩$7t33mer$2022-02-11 18:15:52$438$"按照没钱交房租=身无分文来算
妹妹治疗费用+场子房租水电+深圳个人吃喝拉撒+员工每月开价1k × 6 =洗楼工资
虽说后期员工暂时不要工资了 
额额  编剧过于理想化了 底层的挣扎很艰难的

最后 如果 如果啊 
是我经历这一整系列事之后完成这个“奇迹” 
第一反应不是在电梯一起笑 我会蹲着哭

整部电影下来 真就 一般 还行 至于那些夸文牧野这部片子群像拍的好的 我表示不太理解"
30$35312437$奇迹·笨小孩$Haven$2022-02-01 10:15:01$5181$你不也是打工的吗？
31$35312437$奇迹·笨小孩$💦 荣$2022-02-01 10:07:44$744$还是比药神差不少，但是已经合格了
32$35312437$奇迹·笨小孩$吃鱼不吃鱼$2022-02-01 10:33:36$7141$有泪有笑 文牧野导的片子真的值得看
33$35312437$奇迹·笨小孩$无花$2022-02-01 10:32:40$6214$大年初一上午场看的，无法预测最终票房如何，但易烊千玺演技值一个影帝，我想不到能把景浩这个角色演的更好的人！看的时候眼泪止不住，太心疼景浩了，看到最后真的会相信努力就有奇迹很治愈
34$35312437$奇迹·笨小孩$铁板鱿鱼好吃$2022-02-01 16:34:58$756$就一般，有点交作业的感觉。我能说来烂尾么？
35$35312437$奇迹·笨小孩$Sisyphus$2022-02-01 10:28:41$2331$平凡中有苦也有甜，献给工人。
36$35312437$奇迹·笨小孩$爱吃桃子很聪明$2022-02-01 17:10:42$444$故事特简单甚至有点无聊，但拍得挺好，蛮适合贺岁档的
37$35312437$奇迹·笨小孩$Esyed$2022-02-08 11:26:17$248$为什么会在2022年春节档看到打工人逆袭成资本家的励志鸡汤片。。。
38$35312437$奇迹·笨小孩$寅井虎次郎$2022-02-07 15:16:33$439$高高在上的视角写的平凡人的故事，不求在影视作品里找到共鸣，但是为什么要让没有经历过苦难的人写别人的苦难。爽文披了打工人的皮还说是在致敬打工人，一万种能提高深度的写法但他都没有拍出来。另外就是遗传性心脏病的妈妈还是建议谨遵医嘱，生两胎身体也承受不了啊……（）当然春节档电影你要是能从中得到激励也是好事，但是我的感动不在这里。
39$35312437$奇迹·笨小孩$看电影的浮生居$2022-02-01 12:16:00$418$就还行叭，中规中矩，没有药神的高度，但放在春节档也还行
40$35312437$奇迹·笨小孩$Bressong$2022-02-02 19:07:20$241$可以感觉到文牧野蹑手蹑脚走钢丝般的“求稳”
41$35312437$奇迹·笨小孩$Hermione-Tang$2022-02-01 10:29:57$6535$第一次在大年初一一早来看首映，特别值得。虽然生活总有意想不到的坎坷，但因为有亲人，有朋友，有团队，只要精神不倒，办法总比困难多的多。大男孩，一如既往的超乎想象，特别棒。
42$35312437$奇迹·笨小孩$甜面儿酱$2022-04-16 16:07:27$219$四字弟弟的演技同龄人中要封神了
43$35312437$奇迹·笨小孩$阿楠$2022-02-01 10:26:09$351$奇迹是每个普通人的守望相助
44$35312437$奇迹·笨小孩$桃花扇$2022-02-07 13:51:45$690$这这这。。。。这是普通人的奋斗？我想问那几个人为什么要支持男主啊，就因为他是男主？
45$35312437$奇迹·笨小孩$doing酱🍑$2022-02-01 16:14:30$3356$观后感：①文牧野很会讲故事 ②吹爆四字弟弟演技 简直流量楷模 ③硕士经理让我觉得 如果激烈内卷后的学历并不能筛选出我们想要的人才 那它究竟有啥用 ④对于普通打工人来说 努力固然很重要 但跟对老板更重要。同为贺岁档，这部比四海好看，看它！
46$35312437$奇迹·笨小孩$没有昵称$2022-02-06 11:00:57$242$我觉得非常一般，可能年纪大了点，不吃爱拼就会赢这一套了，谁都无法阻挡我躺平的步伐哈哈哈。就是说，非常平庸，演员剧情都平庸，看了开头就能猜到剧情走向的电影，实在没必要花钱去看。
47$35312437$奇迹·笨小孩$大橙子$2022-02-01 10:29:48$6230$满满的正能量，易烊千玺演技依旧在线，电影传达的思想也很棒，没有人有义务帮你，逆天改命靠自己
48$35312437$奇迹·笨小孩$innnop$2022-02-01 17:24:56$599$因为是易烊千玺
49$35312437$奇迹·笨小孩$Scarlett Li$2022-02-01 10:18:11$5075$这部电影没有反派，如果要说有 那就是“生活”。生活中有很多笨小孩，在人生道路上笨重的前行，只要努力就可以笨鸟先飞！
50$35312437$奇迹·笨小孩$momo$2022-02-27 19:52:50$122$只能说是一个还算温情的童话故事吧，尤其是结尾那一段，太让我不适了，所有人都取得世俗意义上的成功，又是中国式的大团圆结局，太生硬。
51$35312437$奇迹·笨小孩$努力生活的girl$2022-02-01 10:32:51$5953$好看，非常好看👍全员演技在线，现实主义小人物的题材最感人，也最让人共情，看到小奇迹小队战斗力满满，碰到任何困难都勇敢向前，这种精神值得我们每个人学习，虽然创业很辛苦，但看完心里还是有点痒痒的，也有点想创业的想法，可能是毕业后本来就有这种想法吧，看完后苗头更甚了😂
52$35312437$奇迹·笨小孩$Orpheus$2022-04-26 00:29:25$319$易烊千玺在年轻一代里面可以封神了
53$35312437$奇迹·笨小孩$取个名字$2022-02-18 19:32:19$247$高高兴兴参加完婚礼之后却是因交不起房租而回不了家 生活总是这样苦乐相伴 人生起起落落好像也就是一瞬间的事
54$35312437$奇迹·笨小孩$大奇特(Grinch)$2022-02-02 10:28:52$120$两星半，包装得与《药神》气质相近，却摆脱不了任务片的束缚。所以，宛若心灵鸡汤般的锅气随延绵不绝的音乐始终弥漫，目的就是为让你感动。无论是困难还是成功都充满顺拐的设计感，这就导致像药神那样的现实感被削弱，抱团取暖的团队始终是景浩个人的功能性陪衬，不似药神的团队，每个人都是独立的个体。而成功学结尾太空中楼阁了，完全多余。
55$35312437$奇迹·笨小孩$蓝莓爆珠珠$2022-02-02 14:44:05$533$真的失望透顶
56$35312437$奇迹·笨小孩$overrun$2022-02-01 11:55:13$4580$文牧野牛啊 易烊千玺牛啊 看完这部片子想起了《孤勇者》希望这部片子真的能变成奇迹
57$35312437$奇迹·笨小孩$任何天气$2022-06-18 14:26:19$94$过程才是现实 结尾只是奇迹
58$35312437$奇迹·笨小孩$好好好👍👍👍$2022-02-01 10:22:00$5252$"有笑有泪！春节合家欢剧！

只要努力就会成功！

全员演技牛👍👍👍

易烊千玺演技👍👍👍"
59$35312437$奇迹·笨小孩$bonjour$2022-02-04 19:47:23$185$诶，果然贺岁档不要当真。我的廉价眼泪它都掉不出来
60$35312437$奇迹·笨小孩$pcyyyy-$2022-02-01 16:11:04$1872$看起来很不可思议的故事 当放在深圳这座城市一切又变的有迹可循起来
61$35312437$奇迹·笨小孩$Blues.$2022-04-16 11:07:10$100$现实有时候也是需要童话来治愈的
62$35312437$奇迹·笨小孩$敦煌阿楚姑娘$2022-02-01 11:53:07$3740$"全员演技在线，是那个深圳该有的样子。
真实故事改编，肯定是最有魅力，最打动人心。
如果你正在创业，你看了一定能懂。即使，在你四处筹钱，每月还贷发工资，创收的过程中。不一定所有员工都会能真的理解到你的难处陪你走下去。但，现实世界里还是会有员工，在你困难的时候包容你相信你。
如果你不曾创业，你也肯定能感受到他们传达出来的人与人之间的相濡以沫。那个妹妹的小女孩儿，真的好可爱呀，心都化了，她真的就是要天上的星星，我也想摘给她，铁血直男怎么会不爱女儿呢。"
63$35312437$奇迹·笨小孩$Paper Planes$2022-04-24 09:03:13$113$此类电影的通病，没有讲“奇迹”达成的过程。反而要加额外剧情硬凑时间，追车戏那段真的大可不必。同情边缘人再动人，没有成长的过程，最后获得成就后的煽情就很苍白。
64$35312437$奇迹·笨小孩$吃菜不吃呱$2022-02-04 19:45:28$160$过程我相信 结尾凑合信
65$35312437$奇迹·笨小孩$李梦$2022-02-01 22:18:25$100$好看(○｀ε´○)
66$35312437$奇迹·笨小孩$张小北$2022-02-02 23:11:58$101$在刚刚过去的激荡二十年里，中国电影没能留下几部真实记录那个时代的电影。所幸我们有了文牧野。药神之后的奇迹，虽然有命题作文的局限，但导演对节奏和情绪的把控仍然是极好的。虽然它并不真的是现实生活的写照，但我们仍然愿意相信那些小人物理应获得生活和命运的善待。
67$35312437$奇迹·笨小孩$喜悦之地$2022-04-25 19:15:25$68$如果是我，可能会在那个台风夜选择终结自己的生命。有些地方修饰过度了，有些地方又格外真实。六年后的彩蛋很多余
68$35312437$奇迹·笨小孩$noon$2022-04-19 13:25:44$115$是剧情在推动人物  不是人物在推动剧情
69$35312437$奇迹·笨小孩$伍迪·艾卿$2022-04-16 11:11:28$72$没创过业的觉得成功凭借的是一个睿智看懂商机的个人英雄，创过业的都知道成功无非是有一群有情有义的朋友在咬紧牙关拼命熬
70$35312437$奇迹·笨小孩$照夜凉$2022-02-06 10:59:24$428$一碗兑了水的鸡汤。
71$35312437$奇迹·笨小孩$来去如风$2022-02-02 11:10:56$286$文导退步了，完全没有了药神的水准
72$35312437$奇迹·笨小孩$Cora$2022-02-11 18:31:37$114$易烊千玺真的和别的这个年纪的小孩完全不同，酒席上的那一段我真的在想这个年轻的躯壳里装的是一个多么成熟的灵魂。眼神里好像藏满了风霜，未来可期，以后他的每部电影我都会去看。
73$35312437$奇迹·笨小孩$GE.$2022-04-19 13:24:47$223$"——“我能问个问题吗”
        “这次有定金吗”
——“有。”
在这部影片里我看不到任何哪怕一点主角光环，最后的质检结果仅仅高了2%，正是这样才令我敬佩到五体投地也丝毫不为过。文牧野太恐怖了。"
74$35312437$奇迹·笨小孩$盐酥肉$2022-02-01 11:42:11$3422$带着长辈们去看的，给她们看破防了，我觉得这电影就做到了……很真实很让人有共鸣
75$35312437$奇迹·笨小孩$大象$2022-05-23 09:26:41$70$工整，精确，无聊。仿佛是吃一个自热锅或者是医院门口的快餐店的鱼香肉丝饭。你不能说他有什么问题或缺憾，但是除了吃饱也不会有更多的想法，高潮戏的写法拍法又是春晚小品式的。这是观众与制作者达成的一种微妙的默契，却又是这个时代的精神展现。
76$35312437$奇迹·笨小孩$小唧$2022-02-01 14:52:39$2852$谢谢景浩，相信奇迹。作为一个被社会毒打的打工人，可能成为李经理这样的高级打工人是普通打工人的晋升之路。要想变有钱，还得创业当老板。可惜我没有景浩的勇气和魄力，所以我注定无法创造奇迹。不过我不要成为一个无用之人，我要创造属于我自己的奇迹！嘿嘿😁千玺长大了，可以对瓶吹了。
77$35312437$奇迹·笨小孩$云城$2022-02-14 16:39:46$79$整部电影像极了领导老板曾经给我们画过的大饼：虽然现在工资都不能按时发放，但股权激励、业绩指数级增长、火箭提拔，都是你们的，六年之后，走上人生巅峰，于是我们啃着手里的窝窝头，想着那鸡汤，很美，很鲜，那大饼，又大，又圆
78$35312437$奇迹·笨小孩$子非材$2022-05-11 22:36:49$63$有幸成为该片群演的一员。
79$35312437$奇迹·笨小孩$queeneric.$2022-02-06 09:42:40$292$普普通通创业宣传广告片，剧情拼拼凑凑，主线简简单单，主旨浅显无聊。主角演技算是及格，章宇的片段演出较为精彩，顶流粉丝按头别人喜欢控评的样子最为精彩
80$35312437$奇迹·笨小孩$小紫$2022-02-01 17:09:47$1274$叔本华说活着是为了避免痛苦，而不是追求幸福。而有时候痛苦已经无法避免。普通人只能尽人事相信有奇迹。
81$35312437$奇迹·笨小孩$和乐yi$2022-02-01 11:47:07$2913$文牧野不愧是青年导演的佼佼者 整部电影的画面细腻 镜头语言近乎完美！刻画小人物但不是悲苦的 是鲜活的 易烊千玺的演技越来越动人！太厉害了👍你不自觉的会为人物牵动情绪 
82$35312437$奇迹·笨小孩$酒池肉林$2022-02-09 22:56:15$147$这种偏门题材很需要鼓励，戏剧结构很像药神，细节质量也不比药神差。结局的集体暴富，显然是不得不加上去的，因为深圳掏钱了。
83$35312437$奇迹·笨小孩$筆禾页$2022-04-15 17:59:39$183$妈妈说你也要照顾好自己，还有妹妹说她长大了可以照顾你了，我真的破大防了
84$35312437$奇迹·笨小孩$小博子$2022-02-02 21:28:48$292$不夸张的说，得有30%是宏大音乐和慢动作轰炸，看得人上火，看完旁边大哥站起来鼓掌叫好，我有点头疼。
85$35312437$奇迹·笨小孩$夏鲤$2022-02-23 12:22:48$83$结尾发生了什么从电梯开始没有必要了
86$35312437$奇迹·笨小孩$momo$2022-07-08 04:55:02$203$现实主义题材拍出理想主义效果😅离地了呀，果然是奇迹才能造成的结局，可惜生活没有奇迹😅
87$35312437$奇迹·笨小孩$久久久久是多久$2022-02-05 08:58:58$209$完全没有我不是药神的那种水平，文牧野你自己看看好看吗
88$35312437$奇迹·笨小孩$池池晚安🫧$2022-02-02 21:20:08$201$不能记个卡车车牌号吗？卡车戏大可不必
89$35312437$奇迹·笨小孩$Kreacher Pearso$2022-04-06 13:40:08$91$打着现实主义的童话都是对现实里受苦的人的二次伤害。
90$35312437$奇迹·笨小孩$猫二$2022-02-01 14:52:23$2899$不靠复杂的剧情和纯煽情或者演员颜值打动人，虽然追车摔倒略夸张啦，但是无伤大雅。我觉得章宇演得很不错，被四字和田雨浴室搓澡那场击中。奇迹不可复制无所谓，我更喜欢厂里大家之间互相给予的真情，它比奇迹更有力量
91$35312437$奇迹·笨小孩$yzj$2022-03-21 06:34:43$76$看到豆瓣简介中的中宣部三字后恍然大悟
92$35312437$奇迹·笨小孩$🌳🌲🐘$2022-04-28 14:38:01$196$一星全给易烊千玺的演技
93$35312437$奇迹·笨小孩$三剑客时间$2022-02-01 17:10:38$639$一个来自深圳华强北的创业奇迹，一个20岁年轻人所承受的生命之重，繁华城市背后底层打工人的奋斗画卷。感人至深的兄妹之情，同甘共苦的工友之情，责任与担当，无奈与挣扎，不屈与坚毅，这一幕幕场景存在得那么真实，以至于如此容易让我们感同身受。每一个生命的背后都有着不同的悲喜，在他们身上，你会发现所谓奇迹，也许只是凭借本能坚韧而活，却在咬牙坚持中，不一步步穿越了绝境。新的一年，希望多几次这样的感动，多一些属于我们自己的“奇迹”。
94$35312437$奇迹·笨小孩$YellowMComfort$2022-02-08 12:44:47$255$两个月是做不成任何事情的……所有好的事情都是日积月累形成的，人生没有奇迹
95$35312437$奇迹·笨小孩$未末$2022-02-01 15:26:01$1665$牛逼，后悔化眼妆了
96$35312437$奇迹·笨小孩$5Zpeng$2022-02-02 13:35:21$177$2022春节档四海bad ending这部必须happy ending啊？   中间感觉在重复放，现实可能暴雨交不起租就结束了
97$35312437$奇迹·笨小孩$Zavier$2022-02-14 07:33:10$246$大胆点，烂片
98$35312437$奇迹·笨小孩$不是momo$2022-02-01 10:26:30$4606$很好 真的很好 说不出来的好  文牧野和弟弟真的是新生代王炸组合
99$35312437$奇迹·笨小孩$Miss Black$2022-04-28 17:57:21$67$这种缺少说服力的奇迹只能称之为鸡汤。
100$35312437$奇迹·笨小孩$酒池肉林$2022-02-09 22:56:15$147$这种偏门题材很需要鼓励，戏剧结构很像药神，细节质量也不比药神差。结局的集体暴富，显然是不得不加上去的，因为深圳掏钱了。
101$35312437$奇迹·笨小孩$鱼涯$2022-02-02 13:34:51$136$也就是还行吧，关注现实但太过毒鸡汤，感觉像是一部春节献礼的命题作文，看了导演的这部电影，也就是一部电影，离开表达，导演也不是导神。哈哈哈
102$35312437$奇迹·笨小孩$三剑客时间$2022-02-01 17:10:38$639$一个来自深圳华强北的创业奇迹，一个20岁年轻人所承受的生命之重，繁华城市背后底层打工人的奋斗画卷。感人至深的兄妹之情，同甘共苦的工友之情，责任与担当，无奈与挣扎，不屈与坚毅，这一幕幕场景存在得那么真实，以至于如此容易让我们感同身受。每一个生命的背后都有着不同的悲喜，在他们身上，你会发现所谓奇迹，也许只是凭借本能坚韧而活，却在咬牙坚持中，不一步步穿越了绝境。新的一年，希望多几次这样的感动，多一些属于我们自己的“奇迹”。
103$35312437$奇迹·笨小孩$四一分局大队长$2022-02-02 21:31:49$143$想长按二倍速 bgm真的好吵
104$35312437$奇迹·笨小孩$豆友212197641$2022-03-13 07:55:50$175$大过年的真晦气，妥妥的商业片没剧情没感情，票房不够还出书继续割韭菜，也就一些ncf还上赶着给割
105$35312437$奇迹·笨小孩$奇妙仿生女孩$2022-02-01 17:11:12$1808$笑点泪点满满，带家长看 评价也很好
106$35312437$奇迹·笨小孩$山茶橘$2022-02-01 16:09:54$241$大年初一的给自己找不痛快了 有点太悲惨了。还有点扯淡
107$35312437$奇迹·笨小孩$5Zpeng$2022-02-02 13:35:21$177$2022春节档四海bad ending这部必须happy ending啊？   中间感觉在重复放，现实可能暴雨交不起租就结束了
108$35312437$奇迹·笨小孩$山山而川$2022-02-16 19:37:09$128$天天鸡汤鸡汤鸡汤，能不能贴近现实贴近大众些？？
109$35312437$奇迹·笨小孩$嘎待$2022-04-16 16:45:30$67$还是喜欢看平凡人努力创造奇迹的故事，故事还发生在深圳，虽然结尾的CEO大可不必，但海阔天空的音乐一响，谁能不被感动
110$35312437$奇迹·笨小孩$洋桔梗$2022-02-02 19:08:05$280$电影四星 还有一星给生活的可能性吧  手机被偷 从货车上摔下去 全剧的悲剧感到达了高潮 前期的过分压抑 为后面一度都蒙上了悲情色彩 但是结局皆大欢喜 虽然感觉这样的奇迹不现实 但是谁不喜欢奇迹呢 比小红花好看多了 果然一谈恋爱就俗 乏味  一个人奋斗中融入亲情友情 就容易把控得多
111$35312437$奇迹·笨小孩$孤鸿隐寂$2022-02-01 10:25:55$2606$作为一个常年剪微课视频写镜号的人来说，看文保保的电影极度舒适，可以说没有一秒废镜头。大爱这个故事，把人压到绝境，最后凭借个人魅力带领团队坚持到奇迹来临，愿每个人身上都能发生这样的奇迹
112$35312437$奇迹·笨小孩$STARRY$2022-02-01 10:55:04$1707$看完第一感觉就是这是一部深圳宣传片……                                                                         对比药神弱化了社会问题，算是深圳发展的缩影。故事比较简单，千玺又进步了，妹妹的演技应该是同龄人天花板了吧。哈哈哈。
113$35312437$奇迹·笨小孩$醉生梦诗$2022-05-22 07:53:38$53$按照我自己的想法，我真的会给电影三星，但因为和长津湖一起看下来，觉得弟弟值得四星，真正的同一个演员的剧抛脸。电影里的景浩，实在是普普通通的平凡人，差点就被生活打败了，因为他的性格结交的朋友在关键时刻撑住了他。成功学的弊病就是，电影没看完就知道他一定会成功，所以尽管为亲情的付出感动的稀里哗啦，也在某种程度的情感共鸣上保持了警惕。景浩不常有，好景也不常在。
114$35312437$奇迹·笨小孩$Ocap$2022-02-05 19:38:21$51$快被磨平了，对上层建筑的态度基本倒转，但能做的部分都做得足够好了，留存在生理层面的体察心和兼容类型的真实触感仍然可贵。能认同宁浩和文牧野们在践行的中庸之道，比很多人强，撑下去吧。
115$35312437$奇迹·笨小孩$眼屎糊糊$2022-02-01 17:10:57$253$能在每部作品看到到千玺的进步，为他开心😁。剧情方面由于煽情点太多，滥用感人音效导致中期节奏稍显拖沓，剧情走向也能猜出七七八八。 
116$35312437$奇迹·笨小孩$作$2022-02-01 10:13:18$2829$节奏真舒服，好喜欢，看完整个人都舒服了，咱们努力一定可以创造奇迹！文牧野啊啊啊啊你真不错，你可以变成我第一喜欢的导演了！易烊千玺你绝对是今年的金鸡影帝！人的韧性原来可以这么让人震撼！
117$35312437$奇迹·笨小孩$唯薪主义传承人$2022-02-11 07:28:12$101$我工作帮助的人群就是困境儿童，残疾人，即将出狱的女囚，老年人等 这个电影在我心中真的值五星 很感动 因为边缘人群真的真的真的在努力生活 
118$35312437$奇迹·笨小孩$哆啦美$2022-02-11 13:02:47$89$文导《我不是药神》之后的再一力作！最让我印象深刻的其实是高空作业的包工头，典型的刀子嘴豆腐心，包工头让手指骨折的景浩走人，是对自己手下的工人负责。其实人心本善，冰冷的外表只是为了保护自己内心炙热的灵魂。
119$35312437$奇迹·笨小孩$抹茶不抹茶吖$2022-03-04 16:40:32$66$"全片最高泪点是结局问定金那里
哭死我了
四字的表情太到位了

弟弟未来可期"
120$35312437$奇迹·笨小孩$九个月亮$2022-02-01 13:32:04$157$6.5 一边的我想着，出现那些高空擦玻璃、修手机、去劳工市场招工，喜席的镜头真不错，另一边的我想着，这些对于电影都是垫脚石，实际上，这些都是真实平凡而又无处不在的，日复一日的生活。故事节奏不错，整体喜欢，希望可以更好。
121$35312437$奇迹·笨小孩$_好嗨哟$2022-02-01 16:34:41$1916$奇迹太好了文牧野太好了所有演员都太好了😭最感动的一幕是当景浩走投无路要解散厂子的时候所有员工都站出来撑他 这一段我真的破防了景浩太难了他终于不是一个人在撑了😭😭
122$35312437$奇迹·笨小孩$X-ironman$2022-02-01 10:18:15$3926$"早上第一时间就看了！
开年文牧野+易烊千玺就给了个大大的惊喜！！！
这是一部很有后劲的电影，希望成为新生代最优秀导演和青年演员共创的奇迹！！！"
123$35312437$奇迹·笨小孩$镜子sama$2022-02-01 17:10:43$2132$春节档不错的一部，眼泪满满，千玺很不错🥰
124$35312437$奇迹·笨小孩$空间系烦死了$2022-03-05 20:22:04$38$剧本其实还挺俗套的，不过拍的还是挺好看的，带有浓厚的底层小人物英雄主义色彩。
125$35312437$奇迹·笨小孩$巴伐利亞酒神$2022-02-01 18:51:46$45$“我能先问一个问题吗？”“什么问题？”“这次有定金吗？”“有。”对这种普通人逆袭的电影，实在很难在情感上有所抗拒，明知可能会是个大团圆结局，梦想成真的那一刻依然还会泪流满面。除了四字弟弟越来越在线的演技，一大帮有血有肉的配角再次出彩了，包括但不限于齐溪、章宇、王传君和田壮壮，甚至就连徐峥大厨也足够让人印象深刻。文牧野并不是一个高产的导演，但他总有办法把电影拍好看。国片还是需要多元化，市场也欢迎这样会拍的商业片。
126$35312437$奇迹·笨小孩$Billy$2022-02-01 16:13:40$155$三星半，不知道是现在自己的处境还是怎么。  很多地方很感动。 尾巴收的不好。  坚决抵制感官刺激。 
127$35312437$奇迹·笨小孩$雨纯$2022-02-04 16:11:06$61$和《我不是药神》一样的煽情方式，但却没有它打动人。印象最深刻的是镜头从正在高空作业的景浩转换到城市远景的那幕，我猛然意识到很多时刻自己只是在欣赏城市街景，却忘了那高楼大厦背后究竟有多少被水枪喷的连眼睛都睁不开的作业者在默默为之付出。
128$35312437$奇迹·笨小孩$林风扬$2022-02-06 21:36:23$124$先不说是否现实，就冲易烊千玺的演技，这电影我愿意给满分。
129$35312437$奇迹·笨小孩$书$2022-02-02 21:30:50$134$"感觉人不顺的时候好像什么都不顺 世界上真的还是有人都在挣扎地活着 
那个租厂房的大爷说谁没难处 那个房东把他们的锁换了的时候我觉得真的好冷血好现实 景浩的天赋勇气头脑和坚毅 换来了他妹妹的命 他的未来 但不是所有人都这么幸运 但是所有努力的人都值得"
130$35312437$奇迹·笨小孩$豆友201533292$2022-02-01 17:10:32$161$镜头为何一直平移
131$35312437$奇迹·笨小孩$北纬十周$2022-02-01 10:21:19$2206$我好喜欢兄妹温情，呜呜呜好喜欢景浩哥哥
132$35312437$奇迹·笨小孩$皮格马利翁$2022-04-11 22:01:29$71$奇迹不会眷顾为了生活拼命挣扎的人，但人心会。五颗星，给一个乖巧懂事的妹妹和一个为了保护妹妹努力奋斗的哥哥。
