$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$26790961$闪光少女$哪吒男$2017-06-30 16:22:47$2378$二次元少女看了想入党
11$26790961$闪光少女$方枪枪$2017-07-08 17:03:11$475$可以说是非常惊喜！之前看发布会的时候面对一群陌生面孔，对剧情更是不知所云，总感觉这片子药丸。结果看完后发现演员对角色演绎十分到位，有强攻、有卡哇伊，还有帅男二，土女一。一群洋溢青春气息的民乐pk西洋乐的校园故事，爱情线虽老套，难得讲出新意，笑点设置自然，十分二次元，很中二。3.5
12$26790961$闪光少女$了不起的花轮君$2017-06-18 12:31:15$1897$虽然有些地方还比较稚嫩，也看到很多日本青春片电视剧偶像漫的影子，但是国产同类型里可以说是非常优秀了，音乐方面太出色了，斗琴，最后演出都太棒了，梁翘柏功不可没，好几次听哭。不喜欢女主的我都舍不得扣一星。
13$26790961$闪光少女$芥末蘸酱$2017-06-18 17:28:00$427$将民乐和二次元结合的点子挺好的，没有对亚文化猎奇很难得，斗琴那段有些想法。
14$26790961$闪光少女$邓安庆$2017-07-20 20:42:40$104$看了让人好开心的青春片哦！
15$26790961$闪光少女$sailor$2017-07-10 22:47:47$1794$不明白一些人给差评是什么心理  小时代左耳被骂的狗血淋头 稍微有个可以看的还要跟国外比比比  这部可以说是一部可以及格的青春电影了 演员也都是一群青春活力的新演员 表演也算及格了 很高兴能看到这样的电影 比一些强行装逼的强多了 
16$26790961$闪光少女$朝阳区陆依萍$2017-06-30 18:07:15$271$徐璐的每一个表情，甚至演法都在临摹白百何女士！总之，演的还不错啦！为你鼓掌！#徐璐真的可以去演白百何的传记片，可惜了群演都是春晚观众演技水准#
17$26790961$闪光少女$亵渎电影$2017-07-20 18:17:27$177$导演的调度能力太差，特别是有音乐的时候，斗乐和音乐表演的部分，不用跟《爆裂鼓手》那种大神比，就片中只要流行歌曲一来，节奏立马就low成网大一般的MV，这样的导演能力撑死6分封顶。而编剧硬是把民乐强扭到民族传承的高度，把青春正能量强扭成新闻联播，好在是青春片的套路还算正。5分
18$26790961$闪光少女$小说爱好者$2018-01-14 20:54:25$98$不错 被微博上斗琴的那个片段安利的 总的来说还不错 就是被片名耽误了
19$26790961$闪光少女$遇见彩虹🌈$2017-10-24 09:47:34$117$"“再平庸也有梦想，再弱小也能闪光，再奇葩也有伙伴”。《闪光少女》正是青春片该有的模样。有激情、热血、伙伴，爱情也是懵懂和纯情的，青春本应更具燃向。有点想念六花了。千指大人请收下我的膝盖！
PS：饮水机涮火锅的操作太强了！烫发器烤肉的操作太强了！"
20$26790961$闪光少女$朝暮雪$2017-07-23 17:08:00$95$"1.男主和女主刚开始都戴了眼镜，最后都不戴眼镜了。
本片告诉我们：谈恋爱可以提高视力。
2.说好的建国后不许陈精呢？"
21$26790961$闪光少女$阿暖$2017-07-15 17:31:59$114$彭昱畅好可爱 一个暴击 捂胸口 啊
22$26790961$闪光少女$小托$2017-07-01 11:51:38$1500$风评不错但我不喜欢，直白到红专大上的价值观，奋力的把二次元和青春标签化、立场化的理念，土到了上世纪。多元的时代，每个人都有自己的位置，年轻人真的在乎二次元的主流位置吗？喜欢、理想或者热忱的投入都是自己的事，把为喜爱争位置当做一场竞赛，确实是一种老派思路意淫年轻的感觉。
23$26790961$闪光少女$史密斯先生$2017-07-10 05:09:33$896$各种对二次元乱贴标签，各种令人作呕的集体主义价值观。女主角如果出生的时候恰好听到收音机假药广告，就去做苗医/藏医专家了？
24$26790961$闪光少女$庚金少女$2017-07-11 15:01:40$654$导演的审美真的太重要了，加起来一个大写的“土”字。最土的还是理念，完全没有青春片的锐气，太老了。
25$26790961$闪光少女$有心打扰$2017-07-16 23:48:31$377$1.不是这片优秀，而是太多的青春片太糟糕所形成的错觉；2.民乐+二次元的组合有点意思，但浮于表面，典型的空有一个概念，再套用日式青春片的模式，国产青春片成了。
26$26790961$闪光少女$夜游$2017-07-04 12:09:38$50$总把二次元当弱势群体怎么行
27$26790961$闪光少女$Admin$2017-07-08 18:31:33$289$无论主题是艺术形式的相互尊重还是对有悖于主流的差异的包容，二次元这个角色群体都缺乏足够饱满并与之对立的另一面，由此导致的是电影核心矛盾的游离与缺失，缺乏人物弧光，取而代之的是各种元素噱头的堆砌，借此唤起观众廉价的集体情绪，整个过程观众一直处在一种既被取悦又被冒犯的尴尬境地。
28$26790961$闪光少女$顿河$2017-06-23 14:33:52$138$服鲍鲸鲸。没有音乐土不土，只有人土不土；没有题材燃不燃，只有故事燃不燃。
29$26790961$闪光少女$20个小明≯$2017-06-18 18:30:27$59$蛮惊喜的类型片，中二魂又燃烧了一把，虽然太过理想化且天真的不现实，但这样的片子多一点世界会变得更美好，比那些烂俗狗血的爱情片强多了，话说台词都提到“B站”两个字了，但全片包括片尾字幕都没有看到哔哩哔哩的logo，果然民间的叫法也该早早注册个商标才对呀……千指大人的原型其实是玉面小嫣然吧～
30$26790961$闪光少女$掉线$2017-07-20 19:02:31$196$【C】相比《大护法》，此片更需要分级——13岁以上观众请在儿童陪伴下观看。
31$26790961$闪光少女$木卫二$2017-07-15 13:27:50$28$想谈恋爱？别来害我啊！
32$26790961$闪光少女$24city$2017-07-16 22:57:19$112$终于有导演懂得拍真正的青春，而不是要费劲缅怀的疼痛青春了，现代与传统的碰撞并非水火不容，斗琴一段虽是对抗，可也是融合。民音延续不能靠老朽思维束缚，否则只能变成那套落灰的编钟；爱好选择也不分阶级，逼格能修饰外在却填补不了内心 ；正青春需要活力和个性，“不一样又怎样，弱小也会发光！”
33$26790961$闪光少女$却山$2017-07-02 22:56:57$222$两个字，尴尬。虽然ACG这个想法很不错，剧本差劲为什么还得了最佳剧本？真尴尬。朋友是古风爱好者，我们全程冷漠脸看完，她说不管是古风还是二次元都很假。至于演技，年轻演员太做作了，我以为在看艾利斯顿附中的故事，闫妮和一森全场最佳，两星给他俩。哦斗琴那段还可以。配音很奇怪。
34$26790961$闪光少女$Hushnore$2017-07-20 23:52:00$33$在一所只由学生和校领导构成（而基本没有教师）的学校里，高中生们毫无高考压力地沉溺于纯精神性的恋爱中，并以民族主义的名义把二次元古风当作主课在学。
35$26790961$闪光少女$今天也没有猫$2018-01-25 10:53:20$97$国产青春片终于不落俗套了，民乐和二次元的结合好奇妙，每一次演奏都让我热泪盈眶。男主摘掉牙套和眼镜一瞬间有被帅到，感情线也表现得恰到好处，很值得一看。
36$26790961$闪光少女$what'swilliam$2017-07-15 16:58:44$37$三星半。还不错的青春片，最大的亮点是民乐西洋乐大斗法，很热血。最大的优点是明明融入了二次元文化的主题极有可能拍的很“中二”，但是竟然没有很“中二”（我觉得二次元粉看了本片有可能很反弹），有勇敢告白有备胎转正，轻松不矫情的100分钟青春片。ps：作为学西洋乐器的学生，我挺民乐。
37$26790961$闪光少女$Fossette_Y$2017-07-02 23:04:44$238$把民乐和西洋乐对立，将民乐依附于二次元up主的功劳之上，过分的夸大了矛盾和各种效果…
38$26790961$闪光少女$拉赫玛尼诺妇$2017-06-12 23:08:56$2476$对二次元文化的拙劣低俗又浅显的解读，弄两个吧啦啦小魔仙一样的女生就是二次元了？cosplay一下就是二次元？剧本没大问题，正常青春故事，但拍的好像学生作业，太粗糙了！少女心不是这样的！掀桌！
39$26790961$闪光少女$远子$2017-10-07 19:41:32$42$民乐要靠二次元来拯救了嘛……
40$26790961$闪光少女$飞土$2017-07-02 22:39:00$934$尴尬元素大乱炖 鲍鲸鲸非常努力地证明了33天的成功一半是运气一半是演员 无比想念周冬雨…以及白百何
41$26790961$闪光少女$momo$2017-07-19 10:23:18$790$一开始以为鲍鲸鲸对民乐有误解，后来发现鲍鲸鲸可能对二次元误解更大。最后发现鲍鲸鲸应该是对人有误解。
42$26790961$闪光少女$Stygnula$2017-07-11 20:06:43$218$我以后再也不会因为票价9.9去看这种片子了。我可能看了假的电影。我的友邻可能也是假的。以后看有可能性是烂片的电影不能选太古里百丽宫 没4G我会死的。犹豫了半个小时最后还是决定退场了。这可能是你们二次元被黑的最惨的一次 吧啦啦小魔仙。。。。
43$26790961$闪光少女$汪金卫$2017-07-21 00:49:17$248$网大水平少女漫玛丽苏狗血音乐片。将西洋乐置于对立的反派，把西洋乐学生妖魔化为尖酸刻薄无礼的渣男渣女，自己穿着日式Cos服以当代技法演奏什么“二次元古风民乐”。漫展观众嗤之以鼻后一秒就反转，欢呼声越高越显廉价可笑。如此浅薄真的不是在黑漫展黑二次元？陈奕迅客串斗琴桥段还比较有趣。一星半
44$26790961$闪光少女$Mr. Infamous$2017-07-12 22:22:36$92$果然有惊喜。除配角陈奕迅闫妮耿乐，主演都不知名，但大多有灵性，而剧情能畅达可爱，音乐能新颖热血，颇显心思。虽然特意对立出的西洋乐净出婊货，变美就摘眼镜，表演有生涩，转折略生硬，但对民乐与多元文化都有不卑不亢的包容，太难得，多加半星鼓励。人世那么多对立与傲慢，幸有电影不倦表达理解。
45$26790961$闪光少女$喵老师2333$2017-07-21 00:08:50$95$作为新世纪第一代otaku婊示已经看不懂现在的年轻人了。主角的设定让观众没有同理心，反倒显得惹人讨厌。碰瓷二次元文化，皮毛的东西也就忽悠下圈外人，大量的日本文化堆砌还生硬的扯上古风，断层得只剩下违和感。还不如专一的着重民乐vs西洋乐。徐璐风尘味的脸配上少女身体真的好违和。
46$26790961$闪光少女$托尼·王大拿$2017-07-22 14:18:59$62$在借鉴了日式/台式青春励志类型片成熟内核的同时，最棒的地方是还打造了一个足够令人信服的中国大陆式外壳，于是在那些有着近乎科幻背景的狗血剧中显得鹤立鸡群、无比出挑。
47$26790961$闪光少女$贝塔先生$2017-07-08 17:06:51$133$有些2.5次元，有些格格不入，有些古风，有些日系，很多闪光✨，bilibili的～～
48$26790961$闪光少女$荔枝超人$2017-06-19 00:43:59$70$多得梁翘柏老师不少。成在编剧败也编剧，二次元遇上古风民乐的故事很有新鲜感，但是人物（主角）写的实在太过莫名其妙，难道这就是传说中的“中二”。
49$26790961$闪光少女$Stark实习生$2018-02-01 19:32:41$77$"青春，本就是为了喜欢的东西不顾一切无所顾忌去努力的样子啊。
“我们以后，还有好多好多个夏天呢！”"
50$26790961$闪光少女$与你走天涯$2017-10-09 22:09:23$72$很后悔，没去电影院看！电影总体很棒，始终充满着一股向上的力量！在学生们争执古乐与西乐时，实则也是国家教育的某种侧面反映，更是学生中经常要面临的抉择！电影音乐，服装上有创新！虽剧情有些瑕疵！但在此类电影中，已属上品！
51$26790961$闪光少女$断电呼吸机$2017-07-16 23:46:11$63$油渣漫展上脱掉外套露出肩膀胳膊线条开始打鼓ˉ﹃ˉ
52$26790961$闪光少女$蒜 | BOY A✎$2017-07-21 00:37:43$35$虽然看到很多《我的少女时代》的影子，但是编剧巧妙的把二次元与三次元，西洋乐与民族乐的冲突背景设置其中，增加了戏剧张力，但是可看性还是不够高，有些段落特别出戏，虽然看起来很用力，对我来说有不少科普的知识，内地青春电影来说已经很不容易了。
53$26790961$闪光少女$jj73浅之$2017-07-11 11:04:43$41$客观质量三星半，但国产片拍出这样正确引导青少年审美和三观的青春片，足够哭俩小时
54$26790961$闪光少女$阿朽$2017-07-15 19:50:25$71$意淫的二次元很尴尬，配角的演技没有在线的也尴尬，讨巧的剧本更尴尬，然而女主男主拯救了这一切，还算可以打个二星。
55$26790961$闪光少女$麻绳$2017-07-21 01:10:22$58$本来多难得的题材啊，民乐和西洋乐茬架，结果被弱智化成这样……所有矛盾的生成与解决逻辑都极幼稚，前戏、高潮以及对音乐的运用都没什么想象力。还有就是如果解决不了主要演员假弹假唱的问题，就不要拍音乐片了，太影响代入感了。
56$26790961$闪光少女$Leon$2017-07-20 13:28:06$214$"不懂那些把黑执事叫哈利波特长袍的  看的是什么样的二次元；
那些说女配穿地像巴啦啦小魔仙的，你们家女儿是不是都上小学了？"
57$26790961$闪光少女$AnnaOverloaded$2017-07-12 00:23:30$42$走二次元古风路线，然鹅各种尴尬证明了我们真的是年纪大了……（什么时候本土青春片能摒弃各种胡乱穿插流行歌秒变MV撑时间的破毛病呢？旮旯和逃跑的歌一出我就真的想抄起可乐砸过去了）
58$26790961$闪光少女$五色全味$2017-07-29 19:22:22$36$現在的觀眾是有多容易高潮，打兩下雞血聽兩段配樂就燃燃燃的，看個《悟空傳》特效也能燃，也不理整部戲到底講了多少東西講得好不好，中二就是聽著《老男孩》一把鼻涕一把淚感慨夢想的感覺嗎？sorry啊，不懂欣賞
59$26790961$闪光少女$焚紙樓$2017-12-30 17:02:46$18$民樂者想爭取（應得的）榮耀，就非得要闖進西樂大廳在西樂的遊戲規則下獲得西樂受眾的掌聲一回；西樂者要爭取相同事物，卻顯然不必來這一趟──閃光少女們呀，聽出問題了嗎？你們還太年輕，希望你們能在這場勝利的餘裕中，真正察覺這場文化戰爭的本質從來不是關於胡琴與西裝，而是話語權的零和多寡。
60$26790961$闪光少女$西楼尘$2017-07-16 23:04:43$21$年少时候痴迷一个人或一种兴趣总是莽莽撞撞，在他楼下摆了心形蜡烛，却陷在火焰中尴尬。好不容易组成了古风乐团，却丢了迷恋时的初心。家长目光中那担忧与殷切，同伴眼中的失落与关切，所有经历过青春的人都感同身受。西洋乐与民乐的彼此对立，二次元与三次元的互不理解，都是因为这个世界还不够包容。
61$26790961$闪光少女$你的温柔像羽毛$2017-07-23 22:16:42$43$错过了不能说的秘密，就不能再错过闪光少女了！第一次知道原来民族乐器这么棒！一群年轻人认真弹乐器的样子好帅好美！
62$26790961$闪光少女$马泽尔法克尔$2017-08-04 14:15:22$23$乐队取名字那里，为什么是2.5次元？4个2次元+2个3次元，取平均数应该叫2.333次元才对吧。拍完了中国功夫大战西洋拳、民乐大战西洋乐，中医大战西医的项目该上马了吧。
63$26790961$闪光少女$接十分钟的吻$2018-01-20 02:30:28$62$笑着笑着就哭了，当二·五次元在漫画展演奏，二次元粉丝集体被吸引时，激动得哭了
64$26790961$闪光少女$张小北$2017-08-19 18:04:34$28$导演处女作加1星。
65$26790961$闪光少女$Peter Cat$2017-07-23 22:24:05$24$不需要鼓励也值得四星呀，鲍鲸鲸剧本台词堪称高明，把当下微博上能掐死无数键盘侠中西之争操持得如此有理有据还正能量。唯一遗憾是音乐题材下，片中音乐有点乏善可陈。大家赶紧去看呀，要没排片了！
66$26790961$闪光少女$鱼不吃猫$2018-02-04 09:18:46$48$青春本来就是要用来放肆的，不错的电影。
67$26790961$闪光少女$孤云涣涣$2017-12-18 00:44:07$48$女主确实有点尬啊，反正看着我是不喜欢的，傻的不自然。同样是二，还是男主讨喜啊！我还记得他把衣服一解开，说那我可以加入了吗？真的好可爱。这个题材还不错了，讲民乐的青春片，细节不清楚了，总体观影感受还不错！
68$26790961$闪光少女$方小孬$2017-07-19 20:06:39$37$竟然看哭了哈哈哈哈哈好燃啊！一直对国产青春系电影不感兴趣，因为玉娆想看一下没想到很有意思！有的台词生硬了点，但是瑕不掩瑜。多一星鼓励！啊真的太可爱了！
69$26790961$闪光少女$EVANGELION$2017-07-09 06:40:26$189$正常的大脑各有各的想法，残缺的大脑都是一样的。你国脑残太多，但就像用面包屑吸引锦鲤一样，赚脑残的钱太容易了，小时代和爵迹覆盖不了的那些，闪光少女全都笼络过来了。 
70$26790961$闪光少女$爱追剧的小可爱$2018-02-28 03:16:34$21$挺不错的电影虽然有点无厘头，但也温馨励志，单凭宣传中国传统民乐这一点就值得推荐！多一点这类正能量电影挺好的👍
71$26790961$闪光少女$mOco$2018-01-12 11:42:46$10$2.5 太尬太浮夸了，导演的功力也不行。不过抓住了好点子，实现得也不错，很燃。
72$26790961$闪光少女$嘟嘟熊之父$2017-07-09 12:33:36$33$也就五讲四美和谐社会骗骗小朋友。倒是选角导演很厉害。
73$26790961$闪光少女$欢乐分裂$2017-09-22 20:50:17$14$浓重日式青春片的影子，难得加入民乐因素，胜在清新新奇，音乐好评加分；虽不算特别理想，但有如此明朗自然的院线片，也算是国产影片的一线生机。
74$26790961$闪光少女$雪粒☂sherry$2017-07-27 15:53:19$17$………所以cosplay和民乐到底有什么关系
75$26790961$闪光少女$Painkiller$2017-07-09 22:06:18$167$产业经济对二次元市场的过度意淫，代表自己表示并不买账。洋乐vs民乐的主题，虽然相较洋乐民乐确实小众，但大众认知中并没有民乐低于洋乐这种印象。打着二次元旗号，也只是在人物造型上应用了一些二次元元素，然而人物的妆容还不如一般的coser，千指那一头cos夏尔失败的乱毛糟心至极。
76$26790961$闪光少女$Button _$2017-07-13 10:53:05$24$看了点映...开场五分钟就感觉到负分的气息… 心疼票价
77$26790961$闪光少女$拉链$2017-07-09 17:35:38$50$笑点尴尬演技尴尬台词尴尬节奏尴尬 没开冷气的电影院硬是看出了一身鸡皮疙瘩 什么时候中国小妞电影迷上了傻妞电影，主打装傻充愣拿腔拿调。
78$26790961$闪光少女$同志亦凡人中文站$2019-12-08 16:21:12$19$音乐分阶级，二次元也有歧视链，只有青春——青春是没心没肺的。华语校园片少有这么明艳而又单纯的快乐，就像一枚专属于少女时代的彩蛋。对彭昱畅的好感up up...
79$26790961$闪光少女$红藕香残玉簟秋$2017-07-09 17:38:43$23$中二风太浓厚，接受不了
80$26790961$闪光少女$zitsunari$2017-09-23 14:55:40$14$对白人设都尴尬…另外如果你要说扬琴好，就说它怎么好，不要说它已经四百多年了，住山洞还四万年呢你住吗。女生角色没法吐槽了已经，只有彭彭是可爱的，虽然演技也是0…
81$26790961$闪光少女$栗$2017-07-30 00:25:14$13$阔以，千指大人和小提琴首席都很二次元了。
82$26790961$闪光少女$尽欢$2018-04-06 22:08:08$15$一部可能因为片名而错过的好片子。青春和音乐这两个元素融合的很棒。
83$26790961$闪光少女$做一件事很难吗$2018-06-12 23:43:12$16$还蛮好看的 内容也不尬 特别是男主 演技不错 
84$26790961$闪光少女$徐若风$2017-07-20 23:35:33$13$3.5 《下妻物语》亚文化精神、《摇摆少女》爵士精神和台湾青春片脱线爆笑套路圆滑融入唱响主旋律树新风的大陆语境，是近几年值得被记住的少数几部华语青春片之一。记得岳本野蔷薇写道：“装帅耍酷固然是我们的生存方式，不过也有不需要装酷的时候，不，是有不能装酷的时候呐！”
85$26790961$闪光少女$老袁$2017-09-22 11:03:30$13$只能说，青春片尤其是国产青春片，真的太难写了。
86$26790961$闪光少女$伯樵·阿苏勒$2017-07-21 13:01:41$4$民乐团大战西洋乐…所有乐友本年度必看！！！另，如果想更好理解里面很多音乐学院梗，请关注微信公众号：西便门艺校段自守！
87$26790961$闪光少女$搬砖侠$2017-07-08 19:41:21$10$只能认可编剧鲍鲸鲸在剧本创意和台词上的小趣味，借用民乐与西洋乐的交锋，讲述的依然是一个少女的怀春梦。尴尬的是导演几乎在本片的控制上显得束手无策，剧情基本上是东一榔头西一棒子，想往二次元靠拢却只是擦边球，靠着不断填充的音乐勉强拖完剧情，一旦回归主线则非常尴尬 ，真的是二点五次元啊！
88$26790961$闪光少女$死鬼$2018-04-05 11:59:11$21$"片名是累赘吧
第一眼看到片名以为是什么玛丽苏烂片呢..."
89$26790961$闪光少女$SydneyCarton$2017-07-16 20:05:05$29$类型化这么彻底、三观这么正的青春片，不火没天理。准备带老婆孩子去二刷。
90$26790961$闪光少女$惘然$2017-07-15 17:54:40$20$鲍鲸鲸一认真搞笑，果然就是同类型翘楚了。#彭昱畅演得好！虽然我对他永远刚洗头没吹干的头发实在接受无能！#
91$26790961$闪光少女$ZLY$2017-07-18 23:25:19$19$好样的！我尝试跳出鄙视链，去理解这世界。每个人都要做自己的太阳。河东河西，古风和民乐随二次元复活，真没想到。活下来的代价，是演化吧。我也彷徨悲伤执妄，和你一样，以为还有无数的夏天，回头看，那时就是最好的。还好这么闪光，我都被激励一番。二次元是年轻的宗教，没赶上，我也会玩好我的花样
92$26790961$闪光少女$扭腰客$2017-10-08 23:23:48$19$就这，有什么可一直吹捧的，尬台词，渣演技，可以说，编剧和演员默契配合，一手neng出这个四不像
93$26790961$闪光少女$山人阿苍苍$2017-07-08 19:06:22$21$在大银幕上看到漫展里各种眼熟的墙头很是微妙啊。令人惊喜的是台词居然不咋尴尬…民乐+二次元你想想，要中二得令人信服比较不容易了。几场演奏戏都还不错，尤其是battle那场，小宅男也很真实，但对二次元群体的表现有点儿over了，没有人天天都穿lo装戴假发去上课的好吗…
94$26790961$闪光少女$眠去$2017-12-04 13:14:04$20$你们有看哭的吗？
95$26790961$闪光少女$放开那个浪味仙$2017-07-15 21:00:03$17$不做作，够青春。原来民乐也可以这么high~
96$26790961$闪光少女$路人Eita$2017-07-19 23:28:23$12$“演员演起来不尴尬，导演导起来不为难，观众看起来不讨厌”，这三条的每一条，都是合格的青春片该有的样子。鲍鲸鲸确实做到了。
97$26790961$闪光少女$王恶$2017-09-22 23:23:50$6$鲍鲸鲸实在是太会写了！在一味呼唤大片，人人妄想发大财的今天，在老师教学无力，学生缺乏敬畏的当下！她一个青年编剧，很知道撑起产业的不是大片，而是为投资人着想，稳赚不赔的喜剧小片啊！她一个溺爱老公的女性主义践行者，写的剧本结构、节奏、细节方方面面值得推敲，时代在召唤，标准类型片！
98$26790961$闪光少女$木由$2017-10-19 20:09:38$10$YouTube上线，总算拔草了。不小心看完片尾彩蛋，百感交集。我的十七岁也做过一件闪闪发光的事情啊！我的十七岁也成为过一个闪闪发光的人啊！可如今呢，红颜弹指老，青葱已做汤。从前的闪光少女少年各自散落天涯，泯然众人。连回忆里的光都已不敢确认是真实的灿烂，还是自欺欺人的滤镜罢了。
99$26790961$闪光少女$KitajimaJunko$2017-07-15 16:20:09$10$西洋与东方结合，传统与二次元结合，从音乐的角度，弘扬传统文化，抨击崇洋媚外。梦想与现实，自我与外界的冲突，在不同维度文化的冲击下竟还激起了满腔热血。新颖的视角，悬空的力量，巧妙地用古风演奏诠释年轻，确实比无病呻吟的青春片要正能量得多。很多梗让人噗嗤一笑，漫展那段竟还看得有些泪目。
100$26790961$闪光少女$深夜声噎$2017-07-02 15:51:56$10$中二万岁！二次元之心不死！音乐和民乐加分！男主变身后有点日系鲜肉感。
101$26790961$闪光少女$韧勉$2017-11-04 00:13:48$8$不以恋爱为主线的青春片，有青春叛逆，有情怀，有内容，闫妮和陈奕迅的彩蛋很是亮点。另外民乐与西方古典乐斗琴那段最后唢呐向《百鸟朝凤》致敬太燃了，对二次元的解读也是历年来相对而言最到位的，赞！
102$26790961$闪光少女$寒枝雀静$2017-07-20 17:32:14$5$D/ 元素杂糅的结果是把极复杂的命题简化为政治课本几句话，而与现实且宏大的命题搭配的则是极端的二元对立。因而很多深层的表达都经不起推敲，几句强行深度的台词更是尴尬。倒是讽刺高考的点抓得不错。不可否认整体制作精良且流畅欢乐。当做单纯的青春片，享受音乐，关注颜值，还能看。
103$26790961$闪光少女$芊颖$2018-06-13 00:03:49$11$哎，，，这个名字真的拖后腿，这个片真的很好看
104$26790961$闪光少女$拉链$2017-07-09 17:35:38$50$笑点尴尬演技尴尬台词尴尬节奏尴尬 没开冷气的电影院硬是看出了一身鸡皮疙瘩 什么时候中国小妞电影迷上了傻妞电影，主打装傻充愣拿腔拿调。
105$26790961$闪光少女$红藕香残玉簟秋$2017-07-09 17:38:43$23$中二风太浓厚，接受不了
106$26790961$闪光少女$曾于里$2017-07-18 22:54:31$12$还是很不错的，笑点泪点燃点都有，节奏不错，音乐尤佳，徐璐彭昱畅演得不错，彭昱畅这个角色更讨喜。
107$26790961$闪光少女$Sophie  Z$2017-09-24 13:17:40$11$斗琴输在了唢呐的嗓门，然后学西洋乐那些孩子居然就服气了？我觉得还不如小男生拿着灭火器时说的那番话有说服力…其实是很好的题材，不知道为什么一定要硬扯二次元和古风圈，部分地方尴尬地像在看《我为歌狂》…
108$26790961$闪光少女$小A$2017-07-23 18:55:38$12$燃！3星给鲍鲸鲸，1星给剪辑。一开场就是我喜欢的莫扎特歌剧《魔笛》经典唱段“我心中燃烧着怒火”。西乐民乐争了半天，最后二次元赢了？政治太正确。我快被刘泳希的美瞳征服（shanxia）了。有观众不理解民乐西乐互相鄙视的心情，我写了长评解释这件事。
109$26790961$闪光少女$zitsunari$2017-09-23 14:55:40$14$对白人设都尴尬…另外如果你要说扬琴好，就说它怎么好，不要说它已经四百多年了，住山洞还四万年呢你住吗。女生角色没法吐槽了已经，只有彭彭是可爱的，虽然演技也是0…
110$26790961$闪光少女$伯樵·阿苏勒$2017-07-21 13:01:41$4$民乐团大战西洋乐…所有乐友本年度必看！！！另，如果想更好理解里面很多音乐学院梗，请关注微信公众号：西便门艺校段自守！
111$26790961$闪光少女$黑狗成$2017-07-20 21:00:29$7$那个小提琴首席和栗山千明的相似度达到90%，学士服一穿有一点Kill Bill的影子，二次元整不明白。
