$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$1307694$无间道3：终极无间$Yu-chia$2009-08-27 15:38:38$1296$鬼知道陈道明出来干嘛来了
38$1307694$无间道3：终极无间$发条橙$2018-06-09 16:45:11$23$如是等辈，当堕于无间地狱，千万亿劫，以此连绵，求出无期。不完美的终结篇，但道出了“无间道”最深沉的意义所在，救赎免不了邪念，死亡超脱不了罪恶，因此你永远通往不到无上之境，这便是“无间地狱”的内涵所在。我只想做个好人，帮你们杀光了韩琛的卧底，为什么不肯放过我？对不起，因为我是警察！
39$1307694$无间道3：终极无间$乔植$2017-10-04 23:07:28$22$超爱的系列！男神梁朝伟不要太帅！！！不过还是更喜欢第一部和第二部！
40$1307694$无间道3：终极无间$牵不到的爱$2017-10-04 19:25:18$17$真的so cool
41$1307694$无间道3：终极无间$同志亦凡人中文站$2012-07-20 20:10:26$23$虎头蛇尾啊啊啊啊
42$1307694$无间道3：终极无间$沉$2017-10-04 20:45:35$7$酷
43$1307694$无间道3：终极无间$桃子爱吃鱼$2017-10-04 21:21:37$12$港片中的经典
44$1307694$无间道3：终极无间$荆棘鸟$2017-10-04 11:03:14$11$无间道玩得溜
45$1307694$无间道3：终极无间$黑樱桃摩卡$2008-12-05 14:29:29$5$1是经典2很糟糕3就一般了～
46$1307694$无间道3：终极无间$狐$2006-06-17 21:43:28$3$看了兩遍。請囬華仔和偉仔就對了，溫情的戲比較多一點，更多了許多幽默的元素，特別是陳永仁。結侷實在是太沒有張力了，草草收尾，不知所謂。
47$1307694$无间道3：终极无间$paracelsus$2017-01-15 17:40:04$6$有点想法，但拍得很乱
48$1307694$无间道3：终极无间$伊谢尔伦的风$2011-03-25 20:22:27$534$"无间道1还行，2也不错，3就……就他妈是个琐碎的多视角抒情同人文啊（摔）。
"
49$1307694$无间道3：终极无间$何倩彤$2007-03-30 01:06:41$4$19/12/2003 6:40pm GH Holloywood
50$1307694$无间道3：终极无间$bird$2013-09-18 14:27:32$8$好人最难当，刘德华再怎么疯，观众也看不进戏。
51$1307694$无间道3：终极无间$思路乐$2018-01-14 12:56:59$27$【B－】同样的一曲《再见，警察》，黄志诚和陈永仁的死都能击穿我的心灵，可为什么杨锦荣的死却只能使我尴尬?
52$1307694$无间道3：终极无间$阿依达$2013-07-21 00:36:40$3$黎明貌似不像一般電影裡的面癱呆傻樣了。但是我看一半就可恥地睡著了，到結尾才醒過來。陳道明還是氣場很足的。我是跟誰一起看的這部電影來著？
53$1307694$无间道3：终极无间$Connie$2008-03-08 01:12:43$100$主旋律意識形態主旋律對白主旋律航拍，一貫的明星至上亂擺pose，注水豬肉式無休止的反復，故弄玄虛把觀衆當傻瓜，就是一個字：爛啊爛啊爛啊！簡直像個F咖小導演的片兒！
54$1307694$无间道3：终极无间$查理不开朗$2010-10-21 07:58:58$5$黎明其實演技是有的，別老覺得他是花瓶
55$1307694$无间道3：终极无间$一條魚佔滿了河$2022-06-09 20:01:07$2$把第三部看作是官方拍的一部同人作，那就不算系列爛尾了，和前兩部完全不在同一水準，從無間道變成了無癲道，多了詭異陰森感，也多了商業元素，喜劇和愛情都橫插一腳進來，而故事結構也東一下西一下，各種分裂，整個故事到第三幕才算是正式開始。黎明演得不算差，但是有一半時間看起來像還沒從《三更之回家》出來，而陳慧琳的戲一如既往的災難，靈活地在做作、浮誇和呆板之間切換。
56$1307694$无间道3：终极无间$筷喜旺$2015-12-18 22:37:33$1$难看
57$1307694$无间道3：终极无间$余墨残香独自敛$2009-07-23 21:15:44$0$喜欢
58$1307694$无间道3：终极无间$半城风月$2017-10-04 00:49:58$34$无间道，三部曲一样的精彩。
59$1307694$无间道3：终极无间$周乐乐乐$2012-05-23 14:44:48$2$有点多余
60$1307694$无间道3：终极无间$马克兔温$2012-01-20 17:30:28$0$给阵容的星星
61$1307694$无间道3：终极无间$查无此人$2009-09-16 16:58:23$0$看明星
62$1307694$无间道3：终极无间$小变态$2007-08-11 20:31:02$0$那么多年过去了，角色扮演的心理惯性竟然在他们两个身上一点儿也不灵验
63$1307694$无间道3：终极无间$勃立二象性$2017-05-14 21:49:29$262$陈道明，黎明和梁朝伟三人在码头那段真是感人，同是警察，彼此之间建立友谊和信赖不需要任何理由
64$1307694$无间道3：终极无间$伐木丁丁$2012-05-22 20:36:55$0$也忘记再哪看的了
65$1307694$无间道3：终极无间$Coldblue$2009-08-11 14:50:20$2$不及一二
66$1307694$无间道3：终极无间$叉叉小箭猪$2009-12-31 03:57:30$0$明星来得太多了一点
67$1307694$无间道3：终极无间$心之旋影$2010-04-12 16:29:54$1$2003.12.29/2010.4.12/2011.1.14
68$1307694$无间道3：终极无间$最烦装逼$2009-02-12 10:40:21$1$可以了。
69$1307694$无间道3：终极无间$深海石$2021-05-03 20:44:28$87$何为无间，《无间道3》终篇做了最后的注解：行走于炼狱，没有归途。陈永仁至死没有在警署得到那间面朝大海的办公室；刘建明杀了假想的自己却也未得到救赎。这不仅是有关卧底的故事，而是每一个找不到身份、定位、未来的人的启示录。人生漫漫，常被左右，凄哉。
70$1307694$无间道3：终极无间$一一$2008-06-11 14:12:35$0$7.0/7.0
71$1307694$无间道3：终极无间$minyee13$2007-11-08 23:38:05$1$毕竟不如第一部
72$1307694$无间道3：终极无间$胖跳跳$2009-05-28 21:50:19$0$经典
73$1307694$无间道3：终极无间$伊谢尔伦的风$2011-03-25 20:22:27$534$"无间道1还行，2也不错，3就……就他妈是个琐碎的多视角抒情同人文啊（摔）。
"
74$1307694$无间道3：终极无间$Connie$2008-03-08 01:12:43$100$主旋律意識形態主旋律對白主旋律航拍，一貫的明星至上亂擺pose，注水豬肉式無休止的反復，故弄玄虛把觀衆當傻瓜，就是一個字：爛啊爛啊爛啊！簡直像個F咖小導演的片兒！
75$1307694$无间道3：终极无间$蒜 | BOY A✎$2008-01-29 16:08:15$2$2003.12.16 vcd 寝室
76$1307694$无间道3：终极无间$鲁大师-鲁提辖$2011-02-05 00:31:36$0$一个神话的终结 
77$1307694$无间道3：终极无间$脑海里住满乌鸦$2021-07-20 13:32:11$66$不打头的是警察
78$1307694$无间道3：终极无间$陈小桃$2007-08-05 00:00:41$1$后边有点乱
79$1307694$无间道3：终极无间$Ivan$2006-09-25 23:53:13$0$[大学] 猛一看 没看懂
80$1307694$无间道3：终极无间$蛮吉$2006-05-24 11:25:06$0$香港
81$1307694$无间道3：终极无间$我不会死的$2011-12-11 09:36:53$0$7.6分
82$1307694$无间道3：终极无间$Y$2014-05-08 20:45:24$0$野心太大 能力有限 不过结尾蛮好的
83$1307694$无间道3：终极无间$Morning$2012-12-19 20:27:39$2$陈慧琳大概把整部戏都催眠了，无法摆脱梁朝伟的影子，无时无刻不存在。作为这种电影富二代，好的也只有家底了。
84$1307694$无间道3：终极无间$圣徒$2008-08-03 16:29:30$0$。。。
85$1307694$无间道3：终极无间$Bailey$2012-12-04 19:57:06$2$那帮演员都很牛...一晃快十年了
86$1307694$无间道3：终极无间$还没想好叫什么$2011-10-31 16:47:20$0$不错
87$1307694$无间道3：终极无间$怪兽$2008-04-07 02:00:44$0$"Chuck Barris 
"
88$1307694$无间道3：终极无间$紫七灵$2011-04-27 13:29:26$9$看得出来有点赶进度，有些细节上比前作粗糙了点，黎明死的情节稍显莫名，那么多警察在刘德华背后傻站着不开枪。。。
89$1307694$无间道3：终极无间$Reynard$2008-08-04 00:30:32$0$难以自圆其说……
90$1307694$无间道3：终极无间$六一成清明$2011-01-28 22:34:54$1$力道没用好
91$1307694$无间道3：终极无间$●,$2010-12-21 02:04:47$1$结局感觉不知所云。
92$1307694$无间道3：终极无间$半城风月$2017-10-04 00:49:58$34$无间道，三部曲一样的精彩。
93$1307694$无间道3：终极无间$vivien$2010-08-04 21:12:51$1$三部曲的最终回。。是要最终了再冒出个谁谁谁就奇怪了。。呵呵演员太多有点搞不清关系了。。
94$1307694$无间道3：终极无间$阿翔需要美少男解毒！$2008-11-08 11:31:30$0$乱来。
95$1307694$无间道3：终极无间$fly_hakka$2010-11-11 14:23:55$0$给耀扬哥的
96$1307694$无间道3：终极无间$文泽尔$2013-12-27 01:15:48$17$第三部更多是对第一部时间线的致敬 但硬生生插入陈道明和黎明这两个人物 还是显得太多余 这两人的身份也不能通过之前透露的线索简单推理出来 刘建明的努力同样神神叨叨 扑朔迷离 有说最后一枪是故意并以此脱罪的 好吧也可以这么解释了 但这部相比首部 就好像大时代1对比大时代2一般 说来说去 票房使然
97$1307694$无间道3：终极无间$yf747126$2006-05-06 21:08:38$0$无间道系列为什么别人那么喜欢我就那么没感觉呢，是觉得是认真的饿好电影，我就是不入戏。还不如《黑社会》，为什么啊为什么，难道要重看才行？
98$1307694$无间道3：终极无间$时间$2011-08-12 13:52:58$1$经过2的高峰，3又降了一个档次，心理戏拍得很差，故事也没讲好。作为补完前作情节的一部，无间道的故事至此也算结束，但这个收尾之作显然仓促了，没拍好。
99$1307694$无间道3：终极无间$DennisChee$2013-04-17 21:54:12$2$听说第三部很一般，所以一直没看，免得破坏无间道在我心中的分量。这两天忍不住终于看了，确实很一般，不过只是和前两部相比，总体还算中规中矩。
100$1307694$无间道3：终极无间$紫七灵$2011-04-27 13:29:26$9$看得出来有点赶进度，有些细节上比前作粗糙了点，黎明死的情节稍显莫名，那么多警察在刘德华背后傻站着不开枪。。。
101$1307694$无间道3：终极无间$Reynard$2008-08-04 00:30:32$0$难以自圆其说……
102$1307694$无间道3：终极无间$六一成清明$2011-01-28 22:34:54$1$力道没用好
103$1307694$无间道3：终极无间$vivien$2010-08-04 21:12:51$1$三部曲的最终回。。是要最终了再冒出个谁谁谁就奇怪了。。呵呵演员太多有点搞不清关系了。。
104$1307694$无间道3：终极无间$八贝勒爷$2018-01-25 08:55:43$26$喜欢，迷之的，没有原因，就觉得很帅，很酷，每个人都有故事的感觉，
105$1307694$无间道3：终极无间$Forgot Limited$2013-01-03 17:23:46$0$一百多分钟完全不能把该说的一次性说完，编剧近乎咋舌的前后呼应都被遗忘在了挠头的剪辑里。
106$1307694$无间道3：终极无间$曾于里$2012-01-18 13:09:23$3$刘德华终于死了，解气
107$1307694$无间道3：终极无间$Hel'$2012-05-26 02:39:31$1$剪辑的实在太让人晕头了。在杨锦荣办公室自杀的那个是好人还是坏人啊？
108$1307694$无间道3：终极无间$大角$2010-07-13 03:48:28$1$拍得不明不白，还好有小说释疑
109$1307694$无间道3：终极无间$豆瓣天后董小姐$2010-12-10 16:18:31$4$最后一部具有代表性的港片
110$1307694$无间道3：终极无间$●,$2010-12-21 02:04:47$1$结局感觉不知所云。
111$1307694$无间道3：终极无间$阿翔需要美少男解毒！$2008-11-08 11:31:30$0$乱来。
112$1307694$无间道3：终极无间$fly_hakka$2010-11-11 14:23:55$0$给耀扬哥的
113$1307694$无间道3：终极无间$德拉库拉拉$2008-06-27 20:57:54$0$2008-6-27 20:57:21 7/7.0(2888) 玩过了
114$1307694$无间道3：终极无间$yf747126$2006-05-06 21:08:38$0$无间道系列为什么别人那么喜欢我就那么没感觉呢，是觉得是认真的饿好电影，我就是不入戏。还不如《黑社会》，为什么啊为什么，难道要重看才行？
115$1307694$无间道3：终极无间$康斯坦丁$2010-12-23 12:17:25$0$喜欢，虽然情节开始牵强起来。。。
116$1307694$无间道3：终极无间$时间$2011-08-12 13:52:58$1$经过2的高峰，3又降了一个档次，心理戏拍得很差，故事也没讲好。作为补完前作情节的一部，无间道的故事至此也算结束，但这个收尾之作显然仓促了，没拍好。
117$1307694$无间道3：终极无间$吱吱猫$2012-03-18 16:11:45$0$活人死人交织 好多地方没看懂
118$1307694$无间道3：终极无间$DennisChee$2013-04-17 21:54:12$2$听说第三部很一般，所以一直没看，免得破坏无间道在我心中的分量。这两天忍不住终于看了，确实很一般，不过只是和前两部相比，总体还算中规中矩。
119$1307694$无间道3：终极无间$挺有意思$2010-02-06 12:11:22$0$可惜了这阵容
120$1307694$无间道3：终极无间$缩小存在感$2012-03-20 00:46:15$0$道明叔+
121$1307694$无间道3：终极无间$戈戈$2008-01-08 16:28:37$0$"香港金像奖第二十三届最佳影片提名
"
122$1307694$无间道3：终极无间$大红色$2011-12-09 02:40:54$1$三星半，人格分裂了，最佳男主角也出现了...
123$1307694$无间道3：终极无间$Indecent time$2016-08-26 01:13:34$2$在前两部已经把情绪和故事都带的差不多的前提下，主创在逻辑上和前两部已经做到了全部（粤语版里的一些国粤语切换也很有逻辑），更不用说演技老被黑的倆大天王双双证明自己。可惜，新加入的两个人物以及陈慧琳线与刘建明的无间故事的情绪和前两部出现了割裂，综合看来，算是一个有遗憾，但也很好的结尾
124$1307694$无间道3：终极无间$孙道德$2011-12-09 07:48:50$0$原来是精分。。。。。。。
125$1307694$无间道3：终极无间$只手撕天$2013-02-17 15:35:47$0$总算是不这个故事完整的讲完了，不过老是拿精神分裂说事儿真的没问题吗？
126$1307694$无间道3：终极无间$Rice$2010-12-06 08:40:34$0$导演极力表现人的两面性。。。
127$1307694$无间道3：终极无间$sandy$2009-02-02 10:48:59$3$"又看了一遍，梁朝伟真的太有魅力了，刘德华注定得不到影帝。陈慧琳也很美。
情绪渲染得真好。
我居然不记得结局，只记得悲伤。
当年陈永仁被击毙那一刻，我哭了吧。"
128$1307694$无间道3：终极无间$见习兔$2012-05-01 14:47:34$0$@四川卫视 没感觉
129$1307694$无间道3：终极无间$阿笨$2011-10-13 11:49:51$0$变成了影帝秀
130$1307694$无间道3：终极无间$合疾||白痴$2011-03-30 22:58:37$1$绝对是最强同人电影。补完全部细节。整个故事有点扯了。
131$1307694$无间道3：终极无间$外星纪-南庄座.$2009-01-08 08:38:11$0$时尚的延续～其他都不重要了
132$1307694$无间道3：终极无间$哈酷$2012-01-25 00:41:48$1$最不喜欢的一集
133$1307694$无间道3：终极无间$卡兰$2014-10-16 16:50:58$1$除了压榨前两部作品的剩余价值外无法理解本作存在的理由是什么。剪辑混乱不堪，故事主次不清，一股脑地装神弄鬼结果到头来整体逻辑无法自洽。不仅旧元素利用地一塌糊涂，新的矛盾冲突处理起来也如同儿戏。
134$1307694$无间道3：终极无间$失控的蘑菇$2014-05-18 01:48:38$0$看过，但是忘光了
135$1307694$无间道3：终极无间$瞪鞋派$2009-05-13 03:12:48$0$内个奇奇怪怪的公安····
136$1307694$无间道3：终极无间$鸭大人$2011-07-14 12:01:16$0$事情可以改变人，人却改变不了事情。
137$1307694$无间道3：终极无间$君宝同学$2012-12-22 21:19:25$0$从警匪片演成心理片了。。。
138$1307694$无间道3：终极无间$开开!$2011-06-29 23:34:49$1$不太适应插叙的手法。。看的怪累的。。
139$1307694$无间道3：终极无间$我不是R朗U姆M$2013-02-17 17:54:36$1$当蔡琴的那首歌响起，感觉一切又从头来过。。。
140$1307694$无间道3：终极无间$Iker$2011-11-06 21:29:50$0$水了水了
141$1307694$无间道3：终极无间$四木九（已故）$2013-01-14 23:21:38$0$为什么喜欢无间道……其实是因为那把椅子。
142$1307694$无间道3：终极无间$oliviacdl$2012-01-29 18:22:55$0$終歸沒有第一部那麼連貫，不過還是原班人馬，很不錯。
143$1307694$无间道3：终极无间$·謎語語語語$2009-05-20 15:19:58$0$其实就是一挺简单的故事~干嘛把其中搞得那么复杂~
144$1307694$无间道3：终极无间$單行線$2007-08-18 14:19:17$0$"今天 终于看完了，终于看明白了
2007.9.18"
145$1307694$无间道3：终极无间$要啥自行车$2010-07-21 03:01:31$0$有点乱
146$1307694$无间道3：终极无间$忍者神龟$2009-01-01 19:46:19$0$看一遍还看不太明白，要细细品味
147$1307694$无间道3：终极无间$刘小青$2010-07-05 20:49:00$1$还是第一部好
148$1307694$无间道3：终极无间$冇有$2006-11-25 23:03:11$0$其实没什么料爆，但也凑合。
149$1307694$无间道3：终极无间$Orpheus$2010-10-12 02:06:49$0$我觉得没有拍他的必要，活生生的把一部经典电影弄出个三部曲，减分不少。
150$1307694$无间道3：终极无间$狄飞惊$2010-11-08 19:20:49$0$时光椅。
151$1307694$无间道3：终极无间$妈渴-瞪啃$2011-02-27 12:04:47$0$按照规律 走下坡路
152$1307694$无间道3：终极无间$MetalDudu$2006-01-11 15:00:04$0$说完了一个故事，还好
153$1307694$无间道3：终极无间$猫龟🐌$2011-03-31 19:58:14$0$个人觉得还是没前2部好
154$1307694$无间道3：终极无间$思鄉の風$2010-01-02 12:56:57$0$两个傻傻的人，看到最后都看懂
155$1307694$无间道3：终极无间$一只野鸡$2011-06-16 10:47:43$0$越编越乱，时间线也十分混乱，挑战我的低智商
156$1307694$无间道3：终极无间$ZLY$2011-09-02 20:02:52$0$《地藏菩萨本原经卷上》：如是等辈，当坠无间地狱，千万亿劫，以次连绵，求出无期
157$1307694$无间道3：终极无间$海獭$2009-06-20 19:28:50$0$好 但是好不过第一部
158$1307694$无间道3：终极无间$Крис$2011-11-23 16:07:15$0$3.8
159$1307694$无间道3：终极无间$雷斯特雷波$2012-04-10 19:10:44$0$只喜欢1
160$1307694$无间道3：终极无间$KL$2009-01-05 23:49:20$0$续集有点狗尾续貂
161$1307694$无间道3：终极无间$橋本喵$2022-12-24 22:24:50$1$突然之間這一切業障變得悲壯起來，選擇註定了命運。雖然無論說什麼都不能改寫結局，走了的人也不會再回來，但劉建明想做好人的渴望在這集變得沈重，在無間地獄裡盲目的生活升級為痛苦掙扎。突然被秀了一臉托尼梁ラブコメ，然後又畫風一轉被甩了一臉劉華發瘋。不光是ラブコメ，這集整體上陳永仁都頑皮狗勾度升級(對比下日式narrative西島秀俊根本就天選寡婦)。黎明大概也適合楊錦榮初頭那種衣冠禽獸orインテリヤクザ 的人設。通篇看下來杜汶澤也很紮實啊(沒辦法本人實在不接受伊藤淳史)，傻強傻得討喜。
162$1307694$无间道3：终极无间$落蓝$2010-03-04 06:58:31$0$真的不如前两部
163$1307694$无间道3：终极无间$PHDD$2009-12-14 02:27:41$0$唉...把警匪片已经拍到极致了
164$1307694$无间道3：终极无间$呆$2011-01-20 03:00:16$0$应该再看看
165$1307694$无间道3：终极无间$北野海德$2008-09-21 22:03:50$0$但这一部相对之前就要逊色了
166$1307694$无间道3：终极无间$francisca$2008-02-29 15:51:52$0$陈道明太恶心了
167$1307694$无间道3：终极无间$不过如此$2012-01-02 23:13:48$0$时间序的张驰很精彩
168$1307694$无间道3：终极无间$胤$2009-05-09 19:35:58$0$是部恐怖片，很惊悚。
169$1307694$无间道3：终极无间$大v$2011-12-11 01:44:11$0$太悲壮了！只有2是史诗般的作品
170$1307694$无间道3：终极无间$火柴人$2011-04-04 13:20:38$0$相比前一部还不错。。。
171$1307694$无间道3：终极无间$泊衡$2007-07-30 16:24:47$0$认真看下来，还是不错的，虽然里面有些地方。。。。。
172$1307694$无间道3：终极无间$噩梦枕头$2007-12-07 00:10:26$1$唯一的亮点就是梁朝伟和陈慧琳的调情，但沈澄和杨警官这个多出来的视角显得很多余
173$1307694$无间道3：终极无间$Roro$2009-03-15 20:55:07$1$看一部五小时顺序版。还是最爱第一部。陈道明的出现和装扮真不搭。
174$1307694$无间道3：终极无间$贾斯汀$2007-08-23 16:47:02$0$比较失败的结局
175$1307694$无间道3：终极无间$托尔$2010-05-08 12:46:48$0$看了12 一定会看三3  还是有点失望的
176$1307694$无间道3：终极无间$暴走如来佛$2013-02-24 16:34:09$0$╮(╯_╰)╭
177$1307694$无间道3：终极无间$大海$2011-08-20 20:52:16$0$就一还行。。。
178$1307694$无间道3：终极无间$jerryjili$2009-07-17 15:50:32$0$还是编剧。
179$1307694$无间道3：终极无间$大智若鱼$2009-01-30 21:19:57$0$黎明是出来搞笑的
180$1307694$无间道3：终极无间$[已注销]$2009-01-27 19:00:09$0$再看一遍就不觉得那么好咯。精神分裂啊梦啊这种没逻辑的处理都是低端手法- -
181$1307694$无间道3：终极无间$七宝$2010-01-03 23:06:23$0$老梁，无话
182$1307694$无间道3：终极无间$jessiestone$2008-06-09 05:48:45$0$08.6.9
